time,liq_long_usd,liq_short_usd
2026-04-01 07:00:00,0.00,23.11
2026-04-01 09:00:00,0.00,123.83
2026-04-01 12:00:00,0.00,26.08
2026-04-01 13:00:00,0.00,27.74
2026-04-01 14:00:00,1189.19,170.98
2026-04-02 01:00:00,0.00,11.24
2026-04-02 02:00:00,36.69,0.00
2026-04-02 03:00:00,242.94,206.76
2026-04-02 06:00:00,2862.19,525.65
2026-04-02 08:00:00,0.00,51.62
2026-04-02 09:00:00,0.00,164.75
2026-04-02 10:00:00,4.40,10635.09
2026-04-02 11:00:00,0.00,2774.88
2026-04-02 12:00:00,0.00,6.36
2026-04-02 13:00:00,292.72,24.08
2026-04-02 14:00:00,30.80,0.00
2026-04-02 21:00:00,0.00,81.76
2026-04-02 23:00:00,396.12,98.12
2026-04-03 00:00:00,437.13,0.00
2026-04-03 01:00:00,0.00,4870.65
2026-04-03 02:00:00,19.78,4436.14
2026-04-03 05:00:00,0.00,49.63
2026-04-03 06:00:00,0.00,65.87
2026-04-03 07:00:00,0.00,612.28
2026-04-03 08:00:00,0.00,1061.29
2026-04-03 13:00:00,412.42,0.00
2026-04-03 15:00:00,0.00,15.71
2026-04-03 20:00:00,0.00,458.48
2026-04-04 02:00:00,0.00,7.04
2026-04-04 07:00:00,0.00,43.81
2026-04-04 12:00:00,1441.13,0.00
2026-04-04 15:00:00,17.14,0.00
2026-04-04 20:00:00,6.04,0.00
2026-04-04 21:00:00,1324.68,0.00
2026-04-05 02:00:00,146.02,0.00
2026-04-05 06:00:00,150.01,0.00
2026-04-05 07:00:00,405.22,0.00
2026-04-05 08:00:00,6.17,36.48
2026-04-05 12:00:00,76.84,0.00
2026-04-05 16:00:00,146.33,0.00
2026-04-05 22:00:00,12.38,0.00
2026-04-06 00:00:00,1201.32,0.05
2026-04-06 06:00:00,992.23,0.00
2026-04-06 15:00:00,13.28,0.00
2026-04-06 23:00:00,44.09,0.00
2026-04-07 00:00:00,5266.79,0.00
2026-04-07 01:00:00,13178.26,0.00
2026-04-07 06:00:00,43.03,0.00
2026-04-07 15:00:00,48.43,0.00
2026-04-07 19:00:00,22.97,0.00
2026-04-07 23:00:00,6.34,114.21
2026-04-08 00:00:00,0.00,531.12
2026-04-08 22:00:00,0.00,5.48
2026-04-09 01:00:00,17.19,0.00
2026-04-09 23:00:00,119.77,5.32
2026-04-10 00:00:00,23.07,0.00
2026-04-10 02:00:00,2217.31,0.00
2026-04-10 14:00:00,0.00,212.38
2026-04-10 15:00:00,374.72,13.00
2026-04-11 02:00:00,96.89,12.90
2026-04-11 03:00:00,0.00,0.02
2026-04-11 14:00:00,69.33,0.00
2026-04-11 16:00:00,0.00,105.93
2026-04-12 02:00:00,760.69,0.00
2026-04-12 07:00:00,511.99,0.00
2026-04-12 09:00:00,30.46,0.00
2026-04-12 11:00:00,151.19,0.00
2026-04-12 13:00:00,68.35,0.00
2026-04-12 14:00:00,88.51,0.00
2026-04-12 16:00:00,1352.72,0.00
2026-04-12 17:00:00,176.67,0.00
2026-04-12 19:00:00,94.93,0.00
2026-04-12 21:00:00,244.47,5.45
2026-04-12 22:00:00,0.00,1.87
2026-04-12 23:00:00,480.36,0.00
2026-04-13 00:00:00,765.06,0.00
2026-04-13 02:00:00,97.90,0.00
2026-04-13 05:00:00,416.76,0.00
2026-04-13 08:00:00,128.74,0.00
2026-04-13 09:00:00,60.40,0.00
2026-04-13 13:00:00,3.19,0.00
2026-04-13 17:00:00,86.57,0.00
2026-04-13 18:00:00,4.91,0.00
