time,liq_long_usd,liq_short_usd
2026-04-02 09:00:00,14.77,21.75
2026-04-02 10:00:00,146.04,121.28
2026-04-02 11:00:00,2001.24,0.00
2026-04-02 12:00:00,1496.82,0.00
2026-04-02 13:00:00,94.69,0.00
2026-04-02 14:00:00,3650.75,0.00
2026-04-02 15:00:00,0.00,131.23
2026-04-02 16:00:00,2444.93,0.00
2026-04-02 17:00:00,92.15,0.00
2026-04-02 18:00:00,2591.98,0.00
2026-04-02 21:00:00,0.00,124.83
2026-04-03 06:00:00,0.64,0.00
2026-04-03 08:00:00,0.00,77.39
2026-04-03 10:00:00,243.91,0.00
2026-04-03 11:00:00,198.34,0.00
2026-04-03 12:00:00,564.07,0.00
2026-04-03 13:00:00,22.07,698.72
2026-04-03 14:00:00,69.78,0.00
2026-04-03 16:00:00,1138.45,0.00
2026-04-03 23:00:00,313.36,0.00
2026-04-04 00:00:00,110.74,99.00
2026-04-04 02:00:00,313.29,9.97
2026-04-04 03:00:00,6.08,0.00
2026-04-04 10:00:00,0.00,86.02
2026-04-04 14:00:00,763.88,0.00
2026-04-04 15:00:00,2684.65,3842.73
2026-04-04 16:00:00,0.00,5.13
2026-04-04 17:00:00,94.92,0.00
2026-04-04 20:00:00,0.00,2759.53
2026-04-04 22:00:00,39.84,0.00
2026-04-05 01:00:00,77.96,0.00
2026-04-05 02:00:00,129.89,0.00
2026-04-05 06:00:00,4.99,0.00
2026-04-05 07:00:00,3248.70,0.00
2026-04-05 08:00:00,891.95,0.00
2026-04-05 09:00:00,855.74,0.00
2026-04-05 13:00:00,13061.20,0.00
2026-04-05 16:00:00,54.44,2959.92
2026-04-05 21:00:00,0.00,9.23
2026-04-05 23:00:00,0.00,5.13
2026-04-06 00:00:00,0.00,1122.61
2026-04-06 01:00:00,3.02,2554.81
2026-04-06 02:00:00,354.76,0.00
2026-04-06 03:00:00,0.00,90.06
2026-04-06 05:00:00,0.00,137.32
2026-04-06 07:00:00,366.47,0.00
2026-04-06 09:00:00,0.00,645.90
2026-04-06 11:00:00,0.00,5233.33
2026-04-06 13:00:00,82.60,0.00
2026-04-06 14:00:00,4808.83,317.55
2026-04-06 17:00:00,0.00,11158.52
2026-04-06 18:00:00,7.18,0.00
2026-04-06 21:00:00,888.60,0.00
2026-04-06 22:00:00,5752.06,0.00
2026-04-06 23:00:00,30724.49,0.00
2026-04-07 00:00:00,12340.30,0.00
2026-04-07 01:00:00,0.00,1887.29
2026-04-07 03:00:00,45.51,0.00
2026-04-07 04:00:00,5.91,0.00
2026-04-07 06:00:00,7.10,0.00
2026-04-07 08:00:00,0.00,293.56
2026-04-07 11:00:00,395.58,0.00
2026-04-07 12:00:00,349.58,0.00
2026-04-07 13:00:00,13220.51,0.00
2026-04-07 14:00:00,27.44,0.00
2026-04-07 15:00:00,8435.82,1760.97
2026-04-07 16:00:00,0.00,662.23
2026-04-07 18:00:00,0.00,1660.98
2026-04-07 20:00:00,0.00,2818.17
2026-04-07 21:00:00,0.00,4243.63
2026-04-07 22:00:00,0.00,18964.22
2026-04-07 23:00:00,0.00,1937.76
2026-04-08 00:00:00,82.43,9957.19
2026-04-08 01:00:00,1522.17,0.00
2026-04-08 03:00:00,0.00,2268.62
2026-04-08 05:00:00,0.00,3752.75
2026-04-08 06:00:00,0.00,79.44
2026-04-08 08:00:00,0.00,2492.02
2026-04-08 09:00:00,0.00,1070.69
2026-04-08 11:00:00,0.00,519.77
2026-04-08 12:00:00,84.07,0.00
2026-04-08 14:00:00,0.00,260.05
2026-04-08 15:00:00,581.67,0.00
2026-04-08 18:00:00,0.00,826.61
2026-04-08 19:00:00,1920.14,0.00
2026-04-08 20:00:00,328.80,300.24
2026-04-09 00:00:00,1336.12,0.00
2026-04-09 01:00:00,7418.17,0.00
2026-04-09 04:00:00,0.00,12.00
2026-04-09 05:00:00,1976.89,362.81
2026-04-09 07:00:00,799.37,0.00
2026-04-09 10:00:00,0.00,35.07
2026-04-09 11:00:00,203.24,0.00
2026-04-09 16:00:00,0.00,3050.92
2026-04-09 19:00:00,0.00,91.68
2026-04-09 22:00:00,0.00,1196.28
2026-04-09 23:00:00,364.08,1493.78
2026-04-10 00:00:00,343.84,0.00
2026-04-10 01:00:00,5740.81,0.00
2026-04-10 06:00:00,4565.57,0.00
2026-04-10 09:00:00,5.14,0.00
2026-04-10 11:00:00,258.31,0.00
2026-04-10 13:00:00,0.00,4.92
2026-04-10 15:00:00,30.17,0.00
2026-04-10 16:00:00,0.00,137.13
2026-04-10 18:00:00,2348.31,0.00
2026-04-10 19:00:00,0.00,4.86
2026-04-10 20:00:00,63.36,1012.66
2026-04-10 21:00:00,64.46,56.27
2026-04-10 22:00:00,236.22,0.00
2026-04-11 01:00:00,1246.24,0.00
2026-04-11 02:00:00,3018.31,0.00
2026-04-11 03:00:00,0.00,0.07
2026-04-11 06:00:00,178.03,0.00
2026-04-11 07:00:00,347.27,0.00
2026-04-11 10:00:00,695.16,0.00
2026-04-11 14:00:00,251.03,0.00
2026-04-11 15:00:00,2596.78,0.00
2026-04-11 16:00:00,0.00,63.50
2026-04-11 17:00:00,0.00,3736.26
2026-04-11 19:00:00,924.46,145.62
2026-04-11 22:00:00,211.67,0.00
2026-04-12 00:00:00,1821.06,0.00
2026-04-12 02:00:00,25961.84,0.00
2026-04-12 03:00:00,19482.01,0.00
2026-04-12 07:00:00,0.06,90.09
2026-04-12 11:00:00,1157.12,0.00
2026-04-12 12:00:00,539.03,0.00
2026-04-12 13:00:00,74.97,0.00
2026-04-12 14:00:00,5335.93,0.00
2026-04-12 18:00:00,104.29,21.08
2026-04-12 19:00:00,0.00,60.31
2026-04-12 20:00:00,28.81,0.00
2026-04-12 21:00:00,1307.80,0.00
2026-04-12 22:00:00,36.04,246.80
2026-04-12 23:00:00,1910.60,0.00
2026-04-13 00:00:00,106.88,0.00
2026-04-13 01:00:00,129.78,0.00
2026-04-13 03:00:00,0.00,1343.21
2026-04-13 05:00:00,1.23,0.00
2026-04-13 07:00:00,0.00,240.94
2026-04-13 08:00:00,1414.59,19.81
2026-04-13 09:00:00,82.65,0.00
2026-04-13 10:00:00,45.15,0.00
2026-04-13 12:00:00,0.00,804.82
2026-04-13 13:00:00,0.00,27.58
2026-04-13 14:00:00,0.00,9961.76
2026-04-13 16:00:00,3276.37,0.00
2026-04-13 17:00:00,204.23,256.19
2026-04-13 20:00:00,0.00,2471.13
2026-04-13 23:00:00,0.00,10374.34
2026-04-14 00:00:00,0.00,857.85
2026-04-14 01:00:00,1034.83,0.00
2026-04-14 06:00:00,242.66,0.00
2026-04-14 07:00:00,0.00,908.96
2026-04-14 09:00:00,4.91,0.00
2026-04-14 10:00:00,205.59,106.91
2026-04-14 13:00:00,9948.43,0.00
2026-04-14 14:00:00,0.00,4.87
2026-04-14 15:00:00,0.00,226.73
2026-04-14 17:00:00,0.00,13.31
2026-04-14 18:00:00,5921.08,5.43
2026-04-14 19:00:00,44740.85,0.00
2026-04-15 01:00:00,1850.20,388.27
2026-04-15 02:00:00,1034.22,36.50
2026-04-15 06:00:00,0.00,12.05
2026-04-15 08:00:00,0.00,13.34
2026-04-15 09:00:00,99.33,102.49
2026-04-15 15:00:00,0.00,155.72
2026-04-15 16:00:00,3287.78,0.00
2026-04-15 18:00:00,70.55,0.00
2026-04-15 20:00:00,0.00,1024.38
2026-04-15 21:00:00,91.12,0.00
2026-04-15 23:00:00,993.94,665.00
2026-04-16 00:00:00,49.64,0.00
2026-04-16 03:00:00,37.23,5582.43
2026-04-16 04:00:00,68.05,166.54
2026-04-16 05:00:00,0.00,12490.55
2026-04-16 06:00:00,0.00,14387.04
2026-04-16 07:00:00,0.00,2466.77
2026-04-16 08:00:00,0.00,10.76
2026-04-16 09:00:00,8.84,344.97
2026-04-16 11:00:00,776.11,0.00
2026-04-16 13:00:00,0.00,15.90
2026-04-16 14:00:00,11357.73,787.36
2026-04-16 15:00:00,5.26,0.00
2026-04-16 16:00:00,5.63,586.34
2026-04-16 17:00:00,0.00,14992.59
2026-04-16 18:00:00,0.00,485.72
2026-04-16 19:00:00,0.00,18202.03
2026-04-16 21:00:00,0.00,2081.68
2026-04-16 22:00:00,2461.11,0.00
2026-04-17 01:00:00,0.00,6.01
2026-04-17 02:00:00,80.23,34.54
2026-04-17 03:00:00,4933.28,0.00
2026-04-17 04:00:00,91.11,0.00
2026-04-17 06:00:00,1839.36,0.00
2026-04-17 07:00:00,7117.37,4694.57
2026-04-17 08:00:00,0.00,134.16
2026-04-17 09:00:00,8.96,79.75
2026-04-17 10:00:00,0.00,47.75
2026-04-17 11:00:00,4592.90,0.00
2026-04-17 12:00:00,5.30,245.46
2026-04-17 13:00:00,0.00,9236.58
2026-04-17 14:00:00,1173.75,63124.89
2026-04-17 15:00:00,27.79,6394.50
2026-04-17 17:00:00,1000.96,597.59
2026-04-17 18:00:00,153.34,0.00
2026-04-17 20:00:00,9690.14,0.00
2026-04-18 00:00:00,209.30,0.00
2026-04-18 01:00:00,0.00,250.84
2026-04-18 02:00:00,0.00,2093.65
2026-04-18 03:00:00,0.00,86.51
2026-04-18 08:00:00,956.82,0.00
2026-04-18 09:00:00,897.15,702.25
2026-04-18 10:00:00,298.26,0.00
2026-04-18 11:00:00,24218.57,0.00
2026-04-18 12:00:00,22856.14,0.00
2026-04-18 14:00:00,617.56,0.00
2026-04-18 16:00:00,875.46,0.00
2026-04-18 17:00:00,395.69,3155.33
2026-04-18 18:00:00,341.96,0.00
2026-04-18 19:00:00,24905.94,0.00
2026-04-18 20:00:00,5528.38,0.00
2026-04-18 21:00:00,91.27,1037.00
2026-04-19 01:00:00,7846.76,0.00
2026-04-19 02:00:00,3141.47,0.00
2026-04-19 03:00:00,3220.90,20.57
2026-04-19 04:00:00,5250.38,0.00
2026-04-19 05:00:00,4834.38,0.00
2026-04-19 07:00:00,5.24,0.00
2026-04-19 08:00:00,2799.32,0.00
2026-04-19 09:00:00,0.00,5.26
2026-04-19 10:00:00,109.96,0.00
2026-04-19 11:00:00,147.09,0.00
2026-04-19 13:00:00,0.00,5665.71
2026-04-19 16:00:00,17185.93,0.00
2026-04-19 17:00:00,207.15,0.00
2026-04-19 18:00:00,133.13,0.00
2026-04-19 19:00:00,5143.99,0.00
2026-04-19 21:00:00,116.40,348.65
2026-04-19 23:00:00,13264.41,0.00
2026-04-20 04:00:00,0.00,6.01
2026-04-20 05:00:00,15.18,0.00
2026-04-20 06:00:00,763.27,0.00
2026-04-20 07:00:00,0.00,10.86
2026-04-20 08:00:00,4578.68,325.73
2026-04-20 11:00:00,469.70,0.00
2026-04-20 12:00:00,0.00,3711.85
2026-04-20 15:00:00,498.24,0.00
2026-04-20 16:00:00,5654.26,508.76
2026-04-20 20:00:00,472.42,0.00
2026-04-21 13:00:00,5378.75,0.00
2026-04-21 17:00:00,0.00,5.03
2026-04-21 18:00:00,550.86,0.00
2026-04-21 20:00:00,17617.82,0.00
2026-04-21 22:00:00,0.00,5.05
2026-04-22 00:00:00,0.00,168.10
2026-04-22 03:00:00,0.00,826.40
2026-04-22 04:00:00,15.33,0.00
2026-04-22 17:00:00,37.50,0.00
2026-04-22 20:00:00,637.37,0.00
2026-04-22 21:00:00,1483.88,0.00
2026-04-23 00:00:00,2709.78,0.00
2026-04-23 01:00:00,7585.04,0.00
2026-04-23 02:00:00,3146.91,0.00
2026-04-23 03:00:00,201.49,0.00
2026-04-23 04:00:00,1214.14,0.00
2026-04-23 08:00:00,766.09,0.00
2026-04-23 10:00:00,1363.00,0.00
2026-04-23 11:00:00,2007.41,0.00
2026-04-24 14:00:00,2651.00,0.00
2026-04-24 16:00:00,82.34,0.00
2026-04-24 22:00:00,0.00,4746.34
2026-04-24 23:00:00,102.04,0.00
2026-04-25 06:00:00,148.90,0.00
2026-04-25 13:00:00,739.10,0.00
2026-04-25 16:00:00,3708.48,0.00
2026-04-25 17:00:00,356.88,0.00
2026-04-25 18:00:00,1525.79,0.00
2026-04-25 22:00:00,5.91,0.00
2026-04-26 01:00:00,69.61,0.00
2026-04-26 06:00:00,0.00,39.87
2026-04-26 12:00:00,0.00,5.64
2026-04-26 19:00:00,0.00,146.02
2026-04-27 01:00:00,0.00,10.09
2026-04-27 02:00:00,0.00,234.79
2026-04-27 03:00:00,0.00,5331.90
2026-04-27 04:00:00,0.00,7705.50
2026-04-27 06:00:00,7295.96,0.00
2026-04-27 07:00:00,13992.75,0.00
2026-04-27 09:00:00,894.88,0.00
2026-04-27 14:00:00,81.44,0.00
2026-04-27 16:00:00,6641.70,0.00
2026-04-27 22:00:00,0.00,4.00
2026-04-28 02:00:00,246.42,0.00
2026-04-28 05:00:00,177.79,0.00
2026-04-28 07:00:00,1017.19,186.03
2026-04-28 08:00:00,38.54,0.00
2026-04-28 10:00:00,902.26,0.00
2026-04-28 14:00:00,1314.51,0.00
2026-04-28 15:00:00,1589.83,0.00
2026-04-28 17:00:00,16.14,4093.01
2026-04-28 22:00:00,0.00,15.43
2026-04-29 03:00:00,667.85,0.00
2026-04-29 05:00:00,0.00,137.35
2026-04-29 06:00:00,0.00,367.54
2026-04-29 10:00:00,1463.71,12617.52
2026-04-29 11:00:00,0.00,70.94
2026-04-29 12:00:00,0.00,0.43
2026-04-29 13:00:00,259.42,0.00
2026-04-29 14:00:00,11.22,0.00
2026-04-29 15:00:00,14.87,0.00
2026-04-29 16:00:00,14481.24,0.00
2026-04-29 17:00:00,2877.41,0.00
2026-04-29 19:00:00,67618.89,116.75
2026-04-29 21:00:00,263.47,5.11
2026-04-30 01:00:00,0.00,1051.27
2026-04-30 02:00:00,0.00,28.00
2026-04-30 03:00:00,6462.10,286.39
2026-04-30 05:00:00,1972.00,0.00
2026-04-30 11:00:00,474.37,0.00
2026-04-30 17:00:00,5.02,0.00
2026-04-30 23:00:00,8.12,0.00
2026-05-01 00:00:00,6.93,915.18
2026-05-01 04:00:00,0.00,592.99
2026-05-01 18:00:00,101.30,0.00
2026-05-02 00:00:00,18.86,0.00
2026-05-02 01:00:00,0.00,5.11
2026-05-02 03:00:00,65.08,0.00
2026-05-02 06:00:00,360.04,1794.68
2026-05-02 09:00:00,0.00,28.76
2026-05-02 13:00:00,25.65,0.00
2026-05-02 15:00:00,0.00,322.52
2026-05-02 16:00:00,0.00,40.92
2026-05-02 17:00:00,101.40,2229.73
2026-05-02 19:00:00,0.00,748.30
2026-05-02 20:00:00,0.00,9657.09
2026-05-02 21:00:00,0.00,42294.08
2026-05-02 22:00:00,79.65,269.81
2026-05-02 23:00:00,5028.83,1198.71
2026-05-03 00:00:00,5.17,0.00
2026-05-03 01:00:00,173.58,0.00
2026-05-03 03:00:00,0.07,0.00
2026-05-03 04:00:00,5945.77,0.00
2026-05-03 13:00:00,59.57,0.00
2026-05-03 17:00:00,1033.91,0.00
2026-05-03 21:00:00,0.00,145.03
2026-05-03 22:00:00,0.00,5.54
2026-05-03 23:00:00,0.00,1596.04
2026-05-04 01:00:00,4196.29,0.00
2026-05-04 02:00:00,57.87,578.50
2026-05-04 03:00:00,0.00,8478.26
2026-05-04 04:00:00,0.00,456.15
2026-05-04 05:00:00,0.00,473.13
2026-05-04 06:00:00,0.85,0.00
2026-05-04 07:00:00,398.19,0.00
2026-05-04 09:00:00,5.00,0.00
2026-05-04 11:00:00,37411.43,0.00
2026-05-04 13:00:00,74.05,0.00
2026-05-04 14:00:00,1225.50,0.00
2026-05-04 15:00:00,1114.95,0.00
2026-05-04 16:00:00,150.02,0.00
2026-05-04 19:00:00,14.91,0.00
2026-05-04 22:00:00,50.04,0.00
2026-05-05 00:00:00,4265.10,0.00
2026-05-05 02:00:00,0.45,0.00
2026-05-05 03:00:00,0.00,445.34
2026-05-05 05:00:00,0.00,6.72
2026-05-05 08:00:00,0.00,649.59
2026-05-05 13:00:00,0.00,1300.50
2026-05-05 14:00:00,0.00,13213.80
2026-05-05 15:00:00,95.09,905.20
2026-05-05 16:00:00,772.76,72088.27
2026-05-05 17:00:00,2105.84,23048.79
2026-05-05 18:00:00,99.65,0.00
2026-05-05 19:00:00,0.00,662.55
2026-05-05 20:00:00,22.55,29375.20
2026-05-05 21:00:00,2146.68,0.00
2026-05-05 22:00:00,2237.27,43397.54
2026-05-05 23:00:00,160.17,5240.84
2026-05-06 00:00:00,82.05,0.00
2026-05-06 01:00:00,572.01,0.00
2026-05-06 02:00:00,31.76,3650.71
2026-05-06 03:00:00,6.62,0.00
2026-05-06 05:00:00,0.00,1119.66
2026-05-06 06:00:00,76.21,30.70
2026-05-06 08:00:00,0.99,25.99
2026-05-06 09:00:00,0.00,6282.52
2026-05-06 10:00:00,628.75,0.00
2026-05-06 12:00:00,779.17,3362.15
2026-05-06 13:00:00,2150.50,87035.71
2026-05-06 14:00:00,30546.97,105.26
2026-05-06 15:00:00,6904.63,522.03
2026-05-06 16:00:00,1462.86,5577.62
2026-05-06 17:00:00,2225.20,23604.07
2026-05-06 18:00:00,507.17,0.00
2026-05-06 19:00:00,0.00,24.41
2026-05-06 21:00:00,0.00,4702.99
2026-05-06 22:00:00,0.00,20714.84
2026-05-06 23:00:00,164.29,0.00
2026-05-07 00:00:00,4063.45,346.82
2026-05-07 01:00:00,493.29,0.00
2026-05-07 02:00:00,20894.37,0.00
2026-05-07 04:00:00,50.27,217.02
2026-05-07 05:00:00,0.00,8936.16
2026-05-07 06:00:00,119.92,7218.70
2026-05-07 07:00:00,1691.46,35076.50
2026-05-07 08:00:00,6417.71,44352.78
2026-05-07 09:00:00,2980.36,181.09
2026-05-07 10:00:00,12967.65,0.00
2026-05-07 11:00:00,18027.31,0.00
2026-05-07 12:00:00,1069.12,0.00
2026-05-07 13:00:00,893.75,1575.92
2026-05-07 14:00:00,5720.18,0.00
2026-05-07 15:00:00,9883.29,50.29
2026-05-07 16:00:00,5238.20,0.00
2026-05-07 17:00:00,838.46,2093.00
2026-05-07 18:00:00,136.21,88.11
2026-05-07 19:00:00,157.59,1370.09
2026-05-07 20:00:00,251.20,0.00
2026-05-07 22:00:00,1838.00,0.00
2026-05-07 23:00:00,1.26,69.12
2026-05-08 00:00:00,0.00,193.36
2026-05-08 01:00:00,1978.57,2140.67
2026-05-08 03:00:00,5.10,179.20
2026-05-08 04:00:00,0.00,4586.62
2026-05-08 06:00:00,222.31,0.00
2026-05-08 09:00:00,0.00,746.93
2026-05-08 10:00:00,92.65,837.24
2026-05-08 11:00:00,229.53,0.00
2026-05-08 15:00:00,10201.33,0.00
2026-05-08 16:00:00,0.00,9.35
2026-05-08 17:00:00,0.00,119.71
2026-05-08 18:00:00,270.15,910.70
2026-05-08 20:00:00,447.39,0.00
2026-05-08 21:00:00,124.62,0.00
2026-05-09 01:00:00,0.00,4293.67
2026-05-09 02:00:00,0.00,3155.79
2026-05-09 03:00:00,0.00,70.68
2026-05-09 04:00:00,1025.93,0.00
2026-05-09 08:00:00,491.71,0.00
2026-05-09 10:00:00,942.36,0.00
2026-05-09 12:00:00,0.00,1627.48
2026-05-09 13:00:00,0.00,632.03
2026-05-09 14:00:00,237.34,0.00
2026-05-09 15:00:00,38.58,0.00
2026-05-09 17:00:00,2098.80,0.00
2026-05-09 18:00:00,0.00,152.89
2026-05-09 21:00:00,206.70,95.62
2026-05-10 01:00:00,4255.79,0.00
2026-05-10 02:00:00,13272.59,0.00
2026-05-10 03:00:00,1691.39,0.00
2026-05-10 08:00:00,0.00,1472.05
2026-05-10 10:00:00,0.00,1777.84
2026-05-10 11:00:00,1247.87,0.00
2026-05-10 14:00:00,0.00,686.86
2026-05-10 16:00:00,0.00,211.19
2026-05-10 18:00:00,6.84,7096.65
2026-05-10 20:00:00,275.55,0.00
2026-05-10 21:00:00,55515.73,162.17
2026-05-10 22:00:00,1260.66,230.85
2026-05-10 23:00:00,0.00,2476.32
2026-05-11 00:00:00,2068.67,0.00
2026-05-11 01:00:00,428.90,0.00
2026-05-11 03:00:00,13229.44,0.00
2026-05-11 04:00:00,22292.68,78.63
2026-05-11 08:00:00,80.64,0.00
2026-05-11 10:00:00,0.00,706.90
2026-05-11 11:00:00,0.00,12.24
2026-05-11 14:00:00,536.46,0.00
2026-05-11 15:00:00,4637.82,0.00
2026-05-11 17:00:00,0.00,211.86
2026-05-11 18:00:00,438.72,0.00
2026-05-11 19:00:00,137.34,1276.65
2026-05-11 21:00:00,0.00,245.86
2026-05-12 00:00:00,2890.65,0.00
2026-05-12 02:00:00,52967.10,0.00
2026-05-12 05:00:00,0.00,197.91
2026-05-12 07:00:00,12203.45,0.00
2026-05-12 08:00:00,19038.20,0.00
2026-05-12 10:00:00,445.88,0.00
2026-05-12 11:00:00,1619.40,0.00
2026-05-12 12:00:00,2462.34,0.00
2026-05-12 13:00:00,4524.13,0.00
2026-05-12 14:00:00,6.89,164.96
2026-05-12 15:00:00,41901.21,0.00
2026-05-12 16:00:00,608.40,0.00
2026-05-12 17:00:00,15673.54,0.00
2026-05-12 18:00:00,0.00,602.46
2026-05-12 19:00:00,17.95,456.54
2026-05-12 21:00:00,49.54,1666.29
2026-05-12 22:00:00,0.00,523.16
2026-05-12 23:00:00,10.43,0.00
2026-05-13 02:00:00,0.00,4548.37
2026-05-13 06:00:00,685.37,0.00
2026-05-13 11:00:00,4088.50,0.00
2026-05-13 12:00:00,3047.99,0.00
2026-05-13 13:00:00,27029.95,0.00
2026-05-13 14:00:00,204.85,0.00
2026-05-13 15:00:00,548.79,0.00
2026-05-13 16:00:00,51501.72,0.00
2026-05-13 17:00:00,879.89,1775.10
2026-05-13 22:00:00,928.41,0.00
2026-05-13 23:00:00,310.09,0.00
2026-05-14 01:00:00,0.00,855.15
2026-05-14 02:00:00,134.20,0.00
2026-05-14 04:00:00,15628.73,0.00
2026-05-14 07:00:00,0.00,8.96
2026-05-14 10:00:00,13263.72,0.00
2026-05-14 11:00:00,1074.63,12.77
2026-05-14 12:00:00,13728.05,0.00
2026-05-14 15:00:00,313.35,8286.30
2026-05-14 16:00:00,0.00,18.63
2026-05-14 17:00:00,0.00,2036.18
2026-05-14 18:00:00,411.30,0.00
2026-05-14 21:00:00,630.15,0.00
2026-05-15 00:00:00,98.55,0.00
2026-05-15 03:00:00,782.91,0.00
2026-05-15 05:00:00,45.62,0.00
2026-05-15 06:00:00,15363.82,0.00
2026-05-15 09:00:00,80.49,0.00
2026-05-15 11:00:00,5345.67,0.00
