time,liq_long_usd,liq_short_usd
2026-03-29 14:00:00,0.00,375.90
2026-03-29 19:00:00,0.00,366.73
2026-03-29 21:00:00,0.00,878.48
2026-03-29 23:00:00,0.00,1307.28
2026-03-30 00:00:00,0.00,100.26
2026-03-30 01:00:00,0.00,3365.82
2026-03-30 02:00:00,0.00,14780.86
2026-03-30 03:00:00,0.00,26481.47
2026-03-30 05:00:00,0.00,17.02
2026-03-30 08:00:00,0.00,13034.70
2026-03-30 09:00:00,0.00,19.86
2026-03-30 11:00:00,0.00,55.57
2026-03-30 12:00:00,0.00,9218.29
2026-03-30 15:00:00,0.00,265.91
2026-03-30 22:00:00,0.00,1193.50
2026-03-31 01:00:00,0.00,80.73
2026-03-31 02:00:00,0.00,210.86
2026-03-31 03:00:00,0.00,58.57
2026-03-31 07:00:00,0.00,407.21
2026-03-31 12:00:00,0.00,404.91
2026-03-31 14:00:00,0.00,1911.58
2026-03-31 15:00:00,0.00,654.01
2026-03-31 16:00:00,0.00,909.30
2026-03-31 17:00:00,0.00,334.39
2026-03-31 18:00:00,0.00,6511.65
2026-03-31 21:00:00,0.00,1101.58
2026-04-01 01:00:00,0.00,2686.08
2026-04-01 02:00:00,0.00,883.98
2026-04-01 04:00:00,0.00,496.06
2026-04-01 06:00:00,0.00,572.60
2026-04-01 07:00:00,0.00,101.38
2026-04-01 08:00:00,0.00,1552.89
2026-04-01 13:00:00,0.00,688.21
2026-04-01 14:00:00,0.00,72.44
2026-04-01 15:00:00,0.00,580.45
2026-04-01 17:00:00,0.00,640.99
2026-04-01 18:00:00,0.00,1707.54
2026-04-01 22:00:00,0.00,5376.52
2026-04-02 01:00:00,0.00,700.99
2026-04-02 02:00:00,0.00,4440.90
2026-04-02 05:00:00,0.00,36.67
2026-04-02 06:00:00,0.00,19.67
2026-04-02 07:00:00,0.00,1611.04
2026-04-02 09:00:00,0.00,110.09
2026-04-02 10:00:00,0.00,141.38
2026-04-02 14:00:00,0.00,125.00
2026-04-02 15:00:00,0.00,423.94
2026-04-02 16:00:00,0.00,135.22
2026-04-02 19:00:00,0.00,117.57
2026-04-02 21:00:00,0.00,105.82
2026-04-02 23:00:00,0.00,54.96
2026-04-03 01:00:00,0.00,5.84
2026-04-03 02:00:00,0.00,123.15
2026-04-03 06:00:00,0.00,348.71
2026-04-03 07:00:00,0.00,1087.92
2026-04-03 08:00:00,0.00,6.48
2026-04-03 09:00:00,0.00,16.83
2026-04-03 13:00:00,0.00,1823.81
2026-04-04 03:00:00,0.00,100.55
2026-04-04 10:00:00,0.00,44.79
2026-04-04 13:00:00,0.00,238.89
2026-04-04 15:00:00,0.00,79.36
2026-04-04 17:00:00,0.00,114.75
2026-04-04 18:00:00,0.00,564.86
2026-04-04 20:00:00,0.00,24.21
2026-04-04 21:00:00,0.00,132.62
2026-04-05 04:00:00,0.00,2.05
2026-04-05 09:00:00,0.00,25.18
2026-04-05 16:00:00,0.00,26211.91
2026-04-05 23:00:00,0.00,729.15
2026-04-06 00:00:00,0.00,8437.06
2026-04-06 01:00:00,0.00,3286.05
2026-04-06 03:00:00,0.00,3004.85
2026-04-06 05:00:00,0.00,1194.23
2026-04-06 09:00:00,0.00,12.41
2026-04-06 10:00:00,0.00,61.19
2026-04-06 11:00:00,0.00,29.74
2026-04-06 12:00:00,0.00,209.73
2026-04-06 14:00:00,0.00,226.34
2026-04-06 15:00:00,0.00,444.40
2026-04-06 16:00:00,0.00,35.02
2026-04-07 02:00:00,0.00,229.81
2026-04-07 05:00:00,0.00,832.38
2026-04-07 06:00:00,0.00,8053.72
2026-04-07 09:00:00,0.00,224.07
2026-04-07 10:00:00,0.00,313.72
2026-04-07 15:00:00,0.00,584.87
2026-04-07 18:00:00,0.00,10616.20
2026-04-07 19:00:00,0.00,9365.24
2026-04-07 20:00:00,0.00,445.26
2026-04-07 21:00:00,0.00,3491.75
2026-04-07 22:00:00,0.00,25353.39
2026-04-07 23:00:00,0.00,17081.79
2026-04-08 00:00:00,0.00,8432.94
2026-04-08 01:00:00,0.00,100.36
2026-04-08 03:00:00,0.00,49.97
2026-04-08 05:00:00,0.00,56.26
