time,liq_long_usd,liq_short_usd
2026-04-04 22:00:00,43.94,0.00
2026-04-05 14:00:00,50.18,0.00
2026-04-05 16:00:00,0.00,10.00
2026-04-06 01:00:00,250.45,0.00
2026-04-06 06:00:00,503.11,0.00
2026-04-06 14:00:00,0.00,13.16
2026-04-06 15:00:00,12223.88,3168.04
2026-04-06 16:00:00,113.08,0.00
2026-04-06 17:00:00,92.55,0.00
2026-04-06 18:00:00,84.63,0.00
2026-04-06 21:00:00,80.06,0.00
2026-04-07 00:00:00,71.79,0.00
2026-04-07 01:00:00,248.33,0.00
2026-04-07 02:00:00,544.98,0.00
2026-04-07 23:00:00,0.00,215.26
2026-04-08 00:00:00,0.00,0.94
2026-04-09 03:00:00,1168.12,0.00
2026-04-09 10:00:00,781.71,0.00
2026-04-09 19:00:00,1867.84,0.00
2026-04-09 23:00:00,0.00,10.17
2026-04-10 02:00:00,0.00,19.91
2026-04-10 11:00:00,903.99,0.00
2026-04-10 15:00:00,29.92,0.00
2026-04-10 20:00:00,0.00,27.25
2026-04-11 02:00:00,355.30,0.00
2026-04-11 03:00:00,0.07,0.00
2026-04-11 11:00:00,6.16,0.00
2026-04-11 14:00:00,4980.12,0.00
2026-04-11 16:00:00,222.43,0.00
2026-04-11 17:00:00,6.18,0.00
2026-04-11 18:00:00,50.96,0.00
2026-04-11 23:00:00,401.53,0.00
2026-04-12 02:00:00,220.26,0.00
2026-04-12 07:00:00,0.07,0.00
2026-04-12 18:00:00,0.00,68.69
2026-04-12 19:00:00,87.08,0.00
2026-04-12 23:00:00,133.40,0.00
2026-04-13 00:00:00,58.25,0.00
2026-04-13 05:00:00,1.24,0.00
2026-04-13 08:00:00,25.56,0.61
2026-04-13 13:00:00,102.85,0.00
2026-04-13 16:00:00,50.06,0.00
2026-04-14 07:00:00,0.44,0.00
2026-04-14 11:00:00,14.28,0.00
2026-04-14 14:00:00,63.53,18.95
2026-04-14 16:00:00,24925.69,8.62
2026-04-14 18:00:00,5375.32,0.00
2026-04-14 20:00:00,303.68,0.00
2026-04-14 21:00:00,0.00,16.82
2026-04-15 02:00:00,0.00,15.41
2026-04-15 10:00:00,711.99,0.00
2026-04-15 19:00:00,0.00,0.37
2026-04-16 05:00:00,0.00,4082.43
2026-04-16 07:00:00,0.00,7.08
2026-04-16 08:00:00,0.00,956.56
2026-04-16 13:00:00,0.00,15.48
2026-04-16 14:00:00,73.85,125.84
2026-04-16 15:00:00,39.29,0.00
2026-04-16 19:00:00,18.34,20.38
2026-04-16 20:00:00,0.00,6.35
2026-04-17 04:00:00,10.07,0.00
2026-04-17 07:00:00,0.00,9.75
2026-04-17 11:00:00,51.21,0.00
2026-04-17 14:00:00,0.00,6.62
2026-04-17 16:00:00,32.16,0.00
2026-04-18 01:00:00,33.05,0.00
2026-04-18 07:00:00,80.45,25.96
2026-04-18 12:00:00,1195.42,0.00
2026-04-18 19:00:00,587.22,0.00
2026-04-19 02:00:00,247.22,4.93
2026-04-19 03:00:00,0.00,23.26
