time,oi_A,oi_6,oi_3
2026-05-31 12:00:00,1092149.35,,
2026-05-31 13:00:00,1086634.13,,
2026-05-31 14:00:00,1078169.99,,
2026-05-31 15:00:00,1053472.74,,
2026-05-31 16:00:00,1067688.11,,
2026-05-31 17:00:00,1055886.82,,
2026-05-31 18:00:00,1079787.91,,
2026-05-31 19:00:00,1065275.02,,
2026-05-31 20:00:00,1061319.72,,
2026-05-31 21:00:00,1080856.02,,
2026-05-31 22:00:00,1098534.92,,
2026-05-31 23:00:00,1098801.54,,
2026-06-01 00:00:00,1099291.06,,
2026-06-01 01:00:00,1104283.12,,
2026-06-01 02:00:00,1090785.69,,
2026-06-01 03:00:00,1141314.63,,
2026-06-01 04:00:00,1161411.93,,
2026-06-01 05:00:00,1147673.85,,
2026-06-01 06:00:00,1114594.75,,
2026-06-01 07:00:00,1107304.77,,
2026-06-01 08:00:00,1091595.68,,
2026-06-01 09:00:00,1102042.89,,
2026-06-01 10:00:00,1153265.75,,
2026-06-01 11:00:00,1145099.26,,
2026-06-01 12:00:00,1126481.44,,
2026-06-01 13:00:00,1128997.62,,
2026-06-01 14:00:00,1113996.66,,
2026-06-01 15:00:00,1085365.75,,
2026-06-01 16:00:00,1106304.10,,
2026-06-01 17:00:00,1146374.74,,
2026-06-01 18:00:00,1146505.66,,
2026-06-01 19:00:00,1149002.54,,
2026-06-01 20:00:00,1148151.53,,
2026-06-01 21:00:00,1127313.97,,
2026-06-01 22:00:00,1109712.66,,
2026-06-01 23:00:00,1111968.94,,
2026-06-02 00:00:00,1119977.70,,
2026-06-02 01:00:00,1108591.17,,
2026-06-02 02:00:00,1080681.31,,
2026-06-02 03:00:00,1086222.37,,
2026-06-02 04:00:00,1098279.42,,
2026-06-02 05:00:00,1079716.86,,
2026-06-02 06:00:00,1071897.39,,
2026-06-02 07:00:00,1069959.52,,
2026-06-02 08:00:00,1065183.18,,
2026-06-02 09:00:00,1057362.66,,
2026-06-02 10:00:00,1046450.10,,
2026-06-02 11:00:00,1059747.72,,
2026-06-02 12:00:00,1065083.98,,
2026-06-02 13:00:00,1057834.96,,
2026-06-02 14:00:00,1049917.72,,
2026-06-02 15:00:00,1001116.66,,
2026-06-02 16:00:00,972846.27,,
2026-06-02 17:00:00,983529.29,,
2026-06-02 18:00:00,989913.13,,
2026-06-02 19:00:00,976447.14,,
2026-06-02 20:00:00,960873.69,,
2026-06-02 21:00:00,972054.45,,
2026-06-02 22:00:00,974034.51,,
2026-06-02 23:00:00,938939.00,,
2026-06-03 00:00:00,934621.20,,
2026-06-03 01:00:00,949482.90,,
2026-06-03 02:00:00,947779.24,,
2026-06-03 03:00:00,942687.07,,
2026-06-03 04:00:00,928809.65,,
2026-06-03 05:00:00,949448.56,,
2026-06-03 06:00:00,976248.96,,
2026-06-03 07:00:00,979962.79,,
2026-06-03 08:00:00,987664.92,,
2026-06-03 09:00:00,987181.47,,
2026-06-03 10:00:00,989706.31,,
2026-06-03 11:00:00,1001400.81,,
2026-06-03 12:00:00,994014.59,,
2026-06-03 13:00:00,997066.71,,
2026-06-03 14:00:00,995600.25,,
2026-06-03 15:00:00,1005419.54,,
2026-06-03 16:00:00,991654.12,,
2026-06-03 17:00:00,976247.03,,
2026-06-03 18:00:00,983286.60,,
2026-06-03 19:00:00,993491.79,,
2026-06-03 20:00:00,987702.82,,
2026-06-03 21:00:00,971444.46,,
2026-06-03 22:00:00,1010761.68,,
2026-06-03 23:00:00,994871.93,,
2026-06-04 00:00:00,982947.69,,
2026-06-04 01:00:00,962582.99,,
2026-06-04 02:00:00,916995.39,,
2026-06-04 03:00:00,923104.88,,
2026-06-04 04:00:00,944738.30,,
2026-06-04 05:00:00,925453.57,,
2026-06-04 06:00:00,921085.88,,
2026-06-04 07:00:00,925142.89,,
2026-06-04 08:00:00,903499.96,,
2026-06-04 09:00:00,913426.48,,
2026-06-04 10:00:00,889983.42,,
2026-06-04 11:00:00,850614.16,,
2026-06-04 12:00:00,861620.12,,
2026-06-04 13:00:00,896552.92,,
2026-06-04 14:00:00,910151.92,,
2026-06-04 15:00:00,901371.50,,
2026-06-04 16:00:00,894554.02,,
2026-06-04 17:00:00,888290.35,,
2026-06-04 18:00:00,875199.34,,
2026-06-04 19:00:00,880351.87,,
2026-06-04 20:00:00,878596.87,,
2026-06-04 21:00:00,866814.06,,
2026-06-04 22:00:00,840906.90,,
2026-06-04 23:00:00,846937.51,,
2026-06-05 00:00:00,845466.96,,
2026-06-05 01:00:00,828628.54,,
2026-06-05 02:00:00,828678.38,,
2026-06-05 03:00:00,793965.33,,
2026-06-05 04:00:00,805526.50,,
2026-06-05 05:00:00,827333.67,,
2026-06-05 06:00:00,798545.24,,
2026-06-05 07:00:00,774512.11,,
2026-06-05 08:00:00,858959.22,,
2026-06-05 09:00:00,812799.47,,
2026-06-05 10:00:00,823511.73,,
2026-06-05 11:00:00,809682.52,,
2026-06-05 12:00:00,793951.20,,
2026-06-05 13:00:00,794155.25,,
2026-06-05 14:00:00,771939.34,,
2026-06-05 15:00:00,794069.92,,
2026-06-05 16:00:00,776016.69,,
2026-06-05 17:00:00,791067.96,,
2026-06-05 18:00:00,777904.63,,
2026-06-05 19:00:00,749256.59,,
2026-06-05 20:00:00,768439.77,,
2026-06-05 21:00:00,784796.92,,
2026-06-05 22:00:00,784178.93,,
2026-06-05 23:00:00,775040.02,,
2026-06-06 00:00:00,765059.52,,
2026-06-06 01:00:00,776169.41,,
2026-06-06 02:00:00,764868.85,,
2026-06-06 03:00:00,754133.36,,
2026-06-06 04:00:00,751116.61,,
2026-06-06 05:00:00,722238.34,,
2026-06-06 06:00:00,759406.71,,
2026-06-06 07:00:00,757674.44,,
2026-06-06 08:00:00,769474.89,,
2026-06-06 09:00:00,779747.93,,
2026-06-06 10:00:00,763187.86,,
2026-06-06 11:00:00,755708.02,,
2026-06-06 12:00:00,768768.28,,
2026-06-06 13:00:00,779234.07,,
2026-06-06 14:00:00,778836.82,,
2026-06-06 15:00:00,777846.26,,
2026-06-06 16:00:00,777119.01,,
2026-06-06 17:00:00,775666.56,,
2026-06-06 18:00:00,761315.58,,
2026-06-06 19:00:00,767783.52,,
2026-06-06 20:00:00,764556.92,,
2026-06-06 21:00:00,765158.62,,
2026-06-06 22:00:00,768619.02,,
2026-06-06 23:00:00,768073.95,,
2026-06-07 00:00:00,766881.13,,
2026-06-07 01:00:00,769008.44,,
2026-06-07 02:00:00,823775.17,,
2026-06-07 03:00:00,824576.87,,
2026-06-07 04:00:00,819774.20,,
2026-06-07 05:00:00,815178.96,,
2026-06-07 06:00:00,806120.46,,
2026-06-07 07:00:00,806036.15,,
2026-06-07 08:00:00,811535.77,,
2026-06-07 09:00:00,823484.41,,
2026-06-07 10:00:00,803799.49,,
2026-06-07 11:00:00,786187.19,,
2026-06-07 12:00:00,797998.17,,
2026-06-07 13:00:00,776463.25,,
2026-06-07 14:00:00,781606.24,,
2026-06-07 15:00:00,788489.98,,
2026-06-07 16:00:00,781861.11,,
2026-06-07 17:00:00,788018.27,,
2026-06-07 18:00:00,781030.16,,
2026-06-07 19:00:00,774293.69,,
2026-06-07 20:00:00,789406.05,,
2026-06-07 21:00:00,798367.17,,
2026-06-07 22:00:00,795923.36,,
2026-06-07 23:00:00,804121.43,,
