time,oi_A,oi_6,oi_3
2026-05-10 12:00:00,97927154.95,,
2026-05-10 13:00:00,97974949.22,,
2026-05-10 14:00:00,97926205.93,,
2026-05-10 15:00:00,97512424.54,,
2026-05-10 16:00:00,98862318.48,,
2026-05-10 17:00:00,100242821.46,,
2026-05-10 18:00:00,100821539.52,,
2026-05-10 19:00:00,101814807.52,,
2026-05-10 20:00:00,99571746.99,,
2026-05-10 21:00:00,93975585.61,,
2026-05-10 22:00:00,95645684.84,,
2026-05-10 23:00:00,97627718.07,,
2026-05-11 00:00:00,96417008.58,,
2026-05-11 01:00:00,94487218.52,,
2026-05-11 02:00:00,93967241.33,,
2026-05-11 03:00:00,91921231.16,,
2026-05-11 04:00:00,91341919.37,,
2026-05-11 05:00:00,93033110.91,,
2026-05-11 06:00:00,95096153.64,,
2026-05-11 07:00:00,95696189.78,,
2026-05-11 08:00:00,95550216.80,,
2026-05-11 09:00:00,96151621.32,,
2026-05-11 10:00:00,97568719.29,,
2026-05-11 11:00:00,98903621.04,,
2026-05-11 12:00:00,99332305.90,,
2026-05-11 13:00:00,98317181.15,,
2026-05-11 14:00:00,97531579.24,,
2026-05-11 15:00:00,97103811.07,,
2026-05-11 16:00:00,97875489.73,,
2026-05-11 17:00:00,97619613.54,,
2026-05-11 18:00:00,97795858.53,,
2026-05-11 19:00:00,97137694.78,,
2026-05-11 20:00:00,96975410.42,,
2026-05-11 21:00:00,96145353.64,,
2026-05-11 22:00:00,96072030.56,,
2026-05-11 23:00:00,95867071.16,,
2026-05-12 00:00:00,95747855.01,,
2026-05-12 01:00:00,95203388.70,,
2026-05-12 02:00:00,93382717.19,,
2026-05-12 03:00:00,94174771.76,,
2026-05-12 04:00:00,93665150.53,,
2026-05-12 05:00:00,94443085.38,,
2026-05-12 06:00:00,94714642.25,,
2026-05-12 07:00:00,94348497.87,,
2026-05-12 08:00:00,94955254.63,,
2026-05-12 09:00:00,93900621.23,,
2026-05-12 10:00:00,93726490.67,,
2026-05-12 11:00:00,93262919.25,,
2026-05-12 12:00:00,93213899.40,,
2026-05-12 13:00:00,92561430.19,,
2026-05-12 14:00:00,91755863.95,,
2026-05-12 15:00:00,88549724.27,,
2026-05-12 16:00:00,88308651.03,,
2026-05-12 17:00:00,88601599.47,,
2026-05-12 18:00:00,89786270.81,,
2026-05-12 19:00:00,90224301.74,,
2026-05-12 20:00:00,91723477.76,,
2026-05-12 21:00:00,91818842.86,,
2026-05-12 22:00:00,91934367.97,,
2026-05-12 23:00:00,91818694.74,,
2026-05-13 00:00:00,90537066.33,,
2026-05-13 01:00:00,90834380.76,,
2026-05-13 02:00:00,91441756.21,,
2026-05-13 03:00:00,91131721.36,,
2026-05-13 04:00:00,91260344.76,,
2026-05-13 05:00:00,91657793.41,,
2026-05-13 06:00:00,90531711.84,,
2026-05-13 07:00:00,90104697.53,,
2026-05-13 08:00:00,90194368.96,,
2026-05-13 09:00:00,90677930.26,,
2026-05-13 10:00:00,91220632.31,,
2026-05-13 11:00:00,89790887.88,,
2026-05-13 12:00:00,88204768.13,,
2026-05-13 13:00:00,85967603.05,,
2026-05-13 14:00:00,83987600.59,,
2026-05-13 15:00:00,84878357.56,,
2026-05-13 16:00:00,81933464.07,,
2026-05-13 17:00:00,82594623.95,,
2026-05-13 18:00:00,84057300.89,,
2026-05-13 19:00:00,84705255.40,,
2026-05-13 20:00:00,83854721.44,,
