time,oi_A,oi_6,oi_3
2022-05-19 00:00:00,11075771.02,,2779865.13
2022-05-20 00:00:00,11918463.10,,2785435.26
2022-05-21 00:00:00,11241232.66,,2728539.19
2022-05-22 00:00:00,12399556.62,,2999803.16
2022-05-23 00:00:00,12353918.05,,3119644.43
2022-05-24 00:00:00,11269783.19,,2952799.93
2022-05-25 00:00:00,12145983.64,,3429048.92
2022-05-26 00:00:00,11551801.21,,3330821.02
2022-05-27 00:00:00,10699414.41,,2923516.68
2022-05-28 00:00:00,10881867.91,,2862084.60
2022-05-29 00:00:00,11301467.82,,2881951.99
2022-05-30 00:00:00,11399537.87,,2923613.95
2022-05-31 00:00:00,13750227.83,,3131317.64
2022-06-01 00:00:00,17217444.68,,3349855.16
2022-06-02 00:00:00,20123294.25,,3539326.20
2022-06-03 00:00:00,19458771.01,,3906843.65
2022-06-04 00:00:00,18958443.54,,3695155.72
2022-06-05 00:00:00,17968921.82,,3425065.99
2022-06-06 00:00:00,17597969.98,,3336324.04
2022-06-07 00:00:00,17050565.08,,3291562.70
2022-06-08 00:00:00,14825773.88,,3041398.52
2022-06-09 00:00:00,13547406.49,,2747752.75
2022-06-10 00:00:00,13087771.85,,2727351.71
2022-06-11 00:00:00,12755436.37,,2498415.55
2022-06-12 00:00:00,11713442.82,,2246077.79
2022-06-13 00:00:00,10866068.69,,2161827.37
2022-06-14 00:00:00,10434329.79,,2429707.34
2022-06-15 00:00:00,9784867.00,,2400292.59
2022-06-16 00:00:00,10643570.40,,2749007.37
2022-06-17 00:00:00,9848974.18,,2495447.14
2022-06-18 00:00:00,9838493.91,,2442211.01
2022-06-19 00:00:00,8080770.78,,2245443.90
2022-06-20 00:00:00,8658825.86,,2321456.48
2022-06-21 00:00:00,11947513.77,,2627627.30
2022-06-22 00:00:00,10647198.24,,2561970.84
2022-06-23 00:00:00,9836150.02,,2502490.65
2022-06-24 00:00:00,9707518.10,,2595817.95
2022-06-25 00:00:00,10454573.11,,2654513.31
2022-06-26 00:00:00,9561209.30,,2452801.22
2022-06-27 00:00:00,9014061.13,,2361744.87
2022-06-28 00:00:00,8380782.84,,2259958.68
2022-06-29 00:00:00,14507411.91,,2852702.06
2022-06-30 00:00:00,11463533.26,,2682617.20
2022-07-01 00:00:00,11629726.99,,2464925.60
2022-07-02 00:00:00,10966485.62,,2346235.37
