time,oi_A,oi_6,oi_3
2024-12-07 00:00:00,11974772.09,,
2024-12-08 00:00:00,19134175.09,,
2024-12-09 00:00:00,19982577.47,,
2024-12-10 00:00:00,11572766.66,,
2024-12-11 00:00:00,11590217.26,,
2024-12-12 00:00:00,17179173.67,,
2024-12-13 00:00:00,15231340.23,,
2024-12-14 00:00:00,15891568.75,,
2024-12-15 00:00:00,14696631.80,,
2024-12-16 00:00:00,14220101.79,,
2024-12-17 00:00:00,13812433.31,,
2024-12-18 00:00:00,12522085.06,,
2024-12-19 00:00:00,10885541.07,,
2024-12-20 00:00:00,10071980.04,,
2024-12-21 00:00:00,9332963.48,,
2024-12-22 00:00:00,8331299.03,,
2024-12-23 00:00:00,9455063.07,,
2024-12-24 00:00:00,9461183.19,,
2024-12-25 00:00:00,8528336.20,,
2024-12-26 00:00:00,9227546.80,,
2024-12-27 00:00:00,8317881.70,,
2024-12-28 00:00:00,10405777.66,,
2024-12-29 00:00:00,9278771.91,,
2024-12-30 00:00:00,8837956.16,,
2024-12-31 00:00:00,9567758.59,,
2025-01-01 00:00:00,8278452.02,,
2025-01-02 00:00:00,8410635.30,,
2025-01-03 00:00:00,8585350.01,,
2025-01-04 00:00:00,9710870.27,,
2025-01-05 00:00:00,9223414.34,,
2025-01-06 00:00:00,9021407.73,,
2025-01-07 00:00:00,9141239.72,,
2025-01-08 00:00:00,8025485.30,,
2025-01-09 00:00:00,7065072.62,,
2025-01-10 00:00:00,6721262.40,,
2025-01-11 00:00:00,6800494.08,,
2025-01-12 00:00:00,6226949.91,,
2025-01-13 00:00:00,6110651.31,,
2025-01-14 00:00:00,5926147.30,,
2025-01-15 00:00:00,6129827.58,,
2025-01-16 00:00:00,6117267.34,,
2025-01-17 00:00:00,6139030.67,,
2025-01-18 00:00:00,7319551.19,,
2025-01-19 00:00:00,6443521.02,,
2025-01-20 00:00:00,5435683.78,,
2025-01-21 00:00:00,5527768.84,,
2025-01-22 00:00:00,5375387.73,,
2025-01-23 00:00:00,5188835.95,,
2025-01-24 00:00:00,5213124.52,,
2025-01-25 00:00:00,4992663.05,,
2025-01-26 00:00:00,5103090.35,,
2025-01-27 00:00:00,4359344.64,,
2025-01-28 00:00:00,4481655.44,,
2025-01-29 00:00:00,4172318.57,,
2025-01-30 00:00:00,4450738.99,,
2025-01-31 00:00:00,4570074.58,,
2025-02-01 00:00:00,4749738.97,,
2025-02-02 00:00:00,4052656.16,,
2025-02-03 00:00:00,3068059.32,,
2025-02-04 00:00:00,2678862.44,,
2025-02-05 00:00:00,2514375.40,,
2025-02-06 00:00:00,2280677.39,,
2025-02-07 00:00:00,2363004.24,,
2025-02-08 00:00:00,2285041.44,,
2025-02-09 00:00:00,2242879.23,,
2025-02-10 00:00:00,2137834.75,,
2025-02-11 00:00:00,2335073.36,,
2025-02-12 00:00:00,2241252.37,,
2025-02-13 00:00:00,2470782.96,,
2025-02-14 00:00:00,2343183.05,,
2025-02-15 00:00:00,2487408.71,,
2025-02-16 00:00:00,2444007.25,,
2025-02-17 00:00:00,2581358.38,,
2025-02-18 00:00:00,2583848.99,,
2025-02-19 00:00:00,2555903.28,,
2025-02-20 00:00:00,2532320.26,,
2025-02-21 00:00:00,2547781.52,,
2025-02-22 00:00:00,2380706.28,,
2025-02-23 00:00:00,2454984.15,,
2025-02-24 00:00:00,2481369.00,,
2025-02-25 00:00:00,2322250.91,,
2025-02-26 00:00:00,2524177.19,,
2025-02-27 00:00:00,2719349.59,,
2025-02-28 00:00:00,2781038.22,,
2025-03-01 00:00:00,2894557.21,,
2025-03-02 00:00:00,2739648.78,,
2025-03-03 00:00:00,3334326.02,,
2025-03-04 00:00:00,2295874.68,,
2025-03-05 00:00:00,2508220.44,,
2025-03-06 00:00:00,2385507.11,,
2025-03-07 00:00:00,2220142.53,,
2025-03-08 00:00:00,2028165.73,,
2025-03-09 00:00:00,2068608.85,,
2025-03-10 00:00:00,2002644.92,,
2025-03-11 00:00:00,2218873.45,,
2025-03-12 00:00:00,2349594.99,,
2025-03-13 00:00:00,2551912.02,,
2025-03-14 00:00:00,2470998.87,,
2025-03-15 00:00:00,3111789.14,,
2025-03-16 00:00:00,2929681.63,,
2025-03-17 00:00:00,2677564.55,,
2025-03-18 00:00:00,2890552.80,,
2025-03-19 00:00:00,3293109.05,,
2025-03-20 00:00:00,3095570.89,,
2025-03-21 00:00:00,3161635.62,,
2025-03-22 00:00:00,3649721.19,,
2025-03-23 00:00:00,7550194.17,,
2025-03-24 00:00:00,6301004.98,,
2025-03-25 00:00:00,5286730.92,,
2025-03-26 00:00:00,5034003.08,,
2025-03-27 00:00:00,4566565.29,,
2025-03-28 00:00:00,4442280.80,,
2025-03-29 00:00:00,4075168.45,,
2025-03-30 00:00:00,3639826.92,,
2025-03-31 00:00:00,3585340.66,,
2025-04-01 00:00:00,3480561.61,,
2025-04-02 00:00:00,3307749.73,,
2025-04-03 00:00:00,2877246.63,,
2025-04-04 00:00:00,2798574.51,,
2025-04-05 00:00:00,2830276.84,,
2025-04-06 00:00:00,2862269.71,,
2025-04-07 00:00:00,2589929.37,,
2025-04-08 00:00:00,2439062.44,,
2025-04-09 00:00:00,2320907.40,,
2025-04-10 00:00:00,2471952.25,,
2025-04-11 00:00:00,2321144.48,,
2025-04-12 00:00:00,2394069.51,,
2025-04-13 00:00:00,2451136.43,,
2025-04-14 00:00:00,2202302.73,,
2025-04-15 00:00:00,2297669.45,,
2025-04-16 00:00:00,2202123.13,,
2025-04-17 00:00:00,2169679.84,,
2025-04-18 00:00:00,2209696.34,,
2025-04-19 00:00:00,2268600.53,,
2025-04-20 00:00:00,2391716.41,,
2025-04-21 00:00:00,2384642.05,,
2025-04-22 00:00:00,2461627.54,,
2025-04-23 00:00:00,2638803.98,,
2025-04-24 00:00:00,2778166.07,,
2025-04-25 00:00:00,2776443.07,,
2025-04-26 00:00:00,2751798.88,,
2025-04-27 00:00:00,2806577.57,,
2025-04-28 00:00:00,2597091.20,,
2025-04-29 00:00:00,2670366.74,,
2025-04-30 00:00:00,2646068.19,,
2025-05-01 00:00:00,2716857.13,,
2025-05-02 00:00:00,2764362.29,,
2025-05-03 00:00:00,2694271.32,,
2025-05-04 00:00:00,2451603.42,,
2025-05-05 00:00:00,2354400.55,,
2025-05-06 00:00:00,2354733.69,,
2025-05-07 00:00:00,2353949.64,,
2025-05-08 00:00:00,2472138.92,,
2025-05-09 00:00:00,2997154.49,,
2025-05-10 00:00:00,3166974.97,,
2025-05-11 00:00:00,3192009.07,,
2025-05-12 00:00:00,3264220.21,,
2025-05-13 00:00:00,3394193.48,,
2025-05-14 00:00:00,3475687.94,,
2025-05-15 00:00:00,3389347.58,,
2025-05-16 00:00:00,3191061.35,,
2025-05-17 00:00:00,3146155.29,,
2025-05-18 00:00:00,2991604.62,,
2025-05-19 00:00:00,3253499.28,,
2025-05-20 00:00:00,3115072.72,,
2025-05-21 00:00:00,3215433.16,,
2025-05-22 00:00:00,3274683.11,,
2025-05-23 00:00:00,3286683.82,,
2025-05-24 00:00:00,3063084.92,,
2025-05-25 00:00:00,3101255.31,,
2025-05-26 00:00:00,3042313.65,,
2025-05-27 00:00:00,2957524.57,,
2025-05-28 00:00:00,3084537.65,,
2025-05-29 00:00:00,3015923.79,,
2025-05-30 00:00:00,2753161.95,,
2025-05-31 00:00:00,2508523.54,,
2025-06-01 00:00:00,2503575.86,,
2025-06-02 00:00:00,2624387.05,,
2025-06-03 00:00:00,2695498.27,,
2025-06-04 00:00:00,2660345.10,,
2025-06-05 00:00:00,2564914.64,,
2025-06-06 00:00:00,2484028.04,,
2025-06-07 00:00:00,2510860.26,,
2025-06-08 00:00:00,2578013.32,,
2025-06-09 00:00:00,2871494.34,,
2025-06-10 00:00:00,2891727.53,,
2025-06-11 00:00:00,3000663.81,,
2025-06-12 00:00:00,3182846.76,,
2025-06-13 00:00:00,2866455.66,,
2025-06-14 00:00:00,2477698.87,,
2025-06-15 00:00:00,2403079.98,,
2025-06-16 00:00:00,2366558.00,,
2025-06-17 00:00:00,2195092.34,,
2025-06-18 00:00:00,2157416.71,,
2025-06-19 00:00:00,2167748.61,,
2025-06-20 00:00:00,2204267.30,,
