time,oi_A,oi_6,oi_3
2025-05-21 00:00:00,2540176.24,,
2025-05-22 00:00:00,2279158.24,,
2025-05-23 00:00:00,2107264.55,,
2025-05-24 00:00:00,3219567.28,,
2025-05-25 00:00:00,3031037.50,,
2025-05-26 00:00:00,3329786.75,,
2025-05-27 00:00:00,2796681.10,,
2025-05-28 00:00:00,2895506.55,,
2025-05-29 00:00:00,2550681.25,,
2025-05-30 00:00:00,2504503.57,,
2025-05-31 00:00:00,2269151.42,,
2025-06-01 00:00:00,1939600.29,,
2025-06-02 00:00:00,2153431.23,,
2025-06-03 00:00:00,2252580.68,,
2025-06-04 00:00:00,1896754.54,,
2025-06-05 00:00:00,1817909.14,,
2025-06-06 00:00:00,1644723.37,,
2025-06-07 00:00:00,1297166.75,,
2025-06-08 00:00:00,1498143.27,,
2025-06-09 00:00:00,1393997.11,,
2025-06-10 00:00:00,1308570.02,,
2025-06-11 00:00:00,1456932.80,,
2025-06-12 00:00:00,1313218.52,,
2025-06-13 00:00:00,937978.66,,
2025-06-14 00:00:00,858334.97,,
2025-06-15 00:00:00,1404737.44,,
2025-06-16 00:00:00,2348993.17,,
2025-06-17 00:00:00,2149798.41,,
2025-06-18 00:00:00,2414418.86,,
2025-06-19 00:00:00,2074221.31,,
2025-06-20 00:00:00,2990830.60,,
2025-06-21 00:00:00,2320163.48,,
2025-06-22 00:00:00,2470441.26,,
2025-06-23 00:00:00,2022018.22,,
2025-06-24 00:00:00,2170894.89,,
2025-06-25 00:00:00,1973479.15,,
2025-06-26 00:00:00,2108033.12,,
2025-06-27 00:00:00,2007964.97,,
2025-06-28 00:00:00,1995919.18,,
2025-06-29 00:00:00,2252611.05,,
2025-06-30 00:00:00,2109211.39,,
2025-07-01 00:00:00,2228207.28,,
2025-07-02 00:00:00,1958916.86,,
2025-07-03 00:00:00,2206501.97,,
2025-07-04 00:00:00,1920048.29,,
2025-07-05 00:00:00,2006454.28,,
2025-07-06 00:00:00,1837332.29,,
2025-07-07 00:00:00,1958195.46,,
2025-07-08 00:00:00,1803799.00,,
2025-07-09 00:00:00,1680915.00,,
2025-07-10 00:00:00,3061589.49,,
2025-07-11 00:00:00,2367867.12,,
2025-07-12 00:00:00,3071994.89,,
