time,oi_A,oi_6,oi_3
2024-06-27 00:00:00,,759254.36,
2024-06-28 00:00:00,,1398906.20,
2024-06-29 00:00:00,,2375713.43,
2024-06-30 00:00:00,,2062341.53,
2024-07-01 00:00:00,,1755043.25,
2024-07-02 00:00:00,,1760053.58,
2024-07-03 00:00:00,,2277098.11,
2024-07-04 00:00:00,,1549994.85,
2024-07-05 00:00:00,,1318718.24,
2024-07-06 00:00:00,,1669478.98,
2024-07-07 00:00:00,,1983738.06,
2024-07-08 00:00:00,,1446913.32,
2024-07-09 00:00:00,,1327084.77,
2024-07-10 00:00:00,,1361402.96,
2024-07-11 00:00:00,,1278492.68,
2024-07-12 00:00:00,,1066314.28,
2024-07-13 00:00:00,,1470549.50,
2024-07-14 00:00:00,,1418812.95,
2024-07-15 00:00:00,,1715004.11,
2024-07-16 00:00:00,,2510976.89,
2024-07-17 00:00:00,,3001570.04,
2024-07-18 00:00:00,,3188803.77,
2024-07-19 00:00:00,,2715928.28,
2024-07-20 00:00:00,,3023039.55,
2024-07-21 00:00:00,,3919947.60,
2024-07-22 00:00:00,,3722160.48,
2024-07-23 00:00:00,,4526962.32,
2024-07-24 00:00:00,,2904705.29,
2024-07-25 00:00:00,,2679479.25,
2024-07-26 00:00:00,,2578528.01,
2024-07-27 00:00:00,,3742118.15,
2024-07-28 00:00:00,,3988933.84,
2024-07-29 00:00:00,,4242488.94,
2024-07-30 00:00:00,,3953346.83,
2024-07-31 00:00:00,,2753649.46,
2024-08-01 00:00:00,,2460341.68,
2024-08-02 00:00:00,,2172044.84,
2024-08-03 00:00:00,,1332997.74,
2024-08-04 00:00:00,,1354166.98,
2024-08-05 00:00:00,,915255.08,
2024-08-06 00:00:00,,830362.16,
2024-08-07 00:00:00,,1170614.52,
2024-08-08 00:00:00,,840524.71,
2024-08-09 00:00:00,,1143793.95,
2024-08-10 00:00:00,,1022467.58,
2024-08-11 00:00:00,,1260192.02,
2024-08-12 00:00:00,,1048431.66,
2024-08-13 00:00:00,,1229555.84,
2024-08-14 00:00:00,,1201435.03,
2024-08-15 00:00:00,,1094690.69,
2024-08-16 00:00:00,,1217438.28,
2024-08-17 00:00:00,,1260857.87,
2024-08-18 00:00:00,,1042631.47,
2024-08-19 00:00:00,,970934.83,
2024-08-20 00:00:00,,1009268.31,
2024-08-21 00:00:00,,984778.96,
2024-08-22 00:00:00,,1149774.37,
