time,oi_A,oi_6,oi_3
2024-01-26 00:00:00,,7235428.82,
2024-01-27 00:00:00,,10519408.45,
2024-01-28 00:00:00,,14333837.25,
2024-01-29 00:00:00,,13513909.33,
2024-01-30 00:00:00,,15769492.45,
2024-01-31 00:00:00,,13496524.00,
2024-02-01 00:00:00,,12302015.15,
2024-02-02 00:00:00,,10593546.62,
2024-02-03 00:00:00,,11107680.91,
2024-02-04 00:00:00,,11182263.62,
2024-02-05 00:00:00,,11018411.67,
2024-02-06 00:00:00,,12367290.16,
2024-02-07 00:00:00,,13154182.97,
2024-02-08 00:00:00,,11363863.99,
2024-02-09 00:00:00,,14258800.75,
2024-02-10 00:00:00,,14363969.18,
2024-02-11 00:00:00,,13911769.40,
2024-02-12 00:00:00,,14080517.68,
2024-02-13 00:00:00,,13510430.59,
2024-02-14 00:00:00,,13295543.00,
2024-02-15 00:00:00,,17970475.77,
2024-02-16 00:00:00,,15245180.20,
2024-02-17 00:00:00,,16099801.80,
2024-02-18 00:00:00,,16669594.56,
2024-02-19 00:00:00,,18775878.72,
2024-02-20 00:00:00,,18130933.07,
2024-02-21 00:00:00,,18395574.91,
2024-02-22 00:00:00,,18330560.40,
2024-02-23 00:00:00,,24631214.97,
2024-02-24 00:00:00,,17448566.84,
2024-02-25 00:00:00,,17816504.35,
2024-02-26 00:00:00,,16731111.05,
2024-02-27 00:00:00,,17680135.89,
2024-02-28 00:00:00,,19223171.23,
2024-02-29 00:00:00,,16113479.40,
2024-03-01 00:00:00,,13412753.90,
2024-03-02 00:00:00,,14033442.41,
2024-03-03 00:00:00,,14977795.30,
2024-03-04 00:00:00,,13423493.62,
2024-03-05 00:00:00,,11196083.73,
2024-03-06 00:00:00,,11031090.55,
2024-03-07 00:00:00,,12128306.75,
2024-03-08 00:00:00,,16415839.22,
2024-03-09 00:00:00,,13705688.03,
2024-03-10 00:00:00,,13731968.14,
2024-03-11 00:00:00,,14293744.92,
2024-03-12 00:00:00,,13064718.69,
2024-03-13 00:00:00,,12202413.56,
2024-03-14 00:00:00,,11624147.30,
2024-03-15 00:00:00,,11857208.07,
2024-03-16 00:00:00,,9349064.83,
2024-03-17 00:00:00,,12055063.06,
2024-03-18 00:00:00,,10645653.39,
2024-03-19 00:00:00,,8521242.72,
2024-03-20 00:00:00,,8638650.26,
2024-03-21 00:00:00,,9485324.60,
