time,oi_A,oi_6,oi_3
2023-07-29 00:00:00,2037772.58,,
2023-07-30 00:00:00,4051290.00,,
2023-07-31 00:00:00,4338604.14,,
2023-08-01 00:00:00,3034128.66,,
2023-08-02 00:00:00,2719226.67,,
2023-08-03 00:00:00,3622512.70,,
2023-08-04 00:00:00,4043323.08,,
2023-08-05 00:00:00,4291282.16,,
2023-08-06 00:00:00,4334638.05,,
2023-08-07 00:00:00,4337779.10,,
2023-08-08 00:00:00,4041996.19,,
2023-08-09 00:00:00,3855062.84,,
2023-08-10 00:00:00,4419525.42,,
2023-08-11 00:00:00,4451342.91,,
2023-08-12 00:00:00,4234009.23,,
2023-08-13 00:00:00,5550534.93,,
2023-08-14 00:00:00,4279953.62,,
2023-08-15 00:00:00,4486799.50,,
2023-08-16 00:00:00,3994258.28,,
2023-08-17 00:00:00,3982257.62,,
2023-08-18 00:00:00,2479765.84,,
2023-08-19 00:00:00,4774938.22,,
2023-08-20 00:00:00,4117352.78,,
2023-08-21 00:00:00,3935782.64,,
2023-08-22 00:00:00,4025470.71,,
2023-08-23 00:00:00,3187588.01,,
2023-08-24 00:00:00,3891605.74,,
2023-08-25 00:00:00,3128189.64,,
2023-08-26 00:00:00,2610527.48,,
2023-08-27 00:00:00,2765871.23,,
2023-08-28 00:00:00,2998027.83,,
2023-08-29 00:00:00,2496691.68,,
2023-08-30 00:00:00,4479536.12,,
2023-08-31 00:00:00,6819500.88,,
2023-09-01 00:00:00,4997230.62,,
2023-09-02 00:00:00,8306321.94,,
2023-09-03 00:00:00,6445181.38,,
2023-09-04 00:00:00,5406170.40,,
2023-09-05 00:00:00,4802495.85,,
2023-09-06 00:00:00,4710957.55,,
2023-09-07 00:00:00,4406061.69,,
2023-09-08 00:00:00,4215177.51,,
2023-09-09 00:00:00,3920562.15,,
2023-09-10 00:00:00,3634291.76,,
2023-09-11 00:00:00,3109015.94,,
2023-09-12 00:00:00,3171733.90,,
2023-09-13 00:00:00,3030803.51,,
2023-09-14 00:00:00,3164943.22,,
2023-09-15 00:00:00,3455178.98,,
2023-09-16 00:00:00,4369985.81,,
2023-09-17 00:00:00,4146958.67,,
2023-09-18 00:00:00,3656316.44,,
2023-09-19 00:00:00,4509220.66,,
2023-09-20 00:00:00,4249145.51,,
2023-09-21 00:00:00,3720629.21,,
2023-09-22 00:00:00,3533034.75,,
2023-09-23 00:00:00,3317273.29,,
2023-09-24 00:00:00,3158174.57,,
2023-09-25 00:00:00,3197076.51,,
2023-09-26 00:00:00,4128241.10,,
2023-09-27 00:00:00,3412265.11,,
2023-09-28 00:00:00,3743388.18,,
2023-09-29 00:00:00,3781000.84,,
2023-09-30 00:00:00,4349040.51,,
2023-10-01 00:00:00,4543827.98,,
2023-10-02 00:00:00,4498797.83,,
2023-10-03 00:00:00,4672495.49,,
2023-10-04 00:00:00,4392638.43,,
2023-10-05 00:00:00,5153016.71,,
2023-10-06 00:00:00,7922867.47,,
2023-10-07 00:00:00,8094745.67,,
2023-10-08 00:00:00,8104646.79,,
2023-10-09 00:00:00,6723706.67,,
2023-10-10 00:00:00,5829665.05,,
2023-10-11 00:00:00,5613211.10,,
2023-10-12 00:00:00,5884551.33,,
2023-10-13 00:00:00,5598484.32,,
2023-10-14 00:00:00,5523856.60,,
2023-10-15 00:00:00,5773454.38,,
2023-10-16 00:00:00,5755415.02,,
2023-10-17 00:00:00,5553012.15,,
2023-10-18 00:00:00,5188458.63,,
2023-10-19 00:00:00,4794320.49,,
2023-10-20 00:00:00,4976893.29,,
2023-10-21 00:00:00,4625710.32,,
2023-10-22 00:00:00,5552532.98,,
