time,oi_A,oi_6,oi_3
2023-02-15 00:00:00,2705941.62,,
2023-02-16 00:00:00,9105931.50,,
2023-02-17 00:00:00,5683903.37,,
2023-02-18 00:00:00,9221984.49,,
2023-02-19 00:00:00,9494601.33,,
2023-02-20 00:00:00,7534758.41,,
2023-02-21 00:00:00,6346561.09,,
2023-02-22 00:00:00,5426530.47,,
2023-02-23 00:00:00,5289533.74,,
2023-02-24 00:00:00,5518644.61,,
2023-02-25 00:00:00,4595638.24,,
2023-02-26 00:00:00,3967368.13,,
2023-02-27 00:00:00,4266681.91,,
2023-02-28 00:00:00,4155368.99,,
2023-03-01 00:00:00,3748861.52,,
2023-03-02 00:00:00,4308646.59,,
2023-03-03 00:00:00,4526829.93,,
2023-03-04 00:00:00,3294176.37,,
2023-03-05 00:00:00,3067157.50,,
2023-03-06 00:00:00,3261859.13,,
2023-03-07 00:00:00,3641144.03,,
2023-03-08 00:00:00,3803253.28,,
2023-03-09 00:00:00,2720112.84,,
2023-03-10 00:00:00,2539465.28,,
2023-03-11 00:00:00,2357947.59,,
2023-03-12 00:00:00,2227400.90,,
2023-03-13 00:00:00,2917269.43,,
2023-03-14 00:00:00,3181723.10,,
2023-03-15 00:00:00,2984580.37,,
2023-03-16 00:00:00,2387153.60,,
2023-03-17 00:00:00,2448707.57,,
2023-03-18 00:00:00,2685213.74,,
2023-03-19 00:00:00,2733726.37,,
2023-03-20 00:00:00,2612051.15,,
2023-03-21 00:00:00,2045652.38,,
2023-03-22 00:00:00,2345782.53,,
2023-03-23 00:00:00,2146143.06,,
2023-03-24 00:00:00,2579499.18,,
2023-03-25 00:00:00,2415558.67,,
2023-03-26 00:00:00,2498302.95,,
2023-03-27 00:00:00,2582205.32,,
2023-03-28 00:00:00,2504074.28,,
2023-03-29 00:00:00,2703961.21,,
2023-03-30 00:00:00,2879723.23,,
2023-03-31 00:00:00,2876257.50,,
2023-04-01 00:00:00,3151203.38,,
2023-04-02 00:00:00,3256754.55,,
2023-04-03 00:00:00,2995124.35,,
2023-04-04 00:00:00,3245343.12,,
2023-04-05 00:00:00,3482257.35,,
2023-04-06 00:00:00,3497518.27,,
2023-04-07 00:00:00,3461002.38,,
2023-04-08 00:00:00,3426358.05,,
2023-04-09 00:00:00,3584249.42,,
2023-04-10 00:00:00,3738277.57,,
2023-04-11 00:00:00,4973367.40,,
2023-04-12 00:00:00,5317451.15,,
2023-04-13 00:00:00,4188878.83,,
2023-04-14 00:00:00,3984080.90,,
2023-04-15 00:00:00,4722409.17,,
2023-04-16 00:00:00,4572212.85,,
2023-04-17 00:00:00,4887310.81,,
2023-04-18 00:00:00,4326414.97,,
2023-04-19 00:00:00,4614823.86,,
2023-04-20 00:00:00,3171179.06,,
2023-04-21 00:00:00,3251013.94,,
2023-04-22 00:00:00,3217462.06,,
2023-04-23 00:00:00,3190988.85,,
2023-04-24 00:00:00,2944045.18,,
2023-04-25 00:00:00,2884274.43,,
2023-04-26 00:00:00,2892350.63,,
2023-04-27 00:00:00,2991420.48,,
2023-04-28 00:00:00,4005362.73,,
2023-04-29 00:00:00,4004423.23,,
2023-04-30 00:00:00,3968330.60,,
2023-05-01 00:00:00,3805984.47,,
2023-05-02 00:00:00,3635503.79,,
2023-05-03 00:00:00,3850430.01,,
2023-05-04 00:00:00,3703764.91,,
2023-05-05 00:00:00,3521332.80,,
2023-05-06 00:00:00,3586923.32,,
2023-05-07 00:00:00,3407560.91,,
2023-05-08 00:00:00,3396795.76,,
2023-05-09 00:00:00,2624711.07,,
2023-05-10 00:00:00,2581619.54,,
2023-05-11 00:00:00,2664262.88,,
2023-05-12 00:00:00,2447923.65,,
2023-05-13 00:00:00,2349862.66,,
2023-05-14 00:00:00,2425794.95,,
2023-05-15 00:00:00,2568783.13,,
2023-05-16 00:00:00,2920688.99,,
2023-05-17 00:00:00,2935739.87,,
2023-05-18 00:00:00,3177182.56,,
2023-05-19 00:00:00,3234057.78,,
2023-05-20 00:00:00,3353124.52,,
2023-05-21 00:00:00,3173182.44,,
2023-05-22 00:00:00,3032868.11,,
2023-05-23 00:00:00,3067992.29,,
2023-05-24 00:00:00,3216685.16,,
2023-05-25 00:00:00,3113394.86,,
2023-05-26 00:00:00,3070266.20,,
2023-05-27 00:00:00,3100386.99,,
2023-05-28 00:00:00,3207857.75,,
2023-05-29 00:00:00,3161779.79,,
2023-05-30 00:00:00,3604954.25,,
2023-05-31 00:00:00,3732088.53,,
2023-06-01 00:00:00,3297305.50,,
2023-06-02 00:00:00,3261382.52,,
2023-06-03 00:00:00,3648853.06,,
2023-06-04 00:00:00,3440341.43,,
2023-06-05 00:00:00,3448057.57,,
2023-06-06 00:00:00,2421139.65,,
2023-06-07 00:00:00,2463784.71,,
2023-06-08 00:00:00,2504165.73,,
2023-06-09 00:00:00,2497974.43,,
2023-06-10 00:00:00,2537018.60,,
2023-06-11 00:00:00,1944010.15,,
2023-06-12 00:00:00,1963128.74,,
2023-06-13 00:00:00,1955208.79,,
2023-06-14 00:00:00,1917718.37,,
2023-06-15 00:00:00,1916733.53,,
2023-06-16 00:00:00,2142285.42,,
2023-06-17 00:00:00,1697812.42,,
2023-06-18 00:00:00,1758430.69,,
2023-06-19 00:00:00,2103060.57,,
2023-06-20 00:00:00,3032585.88,,
2023-06-21 00:00:00,2640070.44,,
2023-06-22 00:00:00,2424257.19,,
2023-06-23 00:00:00,2339490.58,,
2023-06-24 00:00:00,2216872.22,,
2023-06-25 00:00:00,2230433.18,,
2023-06-26 00:00:00,2457897.66,,
2023-06-27 00:00:00,2351004.19,,
2023-06-28 00:00:00,2336027.39,,
2023-06-29 00:00:00,2176024.31,,
2023-06-30 00:00:00,1973485.82,,
2023-07-01 00:00:00,2108625.32,,
2023-07-02 00:00:00,2085546.89,,
2023-07-03 00:00:00,1938934.28,,
2023-07-04 00:00:00,2133706.71,,
2023-07-05 00:00:00,2105430.48,,
2023-07-06 00:00:00,2160958.52,,
2023-07-07 00:00:00,2214484.21,,
2023-07-08 00:00:00,2180370.92,,
2023-07-09 00:00:00,2143203.10,,
2023-07-10 00:00:00,1971415.02,,
2023-07-11 00:00:00,2069319.68,,
2023-07-12 00:00:00,1928722.24,,
2023-07-13 00:00:00,1927301.82,,
2023-07-14 00:00:00,2384428.25,,
2023-07-15 00:00:00,2279176.95,,
2023-07-16 00:00:00,2320362.42,,
2023-07-17 00:00:00,2138101.42,,
2023-07-18 00:00:00,1988167.60,,
2023-07-19 00:00:00,2186734.27,,
2023-07-20 00:00:00,2420559.49,,
2023-07-21 00:00:00,2244628.74,,
2023-07-22 00:00:00,2162702.22,,
2023-07-23 00:00:00,2053047.81,,
2023-07-24 00:00:00,2168782.92,,
2023-07-25 00:00:00,2110846.56,,
2023-07-26 00:00:00,5828269.29,,
2023-07-27 00:00:00,6851535.47,,
2023-07-28 00:00:00,9988905.19,,
2023-07-29 00:00:00,12930768.32,,
2023-07-30 00:00:00,9349432.90,,
2023-07-31 00:00:00,12382867.77,,
2023-08-01 00:00:00,9661481.50,,
2023-08-02 00:00:00,7744426.77,,
2023-08-03 00:00:00,5967851.75,,
2023-08-04 00:00:00,5243247.35,,
2023-08-05 00:00:00,4493458.11,,
2023-08-06 00:00:00,4283833.30,,
2023-08-07 00:00:00,3508296.18,,
2023-08-08 00:00:00,4215990.21,,
2023-08-09 00:00:00,3822503.17,,
2023-08-10 00:00:00,3757866.05,,
2023-08-11 00:00:00,5116638.87,,
2023-08-12 00:00:00,10211007.85,,
2023-08-13 00:00:00,11080327.52,,
2023-08-14 00:00:00,9100556.42,,
2023-08-15 00:00:00,9130912.80,,
2023-08-16 00:00:00,7772691.00,,
2023-08-17 00:00:00,5183345.97,,
2023-08-18 00:00:00,6040522.67,,
2023-08-19 00:00:00,6671154.24,,
2023-08-20 00:00:00,7676026.83,,
2023-08-21 00:00:00,7882536.63,,
2023-08-22 00:00:00,7777748.15,,
2023-08-23 00:00:00,7538885.77,,
2023-08-24 00:00:00,13135427.75,,
2023-08-25 00:00:00,12246328.43,,
2023-08-26 00:00:00,8563470.29,,
2023-08-27 00:00:00,7773951.32,,
2023-08-28 00:00:00,7022421.94,,
2023-08-29 00:00:00,6466483.75,,
2023-08-30 00:00:00,6416716.75,,
2023-08-31 00:00:00,6269185.73,,
2023-09-01 00:00:00,6759926.74,,
2023-09-02 00:00:00,5739863.96,,
2023-09-03 00:00:00,4998532.05,,
2023-09-04 00:00:00,4874894.51,,
2023-09-05 00:00:00,4811722.08,,
2023-09-06 00:00:00,4719584.38,,
2023-09-07 00:00:00,4753847.24,,
2023-09-08 00:00:00,6189209.58,,
2023-09-09 00:00:00,5543874.00,,
2023-09-10 00:00:00,5415049.52,,
2023-09-11 00:00:00,4829166.68,,
2023-09-12 00:00:00,4183087.46,,
2023-09-13 00:00:00,4024633.84,,
2023-09-14 00:00:00,6822314.60,,
2023-09-15 00:00:00,6581351.11,,
2023-09-16 00:00:00,5984432.73,,
2023-09-17 00:00:00,5297939.17,,
2023-09-18 00:00:00,4657412.79,,
2023-09-19 00:00:00,4619607.13,,
2023-09-20 00:00:00,4145070.24,,
2023-09-21 00:00:00,4084026.24,,
2023-09-22 00:00:00,5327104.15,,
2023-09-23 00:00:00,4788965.13,,
2023-09-24 00:00:00,4446657.63,,
2023-09-25 00:00:00,3993742.72,,
2023-09-26 00:00:00,3733745.56,,
2023-09-27 00:00:00,4348900.16,,
2023-09-28 00:00:00,4591362.56,,
2023-09-29 00:00:00,4180227.39,,
2023-09-30 00:00:00,3864596.18,,
2023-10-01 00:00:00,3787382.21,,
2023-10-02 00:00:00,3820775.74,,
