time,oi_A,oi_6,oi_3
2023-12-12 00:00:00,,1306124.90,
2023-12-13 00:00:00,,1595262.28,
2023-12-14 00:00:00,,1809637.85,
2023-12-15 00:00:00,,1598796.67,
2023-12-16 00:00:00,,1869370.03,
2023-12-17 00:00:00,,2506829.51,
2023-12-18 00:00:00,,2563089.16,
2023-12-19 00:00:00,,2425663.88,
2023-12-20 00:00:00,,2069506.28,
2023-12-21 00:00:00,,2731504.04,
2023-12-22 00:00:00,,2954382.20,
2023-12-23 00:00:00,,3103861.64,
2023-12-24 00:00:00,,2804317.18,
2023-12-25 00:00:00,,2766795.43,
2023-12-26 00:00:00,,3050077.23,
2023-12-27 00:00:00,,2606648.34,
2023-12-28 00:00:00,,2484713.69,
2023-12-29 00:00:00,,2315720.41,
2023-12-30 00:00:00,,2532448.87,
2023-12-31 00:00:00,,2422066.15,
2024-01-01 00:00:00,,2305437.52,
2024-01-02 00:00:00,,2348622.28,
2024-01-03 00:00:00,,2284794.39,
2024-01-04 00:00:00,,1790008.30,
2024-01-05 00:00:00,,1951497.04,
2024-01-06 00:00:00,,1938753.36,
2024-01-07 00:00:00,,1774450.90,
2024-01-08 00:00:00,,1609404.33,
2024-01-09 00:00:00,,1852245.94,
2024-01-10 00:00:00,,1750758.94,
2024-01-11 00:00:00,,1902209.62,
2024-01-12 00:00:00,,1818545.99,
2024-01-13 00:00:00,,1663965.23,
2024-01-14 00:00:00,,2055365.38,
2024-01-15 00:00:00,,1779790.29,
2024-01-16 00:00:00,,1522309.75,
2024-01-17 00:00:00,,1715757.85,
2024-01-18 00:00:00,,1678482.84,
2024-01-19 00:00:00,,1747521.41,
2024-01-20 00:00:00,,1577846.30,
2024-01-21 00:00:00,,1681111.32,
2024-01-22 00:00:00,,1711703.48,
2024-01-23 00:00:00,,3748961.01,
2024-01-24 00:00:00,,2719698.88,
2024-01-25 00:00:00,,2514582.18,
2024-01-26 00:00:00,,2615340.05,
2024-01-27 00:00:00,,2138205.65,
2024-01-28 00:00:00,,2081303.81,
2024-01-29 00:00:00,,2002088.94,
2024-01-30 00:00:00,,2044477.08,
2024-01-31 00:00:00,,2007356.99,
2024-02-01 00:00:00,,1907968.77,
2024-02-02 00:00:00,,1906388.08,
2024-02-03 00:00:00,,2042870.43,
2024-02-04 00:00:00,,2017828.01,
2024-02-05 00:00:00,,1950767.60,
2024-02-06 00:00:00,,2344429.03,
2024-02-07 00:00:00,,2429484.29,
2024-02-08 00:00:00,,2729096.65,
2024-02-09 00:00:00,,3216013.35,
2024-02-10 00:00:00,,3718257.70,
2024-02-11 00:00:00,,3397773.46,
2024-02-12 00:00:00,,3279209.77,
2024-02-13 00:00:00,,3333816.79,
2024-02-14 00:00:00,,3787377.69,
2024-02-15 00:00:00,,4538450.96,
2024-02-16 00:00:00,,4616879.43,
2024-02-17 00:00:00,,4112716.17,
2024-02-18 00:00:00,,4025942.51,
2024-02-19 00:00:00,,3811592.39,
2024-02-20 00:00:00,,4018759.60,
2024-02-21 00:00:00,,3586051.80,
2024-02-22 00:00:00,,3302049.61,
2024-02-23 00:00:00,,5826927.85,
2024-02-24 00:00:00,,4779793.39,
2024-02-25 00:00:00,,4836153.84,
2024-02-26 00:00:00,,4769829.02,
2024-02-27 00:00:00,,4963782.63,
2024-02-28 00:00:00,,4669238.57,
2024-02-29 00:00:00,,6369056.68,
2024-03-01 00:00:00,,6927743.94,
2024-03-02 00:00:00,,10411664.78,
2024-03-03 00:00:00,,8650707.13,
2024-03-04 00:00:00,,8693651.56,
2024-03-05 00:00:00,,7526032.03,
2024-03-06 00:00:00,,5990103.99,
2024-03-07 00:00:00,,7248160.80,
2024-03-08 00:00:00,,6691483.65,
2024-03-09 00:00:00,,6396032.55,
2024-03-10 00:00:00,,6840056.98,
2024-03-11 00:00:00,,6473206.13,
2024-03-12 00:00:00,,6180252.33,
2024-03-13 00:00:00,,5908101.91,
2024-03-14 00:00:00,,5768220.84,
2024-03-15 00:00:00,,5389571.50,
2024-03-16 00:00:00,,4796702.57,
2024-03-17 00:00:00,,4444960.23,
2024-03-18 00:00:00,,4696306.02,
2024-03-19 00:00:00,,4534524.04,
2024-03-20 00:00:00,,3837257.32,
2024-03-21 00:00:00,,4310425.52,
2024-03-22 00:00:00,,4573954.72,
2024-03-23 00:00:00,,5026588.83,
2024-03-24 00:00:00,,5112689.42,
2024-03-25 00:00:00,,5316164.30,
2024-03-26 00:00:00,,5546580.31,
2024-03-27 00:00:00,,5286686.64,
2024-03-28 00:00:00,,5437112.14,
2024-03-29 00:00:00,,6064409.97,
2024-03-30 00:00:00,,5621620.35,
2024-03-31 00:00:00,,5862391.29,
2024-04-01 00:00:00,,6183561.53,
2024-04-02 00:00:00,,6428951.04,
2024-04-03 00:00:00,,5192298.45,
2024-04-04 00:00:00,,4678395.69,
2024-04-05 00:00:00,,4567996.73,
2024-04-06 00:00:00,,4646462.10,
2024-04-07 00:00:00,,4926146.23,
2024-04-08 00:00:00,,5737503.80,
2024-04-09 00:00:00,,7468077.04,
2024-04-10 00:00:00,,7037674.02,
2024-04-11 00:00:00,,6045130.29,
2024-04-12 00:00:00,,5634940.59,
2024-04-13 00:00:00,,2831421.38,
2024-04-14 00:00:00,,2559846.27,
2024-04-15 00:00:00,,2713324.40,
2024-04-16 00:00:00,,2200156.93,
2024-04-17 00:00:00,,2190146.03,
2024-04-18 00:00:00,,2638807.54,
2024-04-19 00:00:00,,2443918.14,
2024-04-20 00:00:00,,2453089.34,
2024-04-21 00:00:00,,2570789.58,
2024-04-22 00:00:00,,2617415.58,
2024-04-23 00:00:00,,2498104.14,
2024-04-24 00:00:00,,2449956.69,
2024-04-25 00:00:00,,2292999.52,
2024-04-26 00:00:00,,2297760.87,
2024-04-27 00:00:00,,2674482.62,
2024-04-28 00:00:00,,2594186.33,
2024-04-29 00:00:00,,2428051.34,
2024-04-30 00:00:00,,2424029.63,
2024-05-01 00:00:00,,2305733.09,
2024-05-02 00:00:00,,2831681.19,
2024-05-03 00:00:00,,2580015.61,
2024-05-04 00:00:00,,2544754.18,
2024-05-05 00:00:00,,2594738.16,
2024-05-06 00:00:00,,2704837.52,
2024-05-07 00:00:00,,3134312.60,
2024-05-08 00:00:00,,3006621.11,
2024-05-09 00:00:00,,3033072.51,
2024-05-10 00:00:00,,3379717.93,
2024-05-11 00:00:00,,3268979.27,
2024-05-12 00:00:00,,3389828.84,
2024-05-13 00:00:00,,3431787.57,
