time,oi_A,oi_6,oi_3
2025-04-06 00:00:00,1325113.31,,
2025-04-07 00:00:00,1134122.20,,
2025-04-08 00:00:00,1727547.90,,
2025-04-09 00:00:00,2233736.87,,
2025-04-10 00:00:00,2889293.97,,
2025-04-11 00:00:00,18058273.10,,3688810.57
2025-04-12 00:00:00,29954561.71,,7219612.45
2025-04-13 00:00:00,37869740.00,,8817664.21
2025-04-14 00:00:00,28739350.77,,6278677.49
2025-04-15 00:00:00,23318351.63,,6567876.38
2025-04-16 00:00:00,22988067.28,,6414406.00
2025-04-17 00:00:00,19506012.09,,5828302.17
2025-04-18 00:00:00,18196040.26,,6255738.79
2025-04-19 00:00:00,18118868.14,,5531836.66
2025-04-20 00:00:00,17981033.64,,6099561.48
2025-04-21 00:00:00,14941461.04,,5211075.23
2025-04-22 00:00:00,16895059.95,,6941608.56
2025-04-23 00:00:00,18337337.54,,6930940.04
2025-04-24 00:00:00,14421199.05,,4646087.08
2025-04-25 00:00:00,13558037.32,,5162865.34
2025-04-26 00:00:00,13074866.46,,4823242.15
2025-04-27 00:00:00,13218056.04,,4613974.34
2025-04-28 00:00:00,11392787.39,,4168868.24
2025-04-29 00:00:00,12888976.69,,4824289.39
2025-04-30 00:00:00,12780553.58,,4909362.72
2025-05-01 00:00:00,15923116.33,,6763483.77
2025-05-02 00:00:00,15074194.09,,5767512.34
2025-05-03 00:00:00,14623309.68,,6207985.13
2025-05-04 00:00:00,11710229.13,,5524952.87
2025-05-05 00:00:00,12000858.27,,6012163.43
2025-05-06 00:00:00,10952203.02,,5903567.95
2025-05-07 00:00:00,10653675.88,,5266527.11
2025-05-08 00:00:00,10349424.71,,4717479.19
2025-05-09 00:00:00,11929753.77,,4598214.28
2025-05-10 00:00:00,13426504.34,,5775130.15
2025-05-11 00:00:00,12975472.46,,5948963.54
2025-05-12 00:00:00,12886780.80,,6298796.58
2025-05-13 00:00:00,13874804.90,,6068639.62
2025-05-14 00:00:00,12586616.35,,5762001.83
2025-05-15 00:00:00,10090022.44,,4739131.13
2025-05-16 00:00:00,9602948.78,,4947015.84
2025-05-17 00:00:00,9683512.61,,5171115.29
2025-05-18 00:00:00,10108539.94,,4739327.56
2025-05-19 00:00:00,11556611.50,,5251648.53
2025-05-20 00:00:00,10587869.26,,4829611.54
2025-05-21 00:00:00,10043755.68,,4538441.37
2025-05-22 00:00:00,9875476.06,,4359013.80
2025-05-23 00:00:00,10541869.69,,4307318.64
