time,oi_A,oi_6,oi_3
2025-04-19 00:00:00,2922752.44,,
2025-04-20 00:00:00,4289431.18,,
2025-04-21 00:00:00,3609384.57,,
2025-04-22 00:00:00,3593356.54,,
2025-04-23 00:00:00,3303315.22,,
2025-04-24 00:00:00,3511563.61,,
2025-04-25 00:00:00,2902715.82,,
2025-04-26 00:00:00,3428798.81,,
2025-04-27 00:00:00,3110175.44,,
2025-04-28 00:00:00,3117458.33,,
2025-04-29 00:00:00,3187204.16,,
2025-04-30 00:00:00,3223287.98,,
2025-05-01 00:00:00,2964147.84,,
2025-05-02 00:00:00,3081392.07,,
2025-05-03 00:00:00,3108052.92,,
2025-05-04 00:00:00,2680277.13,,
2025-05-05 00:00:00,2168410.56,,
2025-05-06 00:00:00,2331820.59,,
2025-05-07 00:00:00,1835802.81,,
2025-05-08 00:00:00,2139258.26,,
2025-05-09 00:00:00,5593864.48,,
2025-05-10 00:00:00,5034989.69,,
2025-05-11 00:00:00,3972861.52,,
2025-05-12 00:00:00,3411861.81,,
2025-05-13 00:00:00,3372070.72,,
2025-05-14 00:00:00,3286588.28,,
2025-05-15 00:00:00,3007886.11,,
2025-05-16 00:00:00,3185978.18,,
2025-05-17 00:00:00,3055012.61,,
2025-05-18 00:00:00,2786354.31,,
2025-05-19 00:00:00,2722470.28,,
2025-05-20 00:00:00,2744087.59,,
2025-05-21 00:00:00,2774279.06,,
2025-05-22 00:00:00,2753799.15,,
2025-05-23 00:00:00,4391673.69,,
2025-05-24 00:00:00,3213199.41,,
2025-05-25 00:00:00,2804027.68,,
2025-05-26 00:00:00,2574906.15,,
2025-05-27 00:00:00,2434463.23,,
2025-05-28 00:00:00,2415488.41,,
2025-05-29 00:00:00,2115437.66,,
2025-05-30 00:00:00,2164126.93,,
2025-05-31 00:00:00,1885278.07,,
2025-06-01 00:00:00,2178764.72,,
2025-06-02 00:00:00,2096596.96,,
2025-06-03 00:00:00,2151090.41,,
2025-06-04 00:00:00,2638081.93,,
2025-06-05 00:00:00,2134815.83,,
2025-06-06 00:00:00,1988109.72,,
2025-06-07 00:00:00,2079327.53,,
2025-06-08 00:00:00,2036104.59,,
2025-06-09 00:00:00,2026929.61,,
2025-06-10 00:00:00,1912344.06,,
2025-06-11 00:00:00,1729896.84,,
2025-06-12 00:00:00,1555626.14,,
2025-06-13 00:00:00,1563048.55,,
2025-06-14 00:00:00,1573005.66,,
2025-06-15 00:00:00,1505431.65,,
2025-06-16 00:00:00,1517268.88,,
2025-06-17 00:00:00,1459691.45,,
2025-06-18 00:00:00,2072352.14,,
2025-06-19 00:00:00,1749346.67,,
2025-06-20 00:00:00,1831575.77,,
2025-06-21 00:00:00,1930380.20,,
2025-06-22 00:00:00,1838481.34,,
2025-06-23 00:00:00,2268567.58,,
2025-06-24 00:00:00,2341877.46,,
2025-06-25 00:00:00,1990883.09,,
2025-06-26 00:00:00,2036621.59,,
2025-06-27 00:00:00,2022583.50,,
2025-06-28 00:00:00,2479475.44,,
2025-06-29 00:00:00,2731986.36,,
2025-06-30 00:00:00,2660412.80,,
2025-07-01 00:00:00,2594667.04,,
2025-07-02 00:00:00,2491249.69,,
2025-07-03 00:00:00,2699861.10,,
2025-07-04 00:00:00,3937521.75,,
2025-07-05 00:00:00,3625573.89,,
2025-07-06 00:00:00,3476286.67,,
2025-07-07 00:00:00,3329583.19,,
2025-07-08 00:00:00,3117956.66,,
2025-07-09 00:00:00,2664720.25,,
2025-07-10 00:00:00,2838589.03,,
2025-07-11 00:00:00,2814916.76,,
2025-07-12 00:00:00,2286321.42,,
2025-07-13 00:00:00,2217756.09,,
2025-07-14 00:00:00,2432705.49,,
2025-07-15 00:00:00,2142820.42,,
2025-07-16 00:00:00,2112425.22,,
2025-07-17 00:00:00,2032125.81,,
2025-07-18 00:00:00,1905759.13,,
2025-07-19 00:00:00,3929572.44,,
2025-07-20 00:00:00,4249990.90,,
2025-07-21 00:00:00,3295777.80,,
2025-07-22 00:00:00,3445764.52,,
2025-07-23 00:00:00,3263736.35,,
2025-07-24 00:00:00,2775498.85,,
2025-07-25 00:00:00,2624272.49,,
2025-07-26 00:00:00,2677464.19,,
2025-07-27 00:00:00,2625827.83,,
2025-07-28 00:00:00,2670758.87,,
2025-07-29 00:00:00,2742416.67,,
2025-07-30 00:00:00,2661412.13,,
2025-07-31 00:00:00,2562201.26,,
2025-08-01 00:00:00,2514552.65,,
2025-08-02 00:00:00,2521826.75,,
2025-08-03 00:00:00,2449949.14,,
2025-08-04 00:00:00,2525535.36,,
2025-08-05 00:00:00,2485421.09,,
2025-08-06 00:00:00,2405111.56,,
2025-08-07 00:00:00,2430189.70,,
2025-08-08 00:00:00,3492817.09,,
2025-08-09 00:00:00,3382021.82,,
2025-08-10 00:00:00,3443204.03,,
2025-08-11 00:00:00,3620886.30,,
2025-08-12 00:00:00,3333577.85,,
2025-08-13 00:00:00,3722830.69,,
2025-08-14 00:00:00,3490425.52,,
2025-08-15 00:00:00,3037633.60,,
2025-08-16 00:00:00,3563456.65,,
2025-08-17 00:00:00,3525268.90,,
2025-08-18 00:00:00,3097536.55,,
2025-08-19 00:00:00,3303975.18,,
2025-08-20 00:00:00,2908447.91,,
2025-08-21 00:00:00,2519803.43,,
2025-08-22 00:00:00,2524991.16,,
2025-08-23 00:00:00,2827806.11,,
2025-08-24 00:00:00,3647069.72,,
2025-08-25 00:00:00,3588876.79,,
2025-08-26 00:00:00,2882438.29,,
2025-08-27 00:00:00,2855183.10,,
2025-08-28 00:00:00,4018906.45,,
2025-08-29 00:00:00,3625329.41,,
2025-08-30 00:00:00,3809966.36,,
2025-08-31 00:00:00,3334145.26,,
2025-09-01 00:00:00,3628758.71,,
2025-09-02 00:00:00,2793654.90,,
2025-09-03 00:00:00,2734560.87,,
2025-09-04 00:00:00,2495204.35,,
2025-09-05 00:00:00,2349921.67,,
2025-09-06 00:00:00,2357034.47,,
2025-09-07 00:00:00,2670644.36,,
2025-09-08 00:00:00,2345345.89,,
2025-09-09 00:00:00,2329411.13,,
2025-09-10 00:00:00,2437528.50,,
2025-09-11 00:00:00,2429982.10,,
2025-09-12 00:00:00,2520555.85,,
