time,oi_A,oi_6,oi_3
2025-02-07 00:00:00,48830879.34,,17426197.31
2025-02-08 00:00:00,50226614.41,,17760622.40
2025-02-09 00:00:00,43219716.13,,14743039.75
2025-02-10 00:00:00,38766417.38,,14239303.15
2025-02-11 00:00:00,39949658.08,,17831053.15
2025-02-12 00:00:00,41122709.92,,17057391.85
2025-02-13 00:00:00,38835066.90,,15204583.74
2025-02-14 00:00:00,34275045.53,,11937923.76
2025-02-15 00:00:00,35624070.86,,9186494.12
2025-02-16 00:00:00,32529066.89,,9267700.83
2025-02-17 00:00:00,31602471.13,,7720165.60
2025-02-18 00:00:00,38776248.83,,10280391.57
2025-02-19 00:00:00,36836666.10,,9660111.28
2025-02-20 00:00:00,42344827.53,,10275541.18
2025-02-21 00:00:00,65589140.11,,16847031.21
2025-02-22 00:00:00,45521045.86,,11303749.27
2025-02-23 00:00:00,42187418.17,,9121510.75
2025-02-24 00:00:00,35448230.27,,7619584.38
2025-02-25 00:00:00,34777410.58,,7260891.15
2025-02-26 00:00:00,30624932.25,,6261531.81
2025-02-27 00:00:00,33723942.80,,8913028.74
2025-02-28 00:00:00,40345170.93,,9642362.07
2025-03-01 00:00:00,43412850.68,,10898426.48
2025-03-02 00:00:00,41786574.70,,10688391.80
2025-03-03 00:00:00,44942030.00,,11495966.19
2025-03-04 00:00:00,34272778.07,,7382191.40
2025-03-05 00:00:00,32590403.86,,6429784.74
2025-03-06 00:00:00,34490285.78,,6736240.07
2025-03-07 00:00:00,35535593.16,,6131464.44
2025-03-08 00:00:00,35038028.76,,6213414.01
2025-03-09 00:00:00,36144645.16,,6300029.64
2025-03-10 00:00:00,31422668.39,,5970638.57
2025-03-11 00:00:00,31353938.82,,5481526.82
2025-03-12 00:00:00,33877061.75,,5761940.89
2025-03-13 00:00:00,35475847.17,,5927248.61
2025-03-14 00:00:00,32923622.45,,5586099.23
2025-03-15 00:00:00,34282939.31,,5212999.52
2025-03-16 00:00:00,36592709.35,,5577838.49
2025-03-17 00:00:00,36020671.48,,5475660.72
2025-03-18 00:00:00,36175685.02,,6228233.52
2025-03-19 00:00:00,31794134.93,,5510974.20
2025-03-20 00:00:00,33795503.99,,5127699.15
2025-03-21 00:00:00,32336107.28,,5070621.50
2025-03-22 00:00:00,37939017.12,,6759564.10
2025-03-23 00:00:00,36357161.27,,7011024.16
2025-03-24 00:00:00,35866930.00,,6944312.14
2025-03-25 00:00:00,47157709.34,,9456117.82
2025-03-26 00:00:00,51363941.45,,8588953.54
2025-03-27 00:00:00,43654996.46,,8052527.98
2025-03-28 00:00:00,54099578.65,,11057340.77
2025-03-29 00:00:00,55357008.82,,9954161.70
2025-03-30 00:00:00,48545421.24,,8925865.35
2025-03-31 00:00:00,46647683.16,,7641242.25
2025-04-01 00:00:00,41009703.40,,7648391.77
2025-04-02 00:00:00,41470899.07,,7241300.94
2025-04-03 00:00:00,35939495.26,,5756988.33
2025-04-04 00:00:00,33627721.75,,6400186.93
2025-04-05 00:00:00,32331562.25,,5689025.38
2025-04-06 00:00:00,32419293.50,,5867857.63
2025-04-07 00:00:00,27787010.78,,5057014.35
2025-04-08 00:00:00,27324352.87,,5609519.01
2025-04-09 00:00:00,26079113.97,,6245529.27
2025-04-10 00:00:00,30257786.68,,7023070.40
2025-04-11 00:00:00,27384193.76,,6690631.13
2025-04-12 00:00:00,28297478.25,,6833810.66
2025-04-13 00:00:00,27938475.65,,6196096.99
2025-04-14 00:00:00,25441168.69,,5839155.66
2025-04-15 00:00:00,24776153.73,,5445968.97
2025-04-16 00:00:00,24542765.88,,5457687.42
2025-04-17 00:00:00,23903449.34,,5029553.19
2025-04-18 00:00:00,23441538.76,,5077076.71
2025-04-19 00:00:00,24563766.42,,4893256.12
2025-04-20 00:00:00,23669830.15,,4678127.75
2025-04-21 00:00:00,22241831.72,,4567054.46
2025-04-22 00:00:00,22988570.07,,4295147.88
2025-04-23 00:00:00,26104019.65,,4317771.87
2025-04-24 00:00:00,25526018.19,,4661316.23
