time,oi_A,oi_6,oi_3
2022-06-10 00:00:00,,,916755.61
2022-06-11 00:00:00,,,848646.13
2022-06-12 00:00:00,,,820264.43
2022-06-13 00:00:00,,,698940.43
2022-06-14 00:00:00,,,652803.78
2022-06-15 00:00:00,,,724431.96
2022-06-16 00:00:00,,,782507.44
2022-06-17 00:00:00,,,763497.01
2022-06-18 00:00:00,,,801128.06
2022-06-19 00:00:00,,,738674.64
2022-06-20 00:00:00,,,847786.18
2022-06-21 00:00:00,,,745306.81
2022-06-22 00:00:00,,,727939.60
2022-06-23 00:00:00,,,679221.58
2022-06-24 00:00:00,,,753146.20
2022-06-25 00:00:00,,,821147.11
2022-06-26 00:00:00,,,780271.46
2022-06-27 00:00:00,,,708022.83
2022-06-28 00:00:00,,,963700.43
2022-06-29 00:00:00,,,866984.58
2022-06-30 00:00:00,,,854716.88
2022-07-01 00:00:00,,,759062.81
2022-07-02 00:00:00,,,724980.91
2022-07-03 00:00:00,,,781038.71
2022-07-04 00:00:00,,,772855.88
2022-07-05 00:00:00,,,768692.68
2022-07-06 00:00:00,,,776212.80
2022-07-07 00:00:00,,,866291.73
2022-07-08 00:00:00,,,830897.07
2022-07-09 00:00:00,,,844918.09
2022-07-10 00:00:00,,,835730.61
2022-07-11 00:00:00,,,807228.42
2022-07-12 00:00:00,,,781325.74
2022-07-13 00:00:00,,,781565.29
2022-07-14 00:00:00,,,837304.15
2022-07-15 00:00:00,,,850199.38
2022-07-16 00:00:00,,,876055.05
2022-07-17 00:00:00,,,885637.41
2022-07-18 00:00:00,,,844328.31
2022-07-19 00:00:00,,,857397.68
2022-07-20 00:00:00,,,808042.90
2022-07-21 00:00:00,,,773988.47
2022-07-22 00:00:00,,,765721.15
2022-07-23 00:00:00,,,837870.81
2022-07-24 00:00:00,,,1104531.83
2022-07-25 00:00:00,,,941727.15
2022-07-26 00:00:00,,,800371.08
2022-07-27 00:00:00,,,834227.52
2022-07-28 00:00:00,,,781624.25
2022-07-29 00:00:00,,,821722.90
2022-07-30 00:00:00,,,852329.97
2022-07-31 00:00:00,,,856405.86
2022-08-01 00:00:00,,,761793.75
2022-08-02 00:00:00,,,747123.71
2022-08-03 00:00:00,,,735592.79
2022-08-04 00:00:00,,,727712.76
2022-08-05 00:00:00,,,705004.46
2022-08-06 00:00:00,,,804938.31
2022-08-07 00:00:00,,,885455.05
2022-08-08 00:00:00,,,885368.36
2022-08-09 00:00:00,,,833599.26
2022-08-10 00:00:00,,,776222.50
2022-08-11 00:00:00,,,809211.79
2022-08-12 00:00:00,,,751503.06
2022-08-13 00:00:00,,,671681.02
2022-08-14 00:00:00,,,661032.31
2022-08-15 00:00:00,,,644469.99
2022-08-16 00:00:00,,,609208.65
2022-08-17 00:00:00,,,583832.73
2022-08-18 00:00:00,,,517413.44
2022-08-19 00:00:00,,,495819.09
2022-08-20 00:00:00,,,451241.71
2022-08-21 00:00:00,,,499072.28
2022-08-22 00:00:00,,,509186.46
2022-08-23 00:00:00,,,509092.84
2022-08-24 00:00:00,,,534824.71
2022-08-25 00:00:00,,,487550.23
2022-08-26 00:00:00,,,518321.61
2022-08-27 00:00:00,,,461346.29
2022-08-28 00:00:00,,,767802.67
2022-08-29 00:00:00,,,512675.59
2022-08-30 00:00:00,,,540631.38
2022-08-31 00:00:00,,,464951.70
2022-09-01 00:00:00,,,468724.50
2022-09-02 00:00:00,,,495639.80
2022-09-03 00:00:00,,,479339.94
2022-09-04 00:00:00,,,480101.93
2022-09-05 00:00:00,,,461033.18
2022-09-06 00:00:00,,,494379.18
2022-09-07 00:00:00,,,438461.21
2022-09-08 00:00:00,,,447028.85
2022-09-09 00:00:00,,,443872.42
2022-09-10 00:00:00,,,502500.41
2022-09-11 00:00:00,,,540331.92
2022-09-12 00:00:00,,,532979.17
2022-09-13 00:00:00,,,492695.46
2022-09-14 00:00:00,,,488871.05
2022-09-15 00:00:00,,,492119.23
2022-09-16 00:00:00,,,487527.77
2022-09-17 00:00:00,,,512444.76
2022-09-18 00:00:00,,,490936.02
2022-09-19 00:00:00,,,445533.44
2022-09-20 00:00:00,,,487323.00
2022-09-21 00:00:00,,,436086.99
2022-09-22 00:00:00,,,453907.04
2022-09-23 00:00:00,,,437356.40
2022-09-24 00:00:00,,,438651.17
2022-09-25 00:00:00,,,445261.86
2022-09-26 00:00:00,,,429413.09
2022-09-27 00:00:00,,,428510.18
2022-09-28 00:00:00,,,423993.73
2022-09-29 00:00:00,,,443560.82
2022-09-30 00:00:00,,,454642.14
2022-10-01 00:00:00,,,465074.69
2022-10-02 00:00:00,,,499378.97
2022-10-03 00:00:00,,,538841.56
2022-10-04 00:00:00,,,544419.94
2022-10-05 00:00:00,,,555769.82
2022-10-06 00:00:00,,,599567.28
2022-10-07 00:00:00,,,607722.84
2022-10-08 00:00:00,,,550709.40
2022-10-09 00:00:00,,,583518.15
2022-10-10 00:00:00,,,585287.57
2022-10-11 00:00:00,,,557584.77
2022-10-12 00:00:00,,,507742.03
2022-10-13 00:00:00,,,515758.64
2022-10-14 00:00:00,,,485170.10
2022-10-15 00:00:00,,,489972.80
2022-10-16 00:00:00,,,683402.41
2022-10-17 00:00:00,,,532336.46
2022-10-18 00:00:00,,,511109.73
2022-10-19 00:00:00,,,511947.17
2022-10-20 00:00:00,,,487904.70
2022-10-21 00:00:00,,,481062.96
2022-10-22 00:00:00,,,1007103.24
2022-10-23 00:00:00,,,838179.82
2022-10-24 00:00:00,,,774193.16
2022-10-25 00:00:00,,,767867.45
2022-10-26 00:00:00,,,851750.02
2022-10-27 00:00:00,,,813544.57
2022-10-28 00:00:00,,,829072.17
2022-10-29 00:00:00,,,856279.13
2022-10-30 00:00:00,,,839080.02
2022-10-31 00:00:00,,,798674.27
2022-11-01 00:00:00,,,791078.93
2022-11-02 00:00:00,,,843287.15
2022-11-03 00:00:00,,,839936.00
2022-11-04 00:00:00,,,1122747.57
2022-11-05 00:00:00,,,1087078.52
2022-11-06 00:00:00,,,975145.68
2022-11-07 00:00:00,,,879806.29
2022-11-08 00:00:00,,,728247.57
2022-11-09 00:00:00,,,675383.49
2022-11-10 00:00:00,,,635621.23
2022-11-11 00:00:00,,,569802.32
2022-11-12 00:00:00,,,532177.84
2022-11-13 00:00:00,,,580578.26
2022-11-14 00:00:00,,,460674.23
2022-11-15 00:00:00,,,353032.57
2022-11-16 00:00:00,,,357896.89
2022-11-17 00:00:00,,,305294.52
2022-11-18 00:00:00,,,299292.72
2022-11-19 00:00:00,,,340533.54
2022-11-20 00:00:00,,,326076.05
2022-11-21 00:00:00,,,329663.61
2022-11-22 00:00:00,,,305311.84
2022-11-23 00:00:00,,,317558.29
2022-11-24 00:00:00,,,324512.44
2022-11-25 00:00:00,,,316275.33
2022-11-26 00:00:00,,,318953.40
2022-11-27 00:00:00,,,316104.64
2022-11-28 00:00:00,,,316156.03
2022-11-29 00:00:00,,,305903.22
2022-11-30 00:00:00,,,373977.00
2022-12-01 00:00:00,,,372950.15
2022-12-02 00:00:00,,,351225.27
2022-12-03 00:00:00,,,338237.03
2022-12-04 00:00:00,,,340281.48
2022-12-05 00:00:00,,,358106.01
2022-12-06 00:00:00,,,371396.38
2022-12-07 00:00:00,,,352491.39
2022-12-08 00:00:00,,,316821.19
2022-12-09 00:00:00,,,320749.60
2022-12-10 00:00:00,,,316845.04
2022-12-11 00:00:00,,,359253.46
2022-12-12 00:00:00,,,616527.60
2022-12-13 00:00:00,,,767275.87
2022-12-14 00:00:00,,,684062.60
2022-12-15 00:00:00,,,617436.10
