time,oi_A,oi_6,oi_3
2022-05-19 00:00:00,2238349863.59,,416757945.82
2022-05-20 00:00:00,2601032098.01,,365840519.80
2022-05-21 00:00:00,2372155574.61,,384819711.18
2022-05-22 00:00:00,2328012825.84,,368039927.72
2022-05-23 00:00:00,2533167807.31,,373917424.32
2022-05-24 00:00:00,2394925043.93,,403937194.21
2022-05-25 00:00:00,2452172831.00,,410496665.55
2022-05-26 00:00:00,2350230670.35,,383092288.00
2022-05-27 00:00:00,2393151466.68,,362809526.98
2022-05-28 00:00:00,2364022289.10,,352521907.92
2022-05-29 00:00:00,2368538367.49,,363280449.58
2022-05-30 00:00:00,2537278785.10,,359107551.59
2022-05-31 00:00:00,2773868771.04,,373500534.29
2022-06-01 00:00:00,2798122422.01,,398118789.90
2022-06-02 00:00:00,2489613413.23,,352950356.64
2022-06-03 00:00:00,2567741113.30,,339296419.51
2022-06-04 00:00:00,2485038940.24,,381968845.46
2022-06-05 00:00:00,2463920708.67,,367658684.13
2022-06-06 00:00:00,2481053153.82,,358043054.37
2022-06-07 00:00:00,3004889497.66,,397505090.37
2022-06-08 00:00:00,2686579047.47,,353753507.02
2022-06-09 00:00:00,2410771399.17,,361063034.85
2022-06-10 00:00:00,2546216833.44,,397489684.21
2022-06-11 00:00:00,2558216238.63,,442779325.33
2022-06-12 00:00:00,2550634200.53,,396913207.77
2022-06-13 00:00:00,2287715942.27,,329322821.60
2022-06-14 00:00:00,1858975713.52,,285130732.64
2022-06-15 00:00:00,1854658678.28,,300036610.49
2022-06-16 00:00:00,1899468787.28,,292985585.93
2022-06-17 00:00:00,1835058192.02,,275549650.27
2022-06-18 00:00:00,1926878549.10,,325549856.92
2022-06-19 00:00:00,1714453984.37,,288837150.27
2022-06-20 00:00:00,1873472918.45,,281825304.27
2022-06-21 00:00:00,1890325769.15,,281633224.02
2022-06-22 00:00:00,1937307987.33,,301435737.68
2022-06-23 00:00:00,1880119421.61,,289988072.35
2022-06-24 00:00:00,2022512561.38,,304560958.21
2022-06-25 00:00:00,2019819787.48,,281023029.54
2022-06-26 00:00:00,2166512041.40,,294559021.68
2022-06-27 00:00:00,2034109640.29,,281018945.32
2022-06-28 00:00:00,1993124780.94,,283899987.70
2022-06-29 00:00:00,2007280289.18,,301767826.27
2022-06-30 00:00:00,1974944291.28,,304698519.44
2022-07-01 00:00:00,1862531004.28,,296392997.88
2022-07-02 00:00:00,1749272011.61,,281822036.44
2022-07-03 00:00:00,1808097311.84,,292987000.56
2022-07-04 00:00:00,1824175995.04,,276652783.23
2022-07-05 00:00:00,2068261395.59,,302862666.62
2022-07-06 00:00:00,2018137487.15,,274645527.80
2022-07-07 00:00:00,2112482117.28,,294867409.54
2022-07-08 00:00:00,2515241356.20,,350230008.10
2022-07-09 00:00:00,2363576057.59,,322261617.29
2022-07-10 00:00:00,2359660762.42,,330838598.61
2022-07-11 00:00:00,2177653164.36,,316427079.87
2022-07-12 00:00:00,2095818287.41,,308445424.15
2022-07-13 00:00:00,2059170479.99,,286263080.44
2022-07-14 00:00:00,2116867139.72,,286548648.19
2022-07-15 00:00:00,2252453443.51,,292958074.49
2022-07-16 00:00:00,2339228510.44,,310957598.79
2022-07-17 00:00:00,2361542998.60,,324966480.70
2022-07-18 00:00:00,2340383830.97,,331700165.37
2022-07-19 00:00:00,2449268035.41,,359390798.99
2022-07-20 00:00:00,2788074551.65,,367401434.68
2022-07-21 00:00:00,2608718241.42,,348918643.36
2022-07-22 00:00:00,2605771580.48,,348518477.63
2022-07-23 00:00:00,2655043830.42,,353835101.01
2022-07-24 00:00:00,2644857130.01,,344310037.50
2022-07-25 00:00:00,2608858033.71,,338173251.98
2022-07-26 00:00:00,2340276305.10,,298055137.07
2022-07-27 00:00:00,2362971103.20,,315559413.24
2022-07-28 00:00:00,2612871514.52,,357157035.72
2022-07-29 00:00:00,2703441569.92,,394835709.84
2022-07-30 00:00:00,2694566598.53,,388487818.70
2022-07-31 00:00:00,2763311130.35,,377379398.38
2022-08-01 00:00:00,2641652273.21,,357538130.50
2022-08-02 00:00:00,2607742259.23,,346971769.86
2022-08-03 00:00:00,2575982617.39,,329943381.20
2022-08-04 00:00:00,2616373212.09,,358842989.70
2022-08-05 00:00:00,2532287212.99,,360320049.18
2022-08-06 00:00:00,2488913051.07,,365547196.22
2022-08-07 00:00:00,2526199463.74,,368138791.61
2022-08-08 00:00:00,2545874211.11,,369035621.28
2022-08-09 00:00:00,2803752835.85,,400315146.55
2022-08-10 00:00:00,2681652684.62,,386452660.87
2022-08-11 00:00:00,2681566006.80,,361699068.77
2022-08-12 00:00:00,2798146677.72,,374158561.76
