time,oi_A,oi_6,oi_3
2023-08-22 00:00:00,15793275.56,,
2023-08-23 00:00:00,10950429.93,,
2023-08-24 00:00:00,12067503.34,,
2023-08-25 00:00:00,11596547.74,,
2023-08-26 00:00:00,10765602.27,,
2023-08-27 00:00:00,12483262.39,,
2023-08-28 00:00:00,12490967.71,,
2023-08-29 00:00:00,9942399.82,,
2023-08-30 00:00:00,87489163.54,,
2023-08-31 00:00:00,123195016.98,,
2023-09-01 00:00:00,106426156.25,,
2023-09-02 00:00:00,124841935.27,,
2023-09-03 00:00:00,51857158.56,,
2023-09-04 00:00:00,45019097.59,,
2023-09-05 00:00:00,38403489.99,,
2023-09-06 00:00:00,36907008.91,,
2023-09-07 00:00:00,34800032.18,,
2023-09-08 00:00:00,31940469.63,,
2023-09-09 00:00:00,27418446.55,,
2023-09-10 00:00:00,26634900.63,,
2023-09-11 00:00:00,22903120.48,,
2023-09-12 00:00:00,27206693.81,,
2023-09-13 00:00:00,24051451.76,,
2023-09-14 00:00:00,21897429.10,,
2023-09-15 00:00:00,23656372.19,,
2023-09-16 00:00:00,24890069.69,,
2023-09-17 00:00:00,22576816.35,,
2023-09-18 00:00:00,20343772.45,,
2023-09-19 00:00:00,19228751.62,,
2023-09-20 00:00:00,19525590.47,,
2023-09-21 00:00:00,24666312.79,,
2023-09-22 00:00:00,18507232.56,,
2023-09-23 00:00:00,18115481.43,,
2023-09-24 00:00:00,17548890.89,,
2023-09-25 00:00:00,16816545.49,,
2023-09-26 00:00:00,17103638.28,,
2023-09-27 00:00:00,19149436.93,,
2023-09-28 00:00:00,17594091.36,,
2023-09-29 00:00:00,17969352.77,,
2023-09-30 00:00:00,17551212.04,,
2023-10-01 00:00:00,18777488.74,,
2023-10-02 00:00:00,19501636.61,,
2023-10-03 00:00:00,16716917.23,,
2023-10-04 00:00:00,17150855.00,,
2023-10-05 00:00:00,15411877.55,,
2023-10-06 00:00:00,15125518.79,,
2023-10-07 00:00:00,15701861.48,,
2023-10-08 00:00:00,19839834.85,,
2023-10-09 00:00:00,17867609.25,,
2023-10-10 00:00:00,15920051.18,,
2023-10-11 00:00:00,15893318.05,,
2023-10-12 00:00:00,15153222.50,,
2023-10-13 00:00:00,15227856.55,,
2023-10-14 00:00:00,14800216.92,,
2023-10-15 00:00:00,15049799.77,,
2023-10-16 00:00:00,15033145.74,,
2023-10-17 00:00:00,14791647.45,,
2023-10-18 00:00:00,13762096.67,,
2023-10-19 00:00:00,13308156.51,,
2023-10-20 00:00:00,13017521.37,,
2023-10-21 00:00:00,13304967.07,,
2023-10-22 00:00:00,13421949.21,,
2023-10-23 00:00:00,13168121.16,,
2023-10-24 00:00:00,13886124.13,,
2023-10-25 00:00:00,14244144.09,,
2023-10-26 00:00:00,21740674.66,,
2023-10-27 00:00:00,20153954.97,,
