time,oi_A,oi_6,oi_3
2025-07-18 00:00:00,33286414.27,,
2025-07-19 00:00:00,26717714.68,,
2025-07-20 00:00:00,26401636.03,,
2025-07-21 00:00:00,23932881.41,,
2025-07-22 00:00:00,20582747.11,,
2025-07-23 00:00:00,17821909.40,,
2025-07-24 00:00:00,14937946.87,,
2025-07-25 00:00:00,18326290.84,,
2025-07-26 00:00:00,16479692.93,,
2025-07-27 00:00:00,16843485.95,,
2025-07-28 00:00:00,16509451.22,,
2025-07-29 00:00:00,12923814.48,,
2025-07-30 00:00:00,12270337.50,,
2025-07-31 00:00:00,12467708.97,,
2025-08-01 00:00:00,13129002.69,,
2025-08-02 00:00:00,12736254.98,,
2025-08-03 00:00:00,12340586.45,,
2025-08-04 00:00:00,12055103.85,,
2025-08-05 00:00:00,11868697.70,,
2025-08-06 00:00:00,12106070.91,,
2025-08-07 00:00:00,11009675.56,,
2025-08-08 00:00:00,11531418.39,,
2025-08-09 00:00:00,10366951.17,,
2025-08-10 00:00:00,10287640.56,,
2025-08-11 00:00:00,13352566.91,,
2025-08-12 00:00:00,13630897.76,,
2025-08-13 00:00:00,13008045.48,,
2025-08-14 00:00:00,12493849.86,,
2025-08-15 00:00:00,10864323.91,,
2025-08-16 00:00:00,10972079.29,,
2025-08-17 00:00:00,11592431.13,,
2025-08-18 00:00:00,11364087.83,,
2025-08-19 00:00:00,11012694.15,,
2025-08-20 00:00:00,9958595.96,,
2025-08-21 00:00:00,9747868.38,,
2025-08-22 00:00:00,9466607.32,,
2025-08-23 00:00:00,9645433.55,,
2025-08-24 00:00:00,9349801.26,,
2025-08-25 00:00:00,8847169.78,,
2025-08-26 00:00:00,8512372.22,,
2025-08-27 00:00:00,8105626.02,,
2025-08-28 00:00:00,7932260.72,,
2025-08-29 00:00:00,8453526.35,,
2025-08-30 00:00:00,7806194.62,,
2025-08-31 00:00:00,7895439.76,,
2025-09-01 00:00:00,7727631.56,,
2025-09-02 00:00:00,6878637.95,,
2025-09-03 00:00:00,7586300.16,,
2025-09-04 00:00:00,7562366.06,,
2025-09-05 00:00:00,7460459.37,,
2025-09-06 00:00:00,7787866.29,,
2025-09-07 00:00:00,7849902.95,,
2025-09-08 00:00:00,7589306.63,,
2025-09-09 00:00:00,7574185.20,,
2025-09-10 00:00:00,7814333.71,,
2025-09-11 00:00:00,7874658.08,,
2025-09-12 00:00:00,7593895.31,,
2025-09-13 00:00:00,7669418.19,,
