time,oi_A,oi_6,oi_3
2022-05-19 00:00:00,25652401.26,,12454855.35
2022-05-20 00:00:00,28426178.59,,13011922.00
2022-05-21 00:00:00,26228270.03,,13378391.00
2022-05-22 00:00:00,26995434.99,,12406783.64
2022-05-23 00:00:00,27911101.39,,13352491.44
2022-05-24 00:00:00,35511656.75,,15625650.10
2022-05-25 00:00:00,43142340.15,,18928997.01
2022-05-26 00:00:00,41555832.45,,18097814.34
2022-05-27 00:00:00,31340283.86,,15234204.06
2022-05-28 00:00:00,35399343.41,,16807055.65
2022-05-29 00:00:00,35274154.13,,16889573.72
2022-05-30 00:00:00,37295493.85,,19086080.00
2022-05-31 00:00:00,37648995.41,,18277253.08
2022-06-01 00:00:00,35121465.44,,17210991.96
2022-06-02 00:00:00,32426888.17,,15056198.12
2022-06-03 00:00:00,32715494.50,,15431990.49
2022-06-04 00:00:00,32723220.71,,17101248.13
2022-06-05 00:00:00,32899982.25,,16325247.90
2022-06-06 00:00:00,32524324.15,,15560480.16
2022-06-07 00:00:00,31663278.85,,15353755.44
2022-06-08 00:00:00,29382751.29,,14056116.48
2022-06-09 00:00:00,30498562.56,,14080811.43
2022-06-10 00:00:00,30418407.55,,14266538.67
2022-06-11 00:00:00,29223710.72,,14200338.62
2022-06-12 00:00:00,30688357.22,,12732288.17
2022-06-13 00:00:00,27724160.53,,11971329.05
2022-06-14 00:00:00,23516953.83,,10410913.77
2022-06-15 00:00:00,24137208.80,,11605892.76
2022-06-16 00:00:00,25989494.24,,12991440.34
2022-06-17 00:00:00,23342348.06,,11120415.25
2022-06-18 00:00:00,25048932.72,,12053406.64
2022-06-19 00:00:00,26159672.11,,12450352.22
2022-06-20 00:00:00,25334392.30,,13426695.24
2022-06-21 00:00:00,24274845.56,,14104927.20
2022-06-22 00:00:00,22027158.49,,12279703.66
2022-06-23 00:00:00,20282200.88,,11250753.00
2022-06-24 00:00:00,20616199.57,,11797917.30
2022-06-25 00:00:00,21708377.07,,11745904.28
2022-06-26 00:00:00,21246540.00,,11588703.32
2022-06-27 00:00:00,22539858.01,,12171305.64
2022-06-28 00:00:00,22187070.84,,17653404.54
2022-06-29 00:00:00,19922813.78,,18593802.82
2022-06-30 00:00:00,20764326.00,,18833236.74
2022-07-01 00:00:00,18770496.30,,18353729.38
2022-07-02 00:00:00,18328266.06,,17664952.14
2022-07-03 00:00:00,17710039.01,,17958138.67
2022-07-04 00:00:00,16992390.77,,17737856.72
2022-07-05 00:00:00,16920451.24,,18424959.76
2022-07-06 00:00:00,16731173.84,,18225752.28
2022-07-07 00:00:00,16802921.67,,18790318.76
2022-07-08 00:00:00,18482111.35,,19558802.69
2022-07-09 00:00:00,17889829.84,,19787807.60
2022-07-10 00:00:00,19086156.52,,20066740.56
