time,oi_A,oi_6,oi_3
2025-04-23 00:00:00,12960113.86,,
2025-04-24 00:00:00,9480440.31,,
2025-04-25 00:00:00,10665749.68,,
2025-04-26 00:00:00,9342706.47,,
2025-04-27 00:00:00,10616663.45,,
2025-04-28 00:00:00,8752632.04,,
2025-04-29 00:00:00,7966748.23,,
2025-04-30 00:00:00,8342083.55,,
2025-05-01 00:00:00,7748588.84,,
2025-05-02 00:00:00,7625264.54,,
2025-05-03 00:00:00,8173410.22,,
2025-05-04 00:00:00,7218599.74,,
2025-05-05 00:00:00,6692659.35,,
2025-05-06 00:00:00,6588741.80,,
2025-05-07 00:00:00,4164741.28,,
2025-05-08 00:00:00,4205682.11,,
2025-05-09 00:00:00,4755093.25,,
2025-05-10 00:00:00,4325027.39,,
2025-05-11 00:00:00,4606923.56,,
2025-05-12 00:00:00,4535097.48,,
2025-05-13 00:00:00,4147836.96,,
2025-05-14 00:00:00,3992229.99,,
2025-05-15 00:00:00,3884160.83,,
2025-05-16 00:00:00,3016917.80,,
2025-05-17 00:00:00,3146190.31,,
2025-05-18 00:00:00,3115872.59,,
2025-05-19 00:00:00,3211318.65,,
2025-05-20 00:00:00,3168762.47,,
2025-05-21 00:00:00,3506562.29,,
2025-05-22 00:00:00,3843770.88,,
2025-05-23 00:00:00,4449207.22,,
2025-05-24 00:00:00,4369676.60,,
2025-05-25 00:00:00,4216508.28,,
2025-05-26 00:00:00,3953451.42,,
2025-05-27 00:00:00,4028559.95,,
2025-05-28 00:00:00,5570915.94,,
2025-05-29 00:00:00,4920681.76,,
2025-05-30 00:00:00,4482574.22,,
2025-05-31 00:00:00,3325850.14,,
2025-06-01 00:00:00,3362005.90,,
2025-06-02 00:00:00,3798663.45,,
2025-06-03 00:00:00,3735319.75,,
2025-06-04 00:00:00,3628134.18,,
2025-06-05 00:00:00,3374257.61,,
2025-06-06 00:00:00,3140913.18,,
2025-06-07 00:00:00,3216551.52,,
2025-06-08 00:00:00,3438813.15,,
2025-06-09 00:00:00,3285417.38,,
2025-06-10 00:00:00,3407824.68,,
2025-06-11 00:00:00,3304318.98,,
