time,oi_A,oi_6,oi_3
2025-07-04 00:00:00,,2536635.53,
2025-07-05 00:00:00,,3023561.97,
2025-07-06 00:00:00,,3245160.23,
2025-07-07 00:00:00,,2888104.23,
2025-07-08 00:00:00,,3258163.25,
2025-07-09 00:00:00,,3179608.02,
2025-07-10 00:00:00,,2942318.25,
2025-07-11 00:00:00,,2683871.29,
2025-07-12 00:00:00,,2391453.08,
2025-07-13 00:00:00,,3395837.61,
2025-07-14 00:00:00,,2563844.38,
2025-07-15 00:00:00,,2115846.66,
2025-07-16 00:00:00,,1975334.68,
2025-07-17 00:00:00,,1652346.80,
2025-07-18 00:00:00,,1688771.68,
2025-07-19 00:00:00,,1671878.74,
2025-07-20 00:00:00,,1471728.08,
2025-07-21 00:00:00,,1674926.87,
2025-07-22 00:00:00,,1785373.59,
2025-07-23 00:00:00,,1569430.88,
2025-07-24 00:00:00,,1280801.86,
2025-07-25 00:00:00,,929185.35,
2025-07-26 00:00:00,,903384.64,
2025-07-27 00:00:00,,1008502.95,
2025-07-28 00:00:00,,877990.20,
2025-07-29 00:00:00,,632064.81,
2025-07-30 00:00:00,,1451110.61,
2025-07-31 00:00:00,,1689037.28,
2025-08-01 00:00:00,,1132307.93,
2025-08-02 00:00:00,,1012844.57,
2025-08-03 00:00:00,,2118360.40,
2025-08-04 00:00:00,,1819727.87,
2025-08-05 00:00:00,,1775311.97,
2025-08-06 00:00:00,,2068082.98,
2025-08-07 00:00:00,,2690261.79,
2025-08-08 00:00:00,,2310176.42,
2025-08-09 00:00:00,,2281152.92,
2025-08-10 00:00:00,,2250785.29,
2025-08-11 00:00:00,,2388744.74,
2025-08-12 00:00:00,,2461945.22,
2025-08-13 00:00:00,,3131912.90,
2025-08-14 00:00:00,,3479600.66,
2025-08-15 00:00:00,,2291688.33,
2025-08-16 00:00:00,,1999612.59,
2025-08-17 00:00:00,,1904700.11,
2025-08-18 00:00:00,,1541260.07,
2025-08-19 00:00:00,,1539436.60,
2025-08-20 00:00:00,,1270963.44,
2025-08-21 00:00:00,,1139906.72,
2025-08-22 00:00:00,,1221209.40,
2025-08-23 00:00:00,,1121488.57,
2025-08-24 00:00:00,,1053465.15,
2025-08-25 00:00:00,,979595.16,
2025-08-26 00:00:00,,836743.43,
2025-08-27 00:00:00,,920370.21,
2025-08-28 00:00:00,,918650.44,
2025-08-29 00:00:00,,964937.20,
2025-08-30 00:00:00,,816765.89,
2025-08-31 00:00:00,,760385.25,
2025-09-01 00:00:00,,726413.13,
2025-09-02 00:00:00,,669661.60,
2025-09-03 00:00:00,,793450.07,
2025-09-04 00:00:00,,734610.00,
2025-09-05 00:00:00,,619871.85,
2025-09-06 00:00:00,,880116.78,
2025-09-07 00:00:00,,890153.58,
2025-09-08 00:00:00,,861764.75,
2025-09-09 00:00:00,,800048.68,
2025-09-10 00:00:00,,775567.20,
2025-09-11 00:00:00,,777867.79,
2025-09-12 00:00:00,,675931.56,
2025-09-13 00:00:00,,874436.35,
2025-09-14 00:00:00,,716453.43,
2025-09-15 00:00:00,,770870.12,
2025-09-16 00:00:00,,799088.97,
2025-09-17 00:00:00,,824631.37,
2025-09-18 00:00:00,,756890.30,
2025-09-19 00:00:00,,777158.69,
2025-09-20 00:00:00,,773335.27,
2025-09-21 00:00:00,,731876.75,
2025-09-22 00:00:00,,724482.96,
2025-09-23 00:00:00,,772771.52,
2025-09-24 00:00:00,,860248.72,
2025-09-25 00:00:00,,823776.67,
2025-09-26 00:00:00,,793238.31,
2025-09-27 00:00:00,,828911.37,
2025-09-28 00:00:00,,1100481.00,
2025-09-29 00:00:00,,1199974.16,
2025-09-30 00:00:00,,978858.47,
2025-10-01 00:00:00,,809705.08,
2025-10-02 00:00:00,,1064743.33,
2025-10-03 00:00:00,,859527.54,
2025-10-04 00:00:00,,877317.62,
2025-10-05 00:00:00,,844582.61,
2025-10-06 00:00:00,,814450.14,
2025-10-07 00:00:00,,836266.14,
2025-10-08 00:00:00,,729436.73,
2025-10-09 00:00:00,,737871.27,
2025-10-10 00:00:00,,969416.08,
2025-10-11 00:00:00,,423389.31,
2025-10-12 00:00:00,,383338.55,
2025-10-13 00:00:00,,402406.02,
2025-10-14 00:00:00,,440917.70,
2025-10-15 00:00:00,,394697.21,
2025-10-16 00:00:00,,368392.97,
2025-10-17 00:00:00,,529684.63,
2025-10-18 00:00:00,,714283.15,
2025-10-19 00:00:00,,671321.51,
2025-10-20 00:00:00,,614040.97,
2025-10-21 00:00:00,,609317.01,
2025-10-22 00:00:00,,553569.89,
2025-10-23 00:00:00,,653219.04,
2025-10-24 00:00:00,,570211.53,
2025-10-25 00:00:00,,580344.55,
2025-10-26 00:00:00,,681149.06,
2025-10-27 00:00:00,,752573.94,
2025-10-28 00:00:00,,742045.41,
2025-10-29 00:00:00,,749128.96,
2025-10-30 00:00:00,,705025.15,
2025-10-31 00:00:00,,1604283.42,
2025-11-01 00:00:00,,3154466.09,
2025-11-02 00:00:00,,2196844.60,
2025-11-03 00:00:00,,2161150.61,
2025-11-04 00:00:00,,1671237.23,
2025-11-05 00:00:00,,1471092.59,
2025-11-06 00:00:00,,1563575.01,
2025-11-07 00:00:00,,1532957.07,
2025-11-08 00:00:00,,1438866.96,
2025-11-09 00:00:00,,1797564.22,
2025-11-10 00:00:00,,1362069.69,
2025-11-11 00:00:00,,1480565.42,
2025-11-12 00:00:00,,1506396.42,
2025-11-13 00:00:00,,1321264.21,
2025-11-14 00:00:00,,1271765.97,
2025-11-15 00:00:00,,1114693.45,
2025-11-16 00:00:00,,1260513.30,
2025-11-17 00:00:00,,1083142.88,
2025-11-18 00:00:00,,906338.49,
2025-11-19 00:00:00,,875233.68,
2025-11-20 00:00:00,,820106.67,
2025-11-21 00:00:00,,658673.66,
2025-11-22 00:00:00,,615830.00,
2025-11-23 00:00:00,,572098.20,
2025-11-24 00:00:00,,624493.51,
2025-11-25 00:00:00,,956268.91,
2025-11-26 00:00:00,,1723940.04,
2025-11-27 00:00:00,,2471279.90,
2025-11-28 00:00:00,,2168065.90,
2025-11-29 00:00:00,,2098520.81,
2025-11-30 00:00:00,,2373014.42,
2025-12-01 00:00:00,,1945456.28,
2025-12-02 00:00:00,,1959884.70,
2025-12-03 00:00:00,,2319857.62,
2025-12-04 00:00:00,,2363307.94,
2025-12-05 00:00:00,,1876925.18,
2025-12-06 00:00:00,,1709863.30,
2025-12-07 00:00:00,,1635812.08,
2025-12-08 00:00:00,,1385881.79,
2025-12-09 00:00:00,,1433621.68,
2025-12-10 00:00:00,,1466398.14,
2025-12-11 00:00:00,,1474117.44,
2025-12-12 00:00:00,,2807785.62,
2025-12-13 00:00:00,,5581215.50,
2025-12-14 00:00:00,,3506954.13,
2025-12-15 00:00:00,,5531900.91,
2025-12-16 00:00:00,,4543356.11,
2025-12-17 00:00:00,,3829464.62,
2025-12-18 00:00:00,,5865018.46,
2025-12-19 00:00:00,,7646649.19,
2025-12-20 00:00:00,,7479813.57,
2025-12-21 00:00:00,,6003786.10,
2025-12-22 00:00:00,,4575407.91,
2025-12-23 00:00:00,,4830763.02,
2025-12-24 00:00:00,,8047836.01,
2025-12-25 00:00:00,,5453740.08,
2025-12-26 00:00:00,,5558002.09,
