time,oi_A,oi_6,oi_3
2022-08-18 00:00:00,,365413.06,
2022-08-19 00:00:00,,443436.07,
2022-08-20 00:00:00,,326489.68,
2022-08-21 00:00:00,,432890.31,
2022-08-22 00:00:00,,834567.26,
2022-08-23 00:00:00,,732405.11,
2022-08-24 00:00:00,,706780.21,
2022-08-25 00:00:00,,638337.14,
2022-08-26 00:00:00,,753550.97,
2022-08-27 00:00:00,,492179.01,
2022-08-28 00:00:00,,429163.16,
2022-08-29 00:00:00,,398765.47,
2022-08-30 00:00:00,,482080.53,
2022-08-31 00:00:00,,462313.67,
2022-09-01 00:00:00,,461124.18,
2022-09-02 00:00:00,,467771.78,
2022-09-03 00:00:00,,451724.60,
2022-09-04 00:00:00,,444311.04,
2022-09-05 00:00:00,,836611.35,
2022-09-06 00:00:00,,607508.74,
2022-09-07 00:00:00,,474446.49,
2022-09-08 00:00:00,,427897.32,
2022-09-09 00:00:00,,412518.12,
2022-09-10 00:00:00,,551879.67,
2022-09-11 00:00:00,,527054.82,
2022-09-12 00:00:00,,1493840.43,
2022-09-13 00:00:00,,1029862.35,
2022-09-14 00:00:00,,927491.73,
2022-09-15 00:00:00,,888584.05,
2022-09-16 00:00:00,,854414.02,
2022-09-17 00:00:00,,899968.79,
2022-09-18 00:00:00,,798270.42,
2022-09-19 00:00:00,,592657.23,
2022-09-20 00:00:00,,800222.36,
2022-09-21 00:00:00,,1008200.68,
2022-09-22 00:00:00,,604470.75,
2022-09-23 00:00:00,,550606.54,
2022-09-24 00:00:00,,550709.88,
2022-09-25 00:00:00,,1062511.53,
2022-09-26 00:00:00,,2789905.14,
2022-09-27 00:00:00,,2297482.34,
2022-09-28 00:00:00,,1604289.33,
2022-09-29 00:00:00,,1360446.16,
2022-09-30 00:00:00,,1046509.51,
2022-10-01 00:00:00,,1006883.57,
2022-10-02 00:00:00,,975169.70,
2022-10-03 00:00:00,,748006.39,
2022-10-04 00:00:00,,1160132.69,
2022-10-05 00:00:00,,1799887.84,
2022-10-06 00:00:00,,2514396.15,
2022-10-07 00:00:00,,1963443.92,
2022-10-08 00:00:00,,3390662.65,
2022-10-09 00:00:00,,4158558.92,
2022-10-10 00:00:00,,3915963.92,
2022-10-11 00:00:00,,1949871.16,
2022-10-12 00:00:00,,1798540.64,
2022-10-13 00:00:00,,1517671.21,
2022-10-14 00:00:00,,1145167.21,
2022-10-15 00:00:00,,1239080.14,
2022-10-16 00:00:00,,1457224.50,
2022-10-17 00:00:00,,2889573.78,
2022-10-18 00:00:00,,7918782.25,
2022-10-19 00:00:00,,5714372.25,
2022-10-20 00:00:00,,3480219.29,
2022-10-21 00:00:00,,2150065.75,
2022-10-22 00:00:00,,2194093.81,
2022-10-23 00:00:00,,2907604.10,
2022-10-24 00:00:00,,3417110.21,
2022-10-25 00:00:00,,2928067.56,
2022-10-26 00:00:00,,2639081.48,
2022-10-27 00:00:00,,3286353.02,
2022-10-28 00:00:00,,2907890.57,
2022-10-29 00:00:00,,3200707.63,
2022-10-30 00:00:00,,3706232.08,
2022-10-31 00:00:00,,4433663.50,
2022-11-01 00:00:00,,5377198.12,
2022-11-02 00:00:00,,6039747.37,
2022-11-03 00:00:00,,5391418.72,
2022-11-04 00:00:00,,5319615.61,
2022-11-05 00:00:00,,4972728.13,
2022-11-06 00:00:00,,5456406.79,
2022-11-07 00:00:00,,4480109.94,
2022-11-08 00:00:00,,4518452.91,
2022-11-09 00:00:00,,1601840.74,
2022-11-10 00:00:00,,952006.56,
2022-11-11 00:00:00,,846759.44,
2022-11-12 00:00:00,,801798.34,
2022-11-13 00:00:00,,859636.47,
2022-11-14 00:00:00,,924501.88,
2022-11-15 00:00:00,,859084.66,
2022-11-16 00:00:00,,953615.25,
2022-11-17 00:00:00,,1125670.25,
2022-11-18 00:00:00,,1029177.85,
2022-11-19 00:00:00,,962046.09,
2022-11-20 00:00:00,,833661.80,
2022-11-21 00:00:00,,736801.69,
2022-11-22 00:00:00,,761737.26,
2022-11-23 00:00:00,,799423.38,
2022-11-24 00:00:00,,886622.47,
2022-11-25 00:00:00,,853320.16,
2022-11-26 00:00:00,,833290.16,
2022-11-27 00:00:00,,810196.28,
2022-11-28 00:00:00,,828660.03,
2022-11-29 00:00:00,,888683.52,
2022-11-30 00:00:00,,1241910.63,
2022-12-01 00:00:00,,1153003.10,
2022-12-02 00:00:00,,1220341.30,
2022-12-03 00:00:00,,1513440.77,
2022-12-04 00:00:00,,1107770.68,
2022-12-05 00:00:00,,1127741.74,
2022-12-06 00:00:00,,1004081.11,
2022-12-07 00:00:00,,861603.24,
2022-12-08 00:00:00,,788917.45,
2022-12-09 00:00:00,,891123.34,
2022-12-10 00:00:00,,852377.54,
2022-12-11 00:00:00,,968680.84,
2022-12-12 00:00:00,,823208.18,
2022-12-13 00:00:00,,910040.22,
2022-12-14 00:00:00,,884368.60,
2022-12-15 00:00:00,,878876.70,
2022-12-16 00:00:00,,1007234.57,
2022-12-17 00:00:00,,765217.50,
2022-12-18 00:00:00,,843271.15,
2022-12-19 00:00:00,,806321.89,
2022-12-20 00:00:00,,740895.08,
2022-12-21 00:00:00,,863607.31,
2022-12-22 00:00:00,,948437.29,
2022-12-23 00:00:00,,915099.10,
2022-12-24 00:00:00,,865492.91,
2022-12-25 00:00:00,,911509.66,
2022-12-26 00:00:00,,925619.31,
2022-12-27 00:00:00,,1021983.53,
2022-12-28 00:00:00,,1106863.64,
2022-12-29 00:00:00,,991240.16,
2022-12-30 00:00:00,,987961.63,
2022-12-31 00:00:00,,879541.44,
2023-01-01 00:00:00,,858565.58,
2023-01-02 00:00:00,,827534.34,
2023-01-03 00:00:00,,846174.88,
2023-01-04 00:00:00,,914302.26,
2023-01-05 00:00:00,,867941.70,
2023-01-06 00:00:00,,865846.74,
2023-01-07 00:00:00,,832710.03,
2023-01-08 00:00:00,,1078536.25,
2023-01-09 00:00:00,,972711.00,
2023-01-10 00:00:00,,940790.19,
2023-01-11 00:00:00,,913185.87,
2023-01-12 00:00:00,,827124.46,
2023-01-13 00:00:00,,879151.10,
2023-01-14 00:00:00,,886564.97,
2023-01-15 00:00:00,,809536.76,
2023-01-16 00:00:00,,812395.81,
2023-01-17 00:00:00,,820968.48,
2023-01-18 00:00:00,,778785.91,
2023-01-19 00:00:00,,832105.55,
2023-01-20 00:00:00,,1142452.29,
2023-01-21 00:00:00,,1121850.51,
2023-01-22 00:00:00,,1423224.03,
2023-01-23 00:00:00,,1964333.71,
2023-01-24 00:00:00,,2054192.25,
2023-01-25 00:00:00,,1614526.44,
2023-01-26 00:00:00,,2202269.90,
2023-01-27 00:00:00,,3106648.98,
2023-01-28 00:00:00,,3590337.86,
2023-01-29 00:00:00,,3121793.39,
2023-01-30 00:00:00,,2763508.85,
2023-01-31 00:00:00,,4114487.95,
2023-02-01 00:00:00,,4259630.73,
2023-02-02 00:00:00,,4912166.45,
2023-02-03 00:00:00,,4311075.31,
2023-02-04 00:00:00,,5047444.99,
2023-02-05 00:00:00,,4865839.46,
2023-02-06 00:00:00,,4399638.14,
2023-02-07 00:00:00,,4672766.30,
2023-02-08 00:00:00,,5616274.61,
2023-02-09 00:00:00,,5693726.05,
2023-02-10 00:00:00,,3261995.58,
2023-02-11 00:00:00,,3205022.97,
2023-02-12 00:00:00,,3843554.31,
2023-02-13 00:00:00,,3199887.83,
2023-02-14 00:00:00,,3176631.53,
2023-02-15 00:00:00,,3403424.05,
2023-02-16 00:00:00,,4103646.81,
2023-02-17 00:00:00,,3159859.89,
2023-02-18 00:00:00,,4165786.09,
2023-02-19 00:00:00,,5391991.77,
2023-02-20 00:00:00,,4295622.01,
2023-02-21 00:00:00,,5036769.30,
2023-02-22 00:00:00,,4836395.08,
2023-02-23 00:00:00,,4213233.95,
2023-02-24 00:00:00,,4201232.04,
2023-02-25 00:00:00,,3832399.92,
2023-02-26 00:00:00,,3480085.99,
2023-02-27 00:00:00,,3585433.27,
2023-02-28 00:00:00,,3528047.43,
2023-03-01 00:00:00,,3569546.85,
2023-03-02 00:00:00,,3792570.09,
2023-03-03 00:00:00,,3776476.42,
2023-03-04 00:00:00,,3387868.40,
2023-03-05 00:00:00,,3189332.75,
2023-03-06 00:00:00,,3575209.51,
2023-03-07 00:00:00,,3145800.20,
2023-03-08 00:00:00,,3111853.45,
2023-03-09 00:00:00,,2927185.91,
2023-03-10 00:00:00,,2593045.99,
2023-03-11 00:00:00,,4622630.13,
2023-03-12 00:00:00,,4594943.52,
2023-03-13 00:00:00,,5425335.20,
2023-03-14 00:00:00,,5915027.27,
2023-03-15 00:00:00,,5580724.32,
2023-03-16 00:00:00,,4331388.10,
2023-03-17 00:00:00,,4662225.56,
2023-03-18 00:00:00,,5314528.18,
2023-03-19 00:00:00,,3832702.03,
2023-03-20 00:00:00,,3730770.70,
2023-03-21 00:00:00,,3585452.84,
2023-03-22 00:00:00,,3854059.40,
2023-03-23 00:00:00,,4202159.01,
2023-03-24 00:00:00,,5211424.00,
2023-03-25 00:00:00,,5342676.47,
2023-03-26 00:00:00,,5507781.43,
2023-03-27 00:00:00,,5896059.33,
2023-03-28 00:00:00,,7490670.09,
2023-03-29 00:00:00,,8593122.68,
2023-03-30 00:00:00,,8107878.89,
2023-03-31 00:00:00,,8082005.65,
2023-04-01 00:00:00,,8313260.51,
2023-04-02 00:00:00,,13009580.44,
2023-04-03 00:00:00,,12372057.74,
2023-04-04 00:00:00,,14804236.22,
2023-04-05 00:00:00,,11579072.05,
2023-04-06 00:00:00,,12237873.58,
2023-04-07 00:00:00,,13709782.01,
2023-04-08 00:00:00,,15753451.68,
2023-04-09 00:00:00,,14051621.03,
2023-04-10 00:00:00,,14436885.98,
