time,oi_A,oi_6,oi_3
2022-09-23 00:00:00,671705.89,,
2022-09-24 00:00:00,1170421.85,,
2022-09-25 00:00:00,1558169.76,,
2022-09-26 00:00:00,1588882.58,,
2022-09-27 00:00:00,1831474.12,,
2022-09-28 00:00:00,1684964.36,,
2022-09-29 00:00:00,2022412.82,,
2022-09-30 00:00:00,2011384.40,,
2022-10-01 00:00:00,2064452.28,,
2022-10-02 00:00:00,2535610.38,,
2022-10-03 00:00:00,2350718.22,,
2022-10-04 00:00:00,2539594.70,,
2022-10-05 00:00:00,2984381.03,,
2022-10-06 00:00:00,2883504.34,,
2022-10-07 00:00:00,2984687.38,,
2022-10-08 00:00:00,2950227.15,,
2022-10-09 00:00:00,2931217.04,,
2022-10-10 00:00:00,2944642.06,,
2022-10-11 00:00:00,3367901.23,,
2022-10-12 00:00:00,2861543.52,,
2022-10-13 00:00:00,3184741.77,,
2022-10-14 00:00:00,3336585.39,,
2022-10-15 00:00:00,3729801.42,,
2022-10-16 00:00:00,4186027.33,,
2022-10-17 00:00:00,3763466.02,,
2022-10-18 00:00:00,10725199.56,,
2022-10-19 00:00:00,6505756.72,,
2022-10-20 00:00:00,4719913.62,,
2022-10-21 00:00:00,7876767.04,,
2022-10-22 00:00:00,8866835.78,,
2022-10-23 00:00:00,7384020.61,,
2022-10-24 00:00:00,6201659.90,,
2022-10-25 00:00:00,6651494.13,,
2022-10-26 00:00:00,8118414.17,,
2022-10-27 00:00:00,10315698.80,,
2022-10-28 00:00:00,8301111.50,,
2022-10-29 00:00:00,7981203.98,,
2022-10-30 00:00:00,7056681.50,,
2022-10-31 00:00:00,5984383.00,,
2022-11-01 00:00:00,5761429.49,,
2022-11-02 00:00:00,5572017.59,,
2022-11-03 00:00:00,6233850.36,,
2022-11-04 00:00:00,6164846.82,,
2022-11-05 00:00:00,7706770.75,,
2022-11-06 00:00:00,7570945.18,,
2022-11-07 00:00:00,6732542.60,,
2022-11-08 00:00:00,7191209.95,,
2022-11-09 00:00:00,5123881.17,,
2022-11-10 00:00:00,3828226.49,,
2022-11-11 00:00:00,4519459.76,,
2022-11-12 00:00:00,4891294.76,,
2022-11-13 00:00:00,5036479.62,,
2022-11-14 00:00:00,4839753.42,,
2022-11-15 00:00:00,4884139.41,,
2022-11-16 00:00:00,5840598.78,,
2022-11-17 00:00:00,6617649.78,,
2022-11-18 00:00:00,6485166.27,,
2022-11-19 00:00:00,7762476.55,,
2022-11-20 00:00:00,6978818.69,,
2022-11-21 00:00:00,6626998.22,,
2022-11-22 00:00:00,6291481.02,,
2022-11-23 00:00:00,6740829.96,,
2022-11-24 00:00:00,6845060.70,,
2022-11-25 00:00:00,6906507.69,,
2022-11-26 00:00:00,6781134.86,,
2022-11-27 00:00:00,6640066.65,,
2022-11-28 00:00:00,6324883.08,,
2022-11-29 00:00:00,6133912.23,,
2022-11-30 00:00:00,5989584.06,,
2022-12-01 00:00:00,6223440.98,,
2022-12-02 00:00:00,5920032.84,,
2022-12-03 00:00:00,5707557.20,,
2022-12-04 00:00:00,5581368.17,,
2022-12-05 00:00:00,5465065.78,,
2022-12-06 00:00:00,5928979.25,,
2022-12-07 00:00:00,5679577.69,,
2022-12-08 00:00:00,5630349.85,,
2022-12-09 00:00:00,5978619.92,,
2022-12-10 00:00:00,5443805.86,,
2022-12-11 00:00:00,5502887.67,,
2022-12-12 00:00:00,5590007.51,,
2022-12-13 00:00:00,5486829.88,,
2022-12-14 00:00:00,6254517.00,,
2022-12-15 00:00:00,6109153.38,,
2022-12-16 00:00:00,6306193.11,,
2022-12-17 00:00:00,5296863.78,,
2022-12-18 00:00:00,5288550.90,,
2022-12-19 00:00:00,5281422.37,,
2022-12-20 00:00:00,5087031.71,,
2022-12-21 00:00:00,5544139.31,,
2022-12-22 00:00:00,5462380.88,,
2022-12-23 00:00:00,5658923.61,,
2022-12-24 00:00:00,5682728.80,,
2022-12-25 00:00:00,7006565.93,,
2022-12-26 00:00:00,8737016.17,,
2022-12-27 00:00:00,10096616.68,,
2022-12-28 00:00:00,10138618.83,,
2022-12-29 00:00:00,7587071.99,,
2022-12-30 00:00:00,7603571.48,,
2022-12-31 00:00:00,7879928.56,,
2023-01-01 00:00:00,7809978.23,,
2023-01-02 00:00:00,23517142.54,,
2023-01-03 00:00:00,32560594.33,,
2023-01-04 00:00:00,30735509.20,,
2023-01-05 00:00:00,37704339.13,,
2023-01-06 00:00:00,35314499.71,,
2023-01-07 00:00:00,47037389.78,,
2023-01-08 00:00:00,43490757.96,,
2023-01-09 00:00:00,47133957.93,,
2023-01-10 00:00:00,36000135.40,,
2023-01-11 00:00:00,35942303.36,,
2023-01-12 00:00:00,33752485.43,,
2023-01-13 00:00:00,34817782.15,,
2023-01-14 00:00:00,37344942.78,,
2023-01-15 00:00:00,34946809.82,,
2023-01-16 00:00:00,36712590.11,,
2023-01-17 00:00:00,34781667.90,,
2023-01-18 00:00:00,33837586.26,,
2023-01-19 00:00:00,28733386.71,,
2023-01-20 00:00:00,28244300.83,,
2023-01-21 00:00:00,33680328.37,,
2023-01-22 00:00:00,33773129.04,,
2023-01-23 00:00:00,29454572.54,,
2023-01-24 00:00:00,34106470.98,,
2023-01-25 00:00:00,30719761.60,,
2023-01-26 00:00:00,29712345.28,,
2023-01-27 00:00:00,28126234.20,,
2023-01-28 00:00:00,28996396.13,,
2023-01-29 00:00:00,26064219.49,,
2023-01-30 00:00:00,25238403.70,,
2023-01-31 00:00:00,21321342.06,,
2023-02-01 00:00:00,22874995.53,,
2023-02-02 00:00:00,24681360.52,,
2023-02-03 00:00:00,24652667.41,,1310974.62
2023-02-04 00:00:00,27369410.39,,1831694.16
2023-02-05 00:00:00,25393014.66,,1923864.75
2023-02-06 00:00:00,24579806.00,,2087329.21
2023-02-07 00:00:00,29613362.60,,3028913.64
2023-02-08 00:00:00,37471141.69,,4931232.79
2023-02-09 00:00:00,33043704.42,,4807426.07
2023-02-10 00:00:00,34475697.20,,6825070.78
2023-02-11 00:00:00,28180242.40,,5069969.28
2023-02-12 00:00:00,29871692.22,,5849776.10
2023-02-13 00:00:00,31400298.77,,6721642.19
2023-02-14 00:00:00,26641799.13,,7162099.40
2023-02-15 00:00:00,26688204.79,,6764673.78
2023-02-16 00:00:00,34511129.70,,8268921.49
2023-02-17 00:00:00,29607029.61,,7610682.81
2023-02-18 00:00:00,36430499.55,,8655223.60
2023-02-19 00:00:00,42845625.91,,10490394.83
2023-02-20 00:00:00,34724959.99,,8986883.07
2023-02-21 00:00:00,33722164.97,,8638896.97
2023-02-22 00:00:00,32460102.34,,7456521.09
2023-02-23 00:00:00,33263801.24,,7213132.35
2023-02-24 00:00:00,32761400.53,,7590169.57
2023-02-25 00:00:00,32152751.04,,7554958.82
2023-02-26 00:00:00,34326970.50,,7835864.36
2023-02-27 00:00:00,47075550.41,,9897345.10
2023-02-28 00:00:00,55055968.27,,9930020.15
2023-03-01 00:00:00,46585591.77,,9170683.59
2023-03-02 00:00:00,44956269.92,,9225404.46
2023-03-03 00:00:00,46860205.33,,10039097.14
2023-03-04 00:00:00,44618843.25,,9615309.95
2023-03-05 00:00:00,40116791.79,,8212594.94
2023-03-06 00:00:00,40407311.63,,8375015.32
2023-03-07 00:00:00,38872959.42,,8472471.83
2023-03-08 00:00:00,36978590.03,,8092162.98
2023-03-09 00:00:00,32012013.78,,6579302.69
2023-03-10 00:00:00,31443102.07,,5655383.96
2023-03-11 00:00:00,30553283.03,,5189817.27
2023-03-12 00:00:00,28756825.28,,5852340.99
2023-03-13 00:00:00,30758549.84,,5759236.05
2023-03-14 00:00:00,40583040.60,,6600774.52
2023-03-15 00:00:00,38509579.33,,5915964.76
2023-03-16 00:00:00,31915951.64,,4944091.09
2023-03-17 00:00:00,35251465.98,,6299498.02
2023-03-18 00:00:00,36141449.45,,6550194.10
2023-03-19 00:00:00,29262945.89,,5089109.43
2023-03-20 00:00:00,28394251.12,,5549825.50
2023-03-21 00:00:00,26177721.69,,4830932.62
2023-03-22 00:00:00,28251927.69,,5363333.40
2023-03-23 00:00:00,26665469.07,,5792882.68
2023-03-24 00:00:00,27015090.51,,5848205.77
2023-03-25 00:00:00,34634038.51,,6014316.71
2023-03-26 00:00:00,35538301.78,,6354831.92
2023-03-27 00:00:00,37697603.61,,6679603.04
2023-03-28 00:00:00,35688849.54,,6810393.64
2023-03-29 00:00:00,40455959.69,,8137450.31
2023-03-30 00:00:00,36105157.82,,7478938.10
2023-03-31 00:00:00,31904587.05,,7075432.11
2023-04-01 00:00:00,33670858.00,,6976472.29
2023-04-02 00:00:00,30384659.42,,6599379.72
2023-04-03 00:00:00,27958304.76,,6267585.98
2023-04-04 00:00:00,26646410.30,,6415929.89
2023-04-05 00:00:00,31050149.37,,7707156.46
2023-04-06 00:00:00,33162978.17,,7670115.54
2023-04-07 00:00:00,36023327.38,,8416736.14
2023-04-08 00:00:00,34791222.71,,7788284.72
2023-04-09 00:00:00,33720226.98,,7603027.23
2023-04-10 00:00:00,35551217.34,,7596143.14
2023-04-11 00:00:00,35792253.17,,8045029.41
2023-04-12 00:00:00,35245969.29,,7097713.45
2023-04-13 00:00:00,37306507.29,,7319106.52
2023-04-14 00:00:00,42635802.86,,7104153.63
2023-04-15 00:00:00,46404978.75,,8123249.05
2023-04-16 00:00:00,41841764.81,,8058306.17
2023-04-17 00:00:00,42430128.24,,8127923.59
2023-04-18 00:00:00,44187350.23,,7523497.56
2023-04-19 00:00:00,46932038.12,,7480236.02
2023-04-20 00:00:00,38863718.64,,6352853.63
2023-04-21 00:00:00,37269651.67,,6287636.10
2023-04-22 00:00:00,35082068.62,,5997036.72
2023-04-23 00:00:00,36142357.95,,6390789.07
2023-04-24 00:00:00,35692408.78,,5357420.41
2023-04-25 00:00:00,35011450.03,,5371877.45
2023-04-26 00:00:00,35213352.65,,5560902.55
2023-04-27 00:00:00,32931004.96,,5917550.28
2023-04-28 00:00:00,31131302.12,,6796317.24
2023-04-29 00:00:00,30302996.00,,6734022.82
2023-04-30 00:00:00,30875437.80,,6950259.68
2023-05-01 00:00:00,30598053.25,,6898329.33
2023-05-02 00:00:00,31827370.37,,7309716.08
2023-05-03 00:00:00,31782253.23,,7293894.44
2023-05-04 00:00:00,33515571.46,,7170586.62
2023-05-05 00:00:00,32997398.14,,6914206.19
2023-05-06 00:00:00,33588739.58,,5926004.21
2023-05-07 00:00:00,32207453.46,,6150682.44
2023-05-08 00:00:00,30266972.10,,5799644.91
2023-05-09 00:00:00,34312446.67,,5303557.35
2023-05-10 00:00:00,46842034.43,,6247667.91
2023-05-11 00:00:00,36539171.17,,6454269.69
2023-05-12 00:00:00,34505116.03,,6311629.74
2023-05-13 00:00:00,45453199.70,,7891652.48
2023-05-14 00:00:00,49184172.06,,8517115.89
2023-05-15 00:00:00,50102236.27,,8404260.39
2023-05-16 00:00:00,68979370.05,,11932878.89
2023-05-17 00:00:00,72162513.92,,13947086.95
2023-05-18 00:00:00,67296925.13,,12606780.03
2023-05-19 00:00:00,52413142.42,,10732964.17
2023-05-20 00:00:00,51805058.71,,10947814.34
2023-05-21 00:00:00,46354145.02,,9897716.61
2023-05-22 00:00:00,43400350.64,,9892190.78
2023-05-23 00:00:00,42950468.34,,9814459.06
2023-05-24 00:00:00,39184568.30,,9118732.68
2023-05-25 00:00:00,42754344.12,,7429040.70
2023-05-26 00:00:00,42205946.95,,6395630.91
2023-05-27 00:00:00,41193507.34,,6950751.60
2023-05-28 00:00:00,40596356.35,,7493042.26
2023-05-29 00:00:00,40639648.46,,7370166.14
2023-05-30 00:00:00,47778542.66,,7876835.91
2023-05-31 00:00:00,45328690.73,,7723876.47
2023-06-01 00:00:00,44510203.23,,7246474.62
2023-06-02 00:00:00,44897841.34,,6618888.28
2023-06-03 00:00:00,57139284.56,,7921537.61
2023-06-04 00:00:00,57273798.84,,7339461.19
2023-06-05 00:00:00,55630536.05,,7096359.56
2023-06-06 00:00:00,49090266.35,,6414126.64
2023-06-07 00:00:00,62690333.54,,8496202.32
2023-06-08 00:00:00,54458725.17,,8229945.73
2023-06-09 00:00:00,48243769.18,,7303260.52
2023-06-10 00:00:00,46568448.74,,7937892.71
2023-06-11 00:00:00,30935547.00,,8148312.70
2023-06-12 00:00:00,27702331.98,,8001850.86
2023-06-13 00:00:00,26104342.90,,7784245.66
2023-06-14 00:00:00,27110041.91,,7898776.85
2023-06-15 00:00:00,24782786.18,,7630496.21
2023-06-16 00:00:00,26062004.69,,7902211.33
2023-06-17 00:00:00,26435819.05,,8105231.98
2023-06-18 00:00:00,25261826.05,,7383096.82
2023-06-19 00:00:00,24280698.02,,7280150.17
2023-06-20 00:00:00,23970654.11,,7145742.17
2023-06-21 00:00:00,25968497.86,,7729994.36
2023-06-22 00:00:00,26901496.27,,8369526.72
2023-06-23 00:00:00,23515907.06,,7890226.80
2023-06-24 00:00:00,21901799.89,,7976012.14
2023-06-25 00:00:00,20990126.10,,6826097.64
2023-06-26 00:00:00,23592608.25,,7504109.96
2023-06-27 00:00:00,23123433.93,,7053468.22
2023-06-28 00:00:00,25334858.88,,6531499.71
2023-06-29 00:00:00,23067792.11,,6041337.54
2023-06-30 00:00:00,22555891.88,,5787690.69
2023-07-01 00:00:00,26873191.35,,6355158.56
2023-07-02 00:00:00,31695525.81,,7000005.84
2023-07-03 00:00:00,30890488.50,,6663509.02
2023-07-04 00:00:00,34039505.28,,7176907.73
2023-07-05 00:00:00,31383892.99,,6928439.19
2023-07-06 00:00:00,27742057.01,,6583757.27
2023-07-07 00:00:00,25373526.51,,5956170.93
2023-07-08 00:00:00,26699764.73,,6139570.52
2023-07-09 00:00:00,26645047.14,,5721446.88
2023-07-10 00:00:00,26424789.26,,5935520.91
2023-07-11 00:00:00,25956332.70,,5970869.89
2023-07-12 00:00:00,25822206.25,,6145939.79
2023-07-13 00:00:00,26254330.98,,6122338.54
2023-07-14 00:00:00,34702668.49,,7538267.55
2023-07-15 00:00:00,33528429.93,,8345430.80
2023-07-16 00:00:00,38853267.49,,7434992.70
2023-07-17 00:00:00,35154525.47,,7152783.67
2023-07-18 00:00:00,35717894.42,,7933467.52
2023-07-19 00:00:00,34794293.98,,8235268.02
2023-07-20 00:00:00,33938192.12,,8378478.41
2023-07-21 00:00:00,30222039.53,,7890076.24
2023-07-22 00:00:00,31082712.45,,7726205.06
2023-07-23 00:00:00,30413825.73,,7901929.56
2023-07-24 00:00:00,30223935.73,,8325951.93
2023-07-25 00:00:00,29915878.70,,8520049.51
2023-07-26 00:00:00,31275874.08,,7988870.80
2023-07-27 00:00:00,31838938.16,,9250827.65
2023-07-28 00:00:00,31859995.14,,8464538.55
2023-07-29 00:00:00,32341733.18,,8824301.21
2023-07-30 00:00:00,31717433.02,,8753451.62
2023-07-31 00:00:00,30773275.17,,8786601.79
2023-08-01 00:00:00,30501934.84,,8576108.03
2023-08-02 00:00:00,34502691.45,,8592750.28
2023-08-03 00:00:00,31932502.46,,8558324.08
2023-08-04 00:00:00,30198077.01,,8287906.52
2023-08-05 00:00:00,30910363.56,,8232843.08
2023-08-06 00:00:00,30795453.50,,8300054.42
2023-08-07 00:00:00,29470594.83,,8156432.05
2023-08-08 00:00:00,30470858.96,,8154624.54
2023-08-09 00:00:00,31282969.74,,8005811.92
2023-08-10 00:00:00,30924126.98,,8408855.54
2023-08-11 00:00:00,30892839.98,,8396877.64
2023-08-12 00:00:00,32284652.87,,8814507.43
2023-08-13 00:00:00,31060816.77,,8590799.35
2023-08-14 00:00:00,31281788.39,,8615258.26
2023-08-15 00:00:00,31511726.71,,8949494.48
2023-08-16 00:00:00,30396027.84,,8664928.17
2023-08-17 00:00:00,26037443.51,,8394084.88
2023-08-18 00:00:00,24832934.04,,7097802.43
2023-08-19 00:00:00,24522576.90,,7526013.94
2023-08-20 00:00:00,23823391.35,,7378512.05
2023-08-21 00:00:00,23505815.24,,7390251.42
2023-08-22 00:00:00,21807134.08,,6948824.80
2023-08-23 00:00:00,21804774.59,,7026005.66
2023-08-24 00:00:00,21998984.06,,6999725.67
2023-08-25 00:00:00,20195191.19,,6665976.86
2023-08-26 00:00:00,21027144.19,,6980129.17
2023-08-27 00:00:00,22722652.37,,6877007.59
2023-08-28 00:00:00,21232240.58,,6772805.02
2023-08-29 00:00:00,19728505.50,,6414293.78
2023-08-30 00:00:00,19445628.46,,6796080.06
2023-08-31 00:00:00,18953560.70,,6471279.66
2023-09-01 00:00:00,18080339.00,,6217023.04
2023-09-02 00:00:00,18009835.16,,6070373.38
2023-09-03 00:00:00,18654188.20,,6206125.65
2023-09-04 00:00:00,18131962.08,,6130221.75
2023-09-05 00:00:00,18749890.68,,6216083.54
2023-09-06 00:00:00,18442522.31,,6264571.40
2023-09-07 00:00:00,18330043.36,,7089839.80
2023-09-08 00:00:00,18885918.52,,7086363.59
2023-09-09 00:00:00,19174835.65,,6764654.26
2023-09-10 00:00:00,19303141.54,,7068110.61
2023-09-11 00:00:00,18374990.18,,6778614.23
2023-09-12 00:00:00,18252160.64,,6809124.09
2023-09-13 00:00:00,18472596.79,,6225749.97
2023-09-14 00:00:00,18702291.40,,6064569.09
2023-09-15 00:00:00,19022422.99,,6126150.38
2023-09-16 00:00:00,20073038.58,,6232245.05
2023-09-17 00:00:00,19282189.41,,6963562.54
2023-09-18 00:00:00,18683601.71,,6709443.46
2023-09-19 00:00:00,19773839.09,,6674935.43
2023-09-20 00:00:00,19670845.33,,6567456.93
2023-09-21 00:00:00,19190090.94,,6686270.85
2023-09-22 00:00:00,18805932.86,,6006479.52
2023-09-23 00:00:00,19368815.14,,5790274.13
2023-09-24 00:00:00,19473358.00,,5757788.67
2023-09-25 00:00:00,19228250.73,,5731023.74
2023-09-26 00:00:00,19756740.29,,5680398.02
2023-09-27 00:00:00,19769763.82,,5435814.79
2023-09-28 00:00:00,19741848.01,,5461461.51
2023-09-29 00:00:00,22647511.65,,5915523.06
2023-09-30 00:00:00,22414734.80,,6526974.49
2023-10-01 00:00:00,23592936.53,,7558062.96
2023-10-02 00:00:00,22221139.23,,6653566.76
2023-10-03 00:00:00,22771945.17,,6148382.98
2023-10-04 00:00:00,25539014.90,,6199754.56
2023-10-05 00:00:00,25824768.83,,6183693.39
2023-10-06 00:00:00,24965000.36,,5950387.39
2023-10-07 00:00:00,25005964.52,,5972031.79
2023-10-08 00:00:00,24937051.32,,5782760.88
2023-10-09 00:00:00,25336371.53,,5708873.66
2023-10-10 00:00:00,24530067.23,,5446194.84
2023-10-11 00:00:00,24948553.19,,5527865.89
2023-10-12 00:00:00,25072140.64,,5758294.85
2023-10-13 00:00:00,23801551.84,,5622853.95
2023-10-14 00:00:00,25061538.31,,5998510.58
2023-10-15 00:00:00,26189143.95,,6171951.43
2023-10-16 00:00:00,26124759.96,,6185110.55
2023-10-17 00:00:00,23256029.90,,5889849.70
2023-10-18 00:00:00,21931391.62,,5484324.89
2023-10-19 00:00:00,20048143.68,,5367773.05
2023-10-20 00:00:00,20079557.89,,5408408.13
2023-10-21 00:00:00,19809212.84,,5338009.19
2023-10-22 00:00:00,22076087.45,,6357504.64
2023-10-23 00:00:00,22885417.09,,6843680.69
2023-10-24 00:00:00,22803794.32,,6286221.25
2023-10-25 00:00:00,24941389.04,,7136209.74
2023-10-26 00:00:00,25693070.47,,6171955.99
2023-10-27 00:00:00,25388442.83,,6355811.63
2023-10-28 00:00:00,25400931.34,,6306014.59
2023-10-29 00:00:00,24892580.66,,6247331.64
2023-10-30 00:00:00,24702450.19,,6267901.07
2023-10-31 00:00:00,25276121.69,,6454444.10
