time,oi_A,oi_6,oi_3
2024-02-08 00:00:00,,4271466.63,
2024-02-09 00:00:00,,12897403.47,
2024-02-10 00:00:00,,22287998.03,
2024-02-11 00:00:00,,31874897.13,
2024-02-12 00:00:00,,32660871.45,
2024-02-13 00:00:00,,39940537.55,
2024-02-14 00:00:00,,44096643.38,
2024-02-15 00:00:00,,42958007.23,
2024-02-16 00:00:00,,51020275.87,
2024-02-17 00:00:00,,49389835.94,
2024-02-18 00:00:00,,59506162.51,
2024-02-19 00:00:00,,63006781.71,
2024-02-20 00:00:00,,53924022.08,
2024-02-21 00:00:00,,46420580.89,
2024-02-22 00:00:00,,37512332.47,
2024-02-23 00:00:00,,35090865.74,
2024-02-24 00:00:00,,33129304.29,
2024-02-25 00:00:00,,35994616.02,
2024-02-26 00:00:00,,33817922.29,
2024-02-27 00:00:00,,33053740.25,
2024-02-28 00:00:00,,32668102.53,
2024-02-29 00:00:00,,27842715.85,
2024-03-01 00:00:00,,23897366.48,
2024-03-02 00:00:00,,25532567.37,
2024-03-03 00:00:00,,27771200.57,
2024-03-04 00:00:00,,25770792.82,
2024-03-05 00:00:00,,24909610.52,
2024-03-06 00:00:00,,21146123.17,
2024-03-07 00:00:00,,21881875.41,
2024-03-08 00:00:00,,24398688.77,
2024-03-09 00:00:00,,26366243.13,
2024-03-10 00:00:00,,25966905.29,
2024-03-11 00:00:00,,27355186.08,
2024-03-12 00:00:00,,26188010.31,
2024-03-13 00:00:00,,25848511.02,
2024-03-14 00:00:00,,25879522.81,
2024-03-15 00:00:00,,23612942.56,
2024-03-16 00:00:00,,18787885.09,
2024-03-17 00:00:00,,17430743.12,
2024-03-18 00:00:00,,18558817.13,
2024-03-19 00:00:00,,15368634.11,
2024-03-20 00:00:00,,12219458.29,
2024-03-21 00:00:00,,15151773.84,
2024-03-22 00:00:00,,16045150.96,
2024-03-23 00:00:00,,13738702.44,
2024-03-24 00:00:00,,13207720.23,
2024-03-25 00:00:00,,13673148.57,
2024-03-26 00:00:00,,14536729.03,
2024-03-27 00:00:00,,15761907.93,
2024-03-28 00:00:00,,15889577.29,
2024-03-29 00:00:00,,16441870.03,
2024-03-30 00:00:00,,15430740.84,
2024-03-31 00:00:00,,15518202.04,
2024-04-01 00:00:00,,16477903.68,
2024-04-02 00:00:00,,15608607.88,
2024-04-03 00:00:00,,14009086.32,
2024-04-04 00:00:00,,14048342.75,
