time,oi_A,oi_6,oi_3
2024-02-22 00:00:00,1379870.61,,
2024-02-23 00:00:00,3128108.83,,
2024-02-24 00:00:00,3234622.28,,
2024-02-25 00:00:00,3425151.60,,
2024-02-26 00:00:00,3521443.84,,
2024-02-27 00:00:00,4292092.97,,
2024-02-28 00:00:00,5267599.82,,
2024-02-29 00:00:00,7482706.60,,
2024-03-01 00:00:00,7989821.27,,
2024-03-02 00:00:00,10275988.80,,
2024-03-03 00:00:00,10353900.68,,
2024-03-04 00:00:00,9604061.72,,
2024-03-05 00:00:00,9620652.81,,
2024-03-06 00:00:00,8868196.79,,
2024-03-07 00:00:00,8950801.19,,
2024-03-08 00:00:00,9570054.83,,
2024-03-09 00:00:00,12611759.03,,
2024-03-10 00:00:00,14427653.65,,
2024-03-11 00:00:00,15215483.45,,
2024-03-12 00:00:00,14614296.14,,
2024-03-13 00:00:00,14499453.29,,
2024-03-14 00:00:00,14000388.67,,
2024-03-15 00:00:00,13695366.19,,
2024-03-16 00:00:00,12211844.69,,
2024-03-17 00:00:00,11176984.45,,
2024-03-18 00:00:00,11775843.34,,
2024-03-19 00:00:00,10164645.97,,
2024-03-20 00:00:00,8827001.40,,
2024-03-21 00:00:00,11663703.27,,
2024-03-22 00:00:00,13427991.87,,
2024-03-23 00:00:00,13805781.23,,
2024-03-24 00:00:00,13467678.07,,
2024-03-25 00:00:00,13874585.54,,
2024-03-26 00:00:00,14638588.99,,
2024-03-27 00:00:00,15312535.63,,
2024-03-28 00:00:00,14785037.56,,
2024-03-29 00:00:00,16534175.78,,
2024-03-30 00:00:00,16117616.06,,
2024-03-31 00:00:00,16340013.20,,
2024-04-01 00:00:00,16788184.57,,
2024-04-02 00:00:00,14734707.51,,
2024-04-03 00:00:00,13281605.71,,
2024-04-04 00:00:00,13410180.45,,
2024-04-05 00:00:00,13488577.24,,
2024-04-06 00:00:00,12825394.51,,
2024-04-07 00:00:00,13066885.17,,
2024-04-08 00:00:00,13296729.76,,
2024-04-09 00:00:00,13994507.39,,
2024-04-10 00:00:00,12894492.57,,
2024-04-11 00:00:00,12750838.77,,
2024-04-12 00:00:00,13359497.95,,
2024-04-13 00:00:00,8695214.60,,
2024-04-14 00:00:00,5539830.38,,
2024-04-15 00:00:00,5703468.36,,
2024-04-16 00:00:00,5359344.91,,
2024-04-17 00:00:00,5341081.72,,
2024-04-18 00:00:00,5336274.83,,
2024-04-19 00:00:00,5372539.66,,
2024-04-20 00:00:00,5303294.68,,
2024-04-21 00:00:00,6241241.12,,
2024-04-22 00:00:00,5997670.90,,
2024-04-23 00:00:00,12959549.81,,
2024-04-24 00:00:00,11883614.56,,
2024-04-25 00:00:00,8286000.09,,
2024-04-26 00:00:00,10597585.53,,
2024-04-27 00:00:00,9785724.88,,
2024-04-28 00:00:00,9600899.50,,
2024-04-29 00:00:00,9560099.84,,
2024-04-30 00:00:00,7072162.47,,
2024-05-01 00:00:00,6255827.32,,
2024-05-02 00:00:00,5563914.11,,
2024-05-03 00:00:00,5693899.55,,
2024-05-04 00:00:00,6510907.13,,
2024-05-05 00:00:00,6877530.10,,
2024-05-06 00:00:00,6104645.60,,
2024-05-07 00:00:00,5556734.44,,
2024-05-08 00:00:00,5009452.29,,
2024-05-09 00:00:00,4771073.48,,
2024-05-10 00:00:00,5010585.30,,
2024-05-11 00:00:00,4579011.31,,
2024-05-12 00:00:00,4789333.15,,
2024-05-13 00:00:00,4502366.06,,
2024-05-14 00:00:00,4404189.67,,
2024-05-15 00:00:00,4214162.07,,
2024-05-16 00:00:00,4637791.33,,
2024-05-17 00:00:00,4829990.58,,
2024-05-18 00:00:00,5077416.83,,
2024-05-19 00:00:00,5054516.29,,
2024-05-20 00:00:00,4691047.00,,
2024-05-21 00:00:00,5432705.68,,
2024-05-22 00:00:00,5931353.57,,
2024-05-23 00:00:00,6038071.05,,
2024-05-24 00:00:00,5684609.96,,
2024-05-25 00:00:00,5857635.91,,
2024-05-26 00:00:00,6024692.92,,
2024-05-27 00:00:00,6007483.80,,
2024-05-28 00:00:00,6661857.06,,
2024-05-29 00:00:00,6640388.55,,
2024-05-30 00:00:00,6434969.01,,
2024-05-31 00:00:00,6541204.23,,
2024-06-01 00:00:00,6660122.55,,
2024-06-02 00:00:00,7253386.41,,
2024-06-03 00:00:00,7844620.93,,
2024-06-04 00:00:00,8529107.07,,
2024-06-05 00:00:00,8027502.28,,
2024-06-06 00:00:00,7736489.34,,
2024-06-07 00:00:00,7836428.24,,
2024-06-08 00:00:00,6368377.72,,
2024-06-09 00:00:00,6815614.93,,
2024-06-10 00:00:00,6799223.71,,
2024-06-11 00:00:00,6297847.89,,
2024-06-12 00:00:00,5627630.79,,
2024-06-13 00:00:00,5937241.06,,
2024-06-14 00:00:00,5529385.14,,
2024-06-15 00:00:00,5136598.64,,
2024-06-16 00:00:00,5136792.57,,
2024-06-17 00:00:00,5281499.74,,
2024-06-18 00:00:00,4725118.09,,
2024-06-19 00:00:00,4394464.72,,
2024-06-20 00:00:00,4411249.44,,
2024-06-21 00:00:00,4426962.66,,
2024-06-22 00:00:00,4423320.88,,
2024-06-23 00:00:00,4441242.17,,
2024-06-24 00:00:00,4098491.48,,
2024-06-25 00:00:00,4362979.79,,
2024-06-26 00:00:00,4427123.79,,
2024-06-27 00:00:00,4287868.10,,
2024-06-28 00:00:00,4477432.46,,
2024-06-29 00:00:00,4235946.43,,
2024-06-30 00:00:00,4453783.47,,
2024-07-01 00:00:00,4646236.55,,
2024-07-02 00:00:00,4335975.43,,
2024-07-03 00:00:00,4281231.59,,
2024-07-04 00:00:00,3984134.02,,
2024-07-05 00:00:00,3318313.58,,
2024-07-06 00:00:00,3385320.85,,
2024-07-07 00:00:00,5165755.16,,
2024-07-08 00:00:00,4084821.45,,
2024-07-09 00:00:00,4274600.90,,
2024-07-10 00:00:00,4040967.08,,
2024-07-11 00:00:00,8163823.28,,
2024-07-12 00:00:00,5692541.51,,
2024-07-13 00:00:00,5100425.62,,
2024-07-14 00:00:00,4571129.97,,
2024-07-15 00:00:00,4613567.13,,
2024-07-16 00:00:00,6263349.41,,
2024-07-17 00:00:00,15088577.92,,
2024-07-18 00:00:00,10723712.06,,
2024-07-19 00:00:00,10166828.87,,
2024-07-20 00:00:00,8451443.84,,
2024-07-21 00:00:00,8434287.87,,
2024-07-22 00:00:00,7265205.59,,
2024-07-23 00:00:00,6582710.73,,
2024-07-24 00:00:00,5831864.68,,
2024-07-25 00:00:00,5730299.73,,
2024-07-26 00:00:00,4959608.77,,
2024-07-27 00:00:00,5893784.69,,
2024-07-28 00:00:00,5052111.60,,
2024-07-29 00:00:00,4478129.79,,
2024-07-30 00:00:00,4266692.14,,
2024-07-31 00:00:00,4268930.48,,
2024-08-01 00:00:00,3906339.21,,
2024-08-02 00:00:00,3841870.73,,
2024-08-03 00:00:00,3535474.49,,
2024-08-04 00:00:00,3384586.27,,
