time,oi_A,oi_6,oi_3
2023-12-29 00:00:00,,,609215.76
2023-12-30 00:00:00,,,830423.75
2023-12-31 00:00:00,,,1259574.09
2024-01-01 00:00:00,,,1221822.46
2024-01-02 00:00:00,,,2460451.58
2024-01-03 00:00:00,,,2502421.28
2024-01-04 00:00:00,,,1121459.76
2024-01-05 00:00:00,,,1649655.92
2024-01-06 00:00:00,,,1574202.19
2024-01-07 00:00:00,,,1180210.67
2024-01-08 00:00:00,,,1044754.06
2024-01-09 00:00:00,,,1178115.90
2024-01-10 00:00:00,,,1158414.84
2024-01-11 00:00:00,,,1866334.84
2024-01-12 00:00:00,,,2302410.85
2024-01-13 00:00:00,,,3052817.76
2024-01-14 00:00:00,,,2966045.91
2024-01-15 00:00:00,,,3715543.29
2024-01-16 00:00:00,,,3964704.00
2024-01-17 00:00:00,,,3567486.52
2024-01-18 00:00:00,,,3514878.18
2024-01-19 00:00:00,,,3374817.31
2024-01-20 00:00:00,,,3470200.50
2024-01-21 00:00:00,,,2792795.28
2024-01-22 00:00:00,,,2662210.20
2024-01-23 00:00:00,,,3115516.92
2024-01-24 00:00:00,,,2969409.55
2024-01-25 00:00:00,,,3072157.05
2024-01-26 00:00:00,,,2975690.61
2024-01-27 00:00:00,,,3412733.00
2024-01-28 00:00:00,,,3381716.36
2024-01-29 00:00:00,,,3218508.71
2024-01-30 00:00:00,,,3569680.65
2024-01-31 00:00:00,,,3291090.85
2024-02-01 00:00:00,,,3267970.25
2024-02-02 00:00:00,,,2676771.57
2024-02-03 00:00:00,,,2533513.12
2024-02-04 00:00:00,,,2530815.21
2024-02-05 00:00:00,,,2499912.49
2024-02-06 00:00:00,,,2487821.39
2024-02-07 00:00:00,,,4356371.71
2024-02-08 00:00:00,,,4026803.27
2024-02-09 00:00:00,,,2985661.08
2024-02-10 00:00:00,,,3392246.36
2024-02-11 00:00:00,,,3152855.18
2024-02-12 00:00:00,,,3071042.48
2024-02-13 00:00:00,,,3636231.79
2024-02-14 00:00:00,,,3827772.86
2024-02-15 00:00:00,,,3399234.30
2024-02-16 00:00:00,,,3792067.49
2024-02-17 00:00:00,,,3274208.00
2024-02-18 00:00:00,,,3081450.09
2024-02-19 00:00:00,,,3198305.47
2024-02-20 00:00:00,,,3359072.68
2024-02-21 00:00:00,,,3474455.96
2024-02-22 00:00:00,,,3184594.27
2024-02-23 00:00:00,,,3524276.46
2024-02-24 00:00:00,,,5359174.29
2024-02-25 00:00:00,,,7386874.01
2024-02-26 00:00:00,,,10954037.27
2024-02-27 00:00:00,,,10002443.54
2024-02-28 00:00:00,,,10291233.74
2024-02-29 00:00:00,,,10592082.80
2024-03-01 00:00:00,,,9548700.92
2024-03-02 00:00:00,,,10401364.91
