time,oi_A,oi_6,oi_3
2024-10-04 00:00:00,,,465959.67
2024-10-05 00:00:00,,,1232918.31
2024-10-06 00:00:00,,,2542672.04
2024-10-07 00:00:00,,,3214090.54
2024-10-08 00:00:00,,,4535678.77
2024-10-09 00:00:00,,,4927916.23
2024-10-10 00:00:00,,,3599187.84
2024-10-11 00:00:00,,,3405517.55
2024-10-12 00:00:00,,,3684114.61
2024-10-13 00:00:00,,,4687091.45
2024-10-14 00:00:00,,,4600240.73
2024-10-15 00:00:00,,,4849634.16
2024-10-16 00:00:00,,,3874779.40
2024-10-17 00:00:00,,,4566923.13
2024-10-18 00:00:00,,,6425901.01
2024-10-19 00:00:00,,,5391479.81
2024-10-20 00:00:00,,,4804074.45
2024-10-21 00:00:00,,,4240471.37
2024-10-22 00:00:00,,,4326909.12
2024-10-23 00:00:00,,,4628075.93
2024-10-24 00:00:00,,,4229795.92
2024-10-25 00:00:00,,,6316425.23
2024-10-26 00:00:00,27793985.82,,12382566.21
2024-10-27 00:00:00,46987310.29,,17215428.67
2024-10-28 00:00:00,36622530.22,,11737486.68
2024-10-29 00:00:00,36517952.60,,10971163.41
2024-10-30 00:00:00,41215068.33,,12986927.53
2024-10-31 00:00:00,44433689.32,,12150831.68
2024-11-01 00:00:00,42336917.95,,11069121.46
2024-11-02 00:00:00,41531098.10,,9971026.59
2024-11-03 00:00:00,35312560.51,,8593942.65
2024-11-04 00:00:00,33259629.50,,7320277.38
2024-11-05 00:00:00,31194985.11,,7373805.01
2024-11-06 00:00:00,31429551.20,,7901891.54
2024-11-07 00:00:00,48001639.28,,10361627.81
2024-11-08 00:00:00,74805713.72,,12474985.63
2024-11-09 00:00:00,93120286.01,,13717329.70
2024-11-10 00:00:00,82638835.67,,11389268.15
2024-11-11 00:00:00,110135720.84,,13886333.75
2024-11-12 00:00:00,83190946.63,,11064895.02
2024-11-13 00:00:00,74248331.02,,9509938.63
2024-11-14 00:00:00,61320666.98,,9543200.26
2024-11-15 00:00:00,78210984.44,,10555556.40
2024-11-16 00:00:00,119897831.28,,16937948.54
2024-11-17 00:00:00,106998857.97,,15557487.06
2024-11-18 00:00:00,111004071.64,,16284549.45
2024-11-19 00:00:00,95457042.45,,15675444.47
2024-11-20 00:00:00,86793297.18,,17303766.72
2024-11-21 00:00:00,73702264.17,,15963618.09
2024-11-22 00:00:00,85123129.09,,15791785.63
2024-11-23 00:00:00,75719705.20,,15205910.44
2024-11-24 00:00:00,68174640.89,,13643198.55
2024-11-25 00:00:00,76018950.63,,15105100.72
2024-11-26 00:00:00,63958610.19,,14609445.48
2024-11-27 00:00:00,64624831.74,,15423845.25
2024-11-28 00:00:00,75791272.80,,17439172.47
2024-11-29 00:00:00,72228834.35,,17076237.42
2024-11-30 00:00:00,81736765.58,,18380988.14
2024-12-01 00:00:00,71350105.90,,18634527.87
2024-12-02 00:00:00,67644285.33,,18013989.86
2024-12-03 00:00:00,114132841.08,,25596620.90
2024-12-04 00:00:00,87325398.10,,17240662.51
2024-12-05 00:00:00,80218752.76,,17857812.29
2024-12-06 00:00:00,76522015.93,,19528765.14
2024-12-07 00:00:00,82389594.79,,20669590.29
2024-12-08 00:00:00,89628316.10,,21105929.17
2024-12-09 00:00:00,83263131.71,,21394791.95
2024-12-10 00:00:00,56912649.97,,13647135.89
2024-12-11 00:00:00,45630956.00,,14059877.70
2024-12-12 00:00:00,58664091.86,,18042654.52
2024-12-13 00:00:00,56678587.48,,16045038.82
2024-12-14 00:00:00,56335707.57,,16175431.49
2024-12-15 00:00:00,54054057.87,,15265368.27
2024-12-16 00:00:00,56390063.31,,16662050.94
2024-12-17 00:00:00,54430788.48,,17007316.39
2024-12-18 00:00:00,53744978.22,,15666009.34
2024-12-19 00:00:00,43938965.06,,12138415.98
2024-12-20 00:00:00,38044267.60,,10878295.09
2024-12-21 00:00:00,37779702.59,,12829521.89
2024-12-22 00:00:00,36101372.88,,12668495.29
2024-12-23 00:00:00,40925351.00,,13093641.72
2024-12-24 00:00:00,45601174.89,,13866941.64
2024-12-25 00:00:00,43903731.29,,14143968.98
2024-12-26 00:00:00,40038259.50,,13296338.19
2024-12-27 00:00:00,43182195.91,,13125726.54
2024-12-28 00:00:00,42876282.82,,12970051.82
2024-12-29 00:00:00,46341460.23,,13663430.00
2024-12-30 00:00:00,40991125.25,,12270220.73
2024-12-31 00:00:00,44732299.97,,12628583.03
2025-01-01 00:00:00,45638476.21,,13058028.74
2025-01-02 00:00:00,45833462.63,,13245030.24
2025-01-03 00:00:00,50316470.95,,15756128.92
2025-01-04 00:00:00,53451717.62,,17042635.90
2025-01-05 00:00:00,50006817.03,,15753214.59
2025-01-06 00:00:00,47109716.92,,14996159.85
2025-01-07 00:00:00,47173649.94,,15084887.83
2025-01-08 00:00:00,38461569.09,,13204684.65
2025-01-09 00:00:00,34037051.24,,12432547.20
2025-01-10 00:00:00,32526253.47,,12435937.37
2025-01-11 00:00:00,32296257.35,,12093853.34
2025-01-12 00:00:00,31970048.77,,12429716.08
2025-01-13 00:00:00,31336393.46,,12722932.71
2025-01-14 00:00:00,29139999.40,,12325477.17
2025-01-15 00:00:00,29390496.58,,12121837.46
2025-01-16 00:00:00,32406661.68,,12959397.68
2025-01-17 00:00:00,29522590.54,,12030960.73
2025-01-18 00:00:00,31796208.97,,14148405.17
2025-01-19 00:00:00,28693910.23,,12233125.22
2025-01-20 00:00:00,25680458.77,,12047624.29
2025-01-21 00:00:00,22976639.70,,10433651.62
2025-01-22 00:00:00,23451711.67,,10759647.66
2025-01-23 00:00:00,24824698.39,,11489968.37
2025-01-24 00:00:00,24153405.02,,11162819.83
2025-01-25 00:00:00,21740141.27,,10614389.28
