time,oi_A,oi_6,oi_3
2024-11-12 00:00:00,,11753341.69,
2024-11-13 00:00:00,,14855262.45,
2024-11-14 00:00:00,,48736022.87,
2024-11-15 00:00:00,,53160354.07,
2024-11-16 00:00:00,,64293228.86,
2024-11-17 00:00:00,,61401404.37,
2024-11-18 00:00:00,,87778361.17,
2024-11-19 00:00:00,,69145675.70,
2024-11-20 00:00:00,,68719661.49,
2024-11-21 00:00:00,,57260555.87,
2024-11-22 00:00:00,,68524957.35,
2024-11-23 00:00:00,,49200233.11,
2024-11-24 00:00:00,,48913778.80,
2024-11-25 00:00:00,,52311545.89,
2024-11-26 00:00:00,,45513702.63,
2024-11-27 00:00:00,,39928521.07,
2024-11-28 00:00:00,,47306569.41,
2024-11-29 00:00:00,,54099816.46,
2024-11-30 00:00:00,,61819680.78,
2024-12-01 00:00:00,,61144604.98,
2024-12-02 00:00:00,,61423554.10,
2024-12-03 00:00:00,,64562853.81,
2024-12-04 00:00:00,,59873502.54,
2024-12-05 00:00:00,,60882046.83,
2024-12-06 00:00:00,,61801498.82,
2024-12-07 00:00:00,,60035948.28,
2024-12-08 00:00:00,,66431506.78,
2024-12-09 00:00:00,,67528240.63,
2024-12-10 00:00:00,,42422993.19,
2024-12-11 00:00:00,,36306537.86,
2024-12-12 00:00:00,,56270269.27,
2024-12-13 00:00:00,,54399152.24,
2024-12-14 00:00:00,,48604907.78,
2024-12-15 00:00:00,,44462159.47,
2024-12-16 00:00:00,,45552089.79,
2024-12-17 00:00:00,,44542405.35,
2024-12-18 00:00:00,,44966246.69,
2024-12-19 00:00:00,,37410245.92,
2024-12-20 00:00:00,,27506658.13,
2024-12-21 00:00:00,,26495875.87,
2024-12-22 00:00:00,,24358267.76,
2024-12-23 00:00:00,,28169797.14,
2024-12-24 00:00:00,,31514047.16,
2024-12-25 00:00:00,,33139246.77,
2024-12-26 00:00:00,,29358573.30,
2024-12-27 00:00:00,,24762424.37,
2024-12-28 00:00:00,,23822381.78,
2024-12-29 00:00:00,,25047758.75,
2024-12-30 00:00:00,,23608126.08,
2024-12-31 00:00:00,,26463873.10,
2025-01-01 00:00:00,,24763045.52,
2025-01-02 00:00:00,,25705357.21,
2025-01-03 00:00:00,,28820812.59,
2025-01-04 00:00:00,,33723270.81,
2025-01-05 00:00:00,,33624707.05,
