time,oi_A,oi_6,oi_3
2024-06-05 00:00:00,,1424996.52,
2024-06-06 00:00:00,,851711.65,
2024-06-07 00:00:00,,1082473.29,
2024-06-08 00:00:00,,540559.28,
2024-06-09 00:00:00,,446554.86,
2024-06-10 00:00:00,,526897.53,
2024-06-11 00:00:00,,534662.24,
2024-06-12 00:00:00,,455529.47,
2024-06-13 00:00:00,,443115.74,
2024-06-14 00:00:00,,446970.10,
2024-06-15 00:00:00,,558553.60,
2024-06-16 00:00:00,,869319.86,
2024-06-17 00:00:00,,866881.34,
2024-06-18 00:00:00,,470077.73,
2024-06-19 00:00:00,,449118.22,
2024-06-20 00:00:00,,846963.94,
2024-06-21 00:00:00,,793284.09,
2024-06-22 00:00:00,,766653.92,
2024-06-23 00:00:00,,753993.07,
2024-06-24 00:00:00,,767625.70,
2024-06-25 00:00:00,,746928.81,
2024-06-26 00:00:00,,789810.60,
2024-06-27 00:00:00,,739974.85,
2024-06-28 00:00:00,,941161.80,
2024-06-29 00:00:00,,831673.85,
2024-06-30 00:00:00,,844200.07,
2024-07-01 00:00:00,,990909.51,
2024-07-02 00:00:00,,1124821.98,
2024-07-03 00:00:00,,1552688.41,
2024-07-04 00:00:00,,1159870.43,
2024-07-05 00:00:00,,827929.57,
2024-07-06 00:00:00,,800122.61,
2024-07-07 00:00:00,,927625.81,
2024-07-08 00:00:00,,696285.08,
2024-07-09 00:00:00,,747485.30,
2024-07-10 00:00:00,,870349.61,
2024-07-11 00:00:00,,936457.56,
2024-07-12 00:00:00,,912117.60,
2024-07-13 00:00:00,,840762.38,
2024-07-14 00:00:00,,857414.13,
2024-07-15 00:00:00,,908557.39,
2024-07-16 00:00:00,,1037191.59,
2024-07-17 00:00:00,,1128693.67,
2024-07-18 00:00:00,,1052077.74,
2024-07-19 00:00:00,,1109969.57,
2024-07-20 00:00:00,,1531632.56,
2024-07-21 00:00:00,,2787427.08,
2024-07-22 00:00:00,,2701610.62,
2024-07-23 00:00:00,,2355585.78,
2024-07-24 00:00:00,,2075031.00,
2024-07-25 00:00:00,,1876646.23,
2024-07-26 00:00:00,,2033896.71,
2024-07-27 00:00:00,,1951391.63,
2024-07-28 00:00:00,,2241158.69,
2024-07-29 00:00:00,,2205653.72,
2024-07-30 00:00:00,,2320829.89,
2024-07-31 00:00:00,,1991679.04,
2024-08-01 00:00:00,,1680251.80,
2024-08-02 00:00:00,,1680741.43,
2024-08-03 00:00:00,,1309978.44,
2024-08-04 00:00:00,,949865.27,
2024-08-05 00:00:00,,785968.79,
2024-08-06 00:00:00,,596650.07,
2024-08-07 00:00:00,,671501.77,
2024-08-08 00:00:00,,706547.96,
2024-08-09 00:00:00,,877053.61,
2024-08-10 00:00:00,,741698.07,
2024-08-11 00:00:00,,772228.58,
2024-08-12 00:00:00,,666277.78,
2024-08-13 00:00:00,,753463.33,
2024-08-14 00:00:00,,718048.29,
2024-08-15 00:00:00,,715125.20,
2024-08-16 00:00:00,,725215.87,
2024-08-17 00:00:00,,717458.57,
2024-08-18 00:00:00,,715024.44,
2024-08-19 00:00:00,,692037.08,
2024-08-20 00:00:00,,712834.98,
2024-08-21 00:00:00,,740284.75,
2024-08-22 00:00:00,,730890.89,
2024-08-23 00:00:00,,746187.34,
2024-08-24 00:00:00,,760426.24,
2024-08-25 00:00:00,,868346.52,
2024-08-26 00:00:00,,1187890.30,
2024-08-27 00:00:00,,1067274.43,
2024-08-28 00:00:00,,1027330.83,
2024-08-29 00:00:00,,947074.10,
2024-08-30 00:00:00,,941134.77,
2024-08-31 00:00:00,,895728.37,
2024-09-01 00:00:00,,910184.19,
2024-09-02 00:00:00,,912557.14,
2024-09-03 00:00:00,,1007519.68,
2024-09-04 00:00:00,,852261.26,
2024-09-05 00:00:00,,923594.87,
2024-09-06 00:00:00,,974768.19,
2024-09-07 00:00:00,,952062.22,
2024-09-08 00:00:00,,957031.31,
2024-09-09 00:00:00,,905096.49,
2024-09-10 00:00:00,,935083.62,
2024-09-11 00:00:00,,916903.50,
2024-09-12 00:00:00,,930421.29,
2024-09-13 00:00:00,,950798.17,
2024-09-14 00:00:00,,985396.58,
2024-09-15 00:00:00,,938228.88,
2024-09-16 00:00:00,,929443.61,
2024-09-17 00:00:00,,945392.41,
2024-09-18 00:00:00,,1305587.97,
2024-09-19 00:00:00,,1560685.09,
2024-09-20 00:00:00,,1662135.19,
2024-09-21 00:00:00,,1670788.73,
2024-09-22 00:00:00,,1734942.24,
2024-09-23 00:00:00,,1631078.74,
2024-09-24 00:00:00,,1651818.93,
2024-09-25 00:00:00,,1739302.11,
2024-09-26 00:00:00,,1638178.26,
2024-09-27 00:00:00,,2746333.57,
2024-09-28 00:00:00,,2131520.78,
2024-09-29 00:00:00,,1993297.37,
2024-09-30 00:00:00,,2355810.85,
2024-10-01 00:00:00,,2878845.79,
2024-10-02 00:00:00,,1756094.72,
2024-10-03 00:00:00,,1685175.01,
2024-10-04 00:00:00,,1536358.77,
2024-10-05 00:00:00,,1672789.26,
2024-10-06 00:00:00,,1726429.00,
2024-10-07 00:00:00,,1991783.09,
2024-10-08 00:00:00,,2009622.92,
2024-10-09 00:00:00,,2178750.85,
2024-10-10 00:00:00,,2041739.34,
2024-10-11 00:00:00,,2106542.98,
2024-10-12 00:00:00,,3001025.95,
2024-10-13 00:00:00,,2723830.35,
2024-10-14 00:00:00,,2276351.18,
2024-10-15 00:00:00,,3423998.85,
2024-10-16 00:00:00,,3978989.05,
2024-10-17 00:00:00,,3420691.20,
2024-10-18 00:00:00,,3668669.73,
2024-10-19 00:00:00,,3712599.35,
2024-10-20 00:00:00,,3795539.61,
2024-10-21 00:00:00,,4974210.27,
2024-10-22 00:00:00,,4859055.92,
2024-10-23 00:00:00,,5515098.87,
2024-10-24 00:00:00,,6072621.96,
2024-10-25 00:00:00,,7057836.99,
2024-10-26 00:00:00,,7080419.80,
2024-10-27 00:00:00,,7919533.27,
2024-10-28 00:00:00,,11164375.13,
2024-10-29 00:00:00,,10417562.53,
2024-10-30 00:00:00,,12102398.24,
2024-10-31 00:00:00,,9760995.21,
2024-11-01 00:00:00,,9948635.14,
2024-11-02 00:00:00,,10199838.62,
2024-11-03 00:00:00,,9885922.05,
2024-11-04 00:00:00,,8268395.37,
2024-11-05 00:00:00,,8133673.12,
2024-11-06 00:00:00,,7065394.55,
2024-11-07 00:00:00,,12812452.04,
2024-11-08 00:00:00,,12727955.83,
2024-11-09 00:00:00,,13212164.44,
2024-11-10 00:00:00,,16852349.95,
2024-11-11 00:00:00,,14987761.21,
2024-11-12 00:00:00,,14471462.61,
2024-11-13 00:00:00,,13313334.86,
2024-11-14 00:00:00,,13821642.56,
2024-11-15 00:00:00,,11646565.62,
2024-11-16 00:00:00,,12161525.36,
2024-11-17 00:00:00,,11754772.92,
2024-11-18 00:00:00,,18299469.29,
2024-11-19 00:00:00,,15317571.04,
2024-11-20 00:00:00,,14186927.98,
2024-11-21 00:00:00,,13662788.81,
2024-11-22 00:00:00,,15374945.46,
2024-11-23 00:00:00,,14683464.39,
2024-11-24 00:00:00,,15435992.99,
2024-11-25 00:00:00,,15360261.30,
2024-11-26 00:00:00,,13281220.30,
2024-11-27 00:00:00,,13408280.12,
2024-11-28 00:00:00,,14209302.81,
2024-11-29 00:00:00,,14844279.44,
2024-11-30 00:00:00,,14082659.96,
2024-12-01 00:00:00,,14323364.91,
2024-12-02 00:00:00,,14854063.84,
2024-12-03 00:00:00,,14080407.41,
2024-12-04 00:00:00,,16369568.19,
2024-12-05 00:00:00,,16137714.18,
2024-12-06 00:00:00,,15635211.19,
2024-12-07 00:00:00,,17159280.37,
2024-12-08 00:00:00,,17789934.74,
2024-12-09 00:00:00,,16735827.17,
2024-12-10 00:00:00,,11540013.00,
2024-12-11 00:00:00,,12269636.62,
2024-12-12 00:00:00,,14621554.33,
2024-12-13 00:00:00,,13318446.18,
2024-12-14 00:00:00,,12095415.23,
2024-12-15 00:00:00,,12207562.77,
2024-12-16 00:00:00,,13194748.59,
2024-12-17 00:00:00,,12107869.06,
2024-12-18 00:00:00,,10509285.86,
2024-12-19 00:00:00,,9402597.80,
2024-12-20 00:00:00,,8808642.77,
2024-12-21 00:00:00,,8715705.37,
2024-12-22 00:00:00,,7854603.81,
2024-12-23 00:00:00,,7375959.09,
2024-12-24 00:00:00,,11365996.16,
2024-12-25 00:00:00,,9392906.73,
2024-12-26 00:00:00,,10412086.71,
2024-12-27 00:00:00,,8248900.43,
2024-12-28 00:00:00,,9386540.84,
2024-12-29 00:00:00,,10525611.10,
2024-12-30 00:00:00,,8865411.45,
2024-12-31 00:00:00,,8695312.98,
2025-01-01 00:00:00,,7954249.08,
2025-01-02 00:00:00,,8389281.86,
2025-01-03 00:00:00,,9437447.22,
2025-01-04 00:00:00,,9997984.96,
2025-01-05 00:00:00,,10925440.62,
2025-01-06 00:00:00,,11080929.15,
2025-01-07 00:00:00,,10126663.01,
2025-01-08 00:00:00,,9048686.82,
2025-01-09 00:00:00,,7929754.96,
2025-01-10 00:00:00,,7327287.40,
2025-01-11 00:00:00,,6448988.85,
2025-01-12 00:00:00,,6091185.05,
2025-01-13 00:00:00,,6116644.00,
2025-01-14 00:00:00,,6005594.95,
2025-01-15 00:00:00,,6899194.82,
2025-01-16 00:00:00,,7268490.25,
2025-01-17 00:00:00,,7090855.52,
2025-01-18 00:00:00,,7518628.81,
2025-01-19 00:00:00,,10651561.54,
2025-01-20 00:00:00,,7965382.85,
2025-01-21 00:00:00,,8662146.58,
2025-01-22 00:00:00,,8544747.74,
2025-01-23 00:00:00,,9163562.41,
2025-01-24 00:00:00,,9465888.99,
2025-01-25 00:00:00,,8645922.62,
2025-01-26 00:00:00,,8546383.21,
2025-01-27 00:00:00,,7960659.34,
2025-01-28 00:00:00,,7045367.56,
2025-01-29 00:00:00,,6368951.92,
2025-01-30 00:00:00,,6748145.49,
2025-01-31 00:00:00,,8277483.05,
2025-02-01 00:00:00,,8055580.36,
2025-02-02 00:00:00,,8112776.57,
2025-02-03 00:00:00,,6596813.30,
2025-02-04 00:00:00,,7873908.26,
2025-02-05 00:00:00,,6221966.13,
2025-02-06 00:00:00,,6396739.86,
2025-02-07 00:00:00,,6706280.43,
2025-02-08 00:00:00,,6217288.24,
2025-02-09 00:00:00,,7041696.52,
2025-02-10 00:00:00,,7321283.41,
2025-02-11 00:00:00,,7770811.60,
2025-02-12 00:00:00,,7042721.11,
2025-02-13 00:00:00,,6758591.27,
2025-02-14 00:00:00,,6925244.37,
2025-02-15 00:00:00,,9036438.96,
2025-02-16 00:00:00,,7186332.52,
2025-02-17 00:00:00,,7430043.62,
2025-02-18 00:00:00,,7358314.33,
2025-02-19 00:00:00,,7274658.36,
2025-02-20 00:00:00,,7352021.69,
2025-02-21 00:00:00,,7983534.85,
2025-02-22 00:00:00,,6212221.18,
2025-02-23 00:00:00,,6359868.22,
2025-02-24 00:00:00,,6175418.96,
2025-02-25 00:00:00,,4029533.86,
2025-02-26 00:00:00,,3587843.20,
2025-02-27 00:00:00,,3734143.63,
2025-02-28 00:00:00,,3213850.67,
2025-03-01 00:00:00,,3231697.37,
2025-03-02 00:00:00,,3132435.49,
2025-03-03 00:00:00,,3721153.11,
