time,oi_A,oi_6,oi_3
2022-05-19 00:00:00,,1913062.72,
2022-05-20 00:00:00,,2037900.09,
2022-05-21 00:00:00,,2093697.62,
2022-05-22 00:00:00,,2148651.02,
2022-05-23 00:00:00,,2273668.71,
2022-05-24 00:00:00,,2271723.19,
2022-05-25 00:00:00,,2390335.49,
2022-05-26 00:00:00,,2423451.59,
2022-05-27 00:00:00,,2100521.04,
2022-05-28 00:00:00,,2363119.67,
2022-05-29 00:00:00,,2425667.09,
2022-05-30 00:00:00,,2840537.68,
2022-05-31 00:00:00,,3289888.99,
2022-06-01 00:00:00,,2624780.69,
2022-06-02 00:00:00,,2478253.39,
2022-06-03 00:00:00,,2774857.56,
2022-06-04 00:00:00,,2597423.72,
2022-06-05 00:00:00,,3675053.22,
2022-06-06 00:00:00,,3050340.53,
2022-06-07 00:00:00,,3460541.08,
2022-06-08 00:00:00,,2792987.90,
2022-06-09 00:00:00,,3516717.64,
2022-06-10 00:00:00,,3258113.69,
2022-06-11 00:00:00,,2969965.03,
2022-06-12 00:00:00,,2670224.46,
2022-06-13 00:00:00,,3029949.69,
2022-06-14 00:00:00,,3426325.48,
2022-06-15 00:00:00,,3146400.37,
2022-06-16 00:00:00,,3202812.94,
2022-06-17 00:00:00,,2746952.13,
2022-06-18 00:00:00,,2909618.88,
2022-06-19 00:00:00,,2615646.38,
2022-06-20 00:00:00,,2572082.80,
2022-06-21 00:00:00,,2616234.38,
2022-06-22 00:00:00,,2990780.10,
2022-06-23 00:00:00,,2650160.21,
2022-06-24 00:00:00,,5474786.37,
2022-06-25 00:00:00,,4172234.65,
2022-06-26 00:00:00,,3990170.96,
2022-06-27 00:00:00,,3440998.84,
2022-06-28 00:00:00,,4149883.73,
2022-06-29 00:00:00,,3602778.31,
2022-06-30 00:00:00,,3708743.82,
2022-07-01 00:00:00,,3447416.98,
2022-07-02 00:00:00,,3408060.95,
2022-07-03 00:00:00,,3385332.68,
2022-07-04 00:00:00,,3617965.24,
2022-07-05 00:00:00,,4415742.40,
2022-07-06 00:00:00,,3607660.01,
2022-07-07 00:00:00,,4772313.21,
2022-07-08 00:00:00,,4317235.45,
2022-07-09 00:00:00,,4125315.90,
2022-07-10 00:00:00,,6785213.48,
2022-07-11 00:00:00,,4985249.75,
2022-07-12 00:00:00,,4362194.13,
2022-07-13 00:00:00,,4276228.82,
2022-07-14 00:00:00,,4636282.92,
2022-07-15 00:00:00,,4274749.87,
2022-07-16 00:00:00,,3775707.77,
2022-07-17 00:00:00,,4133100.38,
2022-07-18 00:00:00,,3770208.16,
2022-07-19 00:00:00,,4977494.59,
2022-07-20 00:00:00,,4943643.35,
2022-07-21 00:00:00,,4471895.36,
2022-07-22 00:00:00,,5076556.92,
2022-07-23 00:00:00,,4895303.88,
2022-07-24 00:00:00,,5050489.56,
2022-07-25 00:00:00,,4682711.18,
2022-07-26 00:00:00,,3916739.20,
2022-07-27 00:00:00,,4001034.15,
2022-07-28 00:00:00,,4762123.59,
2022-07-29 00:00:00,,4474861.71,
2022-07-30 00:00:00,,4261135.52,
2022-07-31 00:00:00,,4619963.17,
2022-08-01 00:00:00,,4180915.23,
2022-08-02 00:00:00,,4134626.71,
2022-08-03 00:00:00,,4535941.92,
2022-08-04 00:00:00,,4645230.67,
2022-08-05 00:00:00,,4988944.71,
2022-08-06 00:00:00,,5212916.41,
2022-08-07 00:00:00,,5369862.56,
2022-08-08 00:00:00,,5909253.02,
2022-08-09 00:00:00,,4980614.58,
2022-08-10 00:00:00,,5100138.59,
2022-08-11 00:00:00,,4926928.30,
2022-08-12 00:00:00,,5212928.04,
2022-08-13 00:00:00,,6390218.27,
2022-08-14 00:00:00,,5408323.86,
2022-08-15 00:00:00,,4823874.97,
2022-08-16 00:00:00,,5259771.02,
2022-08-17 00:00:00,,5205851.30,
2022-08-18 00:00:00,,4317231.35,
2022-08-19 00:00:00,,3951213.46,
2022-08-20 00:00:00,,3432926.94,
2022-08-21 00:00:00,,3578234.94,
2022-08-22 00:00:00,,3682485.17,
2022-08-23 00:00:00,,3319007.75,
2022-08-24 00:00:00,,4010725.28,
2022-08-25 00:00:00,,3437230.20,
2022-08-26 00:00:00,,3408203.85,
2022-08-27 00:00:00,,2865448.84,
2022-08-28 00:00:00,,2969995.80,
2022-08-29 00:00:00,,2681512.05,
2022-08-30 00:00:00,,2880284.87,
2022-08-31 00:00:00,,2698025.79,
2022-09-01 00:00:00,,2942873.88,
2022-09-02 00:00:00,,2888272.13,
2022-09-03 00:00:00,,2521533.23,
2022-09-04 00:00:00,,2891072.70,
2022-09-05 00:00:00,,2720587.42,
2022-09-06 00:00:00,,2659631.27,
2022-09-07 00:00:00,,2438021.56,
2022-09-08 00:00:00,,2546279.42,
2022-09-09 00:00:00,,2767544.58,
2022-09-10 00:00:00,,3007545.85,
2022-09-11 00:00:00,,3048385.97,
2022-09-12 00:00:00,,2828203.90,
2022-09-13 00:00:00,,3094216.21,
2022-09-14 00:00:00,,2590554.67,
2022-09-15 00:00:00,,2675086.56,
2022-09-16 00:00:00,,2530980.43,
2022-09-17 00:00:00,,2788122.92,
2022-09-18 00:00:00,,2724770.61,
2022-09-19 00:00:00,,2620053.98,
2022-09-20 00:00:00,,2593790.73,
2022-09-21 00:00:00,,2463080.12,
2022-09-22 00:00:00,,2434307.22,
2022-09-23 00:00:00,,2650222.45,
2022-09-24 00:00:00,,2579907.90,
2022-09-25 00:00:00,,2783436.34,
2022-09-26 00:00:00,,2776625.67,
2022-09-27 00:00:00,,2997724.56,
2022-09-28 00:00:00,,2982435.41,
2022-09-29 00:00:00,,3045698.77,
2022-09-30 00:00:00,,2954783.86,
2022-10-01 00:00:00,,2763701.93,
2022-10-02 00:00:00,,2880756.31,
2022-10-03 00:00:00,,2871147.57,
2022-10-04 00:00:00,,3283210.88,
2022-10-05 00:00:00,,3196505.51,
2022-10-06 00:00:00,,3274347.01,
2022-10-07 00:00:00,,3297226.53,
2022-10-08 00:00:00,,3285404.15,
2022-10-09 00:00:00,,3154851.17,
2022-10-10 00:00:00,,3419768.69,
2022-10-11 00:00:00,,3290229.79,
2022-10-12 00:00:00,,3332755.15,
2022-10-13 00:00:00,,3231713.63,
2022-10-14 00:00:00,,3056229.51,
2022-10-15 00:00:00,,2755652.18,
2022-10-16 00:00:00,,2729442.98,
2022-10-17 00:00:00,,2732139.02,
2022-10-18 00:00:00,,3502402.12,
2022-10-19 00:00:00,,3092389.14,
2022-10-20 00:00:00,,2734779.60,
2022-10-21 00:00:00,,2736412.53,
2022-10-22 00:00:00,,2951610.36,
2022-10-23 00:00:00,,3043551.88,
2022-10-24 00:00:00,,2976211.20,
2022-10-25 00:00:00,,3055459.57,
2022-10-26 00:00:00,,3202530.18,
2022-10-27 00:00:00,,3088560.46,
2022-10-28 00:00:00,,2808885.04,
2022-10-29 00:00:00,,3337951.24,
2022-10-30 00:00:00,,2936777.44,
2022-10-31 00:00:00,,2804563.63,
2022-11-01 00:00:00,,3084081.23,
2022-11-02 00:00:00,,3047700.26,
2022-11-03 00:00:00,,2412582.18,
2022-11-04 00:00:00,,2476498.92,
2022-11-05 00:00:00,,3430178.92,
2022-11-06 00:00:00,,3451853.04,
2022-11-07 00:00:00,,3001011.59,
2022-11-08 00:00:00,,2669335.18,
2022-11-09 00:00:00,,1721323.52,
2022-11-10 00:00:00,,1227376.63,
2022-11-11 00:00:00,,1483269.39,
2022-11-12 00:00:00,,1405469.66,
2022-11-13 00:00:00,,1240108.42,
2022-11-14 00:00:00,,1464850.37,
2022-11-15 00:00:00,,1367411.43,
2022-11-16 00:00:00,,1347236.22,
2022-11-17 00:00:00,,1428690.29,
2022-11-18 00:00:00,,1357715.30,
2022-11-19 00:00:00,,1247856.61,
2022-11-20 00:00:00,,1301716.41,
2022-11-21 00:00:00,,1234671.78,
2022-11-22 00:00:00,,1490423.58,
2022-11-23 00:00:00,,1346312.82,
2022-11-24 00:00:00,,1526433.50,
2022-11-25 00:00:00,,1727253.53,
2022-11-26 00:00:00,,1642173.07,
2022-11-27 00:00:00,,1494808.86,
2022-11-28 00:00:00,,1654874.01,
2022-11-29 00:00:00,,1733462.56,
2022-11-30 00:00:00,,1965157.23,
2022-12-01 00:00:00,,1844340.42,
2022-12-02 00:00:00,,2013912.76,
2022-12-03 00:00:00,,2287798.51,
2022-12-04 00:00:00,,2103270.68,
2022-12-05 00:00:00,,2182577.22,
2022-12-06 00:00:00,,2055536.22,
2022-12-07 00:00:00,,2030399.43,
2022-12-08 00:00:00,,2226990.74,
2022-12-09 00:00:00,,2688831.95,
2022-12-10 00:00:00,,2709289.83,
2022-12-11 00:00:00,,2844274.91,
2022-12-12 00:00:00,,2822745.21,
2022-12-13 00:00:00,,2133826.95,
2022-12-14 00:00:00,,2234091.48,
2022-12-15 00:00:00,,2611779.07,
2022-12-16 00:00:00,,3365080.25,
2022-12-17 00:00:00,,2239742.08,
2022-12-18 00:00:00,,1907105.13,
2022-12-19 00:00:00,,1922141.09,
2022-12-20 00:00:00,,2198898.84,
2022-12-21 00:00:00,,2283338.66,
2022-12-22 00:00:00,,2714511.08,
2022-12-23 00:00:00,,2571049.03,
2022-12-24 00:00:00,,2956538.22,
2022-12-25 00:00:00,,3043697.66,
2022-12-26 00:00:00,,3110406.28,
2022-12-27 00:00:00,,2916862.36,
2022-12-28 00:00:00,,2925942.93,
2022-12-29 00:00:00,,2522575.35,
2022-12-30 00:00:00,,2168936.38,
2022-12-31 00:00:00,,1953486.24,
2023-01-01 00:00:00,,1790565.90,
2023-01-02 00:00:00,,1918869.10,
2023-01-03 00:00:00,,2071365.25,
2023-01-04 00:00:00,,2003823.74,
2023-01-05 00:00:00,,2204489.47,
2023-01-06 00:00:00,,2141843.36,
2023-01-07 00:00:00,,2502972.86,
2023-01-08 00:00:00,,2833119.63,
2023-01-09 00:00:00,,2607542.88,
2023-01-10 00:00:00,,2235640.18,
2023-01-11 00:00:00,,2311850.28,
2023-01-12 00:00:00,,2777862.23,
2023-01-13 00:00:00,,2568894.55,
2023-01-14 00:00:00,,2669447.33,
2023-01-15 00:00:00,,3736120.92,
2023-01-16 00:00:00,,2996977.16,
2023-01-17 00:00:00,,2804347.50,
2023-01-18 00:00:00,,2915688.88,
2023-01-19 00:00:00,,2322953.40,
2023-01-20 00:00:00,,2333883.32,
2023-01-21 00:00:00,,2414188.85,
2023-01-22 00:00:00,,2559549.41,
2023-01-23 00:00:00,,2673548.29,
2023-01-24 00:00:00,,2978550.08,
2023-01-25 00:00:00,,3069478.27,
2023-01-26 00:00:00,,2666723.14,
2023-01-27 00:00:00,,3249983.10,
2023-01-28 00:00:00,,4863526.42,
2023-01-29 00:00:00,,4482890.82,
2023-01-30 00:00:00,,3809513.90,
2023-01-31 00:00:00,,3105018.37,
2023-02-01 00:00:00,,2707712.69,
