time,oi_A,oi_6,oi_3
2022-06-10 00:00:00,3192402.80,,
2022-06-11 00:00:00,2904003.80,,
2022-06-12 00:00:00,2369887.94,,
2022-06-13 00:00:00,2154963.36,,
2022-06-14 00:00:00,1928293.97,,
2022-06-15 00:00:00,2278552.22,,
2022-06-16 00:00:00,2373743.76,,
2022-06-17 00:00:00,2279025.91,,
2022-06-18 00:00:00,4334247.46,,
2022-06-19 00:00:00,2900340.93,,
2022-06-20 00:00:00,2737758.82,,
2022-06-21 00:00:00,2726914.39,,
2022-06-22 00:00:00,2814700.12,,
2022-06-23 00:00:00,3296124.79,,
2022-06-24 00:00:00,3172203.35,,
2022-06-25 00:00:00,3082668.93,,
2022-06-26 00:00:00,3579173.57,,
2022-06-27 00:00:00,3128912.23,,
2022-06-28 00:00:00,2982659.80,,
2022-06-29 00:00:00,2685951.65,,
2022-06-30 00:00:00,2781469.84,,
2022-07-01 00:00:00,2838850.30,,
2022-07-02 00:00:00,2827934.82,,
2022-07-03 00:00:00,3064795.91,,
2022-07-04 00:00:00,2809158.66,,
2022-07-05 00:00:00,2699520.00,,
2022-07-06 00:00:00,2528356.28,,
2022-07-07 00:00:00,2658360.02,,
2022-07-08 00:00:00,2730119.64,,
2022-07-09 00:00:00,2544547.81,,
2022-07-10 00:00:00,2615629.80,,
2022-07-11 00:00:00,2679329.89,,
2022-07-12 00:00:00,2447155.18,,
2022-07-13 00:00:00,2570796.97,,
2022-07-14 00:00:00,2593519.43,,
2022-07-15 00:00:00,2511272.87,,
2022-07-16 00:00:00,2246745.23,,
2022-07-17 00:00:00,2115558.88,,
2022-07-18 00:00:00,2041840.91,,
2022-07-19 00:00:00,2032214.22,,
2022-07-20 00:00:00,2450082.39,,
2022-07-21 00:00:00,2143584.51,,
2022-07-22 00:00:00,2908130.24,,
2022-07-23 00:00:00,2786898.55,,
2022-07-24 00:00:00,2643683.55,,
2022-07-25 00:00:00,2645147.22,,
2022-07-26 00:00:00,2366933.05,,
2022-07-27 00:00:00,2643909.21,,
2022-07-28 00:00:00,2330242.56,,
2022-07-29 00:00:00,2529706.77,,
2022-07-30 00:00:00,3361567.67,,
2022-07-31 00:00:00,3077957.23,,
2022-08-01 00:00:00,2788621.02,,
2022-08-02 00:00:00,3494809.56,,
2022-08-03 00:00:00,2657881.52,,
2022-08-04 00:00:00,2807925.37,,
2022-08-05 00:00:00,6475783.70,,
2022-08-06 00:00:00,5356697.55,,
2022-08-07 00:00:00,4442660.76,,
2022-08-08 00:00:00,4314396.36,,
2022-08-09 00:00:00,4148524.84,,
2022-08-10 00:00:00,3242158.56,,
2022-08-11 00:00:00,3340217.87,,
2022-08-12 00:00:00,3950145.69,,
2022-08-13 00:00:00,3787226.82,,
2022-08-14 00:00:00,3754384.20,,
2022-08-15 00:00:00,3353444.08,,
2022-08-16 00:00:00,3196212.20,,
2022-08-17 00:00:00,3281326.02,,
2022-08-18 00:00:00,3167114.59,,
2022-08-19 00:00:00,2884930.43,,
2022-08-20 00:00:00,2687702.19,,
2022-08-21 00:00:00,5170326.52,,
2022-08-22 00:00:00,3960786.28,,
2022-08-23 00:00:00,3858091.51,,
2022-08-24 00:00:00,3734748.41,,
2022-08-25 00:00:00,3517968.22,,
2022-08-26 00:00:00,3680446.16,,
2022-08-27 00:00:00,3771979.80,,
2022-08-28 00:00:00,3901914.03,,
2022-08-29 00:00:00,4333734.59,,
2022-08-30 00:00:00,6234925.79,,
2022-08-31 00:00:00,4624574.60,,
2022-09-01 00:00:00,4802122.12,,
2022-09-02 00:00:00,5193008.52,,
2022-09-03 00:00:00,5502674.17,,
2022-09-04 00:00:00,4932056.78,,
2022-09-05 00:00:00,4250331.70,,
2022-09-06 00:00:00,3957935.42,,
2022-09-07 00:00:00,3403142.34,,
2022-09-08 00:00:00,3314572.08,,
2022-09-09 00:00:00,3376047.88,,
2022-09-10 00:00:00,3451293.72,,
2022-09-11 00:00:00,3545755.52,,
2022-09-12 00:00:00,3480776.26,,
2022-09-13 00:00:00,3522532.13,,
2022-09-14 00:00:00,3100295.27,,
2022-09-15 00:00:00,3061609.35,,
2022-09-16 00:00:00,3107845.55,,
2022-09-17 00:00:00,3262608.75,,
2022-09-18 00:00:00,3365367.39,,
2022-09-19 00:00:00,3081018.84,,
2022-09-20 00:00:00,2878551.18,,
2022-09-21 00:00:00,2920960.49,,
2022-09-22 00:00:00,2756889.06,,
2022-09-23 00:00:00,2979073.85,,
