time,oi_A,oi_6,oi_3
2025-03-23 00:00:00,,1565273.36,
2025-03-24 00:00:00,,1555805.36,
2025-03-25 00:00:00,,2699999.05,
2025-03-26 00:00:00,,2037336.30,
2025-03-27 00:00:00,,2025595.26,
2025-03-28 00:00:00,,2507725.02,
2025-03-29 00:00:00,,2800005.42,
2025-03-30 00:00:00,,2622994.08,
2025-03-31 00:00:00,,2412350.53,
2025-04-01 00:00:00,,2182971.17,
2025-04-02 00:00:00,,2304058.72,
2025-04-03 00:00:00,,1560972.22,
2025-04-04 00:00:00,,1960376.98,
2025-04-05 00:00:00,,1659869.21,
2025-04-06 00:00:00,,1539689.90,
2025-04-07 00:00:00,,1524673.84,
2025-04-08 00:00:00,,1356142.49,
2025-04-09 00:00:00,,1313956.59,
2025-04-10 00:00:00,,1365998.34,
2025-04-11 00:00:00,,1387235.80,
2025-04-12 00:00:00,,1691321.23,
2025-04-13 00:00:00,,1390108.10,
2025-04-14 00:00:00,,1326132.70,
2025-04-15 00:00:00,,1351583.98,
2025-04-16 00:00:00,,1088992.62,
2025-04-17 00:00:00,,1204875.31,
2025-04-18 00:00:00,,1262434.30,
2025-04-19 00:00:00,,1123034.09,
2025-04-20 00:00:00,,1578230.06,
2025-04-21 00:00:00,,1729003.71,
2025-04-22 00:00:00,,1543443.31,
2025-04-23 00:00:00,,1556420.10,
2025-04-24 00:00:00,,1452204.50,
2025-04-25 00:00:00,,1365299.53,
2025-04-26 00:00:00,,1330321.53,
2025-04-27 00:00:00,,1388928.36,
2025-04-28 00:00:00,,1722026.35,
2025-04-29 00:00:00,,1214357.54,
2025-04-30 00:00:00,,1213511.60,
2025-05-01 00:00:00,,1589426.59,
2025-05-02 00:00:00,,1289758.36,
2025-05-03 00:00:00,,1657371.63,
2025-05-04 00:00:00,,1361823.09,
2025-05-05 00:00:00,,1265212.47,
2025-05-06 00:00:00,,1270119.61,
2025-05-07 00:00:00,,1202102.58,
2025-05-08 00:00:00,,1896024.21,
2025-05-09 00:00:00,,2033038.63,
2025-05-10 00:00:00,,3118675.20,
2025-05-11 00:00:00,,3032496.31,
2025-05-12 00:00:00,,2954818.33,
2025-05-13 00:00:00,,3849299.20,
2025-05-14 00:00:00,,3534463.45,
2025-05-15 00:00:00,,2674021.30,
2025-05-16 00:00:00,,2775109.56,
2025-05-17 00:00:00,,4096737.86,
2025-05-18 00:00:00,,4057312.43,
2025-05-19 00:00:00,,5365939.14,
2025-05-20 00:00:00,,4966250.16,
2025-05-21 00:00:00,,4225076.80,
2025-05-22 00:00:00,,4378152.82,
2025-05-23 00:00:00,,4192227.09,
2025-05-24 00:00:00,,3670596.45,
2025-05-25 00:00:00,,3613867.94,
2025-05-26 00:00:00,,3887384.35,
2025-05-27 00:00:00,,3682678.61,
2025-05-28 00:00:00,,3573146.12,
2025-05-29 00:00:00,,3607546.45,
2025-05-30 00:00:00,,3501297.82,
2025-05-31 00:00:00,,3586888.64,
2025-06-01 00:00:00,,3512110.95,
2025-06-02 00:00:00,,3506471.85,
2025-06-03 00:00:00,,3461780.27,
2025-06-04 00:00:00,,3504488.83,
2025-06-05 00:00:00,,3484173.96,
2025-06-06 00:00:00,,3002431.32,
2025-06-07 00:00:00,,3022866.91,
2025-06-08 00:00:00,,2926838.94,
2025-06-09 00:00:00,,2849713.72,
2025-06-10 00:00:00,,3327340.87,
2025-06-11 00:00:00,,3533143.30,
2025-06-12 00:00:00,,3578871.31,
2025-06-13 00:00:00,,3143894.07,
2025-06-14 00:00:00,,3098304.14,
2025-06-15 00:00:00,,3013758.50,
2025-06-16 00:00:00,,3010157.72,
2025-06-17 00:00:00,,2909913.82,
2025-06-18 00:00:00,,2930544.13,
2025-06-19 00:00:00,,3884800.35,
2025-06-20 00:00:00,,3902914.09,
2025-06-21 00:00:00,,3473095.81,
2025-06-22 00:00:00,,3478945.38,
2025-06-23 00:00:00,,2772036.85,
2025-06-24 00:00:00,,2154433.59,
2025-06-25 00:00:00,,2179918.24,
2025-06-26 00:00:00,,2050822.04,
2025-06-27 00:00:00,,1708873.17,
2025-06-28 00:00:00,,1982877.25,
2025-06-29 00:00:00,,1667453.77,
2025-06-30 00:00:00,,1809214.59,
2025-07-01 00:00:00,,1597832.38,
2025-07-02 00:00:00,,1264905.03,
2025-07-03 00:00:00,,1705476.39,
2025-07-04 00:00:00,,1789644.76,
2025-07-05 00:00:00,,1579601.92,
2025-07-06 00:00:00,,1569343.79,
2025-07-07 00:00:00,,1600405.72,
2025-07-08 00:00:00,,1474928.68,
2025-07-09 00:00:00,,1435533.64,
2025-07-10 00:00:00,,1479318.46,
2025-07-11 00:00:00,,1544122.27,
2025-07-12 00:00:00,,1361491.11,
2025-07-13 00:00:00,,1216631.60,
2025-07-14 00:00:00,,1217484.05,
2025-07-15 00:00:00,,1180282.83,
2025-07-16 00:00:00,,1156234.17,
2025-07-17 00:00:00,,1174414.93,
2025-07-18 00:00:00,,1133969.78,
2025-07-19 00:00:00,,1411955.68,
2025-07-20 00:00:00,,1234685.72,
2025-07-21 00:00:00,,1206095.88,
2025-07-22 00:00:00,,1110905.95,
2025-07-23 00:00:00,,1065039.91,
2025-07-24 00:00:00,,1069289.86,
2025-07-25 00:00:00,,1058814.46,
2025-07-26 00:00:00,,984408.21,
2025-07-27 00:00:00,,1014563.20,
2025-07-28 00:00:00,,989462.21,
2025-07-29 00:00:00,,1151332.62,
2025-07-30 00:00:00,,1330065.65,
2025-07-31 00:00:00,,1131682.03,
2025-08-01 00:00:00,,1100951.58,
2025-08-02 00:00:00,,927441.01,
2025-08-03 00:00:00,,872245.20,
2025-08-04 00:00:00,,890519.42,
2025-08-05 00:00:00,,863988.13,
2025-08-06 00:00:00,,1055938.11,
2025-08-07 00:00:00,,1266508.96,
2025-08-08 00:00:00,,3217128.58,
2025-08-09 00:00:00,,2425526.51,
2025-08-10 00:00:00,,4368859.58,
2025-08-11 00:00:00,,3800635.42,
2025-08-12 00:00:00,,2601452.03,
2025-08-13 00:00:00,,2082296.73,
2025-08-14 00:00:00,,1895874.12,
2025-08-15 00:00:00,,1579238.76,
2025-08-16 00:00:00,,1555682.62,
2025-08-17 00:00:00,,1496377.40,
2025-08-18 00:00:00,,1510684.09,
2025-08-19 00:00:00,,1407847.56,
2025-08-20 00:00:00,,1390638.82,
2025-08-21 00:00:00,,2755472.51,
2025-08-22 00:00:00,,3145605.94,
2025-08-23 00:00:00,,2394046.35,
2025-08-24 00:00:00,,2117570.09,
2025-08-25 00:00:00,,2340529.43,
2025-08-26 00:00:00,,1795226.19,
2025-08-27 00:00:00,,1947985.46,
2025-08-28 00:00:00,,1775971.63,
2025-08-29 00:00:00,,2215726.59,
2025-08-30 00:00:00,,2003236.68,
2025-08-31 00:00:00,,1904949.03,
2025-09-01 00:00:00,,1877387.03,
2025-09-02 00:00:00,,1805234.81,
2025-09-03 00:00:00,,2003508.60,
2025-09-04 00:00:00,,1835919.73,
2025-09-05 00:00:00,,1866531.87,
2025-09-06 00:00:00,,1787156.53,
2025-09-07 00:00:00,,1594788.61,
2025-09-08 00:00:00,,1674883.26,
2025-09-09 00:00:00,,1717148.19,
