time,oi_A,oi_6,oi_3
2022-05-19 00:00:00,,2333549.24,
2022-05-20 00:00:00,,2377275.54,
2022-05-21 00:00:00,,2216360.12,
2022-05-22 00:00:00,,2871681.04,
2022-05-23 00:00:00,,2679249.54,
2022-05-24 00:00:00,,3066814.57,
2022-05-25 00:00:00,,3386142.67,
2022-05-26 00:00:00,,3470979.86,
2022-05-27 00:00:00,,3124006.51,
2022-05-28 00:00:00,,3259792.76,
2022-05-29 00:00:00,,3342437.78,
2022-05-30 00:00:00,,3323875.48,
2022-05-31 00:00:00,,3592028.79,
2022-06-01 00:00:00,,4179222.65,
2022-06-02 00:00:00,,3101269.64,
2022-06-03 00:00:00,,3457833.32,
2022-06-04 00:00:00,,3063182.08,
2022-06-05 00:00:00,,3380722.03,
2022-06-06 00:00:00,,3320591.89,
2022-06-07 00:00:00,,3163594.65,
2022-06-08 00:00:00,,2928473.96,
2022-06-09 00:00:00,,2971329.74,
2022-06-10 00:00:00,,3066618.92,
2022-06-11 00:00:00,,2994983.37,
2022-06-12 00:00:00,,2818416.93,
2022-06-13 00:00:00,,2416349.98,
2022-06-14 00:00:00,,2125421.38,
2022-06-15 00:00:00,,2195263.86,
2022-06-16 00:00:00,,2415490.09,
2022-06-17 00:00:00,,2203330.64,
2022-06-18 00:00:00,,2372465.02,
2022-06-19 00:00:00,,2049108.21,
2022-06-20 00:00:00,,2236822.01,
2022-06-21 00:00:00,,2369498.46,
2022-06-22 00:00:00,,2538852.32,
2022-06-23 00:00:00,,2725425.35,
2022-06-24 00:00:00,,2585159.97,
2022-06-25 00:00:00,,2621871.76,
2022-06-26 00:00:00,,2544678.62,
2022-06-27 00:00:00,,2269299.95,
2022-06-28 00:00:00,,2255014.41,
2022-06-29 00:00:00,,2111049.24,
2022-06-30 00:00:00,,2055520.79,
2022-07-01 00:00:00,,1998503.77,
2022-07-02 00:00:00,,2046732.44,
2022-07-03 00:00:00,,2109969.67,
2022-07-04 00:00:00,,2220082.46,
2022-07-05 00:00:00,,2350598.58,
2022-07-06 00:00:00,,2443932.84,
2022-07-07 00:00:00,,2689434.74,
2022-07-08 00:00:00,,2630140.23,
2022-07-09 00:00:00,,2477051.25,
2022-07-10 00:00:00,,2625555.48,
2022-07-11 00:00:00,,3539058.62,
2022-07-12 00:00:00,,2902577.40,
2022-07-13 00:00:00,,2759477.35,
2022-07-14 00:00:00,,2842018.63,
2022-07-15 00:00:00,,3335508.91,
2022-07-16 00:00:00,,3198792.79,
2022-07-17 00:00:00,,3476229.89,
2022-07-18 00:00:00,,3152876.55,
2022-07-19 00:00:00,,3332425.48,
2022-07-20 00:00:00,,3392429.64,
2022-07-21 00:00:00,,3073689.40,
2022-07-22 00:00:00,,3860582.41,
2022-07-23 00:00:00,,3446506.52,
2022-07-24 00:00:00,,3163774.90,
2022-07-25 00:00:00,,3164030.79,
2022-07-26 00:00:00,,3338429.16,
2022-07-27 00:00:00,,2914194.19,
2022-07-28 00:00:00,,3233582.50,
2022-07-29 00:00:00,,3302349.46,
2022-07-30 00:00:00,,3272068.91,
2022-07-31 00:00:00,,3230882.88,
2022-08-01 00:00:00,,3006912.39,
2022-08-02 00:00:00,,2983587.36,
2022-08-03 00:00:00,,2782162.87,
2022-08-04 00:00:00,,3177111.37,
2022-08-05 00:00:00,,2827444.11,
2022-08-06 00:00:00,,2897083.43,
2022-08-07 00:00:00,,2885223.43,
2022-08-08 00:00:00,,3003580.20,
2022-08-09 00:00:00,,3254162.56,
2022-08-10 00:00:00,,2890899.42,
2022-08-11 00:00:00,,3449372.08,
2022-08-12 00:00:00,,3305584.69,
2022-08-13 00:00:00,,3334868.52,
2022-08-14 00:00:00,,3213850.42,
2022-08-15 00:00:00,,3059355.44,
2022-08-16 00:00:00,,2930228.05,
2022-08-17 00:00:00,,2902798.92,
2022-08-18 00:00:00,,2723557.22,
2022-08-19 00:00:00,,2549661.94,
2022-08-20 00:00:00,,2207363.25,
2022-08-21 00:00:00,,2248740.61,
2022-08-22 00:00:00,,2272426.66,
2022-08-23 00:00:00,,2252332.65,
2022-08-24 00:00:00,,2314824.01,
2022-08-25 00:00:00,,2487604.08,
2022-08-26 00:00:00,,2385395.81,
2022-08-27 00:00:00,,2103217.95,
2022-08-28 00:00:00,,2155737.04,
2022-08-29 00:00:00,,1998992.44,
2022-08-30 00:00:00,,2009961.93,
2022-08-31 00:00:00,,2055984.91,
2022-09-01 00:00:00,,2027719.32,
2022-09-02 00:00:00,,2097162.31,
2022-09-03 00:00:00,,2201634.98,
2022-09-04 00:00:00,,2268350.98,
2022-09-05 00:00:00,,2428550.01,
2022-09-06 00:00:00,,3170075.24,
2022-09-07 00:00:00,,2577107.27,
2022-09-08 00:00:00,,2668037.85,
2022-09-09 00:00:00,,4829949.48,
2022-09-10 00:00:00,,3286125.35,
2022-09-11 00:00:00,,3180224.85,
2022-09-12 00:00:00,,2820837.57,
2022-09-13 00:00:00,,2985359.43,
2022-09-14 00:00:00,,2625590.21,
2022-09-15 00:00:00,,2773876.36,
2022-09-16 00:00:00,,2620249.42,
2022-09-17 00:00:00,,2676652.34,
2022-09-18 00:00:00,,2692956.61,
2022-09-19 00:00:00,,2435795.06,
2022-09-20 00:00:00,,2474777.20,
2022-09-21 00:00:00,,2420633.99,
2022-09-22 00:00:00,,2034630.56,
2022-09-23 00:00:00,,2238530.84,
2022-09-24 00:00:00,,2139257.70,
2022-09-25 00:00:00,,2131360.67,
2022-09-26 00:00:00,,2072350.50,
2022-09-27 00:00:00,,2300231.56,
2022-09-28 00:00:00,,2363308.11,
2022-09-29 00:00:00,,2356460.64,
2022-09-30 00:00:00,,2468225.46,
2022-10-01 00:00:00,,2406040.46,
2022-10-02 00:00:00,,2375790.03,
2022-10-03 00:00:00,,2409597.09,
2022-10-04 00:00:00,,2353791.84,
2022-10-05 00:00:00,,2924885.36,
2022-10-06 00:00:00,,4870042.83,
2022-10-07 00:00:00,,11343613.08,
2022-10-08 00:00:00,,10997084.71,
2022-10-09 00:00:00,,11481619.96,
2022-10-10 00:00:00,,10804864.35,
2022-10-11 00:00:00,,7480899.38,
2022-10-12 00:00:00,,7792678.78,
2022-10-13 00:00:00,,5458070.89,
2022-10-14 00:00:00,,6401153.01,
2022-10-15 00:00:00,,12810327.57,
2022-10-16 00:00:00,,13784019.92,
2022-10-17 00:00:00,,11776643.68,
2022-10-18 00:00:00,,9753720.42,
2022-10-19 00:00:00,,12580461.05,
2022-10-20 00:00:00,,11140667.12,
2022-10-21 00:00:00,,8800869.58,
2022-10-22 00:00:00,,8494876.14,
2022-10-23 00:00:00,,8332187.80,
2022-10-24 00:00:00,,8548967.21,
2022-10-25 00:00:00,,8521158.05,
2022-10-26 00:00:00,,11345094.82,
2022-10-27 00:00:00,,12346005.74,
2022-10-28 00:00:00,,10667621.87,
2022-10-29 00:00:00,,12920295.47,
2022-10-30 00:00:00,,13426185.67,
2022-10-31 00:00:00,,10270862.93,
2022-11-01 00:00:00,,8531141.58,
2022-11-02 00:00:00,,9584961.25,
2022-11-03 00:00:00,,8796306.97,
2022-11-04 00:00:00,,8675054.33,
2022-11-05 00:00:00,,10789418.97,
2022-11-06 00:00:00,,9271336.70,
2022-11-07 00:00:00,,9095766.28,
2022-11-08 00:00:00,,9893891.23,
2022-11-09 00:00:00,,6244164.92,
2022-11-10 00:00:00,,4006210.94,
2022-11-11 00:00:00,,3685583.43,
2022-11-12 00:00:00,,4112143.01,
2022-11-13 00:00:00,,3898571.74,
2022-11-14 00:00:00,,4055350.97,
2022-11-15 00:00:00,,3584112.85,
2022-11-16 00:00:00,,3608422.49,
2022-11-17 00:00:00,,3861362.71,
2022-11-18 00:00:00,,3452876.40,
2022-11-19 00:00:00,,3232230.63,
2022-11-20 00:00:00,,3922751.12,
2022-11-21 00:00:00,,4449202.54,
2022-11-22 00:00:00,,4371518.19,
2022-11-23 00:00:00,,3968150.25,
2022-11-24 00:00:00,,3620612.77,
2022-11-25 00:00:00,,4034568.18,
2022-11-26 00:00:00,,4257760.83,
2022-11-27 00:00:00,,4315002.65,
2022-11-28 00:00:00,,8288689.61,
2022-11-29 00:00:00,,5791519.65,
2022-11-30 00:00:00,,8337082.65,
2022-12-01 00:00:00,,6993282.30,
2022-12-02 00:00:00,,6607383.27,
2022-12-03 00:00:00,,6181800.51,
2022-12-04 00:00:00,,6290196.17,
2022-12-05 00:00:00,,6204117.65,
2022-12-06 00:00:00,,6599127.14,
2022-12-07 00:00:00,,8264087.36,
2022-12-08 00:00:00,,7107861.97,
2022-12-09 00:00:00,,6946155.10,
2022-12-10 00:00:00,,7983505.21,
2022-12-11 00:00:00,,8320419.32,
2022-12-12 00:00:00,,7026355.65,
2022-12-13 00:00:00,,6638605.58,
2022-12-14 00:00:00,,5817598.32,
2022-12-15 00:00:00,,5602931.81,
2022-12-16 00:00:00,,6070593.36,
2022-12-17 00:00:00,,4540446.98,
2022-12-18 00:00:00,,4932200.51,
2022-12-19 00:00:00,,4907994.16,
2022-12-20 00:00:00,,4769291.23,
2022-12-21 00:00:00,,5395674.74,
2022-12-22 00:00:00,,5322840.88,
2022-12-23 00:00:00,,5519019.96,
2022-12-24 00:00:00,,5506027.63,
2022-12-25 00:00:00,,5557663.53,
2022-12-26 00:00:00,,5846908.80,
2022-12-27 00:00:00,,7273641.23,
