time,oi_A,oi_6,oi_3
2022-05-19 00:00:00,11929799.84,,3613593.68
2022-05-20 00:00:00,12621017.34,,3964326.16
2022-05-21 00:00:00,11147010.31,,3770669.81
2022-05-22 00:00:00,15111353.81,,4350581.00
2022-05-23 00:00:00,14272264.13,,4306655.15
2022-05-24 00:00:00,17918268.36,,4780726.76
2022-05-25 00:00:00,20169868.28,,5200996.06
2022-05-26 00:00:00,20434090.21,,4975962.35
2022-05-27 00:00:00,15176083.01,,4780984.06
2022-05-28 00:00:00,14258233.31,,4266031.63
2022-05-29 00:00:00,15617548.25,,4511891.03
2022-05-30 00:00:00,15028352.24,,4822995.98
2022-05-31 00:00:00,15975493.65,,5292497.83
2022-06-01 00:00:00,21603857.18,,6007231.88
2022-06-02 00:00:00,16907046.97,,5149228.28
2022-06-03 00:00:00,17034842.98,,5404930.39
2022-06-04 00:00:00,18016868.32,,5173001.62
2022-06-05 00:00:00,17798467.14,,5302760.96
2022-06-06 00:00:00,17175889.28,,5122999.96
2022-06-07 00:00:00,15832172.56,,5290081.91
2022-06-08 00:00:00,14970787.59,,5063545.05
2022-06-09 00:00:00,14810844.95,,4992003.98
2022-06-10 00:00:00,15000896.47,,5266460.75
2022-06-11 00:00:00,14423184.40,,4732138.12
2022-06-12 00:00:00,13825979.39,,4813851.96
2022-06-13 00:00:00,11750868.12,,4450466.25
2022-06-14 00:00:00,10222011.99,,4238995.60
2022-06-15 00:00:00,9522677.96,,4436556.52
2022-06-16 00:00:00,10965033.99,,4786438.77
2022-06-17 00:00:00,9427597.81,,4222835.23
2022-06-18 00:00:00,11095319.43,,4493336.97
2022-06-19 00:00:00,10491457.12,,4192610.19
2022-06-20 00:00:00,11011616.43,,4733857.84
2022-06-21 00:00:00,11152921.70,,4787776.58
2022-06-22 00:00:00,12149269.73,,5676015.76
2022-06-23 00:00:00,11310657.85,,5554941.73
2022-06-24 00:00:00,11110465.76,,5612983.75
2022-06-25 00:00:00,11713444.84,,5536999.03
2022-06-26 00:00:00,11167182.85,,5279531.25
2022-06-27 00:00:00,10173089.76,,4899996.58
2022-06-28 00:00:00,10025758.39,,4892687.60
2022-06-29 00:00:00,9374924.08,,4763616.65
2022-06-30 00:00:00,9243385.25,,4648833.89
2022-07-01 00:00:00,9896475.97,,4736985.95
2022-07-02 00:00:00,9490376.74,,4344012.93
2022-07-03 00:00:00,9410422.97,,4288449.78
2022-07-04 00:00:00,9888696.00,,4694408.22
2022-07-05 00:00:00,10397831.42,,4960393.60
2022-07-06 00:00:00,9577897.72,,4883647.94
2022-07-07 00:00:00,10480275.43,,5347600.75
2022-07-08 00:00:00,10730976.64,,5416654.30
2022-07-09 00:00:00,10416504.84,,5433133.86
2022-07-10 00:00:00,12429241.61,,5634446.26
2022-07-11 00:00:00,15626695.07,,6223029.74
2022-07-12 00:00:00,12217548.46,,4846193.04
2022-07-13 00:00:00,11311072.08,,4594662.21
2022-07-14 00:00:00,12413444.68,,4892880.52
2022-07-15 00:00:00,15280540.40,,5755225.66
2022-07-16 00:00:00,15179179.38,,5727629.60
2022-07-17 00:00:00,16527700.64,,5963513.92
2022-07-18 00:00:00,14280607.28,,5574263.78
2022-07-19 00:00:00,14888608.86,,5710469.07
2022-07-20 00:00:00,13825781.52,,5502257.76
2022-07-21 00:00:00,12837842.85,,5241245.98
2022-07-22 00:00:00,14048098.28,,5234534.97
2022-07-23 00:00:00,12632809.96,,4682389.76
2022-07-24 00:00:00,12511013.18,,5005964.01
2022-07-25 00:00:00,12755648.92,,4783590.97
2022-07-26 00:00:00,15866243.46,,5127477.44
2022-07-27 00:00:00,14425420.86,,5104142.47
2022-07-28 00:00:00,14344632.05,,5614117.01
2022-07-29 00:00:00,16256773.98,,6172671.08
2022-07-30 00:00:00,13969891.42,,5525560.83
2022-07-31 00:00:00,13471387.36,,5182993.76
2022-08-01 00:00:00,13280021.80,,5046574.36
2022-08-02 00:00:00,13214678.71,,4993348.56
2022-08-03 00:00:00,12125221.13,,4513844.96
2022-08-04 00:00:00,12336153.83,,4740314.86
2022-08-05 00:00:00,12255435.42,,4780533.89
2022-08-06 00:00:00,13324162.90,,4704304.99
2022-08-07 00:00:00,12889634.94,,4502257.17
2022-08-08 00:00:00,12900851.70,,4665450.33
2022-08-09 00:00:00,12448687.02,,4614807.52
2022-08-10 00:00:00,12290102.37,,4317036.75
2022-08-11 00:00:00,14689967.72,,4836058.49
2022-08-12 00:00:00,13974001.71,,4276543.77
2022-08-13 00:00:00,13973240.22,,4349034.56
2022-08-14 00:00:00,13346107.91,,4153370.76
2022-08-15 00:00:00,13289889.67,,4192661.39
2022-08-16 00:00:00,13671133.54,,4068358.60
2022-08-17 00:00:00,13959173.44,,4071515.70
2022-08-18 00:00:00,14127700.43,,4041951.38
2022-08-19 00:00:00,13539717.10,,3870939.74
2022-08-20 00:00:00,12752597.44,,3535152.79
2022-08-21 00:00:00,11802921.30,,3444961.17
2022-08-22 00:00:00,11969464.94,,3663010.79
2022-08-23 00:00:00,12243598.09,,3675320.28
2022-08-24 00:00:00,11691844.03,,3511978.28
2022-08-25 00:00:00,11498722.67,,3320022.61
2022-08-26 00:00:00,12062067.60,,3402288.65
2022-08-27 00:00:00,10570461.70,,2913180.00
2022-08-28 00:00:00,10431810.86,,3101823.76
2022-08-29 00:00:00,9854244.31,,2991774.48
2022-08-30 00:00:00,11194023.50,,3356194.81
2022-08-31 00:00:00,10781371.35,,3126738.62
2022-09-01 00:00:00,11115216.36,,3174618.85
2022-09-02 00:00:00,11145646.71,,3222308.26
2022-09-03 00:00:00,12356952.28,,3441749.79
2022-09-04 00:00:00,13299137.01,,3364492.22
2022-09-05 00:00:00,12879707.80,,3674489.17
2022-09-06 00:00:00,16252319.15,,4294504.39
2022-09-07 00:00:00,12241817.24,,3112894.70
2022-09-08 00:00:00,13512549.97,,3566505.37
2022-09-09 00:00:00,17358822.47,,4053949.30
2022-09-10 00:00:00,15060086.11,,3646519.03
2022-09-11 00:00:00,14082920.34,,3421026.94
2022-09-12 00:00:00,12798080.11,,3336516.92
2022-09-13 00:00:00,11806355.61,,3280374.44
2022-09-14 00:00:00,11059212.28,,3087415.51
2022-09-15 00:00:00,11177649.65,,3105763.12
2022-09-16 00:00:00,10694720.05,,2963166.48
2022-09-17 00:00:00,10341990.01,,2898951.93
2022-09-18 00:00:00,11219744.38,,3121774.96
2022-09-19 00:00:00,9662831.44,,2650312.98
2022-09-20 00:00:00,9846186.82,,2691787.05
2022-09-21 00:00:00,9558776.81,,2683659.78
2022-09-22 00:00:00,9688084.63,,2674614.80
2022-09-23 00:00:00,10447423.17,,2868180.98
2022-09-24 00:00:00,10369888.53,,2863930.17
2022-09-25 00:00:00,10234074.37,,2772961.61
2022-09-26 00:00:00,10111001.26,,2709230.16
2022-09-27 00:00:00,10793194.54,,2759719.54
2022-09-28 00:00:00,10681622.29,,2858794.63
2022-09-29 00:00:00,10682921.05,,2790286.07
2022-09-30 00:00:00,11451548.58,,3173052.06
2022-10-01 00:00:00,11025588.00,,3218082.66
2022-10-02 00:00:00,11141675.76,,2982661.67
2022-10-03 00:00:00,11970304.22,,3075284.66
2022-10-04 00:00:00,11893610.51,,3150369.49
2022-10-05 00:00:00,14321937.41,,3558132.16
2022-10-06 00:00:00,22433539.07,,3977902.99
2022-10-07 00:00:00,38346224.78,,5433195.94
2022-10-08 00:00:00,41178504.53,,5709456.80
2022-10-09 00:00:00,40540161.41,,5916497.07
2022-10-10 00:00:00,39190860.25,,5763535.47
2022-10-11 00:00:00,27579517.63,,5296430.50
2022-10-12 00:00:00,24690966.73,,5077454.15
2022-10-13 00:00:00,22488864.72,,4800392.12
2022-10-14 00:00:00,20884473.82,,4564092.99
2022-10-15 00:00:00,38175047.65,,7140563.82
2022-10-16 00:00:00,41349311.52,,7442838.07
2022-10-17 00:00:00,35615529.36,,6662879.36
2022-10-18 00:00:00,30351162.70,,6176541.34
2022-10-19 00:00:00,32647438.96,,7097888.01
2022-10-20 00:00:00,32644812.07,,7086609.18
2022-10-21 00:00:00,25657521.99,,6396850.08
2022-10-22 00:00:00,25320248.32,,5662440.47
2022-10-23 00:00:00,25556347.38,,5383054.64
2022-10-24 00:00:00,30063337.61,,5932067.80
2022-10-25 00:00:00,28831933.09,,5878200.41
2022-10-26 00:00:00,38070237.47,,6367862.28
2022-10-27 00:00:00,40781317.31,,7739159.09
2022-10-28 00:00:00,36290805.53,,7041938.75
2022-10-29 00:00:00,39729955.58,,6966289.79
2022-10-30 00:00:00,40414838.24,,7041529.45
2022-10-31 00:00:00,32825809.01,,6454182.60
2022-11-01 00:00:00,30400502.66,,7176051.36
2022-11-02 00:00:00,29979965.27,,6560104.32
2022-11-03 00:00:00,28523957.22,,6475929.04
2022-11-04 00:00:00,30697748.99,,6157137.03
2022-11-05 00:00:00,33515025.99,,5985259.16
2022-11-06 00:00:00,30154878.14,,5481075.23
2022-11-07 00:00:00,27565460.83,,5816558.99
2022-11-08 00:00:00,28472700.15,,5725674.43
2022-11-09 00:00:00,17994613.35,,4362299.80
2022-11-10 00:00:00,12292525.94,,3663345.48
2022-11-11 00:00:00,13158283.56,,3846695.76
2022-11-12 00:00:00,16014437.63,,3939280.59
2022-11-13 00:00:00,14605033.88,,4155463.12
2022-11-14 00:00:00,16376109.30,,4426896.30
2022-11-15 00:00:00,15678451.00,,4233717.17
2022-11-16 00:00:00,14420425.78,,4096359.20
2022-11-17 00:00:00,15722289.79,,3602708.03
2022-11-18 00:00:00,15808740.28,,3778891.10
2022-11-19 00:00:00,15454434.29,,3747341.21
2022-11-20 00:00:00,14117171.48,,3687600.07
2022-11-21 00:00:00,14001337.35,,3601891.19
2022-11-22 00:00:00,12152729.99,,3475877.25
