time,oi_A,oi_6,oi_3
2023-11-01 00:00:00,,8873648.81,
2023-11-02 00:00:00,,12822611.27,
2023-11-03 00:00:00,,11210338.18,
2023-11-04 00:00:00,,12075213.90,
2023-11-05 00:00:00,,12615476.68,
2023-11-06 00:00:00,,10562108.17,
2023-11-07 00:00:00,,10493891.74,
2023-11-08 00:00:00,,10285153.73,
2023-11-09 00:00:00,,9566020.85,
2023-11-10 00:00:00,,10322852.73,
2023-11-11 00:00:00,,14255082.72,
2023-11-12 00:00:00,,21844856.98,
2023-11-13 00:00:00,,29680782.22,
2023-11-14 00:00:00,,29840595.51,
2023-11-15 00:00:00,,46117771.20,
2023-11-16 00:00:00,,45960267.49,
2023-11-17 00:00:00,,39290806.57,
2023-11-18 00:00:00,,53952728.78,
2023-11-19 00:00:00,,59430011.85,
2023-11-20 00:00:00,,53643608.22,
2023-11-21 00:00:00,,42433064.48,
2023-11-22 00:00:00,,35391288.36,
2023-11-23 00:00:00,,43144345.20,
2023-11-24 00:00:00,,40316762.50,
2023-11-25 00:00:00,,36934535.11,
2023-11-26 00:00:00,,41950130.79,
2023-11-27 00:00:00,,37982903.58,
2023-11-28 00:00:00,,42919025.88,
2023-11-29 00:00:00,,46426196.87,
2023-11-30 00:00:00,,41763503.24,
2023-12-01 00:00:00,,43531210.89,
2023-12-02 00:00:00,,51235982.72,
2023-12-03 00:00:00,,66952630.29,
2023-12-04 00:00:00,,62763387.15,
2023-12-05 00:00:00,,61169300.97,
2023-12-06 00:00:00,,63497294.65,
2023-12-07 00:00:00,,54924560.55,
2023-12-08 00:00:00,,57752933.35,
2023-12-09 00:00:00,,57342282.11,
2023-12-10 00:00:00,,60933533.98,
2023-12-11 00:00:00,,65775163.69,
2023-12-12 00:00:00,,76584285.76,
2023-12-13 00:00:00,,73387498.71,
2023-12-14 00:00:00,,64424404.14,
2023-12-15 00:00:00,,77759031.96,
2023-12-16 00:00:00,,71434465.58,
2023-12-17 00:00:00,,66410530.20,
2023-12-18 00:00:00,,61454567.65,
2023-12-19 00:00:00,,63258780.70,
2023-12-20 00:00:00,,53012773.10,
2023-12-21 00:00:00,,56572013.58,
2023-12-22 00:00:00,,64102781.62,
2023-12-23 00:00:00,,61456165.18,
2023-12-24 00:00:00,,57588337.19,
2023-12-25 00:00:00,,67085343.48,
2023-12-26 00:00:00,,60038591.49,
2023-12-27 00:00:00,,54534901.75,
2023-12-28 00:00:00,,52537182.64,
2023-12-29 00:00:00,,52158505.42,
2023-12-30 00:00:00,,55597026.89,
2023-12-31 00:00:00,,51491258.50,
2024-01-01 00:00:00,,47193121.56,
2024-01-02 00:00:00,,52876844.53,
2024-01-03 00:00:00,,46957483.89,
2024-01-04 00:00:00,,38674593.72,
2024-01-05 00:00:00,,63874365.44,
2024-01-06 00:00:00,,54754961.83,
2024-01-07 00:00:00,,51403702.89,
2024-01-08 00:00:00,,49959048.28,
2024-01-09 00:00:00,,46481500.55,
2024-01-10 00:00:00,,48041164.72,
2024-01-11 00:00:00,,46541746.55,
2024-01-12 00:00:00,,46375737.44,
2024-01-13 00:00:00,,51000083.06,
2024-01-14 00:00:00,,60303765.67,
2024-01-15 00:00:00,,61663183.89,
2024-01-16 00:00:00,,62793514.86,
2024-01-17 00:00:00,,63042837.26,
