time,oi_A,oi_6,oi_3
2025-10-02 00:00:00,5116522.07,,
2025-10-03 00:00:00,4940470.73,,
2025-10-04 00:00:00,4119439.19,,
2025-10-05 00:00:00,3791527.91,,
2025-10-06 00:00:00,3712482.20,,
2025-10-07 00:00:00,4787917.88,,
2025-10-08 00:00:00,4509214.13,,
2025-10-09 00:00:00,4712611.77,,
2025-10-10 00:00:00,4770883.63,,
2025-10-11 00:00:00,3805278.74,,
2025-10-12 00:00:00,2088607.27,,
2025-10-13 00:00:00,2093092.30,,
2025-10-14 00:00:00,2817857.29,,
2025-10-15 00:00:00,4519076.56,,
2025-10-16 00:00:00,4550305.24,,
2025-10-17 00:00:00,3464139.09,,
2025-10-18 00:00:00,2879193.56,,
2025-10-19 00:00:00,3060154.68,,
2025-10-20 00:00:00,2698631.13,,
2025-10-21 00:00:00,2508053.69,,
2025-10-22 00:00:00,2487979.93,,
2025-10-23 00:00:00,3290437.01,,
2025-10-24 00:00:00,4049934.12,,
2025-10-25 00:00:00,3313570.03,,
2025-10-26 00:00:00,3611768.92,,
2025-10-27 00:00:00,3618188.73,,
2025-10-28 00:00:00,2950616.42,,
2025-10-29 00:00:00,2896427.26,,
2025-10-30 00:00:00,2497012.57,,
2025-10-31 00:00:00,2210780.56,,
2025-11-01 00:00:00,2116876.35,,
2025-11-02 00:00:00,2127069.24,,
2025-11-03 00:00:00,1890172.76,,
2025-11-04 00:00:00,2100835.24,,
2025-11-05 00:00:00,1943172.77,,
2025-11-06 00:00:00,1965329.69,,
2025-11-07 00:00:00,2179465.24,,
2025-11-08 00:00:00,3583795.02,,
2025-11-09 00:00:00,11669853.43,,
2025-11-10 00:00:00,11012844.84,,
2025-11-11 00:00:00,5404853.70,,
2025-11-12 00:00:00,5574833.01,,
2025-11-13 00:00:00,5399945.06,,
2025-11-14 00:00:00,7286043.40,,
2025-11-15 00:00:00,6868199.57,,
2025-11-16 00:00:00,6453855.94,,
2025-11-17 00:00:00,6299635.27,,
2025-11-18 00:00:00,7324698.27,,
2025-11-19 00:00:00,7038672.36,,
2025-11-20 00:00:00,7635366.34,,
2025-11-21 00:00:00,8052496.91,,
2025-11-22 00:00:00,6937711.95,,
2025-11-23 00:00:00,5094964.10,,
2025-11-24 00:00:00,5800125.20,,
2025-11-25 00:00:00,5812484.90,,
2025-11-26 00:00:00,5623349.03,,
2025-11-27 00:00:00,5582655.31,,
2025-11-28 00:00:00,5617197.77,,
2025-11-29 00:00:00,5563642.31,,769416.45
2025-11-30 00:00:00,5320305.33,,954537.48
2025-12-01 00:00:00,4972116.92,,1081358.46
2025-12-02 00:00:00,4249342.05,,1010844.99
2025-12-03 00:00:00,3786899.00,,676214.43
2025-12-04 00:00:00,4131377.31,,1357303.53
2025-12-05 00:00:00,4056177.48,,1272419.09
2025-12-06 00:00:00,3879033.76,,1337136.39
2025-12-07 00:00:00,4354945.92,,1385384.34
2025-12-08 00:00:00,4538515.56,,1624236.46
2025-12-09 00:00:00,4586069.41,,1463074.79
2025-12-10 00:00:00,4656795.03,,1327057.02
2025-12-11 00:00:00,11047170.98,,3848573.27
2025-12-12 00:00:00,7257852.94,,2642322.16
2025-12-13 00:00:00,5229037.49,,1651810.52
2025-12-14 00:00:00,5069837.56,,1894819.09
2025-12-15 00:00:00,4275695.44,,2464185.35
2025-12-16 00:00:00,4171593.60,,2094378.20
2025-12-17 00:00:00,5480060.65,,2799361.16
2025-12-18 00:00:00,4849802.67,,2060495.54
2025-12-19 00:00:00,4686522.32,,1781458.52
2025-12-20 00:00:00,4769736.75,,1720514.23
2025-12-21 00:00:00,5370550.98,,1815475.26
2025-12-22 00:00:00,5531448.88,,1872009.10
2025-12-23 00:00:00,5763375.06,,1904587.30
2025-12-24 00:00:00,4981408.43,,1483694.44
2025-12-25 00:00:00,4763803.22,,1658548.05
2025-12-26 00:00:00,5545419.45,,1702916.62
2025-12-27 00:00:00,4747660.05,,1977563.73
2025-12-28 00:00:00,4510712.61,,1877706.35
2025-12-29 00:00:00,4034348.05,,1563787.98
2025-12-30 00:00:00,4066105.03,,1708381.38
2025-12-31 00:00:00,3682477.46,,1547579.24
2026-01-01 00:00:00,3691215.53,,1455669.87
2026-01-02 00:00:00,3588177.30,,1024664.42
2026-01-03 00:00:00,4306655.05,,1247930.62
2026-01-04 00:00:00,4409866.00,,1320114.92
2026-01-05 00:00:00,4077693.25,,1222688.03
2026-01-06 00:00:00,3941107.98,,1255349.81
2026-01-07 00:00:00,3981869.28,,1228991.06
2026-01-08 00:00:00,3789890.36,,934698.52
