time,oi_A,oi_6,oi_3
2024-12-17 00:00:00,,34368246.61,
2024-12-18 00:00:00,,17370693.00,
2024-12-19 00:00:00,,13888995.68,
2024-12-20 00:00:00,,12660360.57,
2024-12-21 00:00:00,,22578716.19,
2024-12-22 00:00:00,,16558951.19,
2024-12-23 00:00:00,,14486696.94,
2024-12-24 00:00:00,,14098473.28,
2024-12-25 00:00:00,,15205039.56,
2024-12-26 00:00:00,,16545607.72,
2024-12-27 00:00:00,,21542402.50,
2024-12-28 00:00:00,,19590707.98,
2024-12-29 00:00:00,,16180934.59,
2024-12-30 00:00:00,,19870352.68,
2024-12-31 00:00:00,,17060551.06,
2025-01-01 00:00:00,,15526927.75,
2025-01-02 00:00:00,,15648083.60,
2025-01-03 00:00:00,,21422802.98,
2025-01-04 00:00:00,,22544649.14,
2025-01-05 00:00:00,,22029234.77,
2025-01-06 00:00:00,,22258175.02,
2025-01-07 00:00:00,,19997765.75,
2025-01-08 00:00:00,,18919714.72,
2025-01-09 00:00:00,,17714093.06,
2025-01-10 00:00:00,,16066114.03,
2025-01-11 00:00:00,,16630692.18,
2025-01-12 00:00:00,,16424962.80,
2025-01-13 00:00:00,,15787815.59,
2025-01-14 00:00:00,,14511881.10,
2025-01-15 00:00:00,,12734368.31,
2025-01-16 00:00:00,,12922742.43,
2025-01-17 00:00:00,,11409224.25,
2025-01-18 00:00:00,,11683210.98,
2025-01-19 00:00:00,,10650642.22,
2025-01-20 00:00:00,,8066208.34,
2025-01-21 00:00:00,,8324900.80,
2025-01-22 00:00:00,,11385889.35,
2025-01-23 00:00:00,,10747716.27,
2025-01-24 00:00:00,,13444336.08,
2025-01-25 00:00:00,,10800547.24,
2025-01-26 00:00:00,,9821262.51,
2025-01-27 00:00:00,,8751670.69,
2025-01-28 00:00:00,,10109450.91,
2025-01-29 00:00:00,,8157853.11,
2025-01-30 00:00:00,,7556439.77,
2025-01-31 00:00:00,,8070296.10,
2025-02-01 00:00:00,,7898310.89,
2025-02-02 00:00:00,,6468338.35,
2025-02-03 00:00:00,,5878867.42,
2025-02-04 00:00:00,,4939092.19,
2025-02-05 00:00:00,,4330312.98,
2025-02-06 00:00:00,,4349087.79,
2025-02-07 00:00:00,,4328784.12,
2025-02-08 00:00:00,,3908986.27,
2025-02-09 00:00:00,,6332322.42,
2025-02-10 00:00:00,,5715998.40,
2025-02-11 00:00:00,,5409999.19,
2025-02-12 00:00:00,,5364893.08,
2025-02-13 00:00:00,,5059323.19,
2025-02-14 00:00:00,,4705145.20,
2025-02-15 00:00:00,,4821960.41,
2025-02-16 00:00:00,,4701026.64,
2025-02-17 00:00:00,,4535521.58,
2025-02-18 00:00:00,,4550775.91,
2025-02-19 00:00:00,,3957547.73,
2025-02-20 00:00:00,,3904762.73,
2025-02-21 00:00:00,,4073129.63,
2025-02-22 00:00:00,,3090963.55,
2025-02-23 00:00:00,,2873804.69,
2025-02-24 00:00:00,,3095550.50,
2025-02-25 00:00:00,,7981158.47,
2025-02-26 00:00:00,,9110474.36,
2025-02-27 00:00:00,,10231948.50,
2025-02-28 00:00:00,,9731079.04,
2025-03-01 00:00:00,,12565391.32,
2025-03-02 00:00:00,,13042766.58,
2025-03-03 00:00:00,,12368465.26,
2025-03-04 00:00:00,,7381740.21,
2025-03-05 00:00:00,,6352620.53,
2025-03-06 00:00:00,,5612590.73,
2025-03-07 00:00:00,,4839928.70,
2025-03-08 00:00:00,,4948758.77,
2025-03-09 00:00:00,,4562269.82,
2025-03-10 00:00:00,,4150460.96,
2025-03-11 00:00:00,,3834419.78,
2025-03-12 00:00:00,,3153772.61,
2025-03-13 00:00:00,,3698507.33,
2025-03-14 00:00:00,,4145482.34,
2025-03-15 00:00:00,,4361009.69,
2025-03-16 00:00:00,,4622722.98,
2025-03-17 00:00:00,,7772483.66,
2025-03-18 00:00:00,,8570100.93,
2025-03-19 00:00:00,,6901632.60,
2025-03-20 00:00:00,,6406455.40,
2025-03-21 00:00:00,,7509480.57,
2025-03-22 00:00:00,,10799236.21,
2025-03-23 00:00:00,,10332572.73,
2025-03-24 00:00:00,,10626409.44,
2025-03-25 00:00:00,,10249927.86,
2025-03-26 00:00:00,,9798811.41,
2025-03-27 00:00:00,,10323583.76,
2025-03-28 00:00:00,,9361525.65,
2025-03-29 00:00:00,,7609958.50,
2025-03-30 00:00:00,,7133092.84,
2025-03-31 00:00:00,,6566840.80,
2025-04-01 00:00:00,,6674709.21,
2025-04-02 00:00:00,,6133077.00,
2025-04-03 00:00:00,,5778010.01,
2025-04-04 00:00:00,,5849490.12,
2025-04-05 00:00:00,,5460137.23,
2025-04-06 00:00:00,,6219121.07,
2025-04-07 00:00:00,,5301142.46,
2025-04-08 00:00:00,,5506727.67,
2025-04-09 00:00:00,,5745214.75,
2025-04-10 00:00:00,,6155989.09,
2025-04-11 00:00:00,,5948988.85,
2025-04-12 00:00:00,,6656647.72,
2025-04-13 00:00:00,,6790827.72,
2025-04-14 00:00:00,,5952903.05,
