time,oi_A,oi_6,oi_3
2022-05-19 00:00:00,8673968.36,,
2022-05-20 00:00:00,9319238.34,,
2022-05-21 00:00:00,8823837.71,,
2022-05-22 00:00:00,9335072.17,,
2022-05-23 00:00:00,11181269.40,,
2022-05-24 00:00:00,10269920.20,,
2022-05-25 00:00:00,10507350.25,,
2022-05-26 00:00:00,10893571.40,,
2022-05-27 00:00:00,11115991.09,,
2022-05-28 00:00:00,11112510.55,,
2022-05-29 00:00:00,11153616.92,,
2022-05-30 00:00:00,11062062.22,,
2022-05-31 00:00:00,11890698.65,,
2022-06-01 00:00:00,11672636.29,,
2022-06-02 00:00:00,11912146.17,,
2022-06-03 00:00:00,11460155.46,,
2022-06-04 00:00:00,10906870.22,,
2022-06-05 00:00:00,11212817.42,,
2022-06-06 00:00:00,11473568.59,,
2022-06-07 00:00:00,11931908.75,,
2022-06-08 00:00:00,10629192.76,,
2022-06-09 00:00:00,10222843.48,,
2022-06-10 00:00:00,15015729.54,,
2022-06-11 00:00:00,11791114.49,,
2022-06-12 00:00:00,11192817.08,,
2022-06-13 00:00:00,9729911.42,,
2022-06-14 00:00:00,9336631.60,,
2022-06-15 00:00:00,8945669.37,,
2022-06-16 00:00:00,9551909.56,,
2022-06-17 00:00:00,8469376.92,,
2022-06-18 00:00:00,8185587.36,,
2022-06-19 00:00:00,7519171.97,,
2022-06-20 00:00:00,8282448.33,,
2022-06-21 00:00:00,8166705.33,,
2022-06-22 00:00:00,8223022.19,,
2022-06-23 00:00:00,7328695.41,,
2022-06-24 00:00:00,8529410.46,,
2022-06-25 00:00:00,9303160.08,,
2022-06-26 00:00:00,9341093.72,,
2022-06-27 00:00:00,8485292.06,,
2022-06-28 00:00:00,8332007.22,,
2022-06-29 00:00:00,8593065.21,,
2022-06-30 00:00:00,8194634.40,,
2022-07-01 00:00:00,8051033.18,,
2022-07-02 00:00:00,7611111.27,,
2022-07-03 00:00:00,7730849.67,,
2022-07-04 00:00:00,8235245.05,,
2022-07-05 00:00:00,8486584.19,,
2022-07-06 00:00:00,8522105.71,,
2022-07-07 00:00:00,10063409.08,,
2022-07-08 00:00:00,10209579.33,,
2022-07-09 00:00:00,9271528.87,,
2022-07-10 00:00:00,9777670.93,,
2022-07-11 00:00:00,8808217.01,,
2022-07-12 00:00:00,8230725.46,,
2022-07-13 00:00:00,8861800.86,,
2022-07-14 00:00:00,8740239.74,,
2022-07-15 00:00:00,8849331.18,,
2022-07-16 00:00:00,8109280.95,,
2022-07-17 00:00:00,8579823.72,,
2022-07-18 00:00:00,8856530.67,,
2022-07-19 00:00:00,9470696.64,,
2022-07-20 00:00:00,11024059.68,,
2022-07-21 00:00:00,10970368.42,,
2022-07-22 00:00:00,10236874.18,,
2022-07-23 00:00:00,10182434.71,,
2022-07-24 00:00:00,9297354.03,,
2022-07-25 00:00:00,9115411.43,,
2022-07-26 00:00:00,8240238.67,,
2022-07-27 00:00:00,8008799.70,,
2022-07-28 00:00:00,8144626.22,,
2022-07-29 00:00:00,8857330.95,,
2022-07-30 00:00:00,9576209.74,,
2022-07-31 00:00:00,10063408.13,,
2022-08-01 00:00:00,10111722.92,,
2022-08-02 00:00:00,10267484.69,,
2022-08-03 00:00:00,11206734.40,,
2022-08-04 00:00:00,14005482.40,,
2022-08-05 00:00:00,12550165.64,,
2022-08-06 00:00:00,13936270.50,,
2022-08-07 00:00:00,13346269.73,,
2022-08-08 00:00:00,13589680.14,,
2022-08-09 00:00:00,13134834.22,,
2022-08-10 00:00:00,11000796.57,,
2022-08-11 00:00:00,14606521.20,,
2022-08-12 00:00:00,13251829.48,,
2022-08-13 00:00:00,13995656.66,,
2022-08-14 00:00:00,13557215.26,,
2022-08-15 00:00:00,12862927.21,,
2022-08-16 00:00:00,11429007.71,,
2022-08-17 00:00:00,10876926.67,,
2022-08-18 00:00:00,10404494.84,,
2022-08-19 00:00:00,9561056.72,,
2022-08-20 00:00:00,9015062.93,,
2022-08-21 00:00:00,9005236.27,,
2022-08-22 00:00:00,9344679.44,,
2022-08-23 00:00:00,8822246.86,,
2022-08-24 00:00:00,9005631.34,,
2022-08-25 00:00:00,9013460.46,,
2022-08-26 00:00:00,9161070.21,,
2022-08-27 00:00:00,8403819.62,,
2022-08-28 00:00:00,8005817.68,,
2022-08-29 00:00:00,8017682.73,,
2022-08-30 00:00:00,8430678.02,,
2022-08-31 00:00:00,7932086.83,,
2022-09-01 00:00:00,8017349.85,,
2022-09-02 00:00:00,7962730.60,,
2022-09-03 00:00:00,7932782.74,,
2022-09-04 00:00:00,8172685.68,,
2022-09-05 00:00:00,8809316.59,,
2022-09-06 00:00:00,8856786.34,,
2022-09-07 00:00:00,7627950.15,,
2022-09-08 00:00:00,7417369.53,,
2022-09-09 00:00:00,7824748.94,,
2022-09-10 00:00:00,8084613.96,,
2022-09-11 00:00:00,8248915.96,,
2022-09-12 00:00:00,8699196.64,,
2022-09-13 00:00:00,8789810.23,,
2022-09-14 00:00:00,8215264.21,,
2022-09-15 00:00:00,7507477.93,,
2022-09-16 00:00:00,7479495.07,,
2022-09-17 00:00:00,7633642.35,,
2022-09-18 00:00:00,7827747.44,,
2022-09-19 00:00:00,7586849.37,,
2022-09-20 00:00:00,7446108.15,,
2022-09-21 00:00:00,7571374.08,,
2022-09-22 00:00:00,7525847.84,,
2022-09-23 00:00:00,7809080.49,,
2022-09-24 00:00:00,7591123.15,,
2022-09-25 00:00:00,8654188.81,,
2022-09-26 00:00:00,7774674.65,,
2022-09-27 00:00:00,8357248.21,,
2022-09-28 00:00:00,8344669.35,,
2022-09-29 00:00:00,8022700.81,,
2022-09-30 00:00:00,9090880.14,,
2022-10-01 00:00:00,8693514.57,,
2022-10-02 00:00:00,9076809.16,,
2022-10-03 00:00:00,8743962.02,,
2022-10-04 00:00:00,9284306.80,,
2022-10-05 00:00:00,9922937.35,,
2022-10-06 00:00:00,9543493.99,,
2022-10-07 00:00:00,9050244.73,,
2022-10-08 00:00:00,9256616.30,,
2022-10-09 00:00:00,8965361.52,,
2022-10-10 00:00:00,9207545.82,,
2022-10-11 00:00:00,8786547.10,,
2022-10-12 00:00:00,8695898.91,,
2022-10-13 00:00:00,8801632.52,,
2022-10-14 00:00:00,8703215.78,,
2022-10-15 00:00:00,8853882.62,,
2022-10-16 00:00:00,8652387.99,,
2022-10-17 00:00:00,8498318.17,,
2022-10-18 00:00:00,8775982.96,,
2022-10-19 00:00:00,8774840.81,,
2022-10-20 00:00:00,8291075.94,,
2022-10-21 00:00:00,8282603.68,,
2022-10-22 00:00:00,8361228.92,,
2022-10-23 00:00:00,8316209.51,,
2022-10-24 00:00:00,8421445.28,,
2022-10-25 00:00:00,8364627.67,,
2022-10-26 00:00:00,8590111.85,,
2022-10-27 00:00:00,9077786.27,,
2022-10-28 00:00:00,8906220.68,,
2022-10-29 00:00:00,9384351.36,,
2022-10-30 00:00:00,9775048.31,,
2022-10-31 00:00:00,9271080.67,,
2022-11-01 00:00:00,10275378.58,,
2022-11-02 00:00:00,10155219.17,,
2022-11-03 00:00:00,9518305.75,,
2022-11-04 00:00:00,10013771.35,,
2022-11-05 00:00:00,12061647.20,,
2022-11-06 00:00:00,12653747.25,,
2022-11-07 00:00:00,11760956.99,,
2022-11-08 00:00:00,14243169.68,,
2022-11-09 00:00:00,9160363.89,,
2022-11-10 00:00:00,6560505.79,,
2022-11-11 00:00:00,6964752.44,,
2022-11-12 00:00:00,6647686.23,,
2022-11-13 00:00:00,6110315.15,,
2022-11-14 00:00:00,6156377.85,,
2022-11-15 00:00:00,5893106.77,,
2022-11-16 00:00:00,6224351.85,,
2022-11-17 00:00:00,6903534.51,,
2022-11-18 00:00:00,7069457.93,,
2022-11-19 00:00:00,6983665.40,,
2022-11-20 00:00:00,7124354.23,,
2022-11-21 00:00:00,6846876.64,,
2022-11-22 00:00:00,6322184.43,,
2022-11-23 00:00:00,6141769.31,,
2022-11-24 00:00:00,6383705.04,,
2022-11-25 00:00:00,6190500.92,,
2022-11-26 00:00:00,6388172.19,,
2022-11-27 00:00:00,6357144.81,,
2022-11-28 00:00:00,6656515.57,,
2022-11-29 00:00:00,6366759.30,,
2022-11-30 00:00:00,6604585.92,,
2022-12-01 00:00:00,6810090.00,,
2022-12-02 00:00:00,6604753.76,,
2022-12-03 00:00:00,7177869.75,,
2022-12-04 00:00:00,7273099.19,,
2022-12-05 00:00:00,7624685.63,,
2022-12-06 00:00:00,7908077.80,,
2022-12-07 00:00:00,7564223.28,,
2022-12-08 00:00:00,7390278.30,,
2022-12-09 00:00:00,6987841.16,,
2022-12-10 00:00:00,6919841.85,,
2022-12-11 00:00:00,7055407.98,,
2022-12-12 00:00:00,7078049.27,,
2022-12-13 00:00:00,7304672.94,,
2022-12-14 00:00:00,6716877.13,,
2022-12-15 00:00:00,7014700.99,,
2022-12-16 00:00:00,7097502.55,,
2022-12-17 00:00:00,6387831.94,,
2022-12-18 00:00:00,6064602.63,,
2022-12-19 00:00:00,5830729.62,,
2022-12-20 00:00:00,5562476.62,,
2022-12-21 00:00:00,5867082.57,,
2022-12-22 00:00:00,6230223.70,,
2022-12-23 00:00:00,6261308.10,,
2022-12-24 00:00:00,6188667.65,,
