time,oi_A,oi_6,oi_3
2024-01-11 00:00:00,,2355049.66,
2024-01-12 00:00:00,,5038251.03,
2024-01-13 00:00:00,,4454942.00,
2024-01-14 00:00:00,,5882553.80,
2024-01-15 00:00:00,,13679948.21,
2024-01-16 00:00:00,,21906598.76,
2024-01-17 00:00:00,,19032644.57,
2024-01-18 00:00:00,,20271678.19,
2024-01-19 00:00:00,,21580710.77,
2024-01-20 00:00:00,,15612447.08,
2024-01-21 00:00:00,,14211268.38,
2024-01-22 00:00:00,,14795757.72,
2024-01-23 00:00:00,,11559866.40,
2024-01-24 00:00:00,,11242279.17,
2024-01-25 00:00:00,,12218805.79,
2024-01-26 00:00:00,,11637165.54,
2024-01-27 00:00:00,,13845909.24,
2024-01-28 00:00:00,,13637736.41,
2024-01-29 00:00:00,,11676494.33,
2024-01-30 00:00:00,,11706368.52,
2024-01-31 00:00:00,,11356307.11,
2024-02-01 00:00:00,,11194214.93,
2024-02-02 00:00:00,,11001607.93,
2024-02-03 00:00:00,,10874982.91,
2024-02-04 00:00:00,,10677834.01,
2024-02-05 00:00:00,,9969472.71,
2024-02-06 00:00:00,,9481855.19,
2024-02-07 00:00:00,,9863597.39,
2024-02-08 00:00:00,,9825748.22,
2024-02-09 00:00:00,,9574995.59,
2024-02-10 00:00:00,,10793842.95,
2024-02-11 00:00:00,,10162628.72,
2024-02-12 00:00:00,,11797000.04,
2024-02-13 00:00:00,,10642644.67,
2024-02-14 00:00:00,,10785237.48,
2024-02-15 00:00:00,,12768507.66,
2024-02-16 00:00:00,,11912848.38,
2024-02-17 00:00:00,,11094982.97,
2024-02-18 00:00:00,,10669194.63,
2024-02-19 00:00:00,,13762848.53,
2024-02-20 00:00:00,,15846006.33,
2024-02-21 00:00:00,,17641755.46,
2024-02-22 00:00:00,,14776678.09,
2024-02-23 00:00:00,,14632428.07,
2024-02-24 00:00:00,,16595312.06,
2024-02-25 00:00:00,,15934444.99,
2024-02-26 00:00:00,,15567973.26,
2024-02-27 00:00:00,,15423730.60,
2024-02-28 00:00:00,,14003005.72,
2024-02-29 00:00:00,,11247909.62,
2024-03-01 00:00:00,,11354262.33,
2024-03-02 00:00:00,,12323217.20,
2024-03-03 00:00:00,,12130330.93,
2024-03-04 00:00:00,,10532155.22,
2024-03-05 00:00:00,,10314335.42,
2024-03-06 00:00:00,,8254156.59,
2024-03-07 00:00:00,,11258276.51,
2024-03-08 00:00:00,,11491270.13,
2024-03-09 00:00:00,,10463709.92,
2024-03-10 00:00:00,,12967764.59,
2024-03-11 00:00:00,,12171297.27,
2024-03-12 00:00:00,,12335854.18,
2024-03-13 00:00:00,,12431269.59,
2024-03-14 00:00:00,,11978293.42,
2024-03-15 00:00:00,,12367471.16,
2024-03-16 00:00:00,,10565525.41,
2024-03-17 00:00:00,,9440097.11,
2024-03-18 00:00:00,,10396879.76,
2024-03-19 00:00:00,,9237409.19,
2024-03-20 00:00:00,,8460563.91,
2024-03-21 00:00:00,,9268065.22,
2024-03-22 00:00:00,,9377287.88,
2024-03-23 00:00:00,,8850642.03,
2024-03-24 00:00:00,,8719787.13,
2024-03-25 00:00:00,,8805587.85,
2024-03-26 00:00:00,,9469374.12,
2024-03-27 00:00:00,,11151751.76,
2024-03-28 00:00:00,,11139879.65,
2024-03-29 00:00:00,,11973695.47,
2024-03-30 00:00:00,,11251430.97,
2024-03-31 00:00:00,,10892362.11,
2024-04-01 00:00:00,,11089329.65,
2024-04-02 00:00:00,,9793353.35,
2024-04-03 00:00:00,,9264054.36,
2024-04-04 00:00:00,,9277334.42,
2024-04-05 00:00:00,,9028869.30,
2024-04-06 00:00:00,,8820859.78,
2024-04-07 00:00:00,,9505859.94,
2024-04-08 00:00:00,,9476196.40,
2024-04-09 00:00:00,,10527744.65,
2024-04-10 00:00:00,,9046759.81,
2024-04-11 00:00:00,,9076512.00,
2024-04-12 00:00:00,,9293630.30,
2024-04-13 00:00:00,,5960198.68,
2024-04-14 00:00:00,,5143075.57,
2024-04-15 00:00:00,,5200060.65,
2024-04-16 00:00:00,,4931810.35,
2024-04-17 00:00:00,,5133632.24,
2024-04-18 00:00:00,,5088462.90,
2024-04-19 00:00:00,,5045239.63,
2024-04-20 00:00:00,,5102365.36,
2024-04-21 00:00:00,,5740406.87,
2024-04-22 00:00:00,,5693795.32,
2024-04-23 00:00:00,,5638321.71,
2024-04-24 00:00:00,,5680464.82,
2024-04-25 00:00:00,,5565962.16,
2024-04-26 00:00:00,,5563843.62,
2024-04-27 00:00:00,,5374966.30,
2024-04-28 00:00:00,,5233540.34,
2024-04-29 00:00:00,,5162190.74,
2024-04-30 00:00:00,,5061492.36,
2024-05-01 00:00:00,,4711091.12,
2024-05-02 00:00:00,,4790682.48,
2024-05-03 00:00:00,,5032272.84,
2024-05-04 00:00:00,,5477312.53,
2024-05-05 00:00:00,,5446761.98,
2024-05-06 00:00:00,,5698051.99,
2024-05-07 00:00:00,,5532060.92,
2024-05-08 00:00:00,,5356763.89,
2024-05-09 00:00:00,,6474847.49,
2024-05-10 00:00:00,,6465868.15,
2024-05-11 00:00:00,,5912981.84,
2024-05-12 00:00:00,,6001291.60,
2024-05-13 00:00:00,,6000212.99,
2024-05-14 00:00:00,,6487813.03,
2024-05-15 00:00:00,,5892515.13,
2024-05-16 00:00:00,,6660008.34,
2024-05-17 00:00:00,,6360374.99,
2024-05-18 00:00:00,,6512475.91,
2024-05-19 00:00:00,,6659539.42,
2024-05-20 00:00:00,,6170914.10,
2024-05-21 00:00:00,,7593261.52,
2024-05-22 00:00:00,,8070771.36,
2024-05-23 00:00:00,,7645520.27,
2024-05-24 00:00:00,,7975837.42,
2024-05-25 00:00:00,,8376462.16,
2024-05-26 00:00:00,,8533444.08,
2024-05-27 00:00:00,,8228513.76,
2024-05-28 00:00:00,,9580959.02,
2024-05-29 00:00:00,,9808786.72,
2024-05-30 00:00:00,,9251235.04,
2024-05-31 00:00:00,,9035045.32,
2024-06-01 00:00:00,,9622935.89,
2024-06-02 00:00:00,,9698565.26,
2024-06-03 00:00:00,,10138128.09,
2024-06-04 00:00:00,,11071712.95,
2024-06-05 00:00:00,,9659503.97,
2024-06-06 00:00:00,,15486644.30,
2024-06-07 00:00:00,,13487356.00,
2024-06-08 00:00:00,,9824984.86,
2024-06-09 00:00:00,,9016179.38,
2024-06-10 00:00:00,,8827601.47,
2024-06-11 00:00:00,,8161650.47,
2024-06-12 00:00:00,,7754030.34,
2024-06-13 00:00:00,,7878485.11,
2024-06-14 00:00:00,,7063289.69,
2024-06-15 00:00:00,,6670609.66,
2024-06-16 00:00:00,,6721142.10,
2024-06-17 00:00:00,,6765792.80,
2024-06-18 00:00:00,,6720162.05,
2024-06-19 00:00:00,,5786603.67,
2024-06-20 00:00:00,,5963746.23,
2024-06-21 00:00:00,,5977005.62,
2024-06-22 00:00:00,,5676396.29,
2024-06-23 00:00:00,,5721792.38,
2024-06-24 00:00:00,,5562225.07,
2024-06-25 00:00:00,,5595560.70,
2024-06-26 00:00:00,,5682075.17,
2024-06-27 00:00:00,,5569907.25,
2024-06-28 00:00:00,,5668927.19,
2024-06-29 00:00:00,,5430126.53,
2024-06-30 00:00:00,,6653553.84,
2024-07-01 00:00:00,,7433889.85,
2024-07-02 00:00:00,,6906188.57,
2024-07-03 00:00:00,,8552996.58,
2024-07-04 00:00:00,,8211721.63,
2024-07-05 00:00:00,,6967815.25,
2024-07-06 00:00:00,,7555027.13,
2024-07-07 00:00:00,,11294016.89,
2024-07-08 00:00:00,,11021658.27,
2024-07-09 00:00:00,,13171457.18,
2024-07-10 00:00:00,,14502541.38,
2024-07-11 00:00:00,,14145512.81,
2024-07-12 00:00:00,,13014628.07,
2024-07-13 00:00:00,,11763281.46,
2024-07-14 00:00:00,,11031291.25,
2024-07-15 00:00:00,,11358018.04,
2024-07-16 00:00:00,,11918990.14,
2024-07-17 00:00:00,,11213905.09,
2024-07-18 00:00:00,,10742840.75,
2024-07-19 00:00:00,,11843081.54,
2024-07-20 00:00:00,,10537738.27,
2024-07-21 00:00:00,,9793411.56,
2024-07-22 00:00:00,,9623359.82,
2024-07-23 00:00:00,,8874816.33,
2024-07-24 00:00:00,,8590961.98,
2024-07-25 00:00:00,,8103392.10,
2024-07-26 00:00:00,,7954991.63,
2024-07-27 00:00:00,,8283374.03,
2024-07-28 00:00:00,,8154704.36,
2024-07-29 00:00:00,,7897894.42,
2024-07-30 00:00:00,,7495428.07,
2024-07-31 00:00:00,,7118903.31,
2024-08-01 00:00:00,,6916487.63,
2024-08-02 00:00:00,,6779564.43,
2024-08-03 00:00:00,,6167144.36,
2024-08-04 00:00:00,,5860200.35,
2024-08-05 00:00:00,,5375461.67,
2024-08-06 00:00:00,,4181135.79,
2024-08-07 00:00:00,,4701800.68,
2024-08-08 00:00:00,,3392673.85,
2024-08-09 00:00:00,,3825680.08,
2024-08-10 00:00:00,,3576492.73,
2024-08-11 00:00:00,,3549342.91,
