time,oi_A,oi_6,oi_3
2024-01-10 00:00:00,3447686.04,,
2024-01-11 00:00:00,8353351.90,,
2024-01-12 00:00:00,13575476.73,,
2024-01-13 00:00:00,11528655.12,,
2024-01-14 00:00:00,14935050.54,,
2024-01-15 00:00:00,36235725.26,,
2024-01-16 00:00:00,48415630.56,,
2024-01-17 00:00:00,37373139.91,,
2024-01-18 00:00:00,41723136.41,,
2024-01-19 00:00:00,39644831.83,,
2024-01-20 00:00:00,30342055.88,,
2024-01-21 00:00:00,29309998.85,,
2024-01-22 00:00:00,27496810.76,,
2024-01-23 00:00:00,24076732.71,,
2024-01-24 00:00:00,22285185.18,,
2024-01-25 00:00:00,21567598.85,,
2024-01-26 00:00:00,21229269.77,,
2024-01-27 00:00:00,25438327.28,,
2024-01-28 00:00:00,26174174.41,,
2024-01-29 00:00:00,23117249.02,,
2024-01-30 00:00:00,23807387.97,,
2024-01-31 00:00:00,22900378.68,,
2024-02-01 00:00:00,23157603.37,,
2024-02-02 00:00:00,21559940.04,,
2024-02-03 00:00:00,21600510.20,,
2024-02-04 00:00:00,23615933.68,,
2024-02-05 00:00:00,21013204.58,,
2024-02-06 00:00:00,20430130.96,,
2024-02-07 00:00:00,23127236.26,,
2024-02-08 00:00:00,23869273.74,,
2024-02-09 00:00:00,22519330.19,,
2024-02-10 00:00:00,23407329.93,,
2024-02-11 00:00:00,26670292.45,,
2024-02-12 00:00:00,28610519.58,,
2024-02-13 00:00:00,27727043.45,,
2024-02-14 00:00:00,26964332.73,,
2024-02-15 00:00:00,26955440.55,,
2024-02-16 00:00:00,28087127.57,,
2024-02-17 00:00:00,27334343.76,,
2024-02-18 00:00:00,27776726.31,,
2024-02-19 00:00:00,35201334.86,,
2024-02-20 00:00:00,39975410.88,,
2024-02-21 00:00:00,43141593.51,,
2024-02-22 00:00:00,39493301.94,,
2024-02-23 00:00:00,35811237.87,,
2024-02-24 00:00:00,42535296.34,,
2024-02-25 00:00:00,42385344.20,,
2024-02-26 00:00:00,44844502.39,,
2024-02-27 00:00:00,40027711.50,,
2024-02-28 00:00:00,37357072.33,,
2024-02-29 00:00:00,31652648.14,,
2024-03-01 00:00:00,31955063.65,,
