time,oi_A,oi_6,oi_3
2023-04-14 00:00:00,1181922.20,,
2023-04-15 00:00:00,3021608.80,,
2023-04-16 00:00:00,3374996.42,,
2023-04-17 00:00:00,3167209.63,,
2023-04-18 00:00:00,2884117.33,,
2023-04-19 00:00:00,3060290.94,,
2023-04-20 00:00:00,2156786.48,,
2023-04-21 00:00:00,2139790.00,,
2023-04-22 00:00:00,1988809.58,,
2023-04-23 00:00:00,1919197.55,,
2023-04-24 00:00:00,1956751.17,,
2023-04-25 00:00:00,1735660.13,,
2023-04-26 00:00:00,2102513.55,,
2023-04-27 00:00:00,1894536.26,,
2023-04-28 00:00:00,2159428.49,,
2023-04-29 00:00:00,1732100.20,,
2023-04-30 00:00:00,1733997.35,,
2023-05-01 00:00:00,1781377.43,,
2023-05-02 00:00:00,1617810.92,,
2023-05-03 00:00:00,1457677.99,,
2023-05-04 00:00:00,1716253.90,,
2023-05-05 00:00:00,1830720.96,,
2023-05-06 00:00:00,1988870.46,,
2023-05-07 00:00:00,1742209.97,,
2023-05-08 00:00:00,1681805.51,,
2023-05-09 00:00:00,1621180.10,,
2023-05-10 00:00:00,1712334.31,,
2023-05-11 00:00:00,1638271.35,,
2023-05-12 00:00:00,1758120.83,,
2023-05-13 00:00:00,1840024.72,,
2023-05-14 00:00:00,1686821.28,,
2023-05-15 00:00:00,1627596.00,,
2023-05-16 00:00:00,1698832.54,,
2023-05-17 00:00:00,1443618.93,,
2023-05-18 00:00:00,1844404.56,,
2023-05-19 00:00:00,1774606.80,,
2023-05-20 00:00:00,1860266.77,,
2023-05-21 00:00:00,1755944.09,,
2023-05-22 00:00:00,1676267.39,,
2023-05-23 00:00:00,1773396.26,,
2023-05-24 00:00:00,1725082.82,,
2023-05-25 00:00:00,1764813.29,,
2023-05-26 00:00:00,1821019.47,,
2023-05-27 00:00:00,1847270.95,,
2023-05-28 00:00:00,1766132.70,,
2023-05-29 00:00:00,1871527.91,,
2023-05-30 00:00:00,1716656.99,,
2023-05-31 00:00:00,1788925.35,,
2023-06-01 00:00:00,1584807.66,,
2023-06-02 00:00:00,1730741.95,,
2023-06-03 00:00:00,1892196.26,,
2023-06-04 00:00:00,1758551.22,,
2023-06-05 00:00:00,1700472.40,,
2023-06-06 00:00:00,1462028.63,,
2023-06-07 00:00:00,1395997.97,,
2023-06-08 00:00:00,1345890.15,,
2023-06-09 00:00:00,1316203.11,,
2023-06-10 00:00:00,1380012.63,,
2023-06-11 00:00:00,1020910.66,,
2023-06-12 00:00:00,1031029.97,,
2023-06-13 00:00:00,1058662.95,,
2023-06-14 00:00:00,1132002.79,,
2023-06-15 00:00:00,1059424.07,,
2023-06-16 00:00:00,1069496.22,,
2023-06-17 00:00:00,1158580.63,,
2023-06-18 00:00:00,1267934.79,,
2023-06-19 00:00:00,1059180.61,,
2023-06-20 00:00:00,1124341.41,,
2023-06-21 00:00:00,1214759.79,,
2023-06-22 00:00:00,1165058.11,,
2023-06-23 00:00:00,1093923.68,,
2023-06-24 00:00:00,1089368.03,,
2023-06-25 00:00:00,1125835.29,,
2023-06-26 00:00:00,1075178.30,,
2023-06-27 00:00:00,1243918.11,,
2023-06-28 00:00:00,1265437.18,,
2023-06-29 00:00:00,1181336.98,,
2023-06-30 00:00:00,1187540.51,,
2023-07-01 00:00:00,1562493.76,,
2023-07-02 00:00:00,1183593.50,,
2023-07-03 00:00:00,1553573.75,,
2023-07-04 00:00:00,1645073.77,,
2023-07-05 00:00:00,1405589.15,,
2023-07-06 00:00:00,1417845.87,,
2023-07-07 00:00:00,1189813.43,,
2023-07-08 00:00:00,1105988.56,,
2023-07-09 00:00:00,1286208.94,,
2023-07-10 00:00:00,1289940.41,,
2023-07-11 00:00:00,1341684.53,,
2023-07-12 00:00:00,1214353.02,,
2023-07-13 00:00:00,1289820.96,,
2023-07-14 00:00:00,1535638.67,,
2023-07-15 00:00:00,1637429.28,,
2023-07-16 00:00:00,1615623.89,,
2023-07-17 00:00:00,1452653.63,,
2023-07-18 00:00:00,1588927.34,,
2023-07-19 00:00:00,1400194.25,,
2023-07-20 00:00:00,1613404.81,,
2023-07-21 00:00:00,2224699.89,,
2023-07-22 00:00:00,2379330.19,,
2023-07-23 00:00:00,2049938.96,,
2023-07-24 00:00:00,1860409.34,,
2023-07-25 00:00:00,1806568.71,,
2023-07-26 00:00:00,1613448.46,,
2023-07-27 00:00:00,1479979.84,,
2023-07-28 00:00:00,1518431.48,,
2023-07-29 00:00:00,1891097.44,,
2023-07-30 00:00:00,1734444.82,,
2023-07-31 00:00:00,1875513.72,,
2023-08-01 00:00:00,1561521.94,,
2023-08-02 00:00:00,1484563.18,,
2023-08-03 00:00:00,1489914.37,,
2023-08-04 00:00:00,1611544.89,,
2023-08-05 00:00:00,1575418.00,,
2023-08-06 00:00:00,1513578.61,,
2023-08-07 00:00:00,1573918.27,,
2023-08-08 00:00:00,1609709.24,,
2023-08-09 00:00:00,1619430.05,,
2023-08-10 00:00:00,1619841.15,,
2023-08-11 00:00:00,1399924.03,,
2023-08-12 00:00:00,1453242.07,,
2023-08-13 00:00:00,1506431.81,,
2023-08-14 00:00:00,1463105.44,,
2023-08-15 00:00:00,1470225.93,,
2023-08-16 00:00:00,1605641.77,,
2023-08-17 00:00:00,1459547.00,,
2023-08-18 00:00:00,1297698.64,,
2023-08-19 00:00:00,1240085.90,,
2023-08-20 00:00:00,1353511.44,,
2023-08-21 00:00:00,1219734.56,,
2023-08-22 00:00:00,1373631.63,,
2023-08-23 00:00:00,1253526.77,,
2023-08-24 00:00:00,1257379.48,,
2023-08-25 00:00:00,1196007.58,,
2023-08-26 00:00:00,1203917.22,,
2023-08-27 00:00:00,1200270.71,,
2023-08-28 00:00:00,1232482.16,,
2023-08-29 00:00:00,1573813.80,,
2023-08-30 00:00:00,1624469.95,,
2023-08-31 00:00:00,1384334.82,,
2023-09-01 00:00:00,1437556.32,,
2023-09-02 00:00:00,1386419.46,,
2023-09-03 00:00:00,1247463.44,,
2023-09-04 00:00:00,1412044.88,,
2023-09-05 00:00:00,1248203.06,,
2023-09-06 00:00:00,1198119.38,,
2023-09-07 00:00:00,1237406.98,,
2023-09-08 00:00:00,14095534.36,,
2023-09-09 00:00:00,9669756.10,,
2023-09-10 00:00:00,7283524.71,,
2023-09-11 00:00:00,5215696.18,,
2023-09-12 00:00:00,5283271.92,,
2023-09-13 00:00:00,4200846.24,,
2023-09-14 00:00:00,3676690.02,,
2023-09-15 00:00:00,3747989.87,,
2023-09-16 00:00:00,3563294.33,,
2023-09-17 00:00:00,3877448.49,,
2023-09-18 00:00:00,3705693.80,,
2023-09-19 00:00:00,3170353.72,,
2023-09-20 00:00:00,3001696.38,,
2023-09-21 00:00:00,2820969.49,,
2023-09-22 00:00:00,3427164.69,,
2023-09-23 00:00:00,3535853.91,,
