time,oi_A,oi_6,oi_3
2026-05-17 12:00:00,1587206.85,,
2026-05-17 13:00:00,1575131.38,,
2026-05-17 14:00:00,1572193.02,,
2026-05-17 15:00:00,1574114.61,,
2026-05-17 16:00:00,1576517.13,,
2026-05-17 17:00:00,1570196.45,,
2026-05-17 18:00:00,1568745.62,,
2026-05-17 19:00:00,1563690.41,,
2026-05-17 20:00:00,1567931.47,,
2026-05-17 21:00:00,1565276.02,,
2026-05-17 22:00:00,1564715.26,,
2026-05-17 23:00:00,1560735.31,,
2026-05-18 00:00:00,1515689.73,,
2026-05-18 01:00:00,1524485.20,,
2026-05-18 02:00:00,1526180.27,,
2026-05-18 03:00:00,1522967.73,,
2026-05-18 04:00:00,1523978.22,,
2026-05-18 05:00:00,1528498.23,,
2026-05-18 06:00:00,1523339.32,,
2026-05-18 07:00:00,1521121.59,,
2026-05-18 08:00:00,1521255.36,,
2026-05-18 09:00:00,1519913.41,,
2026-05-18 10:00:00,1514585.38,,
2026-05-18 11:00:00,1564161.08,,
2026-05-18 12:00:00,1564688.28,,
2026-05-18 13:00:00,1566695.24,,
2026-05-18 14:00:00,1571926.51,,
2026-05-18 15:00:00,1581645.60,,
2026-05-18 16:00:00,1583015.26,,
2026-05-18 17:00:00,1573137.22,,
2026-05-18 18:00:00,1576218.98,,
2026-05-18 19:00:00,1583559.42,,
2026-05-18 20:00:00,1597240.56,,
2026-05-18 21:00:00,1594653.25,,
2026-05-18 22:00:00,1598197.23,,
2026-05-18 23:00:00,1605610.66,,
2026-05-19 00:00:00,1613143.43,,
2026-05-19 01:00:00,1621893.06,,
2026-05-19 02:00:00,1619278.23,,
2026-05-19 03:00:00,1608676.72,,
2026-05-19 04:00:00,1611718.34,,
2026-05-19 05:00:00,1613525.38,,
2026-05-19 06:00:00,1617921.60,,
2026-05-19 07:00:00,1616848.48,,
2026-05-19 08:00:00,1616849.47,,
2026-05-19 09:00:00,1619740.85,,
2026-05-19 10:00:00,1614481.03,,
2026-05-19 11:00:00,1597336.66,,
2026-05-19 12:00:00,1597530.42,,
2026-05-19 13:00:00,1600847.29,,
2026-05-19 14:00:00,1597454.63,,
2026-05-19 15:00:00,1589516.01,,
2026-05-19 16:00:00,1585027.84,,
2026-05-19 17:00:00,1587766.55,,
2026-05-19 18:00:00,1575039.05,,
2026-05-19 19:00:00,1570220.12,,
2026-05-19 20:00:00,1564991.66,,
2026-05-19 21:00:00,1559184.75,,
2026-05-19 22:00:00,1558028.46,,
2026-05-19 23:00:00,1549253.45,,
2026-05-20 00:00:00,1546339.41,,
2026-05-20 01:00:00,1544038.44,,
2026-05-20 02:00:00,1536592.00,,
2026-05-20 03:00:00,1532022.10,,
2026-05-20 04:00:00,1531836.85,,
2026-05-20 05:00:00,1530125.37,,
2026-05-20 06:00:00,1531214.65,,
2026-05-20 07:00:00,1532134.91,,
2026-05-20 08:00:00,1528771.13,,
2026-05-20 09:00:00,1528747.07,,
2026-05-20 10:00:00,1534484.69,,
2026-05-20 11:00:00,1532858.36,,
2026-05-20 12:00:00,1527245.23,,
2026-05-20 13:00:00,1528493.83,,
2026-05-20 14:00:00,1524433.43,,
2026-05-20 15:00:00,1527760.54,,
2026-05-20 16:00:00,1521773.00,,
2026-05-20 17:00:00,1521584.59,,
2026-05-20 18:00:00,1520028.63,,
2026-05-20 19:00:00,1521037.18,,
2026-05-20 20:00:00,1527174.75,,
2026-05-20 21:00:00,1536075.38,,
2026-05-20 22:00:00,1535659.37,,
2026-05-20 23:00:00,1533590.24,,
2026-05-21 00:00:00,1520523.01,,
2026-05-21 01:00:00,1523574.47,,
2026-05-21 02:00:00,1513707.72,,
2026-05-21 03:00:00,1517862.28,,
2026-05-21 04:00:00,1516010.40,,
2026-05-21 05:00:00,1513972.89,,
2026-05-21 06:00:00,1523209.75,,
2026-05-21 07:00:00,1523859.93,,
2026-05-21 08:00:00,1525114.13,,
2026-05-21 09:00:00,1520861.27,,
2026-05-21 10:00:00,1521072.04,,
2026-05-21 11:00:00,1509301.36,,
2026-05-21 12:00:00,1512178.31,,
2026-05-21 13:00:00,1518577.21,,
2026-05-21 14:00:00,1524622.94,,
