time,oi_A,oi_6,oi_3
2026-05-24 12:00:00,,839685.56,
2026-05-24 13:00:00,,847254.05,
2026-05-24 14:00:00,,837901.41,
2026-05-24 15:00:00,,827444.27,
2026-05-24 16:00:00,,833182.02,
2026-05-24 17:00:00,,836050.90,
2026-05-24 18:00:00,,839547.83,
2026-05-24 19:00:00,,835488.76,
2026-05-24 20:00:00,,828269.97,
2026-05-24 21:00:00,,829885.13,
2026-05-24 22:00:00,,833460.51,
2026-05-24 23:00:00,,832474.41,
2026-05-25 00:00:00,,834807.19,
2026-05-25 01:00:00,,841571.45,
2026-05-25 02:00:00,,839787.24,
2026-05-25 03:00:00,,845446.97,
2026-05-25 04:00:00,,838913.97,
2026-05-25 05:00:00,,843682.84,
2026-05-25 06:00:00,,847550.80,
2026-05-25 07:00:00,,858891.99,
2026-05-25 08:00:00,,855089.89,
2026-05-25 09:00:00,,847030.69,
2026-05-25 10:00:00,,846423.05,
2026-05-25 11:00:00,,847399.81,
2026-05-25 12:00:00,,845685.15,
2026-05-25 13:00:00,,842046.77,
2026-05-25 14:00:00,,836139.11,
2026-05-25 15:00:00,,840080.72,
2026-05-25 16:00:00,,839193.31,
2026-05-25 17:00:00,,854850.72,
2026-05-25 18:00:00,,862259.85,
2026-05-25 19:00:00,,865483.05,
2026-05-25 20:00:00,,869294.32,
2026-05-25 21:00:00,,841557.52,
2026-05-25 22:00:00,,825603.35,
2026-05-25 23:00:00,,810850.11,
2026-05-26 00:00:00,,810078.53,
2026-05-26 01:00:00,,786359.76,
2026-05-26 02:00:00,,786886.90,
2026-05-26 03:00:00,,793142.81,
2026-05-26 04:00:00,,795113.06,
2026-05-26 05:00:00,,801065.99,
2026-05-26 06:00:00,,794823.24,
2026-05-26 07:00:00,,790334.45,
2026-05-26 08:00:00,,789083.75,
2026-05-26 09:00:00,,792043.05,
2026-05-26 10:00:00,,783967.27,
2026-05-26 11:00:00,,795807.79,
2026-05-26 12:00:00,,785987.27,
2026-05-26 13:00:00,,787955.40,
2026-05-26 14:00:00,,796113.07,
2026-05-26 15:00:00,,790473.60,
2026-05-26 16:00:00,,787822.69,
2026-05-26 17:00:00,,788881.04,
2026-05-26 18:00:00,,775401.99,
2026-05-26 19:00:00,,777213.83,
2026-05-26 20:00:00,,778962.06,
2026-05-26 21:00:00,,770606.54,
2026-05-26 22:00:00,,762522.59,
2026-05-26 23:00:00,,766742.92,
2026-05-27 00:00:00,,767857.74,
2026-05-27 01:00:00,,773239.22,
2026-05-27 02:00:00,,781092.17,
2026-05-27 03:00:00,,782625.59,
2026-05-27 04:00:00,,781512.41,
2026-05-27 05:00:00,,786069.93,
2026-05-27 06:00:00,,787390.08,
2026-05-27 07:00:00,,790457.57,
2026-05-27 08:00:00,,788898.82,
2026-05-27 09:00:00,,781088.67,
2026-05-27 10:00:00,,777277.03,
2026-05-27 11:00:00,,781319.76,
2026-05-27 12:00:00,,777424.10,
2026-05-27 13:00:00,,772773.00,
2026-05-27 14:00:00,,769972.34,
2026-05-27 15:00:00,,784878.32,
2026-05-27 16:00:00,,790438.39,
2026-05-27 17:00:00,,781686.64,
2026-05-27 18:00:00,,790520.17,
2026-05-27 19:00:00,,794179.55,
2026-05-27 20:00:00,,796190.82,
2026-05-27 21:00:00,,791819.90,
2026-05-27 22:00:00,,779852.75,
2026-05-27 23:00:00,,772660.87,
2026-05-28 00:00:00,,776527.71,
2026-05-28 01:00:00,,778119.27,
2026-05-28 02:00:00,,778310.13,
2026-05-28 03:00:00,,779710.03,
2026-05-28 04:00:00,,772512.78,
2026-05-28 05:00:00,,779790.88,
2026-05-28 06:00:00,,770802.08,
2026-05-28 07:00:00,,779922.13,
