time,oi_A,oi_6,oi_3
2026-05-24 12:00:00,2914501.14,,
2026-05-24 13:00:00,2942638.30,,
2026-05-24 14:00:00,2918456.91,,
2026-05-24 15:00:00,2855146.55,,
2026-05-24 16:00:00,2869688.63,,
2026-05-24 17:00:00,2869743.92,,
2026-05-24 18:00:00,2887874.68,,
2026-05-24 19:00:00,2864768.35,,
2026-05-24 20:00:00,2866827.24,,
2026-05-24 21:00:00,2852785.44,,
2026-05-24 22:00:00,2868062.05,,
2026-05-24 23:00:00,2867119.16,,
2026-05-25 00:00:00,2869710.14,,
2026-05-25 01:00:00,2884957.63,,
2026-05-25 02:00:00,2886755.26,,
2026-05-25 03:00:00,2911578.20,,
2026-05-25 04:00:00,2895357.13,,
2026-05-25 05:00:00,2896072.15,,
2026-05-25 06:00:00,2910972.54,,
2026-05-25 07:00:00,2962061.76,,
2026-05-25 08:00:00,2958788.28,,
2026-05-25 09:00:00,2919045.28,,
2026-05-25 10:00:00,2913243.23,,
2026-05-25 11:00:00,2921051.43,,
2026-05-25 12:00:00,2890126.73,,
2026-05-25 13:00:00,2871625.42,,
2026-05-25 14:00:00,2854412.72,,
2026-05-25 15:00:00,2865165.01,,
2026-05-25 16:00:00,2859693.52,,
2026-05-25 17:00:00,2920632.37,,
2026-05-25 18:00:00,2955868.67,,
2026-05-25 19:00:00,3020794.65,,
2026-05-25 20:00:00,3076321.71,,
2026-05-25 21:00:00,3067468.57,,
2026-05-25 22:00:00,3043972.51,,
2026-05-25 23:00:00,2964305.32,,
2026-05-26 00:00:00,2975085.03,,
2026-05-26 01:00:00,2906251.14,,
2026-05-26 02:00:00,2908757.10,,
2026-05-26 03:00:00,2946814.99,,
2026-05-26 04:00:00,2946817.28,,
2026-05-26 05:00:00,2978595.01,,
2026-05-26 06:00:00,2944062.51,,
2026-05-26 07:00:00,2936920.19,,
2026-05-26 08:00:00,2940182.75,,
2026-05-26 09:00:00,2944991.25,,
2026-05-26 10:00:00,2923038.26,,
2026-05-26 11:00:00,2948476.69,,
2026-05-26 12:00:00,2910142.99,,
2026-05-26 13:00:00,2942521.34,,
2026-05-26 14:00:00,2969693.46,,
2026-05-26 15:00:00,2948084.16,,
2026-05-26 16:00:00,2928002.69,,
2026-05-26 17:00:00,2920997.58,,
2026-05-26 18:00:00,2896562.07,,
2026-05-26 19:00:00,2901117.53,,
2026-05-26 20:00:00,2908365.85,,
2026-05-26 21:00:00,2881715.10,,
2026-05-26 22:00:00,2848271.12,,
2026-05-26 23:00:00,2862492.01,,
2026-05-27 00:00:00,2867790.54,,
2026-05-27 01:00:00,2881516.83,,
2026-05-27 02:00:00,2921864.28,,
2026-05-27 03:00:00,2927228.63,,
2026-05-27 04:00:00,2925505.55,,
2026-05-27 05:00:00,2932089.42,,
2026-05-27 06:00:00,2933839.56,,
2026-05-27 07:00:00,2936345.75,,
2026-05-27 08:00:00,2929893.59,,
2026-05-27 09:00:00,2917174.05,,
2026-05-27 10:00:00,2896426.70,,
2026-05-27 11:00:00,2931965.84,,
2026-05-27 12:00:00,2895828.27,,
2026-05-27 13:00:00,2883493.07,,
2026-05-27 14:00:00,2870321.07,,
2026-05-27 15:00:00,2920656.90,,
2026-05-27 16:00:00,2929688.30,,
2026-05-27 17:00:00,2894736.13,,
2026-05-27 18:00:00,2907000.64,,
2026-05-27 19:00:00,2898186.04,,
2026-05-27 20:00:00,2909859.81,,
2026-05-27 21:00:00,2895191.76,,
2026-05-27 22:00:00,2828671.99,,
2026-05-27 23:00:00,2804118.80,,
2026-05-28 00:00:00,2809632.47,,
2026-05-28 01:00:00,2805345.74,,
2026-05-28 02:00:00,2801509.63,,
2026-05-28 03:00:00,2799834.16,,
2026-05-28 04:00:00,2772853.90,,
2026-05-28 05:00:00,2815448.80,,
2026-05-28 06:00:00,2797505.52,,
2026-05-28 07:00:00,2830520.19,,
2026-05-28 08:00:00,2798158.29,,
2026-05-28 09:00:00,2793116.86,,
2026-05-28 10:00:00,2849289.48,,
2026-05-28 11:00:00,2861545.12,,
2026-05-28 12:00:00,2883958.79,,
2026-05-28 13:00:00,2894456.34,,
2026-05-28 14:00:00,2892745.34,,
2026-05-28 15:00:00,2899903.92,,
2026-05-28 16:00:00,2946950.93,,
2026-05-28 17:00:00,2907827.79,,
2026-05-28 18:00:00,2899170.49,,
2026-05-28 19:00:00,2890048.92,,
2026-05-28 20:00:00,2924358.35,,
2026-05-28 21:00:00,2925105.12,,
2026-05-28 22:00:00,2939880.09,,
2026-05-28 23:00:00,2902288.68,,
2026-05-29 00:00:00,2893462.00,,
2026-05-29 01:00:00,2917026.24,,
2026-05-29 02:00:00,2942845.10,,
2026-05-29 03:00:00,2954568.47,,
2026-05-29 04:00:00,2938717.04,,
2026-05-29 05:00:00,2938705.40,,
2026-05-29 06:00:00,2936223.31,,
2026-05-29 07:00:00,2995630.92,,
2026-05-29 08:00:00,2996477.92,,
2026-05-29 09:00:00,2982515.12,,
2026-05-29 10:00:00,3014425.79,,
2026-05-29 11:00:00,3076493.94,,
2026-05-29 12:00:00,3063257.41,,
2026-05-29 13:00:00,3087592.77,,
2026-05-29 14:00:00,3119398.16,,
2026-05-29 15:00:00,3122576.18,,
2026-05-29 16:00:00,3138425.86,,
2026-05-29 17:00:00,3103769.31,,
2026-05-29 18:00:00,3049070.95,,
2026-05-29 19:00:00,3025115.25,,
2026-05-29 20:00:00,3045968.39,,
2026-05-29 21:00:00,3046255.79,,
2026-05-29 22:00:00,3022367.13,,
2026-05-29 23:00:00,3038502.73,,
2026-05-30 00:00:00,3010475.43,,
2026-05-30 01:00:00,3010436.71,,
2026-05-30 02:00:00,3048532.36,,
2026-05-30 03:00:00,3020825.68,,
2026-05-30 04:00:00,2939865.57,,
2026-05-30 05:00:00,2992859.79,,
2026-05-30 06:00:00,2985034.20,,
2026-05-30 07:00:00,3006911.21,,
2026-05-30 08:00:00,2982255.55,,
2026-05-30 09:00:00,2945381.41,,
2026-05-30 10:00:00,2947818.38,,
2026-05-30 11:00:00,2913642.52,,
2026-05-30 12:00:00,2836263.65,,
2026-05-30 13:00:00,2849037.85,,
