time,oi_A,oi_6,oi_3
2026-05-17 12:00:00,72912736.06,,10757865.54
2026-05-17 13:00:00,73237745.74,,10785442.10
2026-05-17 14:00:00,72650854.34,,10715329.01
2026-05-17 15:00:00,72815896.63,,10725475.14
2026-05-17 16:00:00,72510624.84,,10710674.15
2026-05-17 17:00:00,72184823.36,,10730594.07
2026-05-17 18:00:00,72525142.64,,10758605.52
2026-05-17 19:00:00,72742848.80,,10813003.86
2026-05-17 20:00:00,73121591.30,,10829341.36
2026-05-17 21:00:00,73172629.55,,10856626.73
2026-05-17 22:00:00,73299733.34,,10848040.26
2026-05-17 23:00:00,72967271.96,,10774296.03
2026-05-18 00:00:00,70345664.39,,10399308.56
2026-05-18 01:00:00,70474035.84,,10495613.58
2026-05-18 02:00:00,70732189.03,,10564491.59
2026-05-18 03:00:00,70882360.91,,10544983.28
2026-05-18 04:00:00,70765719.03,,10505184.03
2026-05-18 05:00:00,70980757.39,,10527259.50
2026-05-18 06:00:00,70861567.44,,10465815.68
2026-05-18 07:00:00,70913580.85,,10505086.23
2026-05-18 08:00:00,71145784.61,,10594709.03
2026-05-18 09:00:00,71119895.71,,10603139.12
2026-05-18 10:00:00,71022657.85,,10658906.80
2026-05-18 11:00:00,71246118.36,,10622480.88
2026-05-18 12:00:00,71025566.54,,10601268.25
2026-05-18 13:00:00,71069519.84,,10592996.53
2026-05-18 14:00:00,70611332.25,,10528968.93
2026-05-18 15:00:00,70238148.77,,10440122.34
2026-05-18 16:00:00,69718651.77,,10493064.42
2026-05-18 17:00:00,70073412.65,,10509998.79
2026-05-18 18:00:00,69766550.91,,10524852.98
2026-05-18 19:00:00,69162121.12,,10450293.03
2026-05-18 20:00:00,69865917.29,,10519008.32
2026-05-18 21:00:00,69465587.42,,10471693.30
2026-05-18 22:00:00,69839439.92,,10515847.61
2026-05-18 23:00:00,69747188.65,,10476218.36
2026-05-19 00:00:00,69656199.63,,10464863.65
2026-05-19 01:00:00,69851594.62,,10502829.77
2026-05-19 02:00:00,69401648.70,,10413129.29
2026-05-19 03:00:00,69391636.05,,10416051.64
2026-05-19 04:00:00,69577689.29,,10480699.10
2026-05-19 05:00:00,69753129.13,,10544023.43
2026-05-19 06:00:00,69608986.26,,10609958.47
2026-05-19 07:00:00,69518726.02,,10624991.57
2026-05-19 08:00:00,69665550.37,,10670051.41
2026-05-19 09:00:00,69311478.04,,10629999.01
2026-05-19 10:00:00,69218052.65,,10569593.20
2026-05-19 11:00:00,69169810.34,,10505181.14
2026-05-19 12:00:00,68730047.14,,10386331.88
2026-05-19 13:00:00,68865301.79,,10327785.09
2026-05-19 14:00:00,68961213.04,,10377956.88
2026-05-19 15:00:00,68290817.63,,10255756.00
2026-05-19 16:00:00,68244836.09,,10276750.25
2026-05-19 17:00:00,68444812.96,,10296458.02
2026-05-19 18:00:00,68273180.66,,10335518.11
2026-05-19 19:00:00,68270937.55,,10313151.27
2026-05-19 20:00:00,68368294.83,,10324474.50
2026-05-19 21:00:00,68566567.44,,10353524.27
2026-05-19 22:00:00,68456042.56,,10292979.21
2026-05-19 23:00:00,68189491.31,,10254993.41
2026-05-20 00:00:00,68248160.49,,10283477.32
2026-05-20 01:00:00,68329422.20,,10313073.98
2026-05-20 02:00:00,68567776.78,,10338957.34
2026-05-20 03:00:00,68397007.59,,10302796.54
2026-05-20 04:00:00,68877779.67,,10355443.21
2026-05-20 05:00:00,69106192.20,,10382361.18
2026-05-20 06:00:00,69987325.81,,10478369.37
2026-05-20 07:00:00,69732578.78,,10432871.90
2026-05-20 08:00:00,69600490.74,,10436604.23
2026-05-20 09:00:00,70279777.23,,10462311.28
2026-05-20 10:00:00,70181325.75,,10494996.58
2026-05-20 11:00:00,70065439.70,,10523135.90
2026-05-20 12:00:00,69984900.04,,10518591.23
2026-05-20 13:00:00,70672850.25,,10664938.43
2026-05-20 14:00:00,71067131.55,,10513881.56
2026-05-20 15:00:00,71223991.21,,10520157.64
2026-05-20 16:00:00,71270092.79,,10537421.02
2026-05-20 17:00:00,70516751.64,,10570784.14
2026-05-20 18:00:00,71870849.10,,10610399.83
2026-05-20 19:00:00,71147542.28,,10458972.52
2026-05-20 20:00:00,72238381.47,,10676550.30
2026-05-20 21:00:00,71882096.31,,10542640.10
2026-05-20 22:00:00,72415520.81,,10370315.94
2026-05-20 23:00:00,71578355.80,,10247235.75
2026-05-21 00:00:00,70504812.56,,10081438.25
2026-05-21 01:00:00,72250185.09,,10370551.87
2026-05-21 02:00:00,71370133.01,,10256297.65
2026-05-21 03:00:00,72975625.20,,10395532.77
2026-05-21 04:00:00,72623293.34,,10455174.37
2026-05-21 05:00:00,71402527.53,,10408033.04
2026-05-21 06:00:00,70365385.54,,10347634.14
2026-05-21 07:00:00,70061002.82,,10335785.76
2026-05-21 08:00:00,70842067.93,,10351796.00
2026-05-21 09:00:00,72668771.53,,10379713.74
2026-05-21 10:00:00,84661388.78,,11681559.52
2026-05-21 11:00:00,79759481.90,,11285341.20
2026-05-21 12:00:00,78578729.17,,10898486.68
2026-05-21 13:00:00,77324793.45,,10576414.79
2026-05-21 14:00:00,81822917.93,,11120110.47
2026-05-21 15:00:00,82738561.70,,11244903.72
2026-05-21 16:00:00,84645797.09,,11743968.42
2026-05-21 17:00:00,83195561.35,,11468845.15
2026-05-21 18:00:00,83941484.62,,11582019.20
2026-05-21 19:00:00,80925806.17,,11149211.40
2026-05-21 20:00:00,81065175.52,,11004797.35
2026-05-21 21:00:00,81639387.51,,10972132.47
2026-05-21 22:00:00,80345792.80,,10784677.64
2026-05-21 23:00:00,78562736.51,,10749067.71
2026-05-22 00:00:00,79376370.76,,10663793.32
2026-05-22 01:00:00,78839899.80,,10556027.12
2026-05-22 02:00:00,78842201.55,,10572329.49
2026-05-22 03:00:00,80109577.89,,10767431.64
2026-05-22 04:00:00,78944388.21,,10748670.01
2026-05-22 05:00:00,78221341.10,,10643190.87
2026-05-22 06:00:00,79387210.32,,10778550.14
2026-05-22 07:00:00,79203620.99,,10832036.13
2026-05-22 08:00:00,79408908.59,,10863969.31
2026-05-22 09:00:00,79548394.29,,10885984.98
2026-05-22 10:00:00,79897181.36,,11069416.38
2026-05-22 11:00:00,79728012.67,,11038477.99
2026-05-22 12:00:00,81103875.95,,11138721.58
2026-05-22 13:00:00,84541891.93,,11574131.12
2026-05-22 14:00:00,84016422.43,,11577841.98
2026-05-22 15:00:00,80405920.45,,10885186.26
