time,oi_A,oi_6,oi_3
2026-05-10 12:00:00,2009572.32,,
2026-05-10 13:00:00,2029545.74,,
2026-05-10 14:00:00,2043072.39,,
2026-05-10 15:00:00,2103924.62,,
2026-05-10 16:00:00,2075780.63,,
2026-05-10 17:00:00,2113019.53,,
2026-05-10 18:00:00,2139052.21,,
2026-05-10 19:00:00,2113744.56,,
2026-05-10 20:00:00,2098241.27,,
2026-05-10 21:00:00,1998616.70,,
2026-05-10 22:00:00,2030239.74,,
2026-05-10 23:00:00,2051378.93,,
2026-05-11 00:00:00,2026343.67,,
2026-05-11 01:00:00,2045867.00,,
2026-05-11 02:00:00,2031989.12,,
2026-05-11 03:00:00,2023662.03,,
2026-05-11 04:00:00,1958767.51,,
2026-05-11 05:00:00,1918873.56,,
2026-05-11 06:00:00,1934075.22,,
2026-05-11 07:00:00,1919864.65,,
2026-05-11 08:00:00,1974426.40,,
2026-05-11 09:00:00,1956689.80,,
2026-05-11 10:00:00,1958945.97,,
2026-05-11 11:00:00,1980121.49,,
2026-05-11 12:00:00,1948110.90,,
2026-05-11 13:00:00,1929666.56,,
2026-05-11 14:00:00,1882833.50,,
2026-05-11 15:00:00,1876674.90,,
2026-05-11 16:00:00,1891584.53,,
2026-05-11 17:00:00,1890703.67,,
2026-05-11 18:00:00,1893120.40,,
2026-05-11 19:00:00,1892493.03,,
2026-05-11 20:00:00,1882013.38,,
2026-05-11 21:00:00,1899974.35,,
2026-05-11 22:00:00,1893050.04,,
2026-05-11 23:00:00,1866317.13,,
2026-05-12 00:00:00,1864494.07,,
2026-05-12 01:00:00,1884766.83,,
2026-05-12 02:00:00,1835664.20,,
2026-05-12 03:00:00,1853769.80,,
2026-05-12 04:00:00,1837906.45,,
2026-05-12 05:00:00,1858887.83,,
2026-05-12 06:00:00,1853399.22,,
2026-05-12 07:00:00,1852190.08,,
2026-05-12 08:00:00,1839548.75,,
2026-05-12 09:00:00,1842366.85,,
2026-05-12 10:00:00,1889960.27,,
2026-05-12 11:00:00,1869803.30,,
2026-05-12 12:00:00,1858342.03,,
2026-05-12 13:00:00,1863460.54,,
