time,oi_A,oi_6,oi_3
2026-05-24 12:00:00,2320035.96,,
2026-05-24 13:00:00,2309367.38,,
2026-05-24 14:00:00,2284174.14,,
2026-05-24 15:00:00,2261552.09,,
2026-05-24 16:00:00,2257430.98,,
2026-05-24 17:00:00,2272910.95,,
2026-05-24 18:00:00,2269679.06,,
2026-05-24 19:00:00,2253376.01,,
2026-05-24 20:00:00,2249319.31,,
2026-05-24 21:00:00,2227049.99,,
2026-05-24 22:00:00,2184344.93,,
2026-05-24 23:00:00,2224002.66,,
2026-05-25 00:00:00,2232312.80,,
2026-05-25 01:00:00,2232131.13,,
2026-05-25 02:00:00,2224153.13,,
2026-05-25 03:00:00,2243861.94,,
2026-05-25 04:00:00,2245409.38,,
2026-05-25 05:00:00,2281970.78,,
2026-05-25 06:00:00,2275434.88,,
2026-05-25 07:00:00,2299204.68,,
2026-05-25 08:00:00,2303790.57,,
2026-05-25 09:00:00,2312392.85,,
2026-05-25 10:00:00,2314154.73,,
2026-05-25 11:00:00,2324242.45,,
2026-05-25 12:00:00,2279541.83,,
2026-05-25 13:00:00,2311441.03,,
2026-05-25 14:00:00,2326492.11,,
2026-05-25 15:00:00,2322427.31,,
2026-05-25 16:00:00,2312286.92,,
2026-05-25 17:00:00,2328268.50,,
2026-05-25 18:00:00,2323028.60,,
2026-05-25 19:00:00,2318872.23,,
2026-05-25 20:00:00,2340772.27,,
2026-05-25 21:00:00,2318711.56,,
2026-05-25 22:00:00,2310078.97,,
2026-05-25 23:00:00,2283757.89,,
2026-05-26 00:00:00,2291935.74,,
2026-05-26 01:00:00,2253249.37,,
2026-05-26 02:00:00,2236300.76,,
2026-05-26 03:00:00,2261192.91,,
2026-05-26 04:00:00,2269919.77,,
2026-05-26 05:00:00,2287676.81,,
2026-05-26 06:00:00,2291895.40,,
2026-05-26 07:00:00,2299810.94,,
2026-05-26 08:00:00,2290761.79,,
2026-05-26 09:00:00,2304809.17,,
2026-05-26 10:00:00,2306889.45,,
2026-05-26 11:00:00,2334974.01,,
2026-05-26 12:00:00,2332096.33,,
2026-05-26 13:00:00,2332131.03,,
2026-05-26 14:00:00,2361944.46,,
2026-05-26 15:00:00,2382872.97,,
2026-05-26 16:00:00,2362159.02,,
2026-05-26 17:00:00,2353235.52,,
2026-05-26 18:00:00,2302761.32,,
2026-05-26 19:00:00,2299988.63,,
2026-05-26 20:00:00,2308090.80,,
2026-05-26 21:00:00,2290973.66,,
2026-05-26 22:00:00,2267778.14,,
2026-05-26 23:00:00,2264195.46,,
2026-05-27 00:00:00,2272986.70,,
2026-05-27 01:00:00,2311264.89,,
2026-05-27 02:00:00,2272317.91,,
2026-05-27 03:00:00,2248450.64,,
2026-05-27 04:00:00,2236513.20,,
2026-05-27 05:00:00,2256311.50,,
2026-05-27 06:00:00,2236132.16,,
2026-05-27 07:00:00,2236306.69,,
2026-05-27 08:00:00,2237300.76,,
2026-05-27 09:00:00,2210385.04,,
2026-05-27 10:00:00,2195919.21,,
2026-05-27 11:00:00,2196685.21,,
2026-05-27 12:00:00,2175481.67,,
2026-05-27 13:00:00,2192066.86,,
2026-05-27 14:00:00,2181951.25,,
2026-05-27 15:00:00,2213054.84,,
2026-05-27 16:00:00,2233592.53,,
2026-05-27 17:00:00,2247982.59,,
2026-05-27 18:00:00,2228756.58,,
2026-05-27 19:00:00,2243189.31,,
2026-05-27 20:00:00,2243523.43,,
2026-05-27 21:00:00,2263007.79,,
2026-05-27 22:00:00,2202649.02,,
2026-05-27 23:00:00,2221500.08,,
2026-05-28 00:00:00,2226538.30,,
2026-05-28 01:00:00,2223291.79,,
2026-05-28 02:00:00,2195072.27,,
2026-05-28 03:00:00,2186868.01,,
2026-05-28 04:00:00,2096186.00,,
2026-05-28 05:00:00,2106662.88,,
2026-05-28 06:00:00,2085465.97,,
2026-05-28 07:00:00,2092714.62,,
2026-05-28 08:00:00,2091294.78,,
2026-05-28 09:00:00,2074431.76,,
2026-05-28 10:00:00,2146824.17,,
2026-05-28 11:00:00,2109933.60,,
2026-05-28 12:00:00,2124100.51,,
2026-05-28 13:00:00,2162400.06,,
2026-05-28 14:00:00,2120805.75,,
2026-05-28 15:00:00,2117478.02,,
2026-05-28 16:00:00,2121409.56,,
2026-05-28 17:00:00,2150063.51,,
2026-05-28 18:00:00,2145005.02,,
2026-05-28 19:00:00,2122121.03,,
2026-05-28 20:00:00,2101948.92,,
2026-05-28 21:00:00,2122667.12,,
2026-05-28 22:00:00,2139649.16,,
2026-05-28 23:00:00,2109993.90,,
2026-05-29 00:00:00,2115223.18,,
2026-05-29 01:00:00,2130869.43,,
2026-05-29 02:00:00,2116711.41,,
2026-05-29 03:00:00,2103621.65,,
2026-05-29 04:00:00,2073017.99,,
2026-05-29 05:00:00,2083872.97,,
2026-05-29 06:00:00,2092385.71,,
2026-05-29 07:00:00,2120488.15,,
2026-05-29 08:00:00,2120970.02,,
2026-05-29 09:00:00,2104703.35,,
2026-05-29 10:00:00,2105837.38,,
2026-05-29 11:00:00,2135830.03,,
2026-05-29 12:00:00,2108087.15,,
2026-05-29 13:00:00,2116791.09,,
2026-05-29 14:00:00,2075207.49,,
2026-05-29 15:00:00,2060883.03,,
2026-05-29 16:00:00,2179810.46,,
2026-05-29 17:00:00,2169544.51,,
2026-05-29 18:00:00,2150477.59,,
2026-05-29 19:00:00,2115245.54,,
2026-05-29 20:00:00,2119822.78,,
2026-05-29 21:00:00,2271281.73,,
2026-05-29 22:00:00,2447386.66,,
2026-05-29 23:00:00,2447442.55,,
2026-05-30 00:00:00,2424355.11,,
2026-05-30 01:00:00,2365746.75,,
2026-05-30 02:00:00,2339844.04,,
2026-05-30 03:00:00,2346492.32,,
2026-05-30 04:00:00,2315117.58,,
2026-05-30 05:00:00,2346753.35,,
2026-05-30 06:00:00,2328421.75,,
2026-05-30 07:00:00,2306863.54,,
2026-05-30 08:00:00,2299594.85,,
2026-05-30 09:00:00,2301607.53,,
2026-05-30 10:00:00,2303109.73,,
2026-05-30 11:00:00,2299793.69,,
2026-05-30 12:00:00,2196653.39,,
2026-05-30 13:00:00,2174120.59,,
2026-05-30 14:00:00,2137502.65,,
2026-05-30 15:00:00,2132057.92,,
2026-05-30 16:00:00,2132302.27,,
2026-05-30 17:00:00,2120806.22,,
2026-05-30 18:00:00,2098014.10,,
2026-05-30 19:00:00,2103019.29,,
2026-05-30 20:00:00,2107233.93,,
2026-05-30 21:00:00,2074073.91,,
2026-05-30 22:00:00,2105312.78,,
2026-05-30 23:00:00,2051850.52,,
2026-05-31 00:00:00,2072436.69,,
2026-05-31 01:00:00,2073367.04,,
2026-05-31 02:00:00,2065757.06,,
2026-05-31 03:00:00,2066974.55,,
2026-05-31 04:00:00,2081869.51,,
2026-05-31 05:00:00,2085371.82,,
2026-05-31 06:00:00,2095655.05,,
2026-05-31 07:00:00,2103878.35,,
2026-05-31 08:00:00,2054245.48,,
2026-05-31 09:00:00,2055557.70,,
2026-05-31 10:00:00,2034087.81,,
2026-05-31 11:00:00,2039250.07,,
2026-05-31 12:00:00,2020840.06,,
2026-05-31 13:00:00,2020916.91,,
2026-05-31 14:00:00,2010907.23,,
2026-05-31 15:00:00,1983070.45,,
2026-05-31 16:00:00,1994186.08,,
2026-05-31 17:00:00,1984829.83,,
2026-05-31 18:00:00,2008380.41,,
2026-05-31 19:00:00,2006565.07,,
2026-05-31 20:00:00,2011686.27,,
2026-05-31 21:00:00,2032745.03,,
2026-05-31 22:00:00,2075526.44,,
2026-05-31 23:00:00,2079581.54,,
2026-06-01 00:00:00,2085417.85,,
2026-06-01 01:00:00,2088842.25,,
2026-06-01 02:00:00,2085355.36,,
2026-06-01 03:00:00,2119728.52,,
2026-06-01 04:00:00,2098461.84,,
2026-06-01 05:00:00,2082718.65,,
2026-06-01 06:00:00,2059898.77,,
2026-06-01 07:00:00,2036338.15,,
2026-06-01 08:00:00,2011226.19,,
2026-06-01 09:00:00,2013927.15,,
2026-06-01 10:00:00,2010659.33,,
2026-06-01 11:00:00,2003078.89,,
2026-06-01 12:00:00,1991108.99,,
2026-06-01 13:00:00,1989422.64,,
2026-06-01 14:00:00,1988899.05,,
2026-06-01 15:00:00,1988576.41,,
2026-06-01 16:00:00,1981141.31,,
2026-06-01 17:00:00,2013180.72,,
2026-06-01 18:00:00,2036952.68,,
2026-06-01 19:00:00,2033727.40,,
2026-06-01 20:00:00,2062704.59,,
2026-06-01 21:00:00,2069281.93,,
2026-06-01 22:00:00,2059844.68,,
2026-06-01 23:00:00,2093484.42,,
2026-06-02 00:00:00,2100527.49,,
2026-06-02 01:00:00,2091723.91,,
2026-06-02 02:00:00,2069623.65,,
2026-06-02 03:00:00,2080263.42,,
2026-06-02 04:00:00,2111652.02,,
2026-06-02 05:00:00,2104287.47,,
2026-06-02 06:00:00,2089794.12,,
2026-06-02 07:00:00,2085902.16,,
2026-06-02 08:00:00,2089289.80,,
2026-06-02 09:00:00,2116186.46,,
2026-06-02 10:00:00,2110948.26,,
2026-06-02 11:00:00,2100655.38,,
2026-06-02 12:00:00,2134385.65,,
2026-06-02 13:00:00,2118896.11,,
2026-06-02 14:00:00,2104176.87,,
2026-06-02 15:00:00,1938024.11,,
2026-06-02 16:00:00,1884694.83,,
2026-06-02 17:00:00,1921394.12,,
2026-06-02 18:00:00,1947048.03,,
2026-06-02 19:00:00,1916964.57,,
2026-06-02 20:00:00,1903674.81,,
2026-06-02 21:00:00,1916415.96,,
2026-06-02 22:00:00,1930113.05,,
2026-06-02 23:00:00,1856038.71,,
2026-06-03 00:00:00,1854011.92,,
2026-06-03 01:00:00,1875211.98,,
2026-06-03 02:00:00,1877071.94,,
2026-06-03 03:00:00,1869899.62,,
2026-06-03 04:00:00,1821190.32,,
2026-06-03 05:00:00,1865587.85,,
2026-06-03 06:00:00,1893867.93,,
2026-06-03 07:00:00,1901694.22,,
2026-06-03 08:00:00,1909964.65,,
2026-06-03 09:00:00,1920507.99,,
2026-06-03 10:00:00,1901433.63,,
2026-06-03 11:00:00,1927727.57,,
2026-06-03 12:00:00,1908213.88,,
2026-06-03 13:00:00,1905091.12,,
2026-06-03 14:00:00,1912341.07,,
2026-06-03 15:00:00,1911364.21,,
2026-06-03 16:00:00,1933435.70,,
2026-06-03 17:00:00,1924536.71,,
2026-06-03 18:00:00,1922449.94,,
2026-06-03 19:00:00,1926149.48,,
2026-06-03 20:00:00,1880660.63,,
2026-06-03 21:00:00,1855541.20,,
2026-06-03 22:00:00,1926603.86,,
2026-06-03 23:00:00,1917637.55,,
2026-06-04 00:00:00,1882648.89,,
2026-06-04 01:00:00,1818863.23,,
2026-06-04 02:00:00,1696065.54,,
2026-06-04 03:00:00,1680495.95,,
2026-06-04 04:00:00,1723683.08,,
2026-06-04 05:00:00,1710531.61,,
2026-06-04 06:00:00,1686006.92,,
2026-06-04 07:00:00,1689273.43,,
2026-06-04 08:00:00,1655757.23,,
2026-06-04 09:00:00,1657244.79,,
2026-06-04 10:00:00,1635064.85,,
2026-06-04 11:00:00,1614671.61,,
2026-06-04 12:00:00,1627561.40,,
2026-06-04 13:00:00,1672075.51,,
2026-06-04 14:00:00,1685568.04,,
2026-06-04 15:00:00,1679767.49,,
2026-06-04 16:00:00,1718882.68,,
2026-06-04 17:00:00,1703277.18,,
2026-06-04 18:00:00,1723162.02,,
2026-06-04 19:00:00,1734959.79,,
2026-06-04 20:00:00,1722389.49,,
2026-06-04 21:00:00,1704678.25,,
2026-06-04 22:00:00,1656095.14,,
2026-06-04 23:00:00,1666075.28,,
2026-06-05 00:00:00,1674571.67,,
2026-06-05 01:00:00,1658244.70,,
2026-06-05 02:00:00,1665617.83,,
2026-06-05 03:00:00,1634795.80,,
2026-06-05 04:00:00,1625969.87,,
2026-06-05 05:00:00,1660361.70,,
2026-06-05 06:00:00,1594658.45,,
2026-06-05 07:00:00,1497265.82,,
2026-06-05 08:00:00,1523414.33,,
2026-06-05 09:00:00,1503686.98,,
2026-06-05 10:00:00,1514210.28,,
2026-06-05 11:00:00,1514681.96,,
2026-06-05 12:00:00,1497814.76,,
2026-06-05 13:00:00,1512478.81,,
2026-06-05 14:00:00,1474166.27,,
2026-06-05 15:00:00,1499723.74,,
2026-06-05 16:00:00,1502745.45,,
2026-06-05 17:00:00,1532760.86,,
2026-06-05 18:00:00,1506986.02,,
2026-06-05 19:00:00,1437325.31,,
2026-06-05 20:00:00,1477473.08,,
2026-06-05 21:00:00,1510371.17,,
2026-06-05 22:00:00,1503194.84,,
2026-06-05 23:00:00,1499054.63,,
2026-06-06 00:00:00,1490607.34,,
2026-06-06 01:00:00,1500424.55,,
2026-06-06 02:00:00,1485188.49,,
2026-06-06 03:00:00,1471272.40,,
2026-06-06 04:00:00,1458050.06,,
2026-06-06 05:00:00,1421523.64,,
2026-06-06 06:00:00,1468723.81,,
2026-06-06 07:00:00,1466956.32,,
2026-06-06 08:00:00,1483838.26,,
2026-06-06 09:00:00,1493620.20,,
2026-06-06 10:00:00,1482304.29,,
2026-06-06 11:00:00,1470458.95,,
2026-06-06 12:00:00,1477594.99,,
2026-06-06 13:00:00,1490173.24,,
2026-06-06 14:00:00,1489656.62,,
2026-06-06 15:00:00,1484291.25,,
2026-06-06 16:00:00,1474328.26,,
2026-06-06 17:00:00,1475390.12,,
2026-06-06 18:00:00,1463994.03,,
2026-06-06 19:00:00,1474417.04,,
2026-06-06 20:00:00,1460222.24,,
2026-06-06 21:00:00,1462376.83,,
2026-06-06 22:00:00,1473213.54,,
2026-06-06 23:00:00,1471334.56,,
2026-06-07 00:00:00,1480590.21,,
2026-06-07 01:00:00,1473653.88,,
2026-06-07 02:00:00,1494240.25,,
2026-06-07 03:00:00,1481053.48,,
2026-06-07 04:00:00,1467748.68,,
2026-06-07 05:00:00,1464973.47,,
2026-06-07 06:00:00,1469384.38,,
2026-06-07 07:00:00,1461628.52,,
2026-06-07 08:00:00,1459893.73,,
2026-06-07 09:00:00,1474116.64,,
2026-06-07 10:00:00,1452229.07,,
2026-06-07 11:00:00,1438578.51,,
2026-06-07 12:00:00,1452488.95,,
2026-06-07 13:00:00,1432948.14,,
2026-06-07 14:00:00,1439776.88,,
2026-06-07 15:00:00,1460183.03,,
2026-06-07 16:00:00,1452142.14,,
2026-06-07 17:00:00,1468090.51,,
2026-06-07 18:00:00,1476623.48,,
2026-06-07 19:00:00,1461865.61,,
2026-06-07 20:00:00,1456126.80,,
2026-06-07 21:00:00,1479308.34,,
2026-06-07 22:00:00,1470307.62,,
2026-06-07 23:00:00,1491985.46,,
2026-06-08 00:00:00,1512593.96,,
2026-06-08 01:00:00,1528995.90,,
2026-06-08 02:00:00,1518646.17,,
2026-06-08 03:00:00,1515036.66,,
2026-06-08 04:00:00,1513811.28,,
2026-06-08 05:00:00,1488915.05,,
2026-06-08 06:00:00,1478224.37,,
2026-06-08 07:00:00,1487533.61,,
2026-06-08 08:00:00,1498022.60,,
2026-06-08 09:00:00,1482648.88,,
2026-06-08 10:00:00,1498952.82,,
2026-06-08 11:00:00,1508347.21,,
2026-06-08 12:00:00,1518582.56,,
2026-06-08 13:00:00,1505571.93,,
2026-06-08 14:00:00,1495514.94,,
2026-06-08 15:00:00,1501245.77,,
2026-06-08 16:00:00,1499227.98,,
2026-06-08 17:00:00,1497421.13,,
2026-06-08 18:00:00,1534317.43,,
2026-06-08 19:00:00,1519734.19,,
2026-06-08 20:00:00,1506060.12,,
2026-06-08 21:00:00,1521817.11,,
2026-06-08 22:00:00,1522243.04,,
2026-06-08 23:00:00,1511308.83,,
2026-06-09 00:00:00,1509277.34,,
2026-06-09 01:00:00,1472604.38,,
2026-06-09 02:00:00,1486243.11,,
2026-06-09 03:00:00,1466967.50,,
2026-06-09 04:00:00,1474504.43,,
2026-06-09 05:00:00,1496130.42,,
2026-06-09 06:00:00,1517957.97,,
2026-06-09 07:00:00,1511057.30,,
2026-06-09 08:00:00,1514335.52,,
2026-06-09 09:00:00,1496322.63,,
2026-06-09 10:00:00,1492855.92,,
2026-06-09 11:00:00,1505956.67,,
2026-06-09 12:00:00,1505301.39,,
2026-06-09 13:00:00,1501102.02,,
2026-06-09 14:00:00,1501309.73,,
2026-06-09 15:00:00,1478816.40,,
2026-06-09 16:00:00,1482028.43,,
2026-06-09 17:00:00,1483490.48,,
2026-06-09 18:00:00,1490480.08,,
2026-06-09 19:00:00,1497335.36,,
2026-06-09 20:00:00,1494680.94,,
2026-06-09 21:00:00,1505893.49,,
2026-06-09 22:00:00,1485956.60,,
2026-06-09 23:00:00,1481040.29,,
2026-06-10 00:00:00,1487533.97,,
2026-06-10 01:00:00,1499575.23,,
2026-06-10 02:00:00,1492134.20,,
2026-06-10 03:00:00,1481154.69,,
2026-06-10 04:00:00,1486714.16,,
2026-06-10 05:00:00,1478233.61,,
2026-06-10 06:00:00,1483310.02,,
2026-06-10 07:00:00,1489616.00,,
2026-06-10 08:00:00,1491660.35,,
2026-06-10 09:00:00,1475949.70,,
2026-06-10 10:00:00,1481906.82,,
2026-06-10 11:00:00,1473487.25,,
2026-06-10 12:00:00,1448709.45,,
2026-06-10 13:00:00,1471968.45,,
2026-06-10 14:00:00,1492694.54,,
2026-06-10 15:00:00,1480448.57,,
2026-06-10 16:00:00,1487022.78,,
2026-06-10 17:00:00,1474709.35,,
2026-06-10 18:00:00,1466323.71,,
2026-06-10 19:00:00,1471278.75,,
2026-06-10 20:00:00,1441909.19,,
2026-06-10 21:00:00,1438684.37,,
2026-06-10 22:00:00,1410991.97,,
2026-06-10 23:00:00,1413412.53,,
2026-06-11 00:00:00,1427690.26,,
2026-06-11 01:00:00,1437565.08,,
2026-06-11 02:00:00,1455455.09,,
2026-06-11 03:00:00,1448743.97,,
2026-06-11 04:00:00,1483954.79,,
2026-06-11 05:00:00,1489788.76,,
2026-06-11 06:00:00,1479105.41,,
2026-06-11 07:00:00,1490231.56,,
2026-06-11 08:00:00,1498784.48,,
2026-06-11 09:00:00,1505518.07,,
2026-06-11 10:00:00,1510634.49,,
2026-06-11 11:00:00,1498200.08,,
2026-06-11 12:00:00,1506957.11,,
2026-06-11 13:00:00,1490854.37,,
2026-06-11 14:00:00,1496803.87,,
2026-06-11 15:00:00,1509740.62,,
2026-06-11 16:00:00,1521683.02,,
2026-06-11 17:00:00,1510070.44,,
2026-06-11 18:00:00,1559777.78,,
2026-06-11 19:00:00,1545222.76,,
2026-06-11 20:00:00,1549897.58,,
2026-06-11 21:00:00,1558722.62,,
2026-06-11 22:00:00,1549802.96,,
2026-06-11 23:00:00,1526779.27,,
2026-06-12 00:00:00,1532515.71,,
2026-06-12 01:00:00,1529248.09,,
2026-06-12 02:00:00,1531819.78,,
2026-06-12 03:00:00,1535615.12,,
