time,oi_A,oi_6,oi_3
2026-04-25 12:00:00,,408667.99,
2026-04-25 13:00:00,,408293.69,
2026-04-25 14:00:00,,405824.97,
2026-04-25 15:00:00,,401734.50,
2026-04-25 16:00:00,,401797.39,
2026-04-25 17:00:00,,391921.78,
2026-04-25 18:00:00,,390731.48,
2026-04-25 19:00:00,,390222.95,
2026-04-25 20:00:00,,389044.93,
2026-04-25 21:00:00,,390602.05,
2026-04-25 22:00:00,,391416.71,
2026-04-25 23:00:00,,391041.23,
2026-04-26 00:00:00,,392054.35,
2026-04-26 01:00:00,,390270.42,
2026-04-26 02:00:00,,388634.38,
2026-04-26 03:00:00,,392128.63,
2026-04-26 04:00:00,,389662.74,
2026-04-26 05:00:00,,389832.30,
2026-04-26 06:00:00,,398167.78,
2026-04-26 07:00:00,,398628.54,
2026-04-26 08:00:00,,407254.96,
2026-04-26 09:00:00,,409018.38,
2026-04-26 10:00:00,,413727.13,
2026-04-26 11:00:00,,410583.10,
2026-04-26 12:00:00,,415892.47,
2026-04-26 13:00:00,,416515.17,
2026-04-26 14:00:00,,406452.96,
2026-04-26 15:00:00,,408008.66,
2026-04-26 16:00:00,,412999.64,
2026-04-26 17:00:00,,409686.11,
2026-04-26 18:00:00,,412097.35,
2026-04-26 19:00:00,,411554.69,
2026-04-26 20:00:00,,407370.53,
2026-04-26 21:00:00,,406065.10,
2026-04-26 22:00:00,,405757.90,
2026-04-26 23:00:00,,404423.49,
2026-04-27 00:00:00,,401956.80,
2026-04-27 01:00:00,,402846.82,
2026-04-27 02:00:00,,406061.77,
2026-04-27 03:00:00,,403611.38,
2026-04-27 04:00:00,,405003.51,
2026-04-27 05:00:00,,400329.22,
2026-04-27 06:00:00,,394596.26,
2026-04-27 07:00:00,,377687.36,
2026-04-27 08:00:00,,376326.00,
2026-04-27 09:00:00,,376946.08,
2026-04-27 10:00:00,,377243.22,
2026-04-27 11:00:00,,375076.47,
2026-04-27 12:00:00,,376337.25,
2026-04-27 13:00:00,,378282.18,
2026-04-27 14:00:00,,378147.18,
2026-04-27 15:00:00,,379704.74,
2026-04-27 16:00:00,,367508.12,
2026-04-27 17:00:00,,369940.14,
2026-04-27 18:00:00,,370595.69,
2026-04-27 19:00:00,,370301.93,
2026-04-27 20:00:00,,368679.10,
2026-04-27 21:00:00,,369604.68,
2026-04-27 22:00:00,,369309.37,
2026-04-27 23:00:00,,370178.70,
2026-04-28 00:00:00,,371953.78,
2026-04-28 01:00:00,,371498.26,
2026-04-28 02:00:00,,368232.40,
2026-04-28 03:00:00,,366360.81,
2026-04-28 04:00:00,,365975.65,
2026-04-28 05:00:00,,365644.58,
2026-04-28 06:00:00,,365975.39,
2026-04-28 07:00:00,,367347.51,
2026-04-28 08:00:00,,368826.12,
2026-04-28 09:00:00,,367249.90,
2026-04-28 10:00:00,,365256.20,
2026-04-28 11:00:00,,365792.86,
2026-04-28 12:00:00,,363133.15,
2026-04-28 13:00:00,,367505.32,
2026-04-28 14:00:00,,367364.04,
2026-04-28 15:00:00,,367779.17,
2026-04-28 16:00:00,,367086.57,
2026-04-28 17:00:00,,366499.28,
2026-04-28 18:00:00,,366757.28,
2026-04-28 19:00:00,,366031.86,
2026-04-28 20:00:00,,366823.67,
2026-04-28 21:00:00,,365695.28,
2026-04-28 22:00:00,,364422.46,
2026-04-28 23:00:00,,364886.65,
2026-04-29 00:00:00,,366170.63,
2026-04-29 01:00:00,,365829.94,
2026-04-29 02:00:00,,364460.36,
2026-04-29 03:00:00,,365450.24,
2026-04-29 04:00:00,,368891.49,
2026-04-29 05:00:00,,369270.33,
2026-04-29 06:00:00,,369390.57,
2026-04-29 07:00:00,,366384.70,
2026-04-29 08:00:00,,365648.15,
2026-04-29 09:00:00,,367350.65,
2026-04-29 10:00:00,,368575.07,
2026-04-29 11:00:00,,366557.52,
2026-04-29 12:00:00,,364938.52,
2026-04-29 13:00:00,,363069.57,
2026-04-29 14:00:00,,353787.05,
2026-04-29 15:00:00,,352542.72,
2026-04-29 16:00:00,,357105.31,
2026-04-29 17:00:00,,352247.42,
2026-04-29 18:00:00,,355276.41,
2026-04-29 19:00:00,,340130.76,
2026-04-29 20:00:00,,338182.89,
2026-04-29 21:00:00,,341650.32,
2026-04-29 22:00:00,,344312.23,
2026-04-29 23:00:00,,343279.91,
2026-04-30 00:00:00,,343190.01,
2026-04-30 01:00:00,,345053.77,
2026-04-30 02:00:00,,343504.51,
2026-04-30 03:00:00,,339671.76,
2026-04-30 04:00:00,,338737.08,
2026-04-30 05:00:00,,333618.07,
2026-04-30 06:00:00,,336097.43,
2026-04-30 07:00:00,,335610.21,
2026-04-30 08:00:00,,336435.85,
2026-04-30 09:00:00,,335041.20,
2026-04-30 10:00:00,,338898.09,
2026-04-30 11:00:00,,336976.78,
2026-04-30 12:00:00,,334053.52,
2026-04-30 13:00:00,,334705.19,
2026-04-30 14:00:00,,332625.96,
2026-04-30 15:00:00,,332330.89,
2026-04-30 16:00:00,,331089.68,
2026-04-30 17:00:00,,326605.61,
