time,oi_A,oi_6,oi_3
2026-05-31 12:00:00,,746533.48,
2026-05-31 13:00:00,,745083.67,
2026-05-31 14:00:00,,744342.69,
2026-05-31 15:00:00,,729669.59,
2026-05-31 16:00:00,,734356.10,
2026-05-31 17:00:00,,733341.03,
2026-05-31 18:00:00,,751830.48,
2026-05-31 19:00:00,,738614.01,
2026-05-31 20:00:00,,735990.90,
2026-05-31 21:00:00,,759828.46,
2026-05-31 22:00:00,,770394.00,
2026-05-31 23:00:00,,766906.98,
2026-06-01 00:00:00,,765373.99,
2026-06-01 01:00:00,,798370.10,
2026-06-01 02:00:00,,771464.38,
2026-06-01 03:00:00,,773190.41,
2026-06-01 04:00:00,,775612.11,
2026-06-01 05:00:00,,765922.60,
2026-06-01 06:00:00,,749361.77,
2026-06-01 07:00:00,,727321.25,
2026-06-01 08:00:00,,718268.36,
2026-06-01 09:00:00,,753330.25,
2026-06-01 10:00:00,,752884.16,
2026-06-01 11:00:00,,753193.33,
2026-06-01 12:00:00,,746923.70,
2026-06-01 13:00:00,,748448.35,
2026-06-01 14:00:00,,743182.14,
2026-06-01 15:00:00,,741478.79,
2026-06-01 16:00:00,,744547.78,
2026-06-01 17:00:00,,758036.63,
2026-06-01 18:00:00,,767742.09,
2026-06-01 19:00:00,,759493.74,
2026-06-01 20:00:00,,757969.84,
2026-06-01 21:00:00,,754746.30,
2026-06-01 22:00:00,,747824.67,
2026-06-01 23:00:00,,746609.05,
2026-06-02 00:00:00,,746073.38,
2026-06-02 01:00:00,,740460.58,
2026-06-02 02:00:00,,731236.57,
2026-06-02 03:00:00,,746619.86,
2026-06-02 04:00:00,,752530.67,
2026-06-02 05:00:00,,742601.92,
2026-06-02 06:00:00,,736524.70,
2026-06-02 07:00:00,,729551.42,
2026-06-02 08:00:00,,728165.52,
2026-06-02 09:00:00,,729814.27,
2026-06-02 10:00:00,,725742.92,
2026-06-02 11:00:00,,735623.08,
2026-06-02 12:00:00,,736053.55,
2026-06-02 13:00:00,,739130.86,
2026-06-02 14:00:00,,729679.69,
2026-06-02 15:00:00,,692902.90,
2026-06-02 16:00:00,,686719.78,
2026-06-02 17:00:00,,688853.08,
2026-06-02 18:00:00,,693469.12,
2026-06-02 19:00:00,,684002.04,
2026-06-02 20:00:00,,678398.94,
2026-06-02 21:00:00,,684916.89,
2026-06-02 22:00:00,,681175.38,
2026-06-02 23:00:00,,650681.84,
2026-06-03 00:00:00,,656323.93,
2026-06-03 01:00:00,,663104.52,
2026-06-03 02:00:00,,662831.57,
2026-06-03 03:00:00,,661687.98,
2026-06-03 04:00:00,,644055.70,
2026-06-03 05:00:00,,661863.57,
2026-06-03 06:00:00,,672173.65,
2026-06-03 07:00:00,,671936.77,
2026-06-03 08:00:00,,666933.68,
2026-06-03 09:00:00,,663005.53,
2026-06-03 10:00:00,,655133.61,
2026-06-03 11:00:00,,660796.48,
2026-06-03 12:00:00,,658848.42,
2026-06-03 13:00:00,,650883.90,
2026-06-03 14:00:00,,652564.42,
2026-06-03 15:00:00,,650864.03,
2026-06-03 16:00:00,,641651.47,
2026-06-03 17:00:00,,642821.82,
2026-06-03 18:00:00,,640659.38,
2026-06-03 19:00:00,,640547.08,
2026-06-03 20:00:00,,629870.68,
2026-06-03 21:00:00,,619064.71,
2026-06-03 22:00:00,,639338.64,
2026-06-03 23:00:00,,632003.12,
2026-06-04 00:00:00,,627403.69,
2026-06-04 01:00:00,,612937.51,
2026-06-04 02:00:00,,602211.16,
2026-06-04 03:00:00,,628355.87,
2026-06-04 04:00:00,,639668.96,
2026-06-04 05:00:00,,626047.76,
2026-06-04 06:00:00,,636925.17,
2026-06-04 07:00:00,,635511.47,
2026-06-04 08:00:00,,615138.14,
2026-06-04 09:00:00,,606207.05,
2026-06-04 10:00:00,,580556.77,
2026-06-04 11:00:00,,577827.37,
2026-06-04 12:00:00,,579171.40,
2026-06-04 13:00:00,,598160.21,
2026-06-04 14:00:00,,596382.03,
2026-06-04 15:00:00,,595537.32,
2026-06-04 16:00:00,,608033.99,
2026-06-04 17:00:00,,600071.72,
2026-06-04 18:00:00,,602707.88,
2026-06-04 19:00:00,,608360.02,
2026-06-04 20:00:00,,605347.32,
2026-06-04 21:00:00,,599355.17,
2026-06-04 22:00:00,,580193.01,
2026-06-04 23:00:00,,583336.80,
2026-06-05 00:00:00,,587051.11,
2026-06-05 01:00:00,,577752.13,
2026-06-05 02:00:00,,581440.15,
