time,oi_A,oi_6,oi_3
2026-05-03 12:00:00,,3522873.24,
2026-05-03 13:00:00,,3519492.11,
2026-05-03 14:00:00,,3572827.76,
2026-05-03 15:00:00,,3578824.84,
2026-05-03 16:00:00,,3586674.65,
2026-05-03 17:00:00,,3609760.69,
2026-05-03 18:00:00,,3586176.51,
2026-05-03 19:00:00,,3594047.67,
2026-05-03 20:00:00,,3598780.39,
2026-05-03 21:00:00,,3578866.44,
2026-05-03 22:00:00,,3570664.68,
2026-05-03 23:00:00,,3560491.77,
2026-05-04 00:00:00,,3521333.68,
2026-05-04 01:00:00,,3521052.14,
2026-05-04 02:00:00,,3523516.93,
2026-05-04 03:00:00,,3558781.73,
2026-05-04 04:00:00,,3525135.96,
2026-05-04 05:00:00,,3488218.65,
2026-05-04 06:00:00,,3496616.46,
2026-05-04 07:00:00,,3438675.69,
2026-05-04 08:00:00,,3417720.87,
2026-05-04 09:00:00,,3414274.53,
2026-05-04 10:00:00,,3447485.92,
2026-05-04 11:00:00,,3428656.51,
2026-05-04 12:00:00,,3424988.44,
2026-05-04 13:00:00,,3421138.48,
2026-05-04 14:00:00,,3433852.10,
2026-05-04 15:00:00,,3433811.09,
2026-05-04 16:00:00,,3417361.69,
2026-05-04 17:00:00,,3412814.97,
2026-05-04 18:00:00,,3430322.76,
2026-05-04 19:00:00,,3406589.79,
2026-05-04 20:00:00,,3380619.23,
2026-05-04 21:00:00,,3418444.92,
2026-05-04 22:00:00,,3445571.40,
2026-05-04 23:00:00,,3669623.29,
2026-05-05 00:00:00,,3501280.77,
2026-05-05 01:00:00,,3497924.40,
2026-05-05 02:00:00,,3512850.57,
2026-05-05 03:00:00,,3431529.91,
2026-05-05 04:00:00,,3552366.81,
2026-05-05 05:00:00,,3598287.54,
2026-05-05 06:00:00,,3560844.69,
2026-05-05 07:00:00,,3583673.26,
2026-05-05 08:00:00,,3583592.38,
2026-05-05 09:00:00,,3687596.50,
2026-05-05 10:00:00,,3800488.65,
2026-05-05 11:00:00,,3903072.79,
2026-05-05 12:00:00,,3926014.08,
2026-05-05 13:00:00,,3899948.90,
2026-05-05 14:00:00,,3937822.21,
2026-05-05 15:00:00,,4067463.96,
2026-05-05 16:00:00,,4093746.28,
2026-05-05 17:00:00,,4220307.14,
2026-05-05 18:00:00,,4197489.99,
2026-05-05 19:00:00,,4142804.86,
2026-05-05 20:00:00,,4165671.90,
2026-05-05 21:00:00,,4165851.93,
2026-05-05 22:00:00,,4142620.47,
2026-05-05 23:00:00,,4145582.25,
2026-05-06 00:00:00,,4113541.00,
2026-05-06 01:00:00,,4773214.86,
2026-05-06 02:00:00,,4755475.38,
2026-05-06 03:00:00,,4364447.53,
2026-05-06 04:00:00,,4352583.73,
2026-05-06 05:00:00,,4260525.28,
2026-05-06 06:00:00,,4229414.95,
2026-05-06 07:00:00,,4213707.48,
2026-05-06 08:00:00,,4232553.31,
2026-05-06 09:00:00,,4271978.72,
2026-05-06 10:00:00,,4304762.23,
2026-05-06 11:00:00,,4274493.54,
2026-05-06 12:00:00,,4277529.61,
2026-05-06 13:00:00,,4207216.98,
2026-05-06 14:00:00,,4075085.09,
2026-05-06 15:00:00,,4013721.07,
2026-05-06 16:00:00,,3821667.93,
2026-05-06 17:00:00,,3858652.25,
2026-05-06 18:00:00,,4081780.55,
2026-05-06 19:00:00,,3777215.76,
2026-05-06 20:00:00,,3784628.76,
2026-05-06 21:00:00,,3766555.50,
2026-05-06 22:00:00,,3721223.61,
2026-05-06 23:00:00,,3612644.27,
2026-05-07 00:00:00,,3609180.54,
2026-05-07 01:00:00,,3590338.90,
2026-05-07 02:00:00,,3474982.91,
2026-05-07 03:00:00,,3455827.32,
2026-05-07 04:00:00,,3430803.38,
2026-05-07 05:00:00,,3463838.16,
2026-05-07 06:00:00,,3545101.71,
2026-05-07 07:00:00,,3624133.24,
2026-05-07 08:00:00,,3640060.16,
2026-05-07 09:00:00,,3653711.81,
2026-05-07 10:00:00,,3580192.14,
2026-05-07 11:00:00,,3618185.64,
2026-05-07 12:00:00,,3680528.23,
2026-05-07 13:00:00,,3666421.48,
2026-05-07 14:00:00,,3635183.56,
2026-05-07 15:00:00,,3588274.28,
2026-05-07 16:00:00,,3704578.24,
2026-05-07 17:00:00,,3667482.54,
2026-05-07 18:00:00,,3676761.85,
2026-05-07 19:00:00,,3662553.77,
2026-05-07 20:00:00,,3582902.60,
2026-05-07 21:00:00,,3656908.80,
2026-05-07 22:00:00,,3656706.32,
2026-05-07 23:00:00,,3646764.71,
2026-05-08 00:00:00,,3675684.22,
2026-05-08 01:00:00,,3734773.23,
2026-05-08 02:00:00,,3747434.25,
2026-05-08 03:00:00,,3768576.60,
2026-05-08 04:00:00,,3689117.34,
2026-05-08 05:00:00,,3671072.37,
2026-05-08 06:00:00,,3668465.96,
2026-05-08 07:00:00,,3717755.22,
2026-05-08 08:00:00,,3705136.47,
2026-05-08 09:00:00,,3737175.72,
2026-05-08 10:00:00,,3766626.08,
2026-05-08 11:00:00,,3771687.41,
2026-05-08 12:00:00,,3782395.19,
2026-05-08 13:00:00,,3751321.70,
2026-05-08 14:00:00,,3760534.66,
2026-05-08 15:00:00,,3807784.36,
2026-05-08 16:00:00,,3838696.97,
