time,oi_A,oi_6,oi_3
2026-05-10 12:00:00,5069487.12,,
2026-05-10 13:00:00,5034255.49,,
2026-05-10 14:00:00,5041916.96,,
2026-05-10 15:00:00,5034022.41,,
2026-05-10 16:00:00,5040651.52,,
2026-05-10 17:00:00,5061280.11,,
2026-05-10 18:00:00,5112805.76,,
2026-05-10 19:00:00,5113225.87,,
2026-05-10 20:00:00,5064317.20,,
2026-05-10 21:00:00,4918009.43,,
2026-05-10 22:00:00,4946880.08,,
2026-05-10 23:00:00,5068722.60,,
2026-05-11 00:00:00,5039205.72,,
2026-05-11 01:00:00,5227067.41,,
2026-05-11 02:00:00,5170929.70,,
2026-05-11 03:00:00,5177467.54,,
2026-05-11 04:00:00,5093282.25,,
2026-05-11 05:00:00,5089748.28,,
2026-05-11 06:00:00,5125440.13,,
2026-05-11 07:00:00,5043350.87,,
2026-05-11 08:00:00,4970216.95,,
2026-05-11 09:00:00,4956280.73,,
2026-05-11 10:00:00,4973426.66,,
2026-05-11 11:00:00,4941428.70,,
2026-05-11 12:00:00,4953651.31,,
2026-05-11 13:00:00,4927807.15,,
2026-05-11 14:00:00,4900090.97,,
2026-05-11 15:00:00,4902955.04,,
2026-05-11 16:00:00,4923673.11,,
2026-05-11 17:00:00,4986127.80,,
2026-05-11 18:00:00,4979385.40,,
2026-05-11 19:00:00,4938102.30,,
2026-05-11 20:00:00,5285378.06,,
2026-05-11 21:00:00,5526838.34,,
2026-05-11 22:00:00,5429936.04,,
2026-05-11 23:00:00,5354500.54,,
2026-05-12 00:00:00,5273380.71,,
2026-05-12 01:00:00,5316446.82,,
2026-05-12 02:00:00,5302729.89,,
2026-05-12 03:00:00,5357066.88,,
2026-05-12 04:00:00,5290586.78,,
2026-05-12 05:00:00,5252431.75,,
2026-05-12 06:00:00,5378841.54,,
2026-05-12 07:00:00,5393806.37,,
2026-05-12 08:00:00,5544095.51,,
2026-05-12 09:00:00,5657726.52,,
2026-05-12 10:00:00,5710811.24,,
2026-05-12 11:00:00,5594080.06,,
2026-05-12 12:00:00,5504202.56,,
2026-05-12 13:00:00,5419405.43,,
2026-05-12 14:00:00,5288348.41,,
2026-05-12 15:00:00,5357025.00,,
2026-05-12 16:00:00,5044059.33,,
2026-05-12 17:00:00,5032878.12,,
2026-05-12 18:00:00,5114045.90,,
2026-05-12 19:00:00,5184948.36,,
2026-05-12 20:00:00,5109812.21,,
2026-05-12 21:00:00,5102767.44,,
2026-05-12 22:00:00,5085796.82,,
2026-05-12 23:00:00,5102744.95,,
2026-05-13 00:00:00,5074787.01,,
2026-05-13 01:00:00,5121264.10,,
2026-05-13 02:00:00,5160214.55,,
2026-05-13 03:00:00,5115134.97,,
2026-05-13 04:00:00,5080665.80,,
2026-05-13 05:00:00,5043611.66,,
2026-05-13 06:00:00,5010711.55,,
2026-05-13 07:00:00,5065035.60,,
2026-05-13 08:00:00,5051291.88,,
2026-05-13 09:00:00,5053081.74,,
2026-05-13 10:00:00,5107853.25,,
2026-05-13 11:00:00,5068756.60,,
2026-05-13 12:00:00,5039404.71,,
2026-05-13 13:00:00,4875667.54,,
2026-05-13 14:00:00,4821260.62,,
2026-05-13 15:00:00,4907137.61,,
2026-05-13 16:00:00,4735446.51,,
2026-05-13 17:00:00,4662267.92,,
2026-05-13 18:00:00,4593619.27,,
2026-05-13 19:00:00,4608106.23,,
2026-05-13 20:00:00,4561916.83,,
2026-05-13 21:00:00,4580659.07,,
2026-05-13 22:00:00,4586076.62,,
2026-05-13 23:00:00,4605155.80,,
2026-05-14 00:00:00,4586736.03,,
2026-05-14 01:00:00,4647374.57,,
2026-05-14 02:00:00,4640966.10,,
2026-05-14 03:00:00,4678088.51,,
2026-05-14 04:00:00,4610669.12,,
2026-05-14 05:00:00,4668502.74,,
2026-05-14 06:00:00,4691291.06,,
2026-05-14 07:00:00,4623672.42,,
2026-05-14 08:00:00,4611136.61,,
2026-05-14 09:00:00,4644961.94,,
2026-05-14 10:00:00,4676471.92,,
2026-05-14 11:00:00,4715095.87,,
2026-05-14 12:00:00,4688102.55,,
2026-05-14 13:00:00,4713587.12,,
2026-05-14 14:00:00,4719589.12,,
2026-05-14 15:00:00,4797559.62,,
2026-05-14 16:00:00,4831257.59,,
2026-05-14 17:00:00,4812359.98,,
2026-05-14 18:00:00,4805606.36,,
2026-05-14 19:00:00,4890936.59,,
2026-05-14 20:00:00,4920624.16,,
2026-05-14 21:00:00,4943738.95,,
2026-05-14 22:00:00,4910217.65,,
2026-05-14 23:00:00,4935987.45,,
2026-05-15 00:00:00,4886847.99,,
2026-05-15 01:00:00,4890976.57,,
