time,oi_A,oi_6,oi_3
2026-04-25 12:00:00,1800158.45,,
2026-04-25 13:00:00,1812709.95,,
2026-04-25 14:00:00,1903607.82,,
2026-04-25 15:00:00,1949432.44,,
2026-04-25 16:00:00,1839692.79,,
2026-04-25 17:00:00,1807440.35,,
2026-04-25 18:00:00,1752665.46,,
2026-04-25 19:00:00,1776107.31,,
2026-04-25 20:00:00,1754173.80,,
2026-04-25 21:00:00,1753429.35,,
2026-04-25 22:00:00,1748049.01,,
2026-04-25 23:00:00,1734314.96,,
2026-04-26 00:00:00,1736183.68,,
2026-04-26 01:00:00,1732506.66,,
2026-04-26 02:00:00,1678842.17,,
2026-04-26 03:00:00,1699803.22,,
2026-04-26 04:00:00,1712561.22,,
2026-04-26 05:00:00,1722838.70,,
2026-04-26 06:00:00,1722588.70,,
2026-04-26 07:00:00,1716763.35,,
2026-04-26 08:00:00,1716364.01,,
2026-04-26 09:00:00,1723812.36,,
2026-04-26 10:00:00,1694959.10,,
2026-04-26 11:00:00,1719574.06,,
2026-04-26 12:00:00,1737678.14,,
2026-04-26 13:00:00,1700083.30,,
2026-04-26 14:00:00,1677187.64,,
2026-04-26 15:00:00,1679237.85,,
2026-04-26 16:00:00,1685343.63,,
2026-04-26 17:00:00,1714603.63,,
2026-04-26 18:00:00,1708363.98,,
2026-04-26 19:00:00,1714190.81,,
2026-04-26 20:00:00,1720559.13,,
2026-04-26 21:00:00,1719859.83,,
2026-04-26 22:00:00,1706991.24,,
2026-04-26 23:00:00,1704689.17,,
2026-04-27 00:00:00,1699333.71,,
2026-04-27 01:00:00,1693676.33,,
2026-04-27 02:00:00,1712643.52,,
2026-04-27 03:00:00,1709582.07,,
2026-04-27 04:00:00,1706775.17,,
2026-04-27 05:00:00,1696382.24,,
2026-04-27 06:00:00,1619574.68,,
2026-04-27 07:00:00,1643617.73,,
2026-04-27 08:00:00,1610212.26,,
2026-04-27 09:00:00,1644501.26,,
2026-04-27 10:00:00,1645974.26,,
2026-04-27 11:00:00,1715415.83,,
2026-04-27 12:00:00,1746232.70,,
2026-04-27 13:00:00,1731380.11,,
2026-04-27 14:00:00,1727069.31,,
2026-04-27 15:00:00,1766355.49,,
2026-04-27 16:00:00,1764356.98,,
2026-04-27 17:00:00,1749591.25,,
2026-04-27 18:00:00,1748558.66,,
2026-04-27 19:00:00,1745499.80,,
2026-04-27 20:00:00,1744622.88,,
2026-04-27 21:00:00,1749409.39,,
2026-04-27 22:00:00,1778934.52,,
2026-04-27 23:00:00,1809221.36,,
2026-04-28 00:00:00,1851264.64,,
2026-04-28 01:00:00,1865326.19,,
2026-04-28 02:00:00,1823869.45,,
2026-04-28 03:00:00,1801874.64,,
2026-04-28 04:00:00,1790350.43,,
2026-04-28 05:00:00,1789116.55,,
2026-04-28 06:00:00,1796349.62,,
2026-04-28 07:00:00,1763348.14,,
2026-04-28 08:00:00,1757138.91,,
2026-04-28 09:00:00,1744171.47,,
2026-04-28 10:00:00,1735967.37,,
2026-04-28 11:00:00,1740797.24,,
2026-04-28 12:00:00,1750017.19,,
2026-04-28 13:00:00,1777501.30,,
2026-04-28 14:00:00,1776759.33,,
2026-04-28 15:00:00,1808485.58,,
