time,oi_A,oi_6,oi_3
2026-04-25 12:00:00,2343087.49,,744505.78
2026-04-25 13:00:00,2285312.20,,733043.58
2026-04-25 14:00:00,2294471.93,,728439.85
2026-04-25 15:00:00,2238265.65,,704126.55
2026-04-25 16:00:00,2228266.98,,699913.56
2026-04-25 17:00:00,2232873.84,,702074.72
2026-04-25 18:00:00,2233149.07,,698601.46
2026-04-25 19:00:00,2231454.72,,683361.67
2026-04-25 20:00:00,2235012.17,,681844.07
2026-04-25 21:00:00,2241658.50,,684063.51
2026-04-25 22:00:00,2288391.44,,688894.48
2026-04-25 23:00:00,2259513.13,,686173.96
2026-04-26 00:00:00,2247211.96,,683606.67
2026-04-26 01:00:00,2237385.97,,680982.01
2026-04-26 02:00:00,2248427.06,,677440.64
2026-04-26 03:00:00,2286198.95,,693989.67
2026-04-26 04:00:00,2271550.88,,693054.95
2026-04-26 05:00:00,2295732.06,,697508.72
2026-04-26 06:00:00,2329575.28,,700264.40
2026-04-26 07:00:00,2316979.64,,699350.76
2026-04-26 08:00:00,2318995.03,,702011.72
2026-04-26 09:00:00,2329474.93,,702907.98
2026-04-26 10:00:00,2287140.50,,698826.85
2026-04-26 11:00:00,2275758.12,,688784.15
2026-04-26 12:00:00,2297114.83,,696118.44
2026-04-26 13:00:00,2289904.52,,686339.41
2026-04-26 14:00:00,2285377.14,,689110.99
2026-04-26 15:00:00,2292737.27,,697343.97
2026-04-26 16:00:00,2295504.76,,696511.65
2026-04-26 17:00:00,2328966.95,,705518.96
2026-04-26 18:00:00,2315857.79,,698529.51
2026-04-26 19:00:00,2317232.20,,697470.17
2026-04-26 20:00:00,2319843.64,,697417.95
2026-04-26 21:00:00,2307304.40,,697536.74
2026-04-26 22:00:00,2301901.17,,700057.99
2026-04-26 23:00:00,2298434.59,,697873.82
2026-04-27 00:00:00,2307614.85,,700398.84
2026-04-27 01:00:00,2320457.35,,706302.12
2026-04-27 02:00:00,2312551.82,,713803.07
2026-04-27 03:00:00,2303747.81,,715703.79
2026-04-27 04:00:00,2303483.97,,720212.57
2026-04-27 05:00:00,2291336.80,,713357.91
2026-04-27 06:00:00,2216625.62,,690542.52
2026-04-27 07:00:00,2171449.40,,674478.65
2026-04-27 08:00:00,2162484.96,,665146.91
2026-04-27 09:00:00,2166064.49,,668299.34
2026-04-27 10:00:00,2166416.76,,667426.56
2026-04-27 11:00:00,2153893.84,,657397.75
2026-04-27 12:00:00,2167382.94,,659826.34
2026-04-27 13:00:00,2183692.52,,659833.33
2026-04-27 14:00:00,2066754.82,,664968.09
2026-04-27 15:00:00,2067294.36,,665484.05
2026-04-27 16:00:00,1994983.97,,642467.24
2026-04-27 17:00:00,1998672.07,,636282.53
2026-04-27 18:00:00,2011161.44,,633630.94
2026-04-27 19:00:00,2007289.84,,631262.29
2026-04-27 20:00:00,1998285.08,,631039.06
2026-04-27 21:00:00,2004592.57,,631540.18
2026-04-27 22:00:00,1993784.07,,627868.28
2026-04-27 23:00:00,2000148.48,,628797.95
2026-04-28 00:00:00,2025181.79,,637017.32
2026-04-28 01:00:00,2022921.39,,636828.39
2026-04-28 02:00:00,2001272.68,,632554.00
2026-04-28 03:00:00,1998390.29,,631930.56
2026-04-28 04:00:00,2011613.32,,633266.78
2026-04-28 05:00:00,2028023.29,,634693.63
2026-04-28 06:00:00,2028183.49,,636145.77
2026-04-28 07:00:00,2041706.61,,637239.65
2026-04-28 08:00:00,2027169.50,,635087.44
2026-04-28 09:00:00,2023888.41,,636611.39
2026-04-28 10:00:00,2017959.21,,637399.26
2026-04-28 11:00:00,2014700.49,,635998.81
2026-04-28 12:00:00,1991065.01,,632657.52
2026-04-28 13:00:00,2016572.55,,640729.87
2026-04-28 14:00:00,1993221.72,,636952.40
2026-04-28 15:00:00,1974566.61,,636507.68
2026-04-28 16:00:00,2009612.32,,638225.50
2026-04-28 17:00:00,2003045.97,,633523.28
2026-04-28 18:00:00,1984632.62,,631675.40
2026-04-28 19:00:00,1991801.91,,633718.19
2026-04-28 20:00:00,1992519.56,,633342.49
2026-04-28 21:00:00,1986012.88,,629752.98
2026-04-28 22:00:00,1979879.97,,628082.44
2026-04-28 23:00:00,1966077.02,,628835.85
2026-04-29 00:00:00,1967801.52,,629138.93
2026-04-29 01:00:00,1978212.19,,630902.25
2026-04-29 02:00:00,1970073.57,,633134.96
