time,oi_A,oi_6,oi_3
2026-05-03 12:00:00,1606687.69,,
2026-05-03 13:00:00,1607980.92,,
2026-05-03 14:00:00,1628842.90,,
2026-05-03 15:00:00,1623457.35,,
2026-05-03 16:00:00,1583926.34,,
2026-05-03 17:00:00,1589334.02,,
2026-05-03 18:00:00,1587156.23,,
2026-05-03 19:00:00,1588825.64,,
2026-05-03 20:00:00,1585369.74,,
2026-05-03 21:00:00,1591548.39,,
2026-05-03 22:00:00,1586828.47,,
2026-05-03 23:00:00,1593543.29,,
2026-05-04 00:00:00,1585799.79,,
2026-05-04 01:00:00,1564840.58,,
2026-05-04 02:00:00,1577691.78,,
2026-05-04 03:00:00,1607889.23,,
2026-05-04 04:00:00,1617191.66,,
2026-05-04 05:00:00,1615630.97,,
2026-05-04 06:00:00,1610200.63,,
2026-05-04 07:00:00,1604000.45,,
2026-05-04 08:00:00,1594487.73,,
2026-05-04 09:00:00,1594343.33,,
2026-05-04 10:00:00,1606752.52,,
2026-05-04 11:00:00,1586275.11,,
2026-05-04 12:00:00,1579187.89,,
2026-05-04 13:00:00,1583731.57,,
2026-05-04 14:00:00,1578399.67,,
2026-05-04 15:00:00,1595596.91,,
2026-05-04 16:00:00,1591336.98,,
2026-05-04 17:00:00,1593602.57,,
2026-05-04 18:00:00,1604847.41,,
2026-05-04 19:00:00,1601542.97,,
2026-05-04 20:00:00,1600864.71,,
2026-05-04 21:00:00,1595902.25,,
2026-05-04 22:00:00,1619097.21,,
2026-05-04 23:00:00,1609140.67,,
2026-05-05 00:00:00,1611375.00,,
2026-05-05 01:00:00,1611180.89,,
2026-05-05 02:00:00,1617611.52,,
2026-05-05 03:00:00,1621117.44,,
2026-05-05 04:00:00,1616167.17,,
2026-05-05 05:00:00,1615966.22,,
2026-05-05 06:00:00,1617026.59,,
2026-05-05 07:00:00,1620155.12,,
2026-05-05 08:00:00,1629703.66,,
2026-05-05 09:00:00,1620498.46,,
2026-05-05 10:00:00,1632625.55,,
2026-05-05 11:00:00,1637032.50,,
2026-05-05 12:00:00,1637705.09,,
2026-05-05 13:00:00,1653789.81,,
2026-05-05 14:00:00,1680456.53,,
2026-05-05 15:00:00,1671941.04,,
2026-05-05 16:00:00,1685487.38,,
2026-05-05 17:00:00,1681845.60,,
2026-05-05 18:00:00,1682217.70,,
2026-05-05 19:00:00,1675211.98,,
2026-05-05 20:00:00,1659058.06,,
2026-05-05 21:00:00,1654975.93,,
2026-05-05 22:00:00,1644213.26,,
2026-05-05 23:00:00,1625971.00,,
2026-05-06 00:00:00,1627390.30,,
2026-05-06 01:00:00,1596820.57,,
2026-05-06 02:00:00,1605406.98,,
2026-05-06 03:00:00,1599332.57,,
2026-05-06 04:00:00,1617261.33,,
2026-05-06 05:00:00,1611079.32,,
2026-05-06 06:00:00,1619776.90,,
2026-05-06 07:00:00,1631535.82,,
2026-05-06 08:00:00,1638092.62,,
2026-05-06 09:00:00,1681096.62,,
2026-05-06 10:00:00,1673534.62,,
2026-05-06 11:00:00,1666632.33,,
2026-05-06 12:00:00,1654044.02,,
2026-05-06 13:00:00,1666544.67,,
2026-05-06 14:00:00,1632501.52,,
2026-05-06 15:00:00,1623692.96,,
2026-05-06 16:00:00,1641883.27,,
2026-05-06 17:00:00,1637662.85,,
2026-05-06 18:00:00,1640391.42,,
2026-05-06 19:00:00,1632678.33,,
2026-05-06 20:00:00,1633586.21,,
2026-05-06 21:00:00,1632179.81,,
2026-05-06 22:00:00,1641076.97,,
