time,oi_A,oi_6,oi_3
2026-05-17 12:00:00,4575904.81,,1508258.33
2026-05-17 13:00:00,4659782.79,,1544565.75
2026-05-17 14:00:00,4660700.36,,1532328.69
2026-05-17 15:00:00,4820065.01,,1561296.21
2026-05-17 16:00:00,4695139.56,,1508080.44
2026-05-17 17:00:00,4632531.91,,1475975.79
2026-05-17 18:00:00,4625256.22,,1463121.73
2026-05-17 19:00:00,4588044.69,,1449743.25
2026-05-17 20:00:00,4552431.97,,1447731.73
2026-05-17 21:00:00,4574485.81,,1454139.02
2026-05-17 22:00:00,4569496.30,,1454885.70
2026-05-17 23:00:00,4500034.57,,1432454.94
2026-05-18 00:00:00,4084911.21,,1327312.51
2026-05-18 01:00:00,4115183.75,,1356813.45
2026-05-18 02:00:00,4009608.69,,1345445.89
2026-05-18 03:00:00,4001128.18,,1365660.25
2026-05-18 04:00:00,3985882.68,,1370482.06
2026-05-18 05:00:00,4010097.67,,1389410.33
2026-05-18 06:00:00,3964574.49,,1374563.08
2026-05-18 07:00:00,3921547.26,,1356303.37
2026-05-18 08:00:00,3907410.92,,1360330.44
2026-05-18 09:00:00,3996931.66,,1385748.67
2026-05-18 10:00:00,3933759.86,,1353878.89
2026-05-18 11:00:00,3911070.87,,1347544.17
2026-05-18 12:00:00,3962510.07,,1368195.43
2026-05-18 13:00:00,3980065.19,,1367797.82
2026-05-18 14:00:00,4014158.62,,1380480.02
2026-05-18 15:00:00,3964668.95,,1355595.59
2026-05-18 16:00:00,4008643.69,,1378739.87
2026-05-18 17:00:00,3966225.73,,1362897.50
2026-05-18 18:00:00,3944634.71,,1345870.76
2026-05-18 19:00:00,3892351.38,,1324621.58
2026-05-18 20:00:00,3948496.63,,1339897.18
2026-05-18 21:00:00,3968154.72,,1346019.20
2026-05-18 22:00:00,4006980.23,,1358575.12
2026-05-18 23:00:00,3992338.12,,1350375.68
2026-05-19 00:00:00,3998141.66,,1355063.95
2026-05-19 01:00:00,4001497.57,,1360641.87
2026-05-19 02:00:00,3991174.70,,1353112.17
2026-05-19 03:00:00,3968478.82,,1346134.96
2026-05-19 04:00:00,3967033.02,,1344344.75
2026-05-19 05:00:00,3981240.24,,1348591.94
2026-05-19 06:00:00,3984521.26,,1357848.38
2026-05-19 07:00:00,4012018.88,,1365547.73
2026-05-19 08:00:00,4072133.62,,1389825.74
2026-05-19 09:00:00,4038526.08,,1367581.04
2026-05-19 10:00:00,3983542.20,,1348182.33
2026-05-19 11:00:00,3953968.87,,1335483.67
2026-05-19 12:00:00,3922507.36,,1328467.44
2026-05-19 13:00:00,3940734.14,,1338567.09
2026-05-19 14:00:00,3939981.46,,1332105.63
2026-05-19 15:00:00,3897245.63,,1322398.98
2026-05-19 16:00:00,3866570.82,,1319821.22
2026-05-19 17:00:00,3900929.08,,1325710.54
2026-05-19 18:00:00,3881527.80,,1320900.67
2026-05-19 19:00:00,3863206.37,,1315274.23
2026-05-19 20:00:00,3858662.16,,1324074.73
2026-05-19 21:00:00,3867460.70,,1333990.96
2026-05-19 22:00:00,3867592.46,,1334879.83
2026-05-19 23:00:00,3831125.55,,1320123.03
2026-05-20 00:00:00,3836126.38,,1321318.74
2026-05-20 01:00:00,3828928.05,,1317897.22
2026-05-20 02:00:00,3840909.40,,1320893.66
2026-05-20 03:00:00,3850041.23,,1325846.11
2026-05-20 04:00:00,3910752.58,,1346035.48
2026-05-20 05:00:00,3895341.13,,1339693.91
2026-05-20 06:00:00,3924039.90,,1343599.35
2026-05-20 07:00:00,3905397.51,,1333571.51
2026-05-20 08:00:00,3893523.94,,1327909.30
2026-05-20 09:00:00,3893434.07,,1330171.77
2026-05-20 10:00:00,3872478.52,,1320706.97
2026-05-20 11:00:00,3860033.05,,1317317.46
2026-05-20 12:00:00,3864745.57,,1314894.80
2026-05-20 13:00:00,3909297.66,,1329223.07
2026-05-20 14:00:00,3887360.33,,1317355.48
2026-05-20 15:00:00,3929137.72,,1332796.35
2026-05-20 16:00:00,3969061.20,,1353956.13
2026-05-20 17:00:00,3927806.28,,1323427.10
2026-05-20 18:00:00,3935597.48,,1324329.70
2026-05-20 19:00:00,3911536.65,,1312654.03
2026-05-20 20:00:00,3930208.92,,1324081.62
2026-05-20 21:00:00,3921982.45,,1326398.10
2026-05-20 22:00:00,3920626.46,,1323128.74
2026-05-20 23:00:00,3911519.10,,1321856.13
2026-05-21 00:00:00,3880173.56,,1317870.83
2026-05-21 01:00:00,3919906.31,,1331688.84
2026-05-21 02:00:00,3944068.10,,1348578.09
2026-05-21 03:00:00,3939213.51,,1345672.72
2026-05-21 04:00:00,3915236.69,,1340034.89
2026-05-21 05:00:00,3912045.79,,1341706.78
2026-05-21 06:00:00,3874529.16,,1329336.41
2026-05-21 07:00:00,3945152.81,,1356360.41
2026-05-21 08:00:00,3925746.89,,1354214.54
2026-05-21 09:00:00,3899893.50,,1351047.42
2026-05-21 10:00:00,3902390.11,,1349391.98
2026-05-21 11:00:00,3909534.88,,1356781.91
2026-05-21 12:00:00,3844363.13,,1334305.25
2026-05-21 13:00:00,3837732.90,,1339407.02
2026-05-21 14:00:00,3828245.82,,1347668.73
2026-05-21 15:00:00,3813869.20,,1342415.09
2026-05-21 16:00:00,3837264.02,,1348735.29
2026-05-21 17:00:00,3839869.05,,1347311.96
2026-05-21 18:00:00,3885754.37,,1357327.31
2026-05-21 19:00:00,3863584.27,,1347824.45
2026-05-21 20:00:00,3878819.29,,1355359.69
2026-05-21 21:00:00,3899005.09,,1362549.30
2026-05-21 22:00:00,3909258.95,,1360728.27
2026-05-21 23:00:00,3917247.51,,1359106.03
2026-05-22 00:00:00,3920379.65,,1355387.66
2026-05-22 01:00:00,3870666.30,,1337883.36
2026-05-22 02:00:00,3893575.22,,1348571.93
2026-05-22 03:00:00,3918467.08,,1360259.64
2026-05-22 04:00:00,3884946.25,,1350929.65
2026-05-22 05:00:00,3863300.04,,1348622.54
2026-05-22 06:00:00,3872055.22,,1349007.63
2026-05-22 07:00:00,3857468.19,,1340244.88
2026-05-22 08:00:00,3872796.14,,1338744.66
2026-05-22 09:00:00,3882958.23,,1340556.71
2026-05-22 10:00:00,3888412.50,,1337003.84
2026-05-22 11:00:00,3916735.35,,1343193.49
2026-05-22 12:00:00,3948636.05,,1355117.72
2026-05-22 13:00:00,3959301.62,,1359494.42
2026-05-22 14:00:00,3951267.55,,1356729.08
2026-05-22 15:00:00,3900773.01,,1335315.48
2026-05-22 16:00:00,3923588.53,,1344927.68
2026-05-22 17:00:00,3919490.58,,1340051.09
2026-05-22 18:00:00,3900673.27,,1337997.74
2026-05-22 19:00:00,3794742.89,,1306208.42
2026-05-22 20:00:00,3713108.21,,1279579.87
2026-05-22 21:00:00,3741410.45,,1283284.99
2026-05-22 22:00:00,3760291.01,,1293003.37
2026-05-22 23:00:00,3762241.59,,1290263.15
2026-05-23 00:00:00,3691946.75,,1271136.62
2026-05-23 01:00:00,3754355.67,,1302754.52
2026-05-23 02:00:00,3816129.09,,1325192.25
2026-05-23 03:00:00,3825153.67,,1327729.22
2026-05-23 04:00:00,3879872.77,,1351289.47
2026-05-23 05:00:00,3886716.31,,1348233.51
2026-05-23 06:00:00,3895645.95,,1351142.59
2026-05-23 07:00:00,3862320.46,,1334840.19
2026-05-23 08:00:00,3718476.10,,1292680.12
2026-05-23 09:00:00,3783676.12,,1333137.43
2026-05-23 10:00:00,3769896.62,,1328303.63
2026-05-23 11:00:00,3771641.62,,1331961.13
2026-05-23 12:00:00,3755517.67,,1324380.07
2026-05-23 13:00:00,3764667.05,,1333859.81
2026-05-23 14:00:00,3808894.76,,1352231.25
2026-05-23 15:00:00,3962903.48,,1401636.16
2026-05-23 16:00:00,3966586.76,,1383573.96
2026-05-23 17:00:00,3982793.20,,1387816.87
2026-05-23 18:00:00,4015803.42,,1413811.26
2026-05-23 19:00:00,3977655.08,,1379993.93
2026-05-23 20:00:00,3950872.94,,1370223.42
2026-05-23 21:00:00,4012466.54,,1398329.69
2026-05-23 22:00:00,3969811.06,,1383209.33
2026-05-23 23:00:00,3953967.38,,1378353.47
2026-05-24 00:00:00,3941644.11,,1374175.17
2026-05-24 01:00:00,3958275.01,,1377705.09
2026-05-24 02:00:00,3991227.05,,1389133.97
2026-05-24 03:00:00,3980607.47,,1380629.50
2026-05-24 04:00:00,3971494.82,,1384553.45
2026-05-24 05:00:00,4002939.31,,1399394.56
2026-05-24 06:00:00,3984329.07,,1396664.31
2026-05-24 07:00:00,4093325.40,,1430893.69
2026-05-24 08:00:00,4055683.24,,1414847.63
2026-05-24 09:00:00,4082162.70,,1426495.23
2026-05-24 10:00:00,4045042.75,,1415971.92
2026-05-24 11:00:00,4019137.22,,1399407.04
2026-05-24 12:00:00,4012457.17,,1393639.94
2026-05-24 13:00:00,4040446.47,,1404112.15
2026-05-24 14:00:00,4001224.67,,1406607.06
2026-05-24 15:00:00,4025294.75,,1397363.32
2026-05-24 16:00:00,4020635.20,,1397504.00
2026-05-24 17:00:00,3986230.45,,1386942.29
2026-05-24 18:00:00,3981959.29,,1385662.13
2026-05-24 19:00:00,3903370.91,,1362700.41
2026-05-24 20:00:00,3894683.10,,1356337.70
2026-05-24 21:00:00,3881167.96,,1356250.74
2026-05-24 22:00:00,3823240.97,,1333923.93
2026-05-24 23:00:00,3845713.22,,1346424.12
2026-05-25 00:00:00,3864318.58,,1350820.45
2026-05-25 01:00:00,3865670.48,,1353976.24
2026-05-25 02:00:00,3844512.64,,1350345.52
2026-05-25 03:00:00,3888087.14,,1366294.67
2026-05-25 04:00:00,3858688.06,,1357710.54
2026-05-25 05:00:00,3882172.84,,1367672.76
2026-05-25 06:00:00,3901927.43,,1368578.47
2026-05-25 07:00:00,3925391.25,,1367962.28
2026-05-25 08:00:00,3936396.46,,1369962.84
2026-05-25 09:00:00,3943493.18,,1372649.33
2026-05-25 10:00:00,3939032.54,,1365856.86
2026-05-25 11:00:00,3944329.10,,1375455.82
2026-05-25 12:00:00,3918682.33,,1363169.51
2026-05-25 13:00:00,3884626.42,,1353652.73
2026-05-25 14:00:00,3894790.93,,1349952.75
2026-05-25 15:00:00,3900747.19,,1349748.26
2026-05-25 16:00:00,3895975.59,,1342720.38
2026-05-25 17:00:00,3918079.33,,1347322.48
2026-05-25 18:00:00,3894872.25,,1340469.21
2026-05-25 19:00:00,3880454.40,,1339619.97
2026-05-25 20:00:00,3886694.87,,1343654.01
2026-05-25 21:00:00,3833843.45,,1322511.05
2026-05-25 22:00:00,3852306.45,,1335075.10
2026-05-25 23:00:00,3780951.24,,1312083.62
2026-05-26 00:00:00,3814246.67,,1329785.50
2026-05-26 01:00:00,3716342.66,,1306534.02
2026-05-26 02:00:00,3678722.71,,1297998.53
2026-05-26 03:00:00,3672348.07,,1303582.68
2026-05-26 04:00:00,3675059.20,,1305927.94
