time,oi_A,oi_6,oi_3
2026-05-17 12:00:00,837095.37,,
2026-05-17 13:00:00,841222.22,,
2026-05-17 14:00:00,834129.06,,
2026-05-17 15:00:00,843719.10,,
2026-05-17 16:00:00,848574.49,,
2026-05-17 17:00:00,855652.22,,
2026-05-17 18:00:00,855978.25,,
2026-05-17 19:00:00,854272.79,,
2026-05-17 20:00:00,855738.90,,
2026-05-17 21:00:00,854665.32,,
2026-05-17 22:00:00,854628.31,,
2026-05-17 23:00:00,852531.32,,
2026-05-18 00:00:00,848135.85,,
2026-05-18 01:00:00,839276.76,,
2026-05-18 02:00:00,844084.81,,
2026-05-18 03:00:00,841986.60,,
2026-05-18 04:00:00,840759.37,,
2026-05-18 05:00:00,832035.19,,
2026-05-18 06:00:00,840453.10,,
2026-05-18 07:00:00,835115.36,,
2026-05-18 08:00:00,835731.50,,
2026-05-18 09:00:00,846347.23,,
2026-05-18 10:00:00,846403.87,,
2026-05-18 11:00:00,850967.37,,
2026-05-18 12:00:00,889767.27,,
2026-05-18 13:00:00,918206.09,,
2026-05-18 14:00:00,941483.97,,
2026-05-18 15:00:00,898241.37,,
2026-05-18 16:00:00,932499.00,,
2026-05-18 17:00:00,919910.53,,
2026-05-18 18:00:00,917840.51,,
2026-05-18 19:00:00,895187.12,,
2026-05-18 20:00:00,903578.44,,
2026-05-18 21:00:00,909648.30,,
2026-05-18 22:00:00,907558.79,,
2026-05-18 23:00:00,898045.50,,
2026-05-19 00:00:00,896357.16,,
2026-05-19 01:00:00,893490.46,,
2026-05-19 02:00:00,898697.23,,
2026-05-19 03:00:00,893494.59,,
2026-05-19 04:00:00,893733.53,,
2026-05-19 05:00:00,892743.38,,
2026-05-19 06:00:00,892480.92,,
2026-05-19 07:00:00,902632.14,,
2026-05-19 08:00:00,901961.15,,
2026-05-19 09:00:00,897165.92,,
2026-05-19 10:00:00,901423.16,,
2026-05-19 11:00:00,909733.41,,
2026-05-19 12:00:00,931536.05,,
2026-05-19 13:00:00,934503.86,,
2026-05-19 14:00:00,938598.20,,
2026-05-19 15:00:00,909954.62,,
2026-05-19 16:00:00,909513.32,,
2026-05-19 17:00:00,919453.92,,
2026-05-19 18:00:00,927029.19,,
2026-05-19 19:00:00,923722.99,,
2026-05-19 20:00:00,920672.03,,
2026-05-19 21:00:00,925504.24,,
2026-05-19 22:00:00,921998.70,,
2026-05-19 23:00:00,919961.33,,
2026-05-20 00:00:00,923795.33,,
2026-05-20 01:00:00,920766.82,,
2026-05-20 02:00:00,922559.07,,
2026-05-20 03:00:00,917917.33,,
2026-05-20 04:00:00,918430.71,,
2026-05-20 05:00:00,918100.72,,
2026-05-20 06:00:00,924832.97,,
2026-05-20 07:00:00,934648.08,,
2026-05-20 08:00:00,929876.39,,
2026-05-20 09:00:00,933463.11,,
2026-05-20 10:00:00,933973.43,,
2026-05-20 11:00:00,933981.56,,
2026-05-20 12:00:00,912349.40,,
2026-05-20 13:00:00,920676.31,,
2026-05-20 14:00:00,920776.75,,
2026-05-20 15:00:00,922497.91,,
2026-05-20 16:00:00,921262.28,,
2026-05-20 17:00:00,925614.71,,
2026-05-20 18:00:00,926885.39,,
2026-05-20 19:00:00,928314.07,,
2026-05-20 20:00:00,928013.01,,
2026-05-20 21:00:00,921983.64,,
2026-05-20 22:00:00,922600.37,,
2026-05-20 23:00:00,927102.25,,
2026-05-21 00:00:00,929540.39,,
2026-05-21 01:00:00,933730.25,,
2026-05-21 02:00:00,932204.67,,
2026-05-21 03:00:00,940134.68,,
2026-05-21 04:00:00,944086.79,,
2026-05-21 05:00:00,934678.48,,
2026-05-21 06:00:00,929998.20,,
2026-05-21 07:00:00,932571.96,,
2026-05-21 08:00:00,924354.84,,
2026-05-21 09:00:00,921962.70,,
2026-05-21 10:00:00,918619.50,,
2026-05-21 11:00:00,908865.55,,
2026-05-21 12:00:00,909621.27,,
2026-05-21 13:00:00,908101.64,,
2026-05-21 14:00:00,895087.80,,
2026-05-21 15:00:00,894446.39,,
2026-05-21 16:00:00,900381.56,,
2026-05-21 17:00:00,927347.78,,
2026-05-21 18:00:00,935902.29,,
2026-05-21 19:00:00,935962.61,,
2026-05-21 20:00:00,939663.58,,
