time,oi_A,oi_6,oi_3
2026-04-25 12:00:00,14853526.15,,2655918.99
2026-04-25 13:00:00,14586368.02,,2621433.97
2026-04-25 14:00:00,14643319.88,,2624388.72
2026-04-25 15:00:00,14603763.15,,2619885.59
2026-04-25 16:00:00,14500522.75,,2567828.63
2026-04-25 17:00:00,14542411.98,,2563092.84
2026-04-25 18:00:00,14368695.30,,2545888.61
2026-04-25 19:00:00,14310848.67,,2531068.71
2026-04-25 20:00:00,14319727.69,,2524458.50
2026-04-25 21:00:00,14405358.41,,2536074.83
2026-04-25 22:00:00,14482250.53,,2542272.19
2026-04-25 23:00:00,14506649.01,,2545033.02
2026-04-26 00:00:00,14494569.20,,2545695.95
2026-04-26 01:00:00,14461044.15,,2554431.84
2026-04-26 02:00:00,14452439.84,,2555473.91
2026-04-26 03:00:00,14582788.69,,2594701.98
2026-04-26 04:00:00,14668571.19,,2603308.01
2026-04-26 05:00:00,14889565.46,,2657560.45
2026-04-26 06:00:00,14830541.91,,2632261.79
2026-04-26 07:00:00,14860271.74,,2654709.98
2026-04-26 08:00:00,14858614.11,,2656719.95
2026-04-26 09:00:00,14860124.04,,2675067.65
2026-04-26 10:00:00,14944360.93,,2673743.12
2026-04-26 11:00:00,14855760.50,,2649342.85
2026-04-26 12:00:00,14853030.71,,2651477.78
2026-04-26 13:00:00,14774355.83,,2624555.84
2026-04-26 14:00:00,14802527.28,,2614570.90
2026-04-26 15:00:00,14972184.51,,2682904.41
2026-04-26 16:00:00,14952890.47,,2671537.34
2026-04-26 17:00:00,14863654.12,,2651145.98
2026-04-26 18:00:00,14765369.83,,2600417.64
2026-04-26 19:00:00,14841816.02,,2608489.88
2026-04-26 20:00:00,14901570.99,,2633042.97
2026-04-26 21:00:00,14947681.61,,2629866.87
2026-04-26 22:00:00,14597101.65,,2598972.70
2026-04-26 23:00:00,14117050.16,,2584125.56
2026-04-27 00:00:00,14016768.47,,2582077.53
2026-04-27 01:00:00,14249330.54,,2603090.06
2026-04-27 02:00:00,14209428.43,,2644537.49
2026-04-27 03:00:00,14181750.20,,2657202.94
2026-04-27 04:00:00,14204459.67,,2735448.18
2026-04-27 05:00:00,14166968.91,,2733928.87
2026-04-27 06:00:00,13509404.69,,2569727.16
2026-04-27 07:00:00,13389977.65,,2487615.10
2026-04-27 08:00:00,13397078.31,,2459570.95
2026-04-27 09:00:00,13539387.57,,2437279.91
2026-04-27 10:00:00,13586572.14,,2440739.06
2026-04-27 11:00:00,13637610.63,,2436171.01
2026-04-27 12:00:00,13696058.58,,2451721.52
2026-04-27 13:00:00,13681202.17,,2447820.28
2026-04-27 14:00:00,13574486.05,,2409995.79
2026-04-27 15:00:00,13688961.48,,2464110.64
2026-04-27 16:00:00,13196262.39,,2347709.23
2026-04-27 17:00:00,13372196.66,,2367549.22
2026-04-27 18:00:00,13433066.06,,2375565.05
2026-04-27 19:00:00,13456174.88,,2378947.85
2026-04-27 20:00:00,13510627.95,,2402817.07
2026-04-27 21:00:00,13474386.14,,2393299.93
2026-04-27 22:00:00,13466430.30,,2366808.19
2026-04-27 23:00:00,13494443.06,,2359754.90
