time,oi_A,oi_6,oi_3
2026-05-24 12:00:00,1487358.15,,
2026-05-24 13:00:00,1476159.26,,
2026-05-24 14:00:00,1451389.18,,
2026-05-24 15:00:00,1435734.87,,
2026-05-24 16:00:00,1431497.62,,
2026-05-24 17:00:00,1435491.28,,
2026-05-24 18:00:00,1429659.54,,
2026-05-24 19:00:00,1420480.33,,
2026-05-24 20:00:00,1425357.34,,
2026-05-24 21:00:00,1412561.26,,
2026-05-24 22:00:00,1362678.63,,
2026-05-24 23:00:00,1387764.02,,
2026-05-25 00:00:00,1403098.29,,
2026-05-25 01:00:00,1423402.55,,
2026-05-25 02:00:00,1416049.20,,
2026-05-25 03:00:00,1422951.59,,
2026-05-25 04:00:00,1418477.27,,
2026-05-25 05:00:00,1440902.15,,
2026-05-25 06:00:00,1446738.10,,
2026-05-25 07:00:00,1454416.77,,
2026-05-25 08:00:00,1448439.30,,
2026-05-25 09:00:00,1454901.94,,
2026-05-25 10:00:00,1481244.99,,
2026-05-25 11:00:00,1475005.02,,
2026-05-25 12:00:00,1441076.00,,
2026-05-25 13:00:00,1438457.38,,
2026-05-25 14:00:00,1432936.60,,
2026-05-25 15:00:00,1441023.26,,
2026-05-25 16:00:00,1435404.11,,
2026-05-25 17:00:00,1436750.95,,
2026-05-25 18:00:00,1426491.03,,
2026-05-25 19:00:00,1423123.19,,
2026-05-25 20:00:00,1416674.56,,
2026-05-25 21:00:00,1408424.28,,
2026-05-25 22:00:00,1420757.92,,
2026-05-25 23:00:00,1404509.94,,
2026-05-26 00:00:00,1404666.48,,
2026-05-26 01:00:00,1388652.71,,
2026-05-26 02:00:00,1371230.74,,
2026-05-26 03:00:00,1366883.92,,
2026-05-26 04:00:00,1367385.43,,
2026-05-26 05:00:00,1368648.69,,
2026-05-26 06:00:00,1370798.16,,
2026-05-26 07:00:00,1369901.45,,
2026-05-26 08:00:00,1361834.54,,
2026-05-26 09:00:00,1365721.35,,
2026-05-26 10:00:00,1371743.28,,
2026-05-26 11:00:00,1396986.77,,
2026-05-26 12:00:00,1395455.26,,
2026-05-26 13:00:00,1394343.82,,
2026-05-26 14:00:00,1403131.04,,
2026-05-26 15:00:00,1403124.30,,
2026-05-26 16:00:00,1390549.81,,
2026-05-26 17:00:00,1396027.12,,
2026-05-26 18:00:00,1367540.26,,
2026-05-26 19:00:00,1365891.10,,
2026-05-26 20:00:00,1374269.17,,
2026-05-26 21:00:00,1367877.54,,
2026-05-26 22:00:00,1364661.04,,
2026-05-26 23:00:00,1359562.81,,
2026-05-27 00:00:00,1364098.78,,
2026-05-27 01:00:00,1372498.22,,
2026-05-27 02:00:00,1358143.91,,
2026-05-27 03:00:00,1351223.91,,
2026-05-27 04:00:00,1345274.04,,
2026-05-27 05:00:00,1345655.06,,
2026-05-27 06:00:00,1341993.58,,
2026-05-27 07:00:00,1343544.94,,
2026-05-27 08:00:00,1344608.63,,
2026-05-27 09:00:00,1335284.86,,
2026-05-27 10:00:00,1329212.25,,
2026-05-27 11:00:00,1333901.60,,
2026-05-27 12:00:00,1330276.23,,
2026-05-27 13:00:00,1344020.40,,
2026-05-27 14:00:00,1342773.55,,
2026-05-27 15:00:00,1341804.32,,
2026-05-27 16:00:00,1357445.48,,
2026-05-27 17:00:00,1351276.73,,
2026-05-27 18:00:00,1339458.43,,
2026-05-27 19:00:00,1348169.27,,
2026-05-27 20:00:00,1348458.73,,
2026-05-27 21:00:00,1344660.53,,
2026-05-27 22:00:00,1313883.87,,
2026-05-27 23:00:00,1312474.21,,
2026-05-28 00:00:00,1320746.34,,
2026-05-28 01:00:00,1318570.95,,
2026-05-28 02:00:00,1309834.92,,
