time,oi_A,oi_6,oi_3
2026-05-03 12:00:00,,693961.16,
2026-05-03 13:00:00,,695272.55,
2026-05-03 14:00:00,,704733.61,
2026-05-03 15:00:00,,701630.21,
2026-05-03 16:00:00,,696223.64,
2026-05-03 17:00:00,,697339.32,
2026-05-03 18:00:00,,697596.38,
2026-05-03 19:00:00,,699636.20,
2026-05-03 20:00:00,,699123.03,
2026-05-03 21:00:00,,697515.53,
2026-05-03 22:00:00,,700311.62,
2026-05-03 23:00:00,,696103.80,
2026-05-04 00:00:00,,689840.99,
2026-05-04 01:00:00,,676293.91,
2026-05-04 02:00:00,,694886.77,
2026-05-04 03:00:00,,697552.37,
2026-05-04 04:00:00,,698250.47,
2026-05-04 05:00:00,,711932.09,
2026-05-04 06:00:00,,710899.22,
2026-05-04 07:00:00,,700800.46,
2026-05-04 08:00:00,,693741.70,
2026-05-04 09:00:00,,680355.99,
2026-05-04 10:00:00,,698391.43,
2026-05-04 11:00:00,,676749.30,
2026-05-04 12:00:00,,674300.30,
2026-05-04 13:00:00,,680382.94,
2026-05-04 14:00:00,,682393.26,
2026-05-04 15:00:00,,680144.74,
2026-05-04 16:00:00,,673476.53,
2026-05-04 17:00:00,,683700.42,
2026-05-04 18:00:00,,695883.67,
2026-05-04 19:00:00,,708150.30,
2026-05-04 20:00:00,,684601.73,
2026-05-04 21:00:00,,680409.14,
2026-05-04 22:00:00,,692040.81,
2026-05-04 23:00:00,,680914.85,
2026-05-05 00:00:00,,680194.67,
2026-05-05 01:00:00,,680807.27,
2026-05-05 02:00:00,,678391.58,
2026-05-05 03:00:00,,679737.09,
2026-05-05 04:00:00,,677768.52,
2026-05-05 05:00:00,,673776.33,
2026-05-05 06:00:00,,671758.46,
2026-05-05 07:00:00,,681938.67,
2026-05-05 08:00:00,,679052.94,
2026-05-05 09:00:00,,677127.94,
2026-05-05 10:00:00,,668850.25,
2026-05-05 11:00:00,,665863.34,
2026-05-05 12:00:00,,663033.63,
2026-05-05 13:00:00,,661280.90,
2026-05-05 14:00:00,,658504.06,
2026-05-05 15:00:00,,651304.27,
2026-05-05 16:00:00,,650481.00,
2026-05-05 17:00:00,,645872.38,
2026-05-05 18:00:00,,656873.01,
2026-05-05 19:00:00,,664717.25,
2026-05-05 20:00:00,,663696.55,
2026-05-05 21:00:00,,656649.64,
2026-05-05 22:00:00,,658037.36,
2026-05-05 23:00:00,,656924.86,
2026-05-06 00:00:00,,651701.79,
2026-05-06 01:00:00,,643410.80,
2026-05-06 02:00:00,,642240.95,
2026-05-06 03:00:00,,640718.36,
2026-05-06 04:00:00,,638613.01,
2026-05-06 05:00:00,,627653.33,
2026-05-06 06:00:00,,619024.57,
2026-05-06 07:00:00,,615757.81,
2026-05-06 08:00:00,,618194.91,
2026-05-06 09:00:00,,626706.76,
2026-05-06 10:00:00,,628523.81,
2026-05-06 11:00:00,,627050.68,
2026-05-06 12:00:00,,620831.16,
2026-05-06 13:00:00,,618336.77,
2026-05-06 14:00:00,,602725.44,
2026-05-06 15:00:00,,600667.90,
2026-05-06 16:00:00,,605743.97,
2026-05-06 17:00:00,,603651.23,
2026-05-06 18:00:00,,600566.90,
2026-05-06 19:00:00,,601516.06,
2026-05-06 20:00:00,,604914.79,
2026-05-06 21:00:00,,609033.66,
2026-05-06 22:00:00,,610551.27,
2026-05-06 23:00:00,,607709.67,
2026-05-07 00:00:00,,606088.58,
2026-05-07 01:00:00,,602007.09,
2026-05-07 02:00:00,,598963.86,
2026-05-07 03:00:00,,599812.94,
2026-05-07 04:00:00,,611792.47,
2026-05-07 05:00:00,,613216.49,
2026-05-07 06:00:00,,640140.81,
2026-05-07 07:00:00,,622936.61,
2026-05-07 08:00:00,,633315.94,
2026-05-07 09:00:00,,618501.16,
2026-05-07 10:00:00,,628048.30,
2026-05-07 11:00:00,,618075.06,
2026-05-07 12:00:00,,612261.78,
2026-05-07 13:00:00,,616082.17,
2026-05-07 14:00:00,,610232.79,
2026-05-07 15:00:00,,588263.28,
2026-05-07 16:00:00,,585645.48,
2026-05-07 17:00:00,,584485.33,
2026-05-07 18:00:00,,586982.01,
2026-05-07 19:00:00,,586617.24,
2026-05-07 20:00:00,,585718.98,
2026-05-07 21:00:00,,585039.18,
2026-05-07 22:00:00,,584130.19,
2026-05-07 23:00:00,,579893.21,
2026-05-08 00:00:00,,581618.37,
2026-05-08 01:00:00,,584829.87,
2026-05-08 02:00:00,,585479.02,
2026-05-08 03:00:00,,592413.63,
2026-05-08 04:00:00,,581920.82,
2026-05-08 05:00:00,,590760.11,
2026-05-08 06:00:00,,591677.33,
2026-05-08 07:00:00,,599369.71,
2026-05-08 08:00:00,,599125.45,
2026-05-08 09:00:00,,609497.17,
2026-05-08 10:00:00,,610073.40,
2026-05-08 11:00:00,,610663.78,
2026-05-08 12:00:00,,618426.35,
2026-05-08 13:00:00,,616328.46,
2026-05-08 14:00:00,,625700.60,
2026-05-08 15:00:00,,630003.45,
2026-05-08 16:00:00,,627188.28,
2026-05-08 17:00:00,,665666.18,
2026-05-08 18:00:00,,660205.47,
2026-05-08 19:00:00,,670081.05,
2026-05-08 20:00:00,,663959.84,
2026-05-08 21:00:00,,648406.65,
2026-05-08 22:00:00,,648390.58,
2026-05-08 23:00:00,,660692.53,
2026-05-09 00:00:00,,653334.45,
2026-05-09 01:00:00,,654241.20,
2026-05-09 02:00:00,,649164.28,
2026-05-09 03:00:00,,650761.03,
2026-05-09 04:00:00,,647920.39,
2026-05-09 05:00:00,,651429.76,
2026-05-09 06:00:00,,652309.88,
2026-05-09 07:00:00,,661900.91,
2026-05-09 08:00:00,,684409.92,
2026-05-09 09:00:00,,682241.22,
2026-05-09 10:00:00,,655203.20,
2026-05-09 11:00:00,,659853.97,
2026-05-09 12:00:00,,668506.06,
2026-05-09 13:00:00,,657496.95,
2026-05-09 14:00:00,,679538.40,
2026-05-09 15:00:00,,644269.94,
2026-05-09 16:00:00,,649898.65,
2026-05-09 17:00:00,,640206.18,
2026-05-09 18:00:00,,641709.16,
2026-05-09 19:00:00,,642563.87,
2026-05-09 20:00:00,,639931.33,
2026-05-09 21:00:00,,637496.87,
2026-05-09 22:00:00,,638709.31,
2026-05-09 23:00:00,,640221.36,
2026-05-10 00:00:00,,640081.60,
2026-05-10 01:00:00,,630318.18,
2026-05-10 02:00:00,,621623.13,
2026-05-10 03:00:00,,620953.39,
2026-05-10 04:00:00,,616864.10,
2026-05-10 05:00:00,,615517.91,
2026-05-10 06:00:00,,616581.96,
2026-05-10 07:00:00,,616827.75,
2026-05-10 08:00:00,,621362.74,
2026-05-10 09:00:00,,627461.12,
2026-05-10 10:00:00,,625756.02,
2026-05-10 11:00:00,,626217.99,
2026-05-10 12:00:00,,612571.71,
2026-05-10 13:00:00,,608798.95,
2026-05-10 14:00:00,,614774.03,
2026-05-10 15:00:00,,620552.58,
2026-05-10 16:00:00,,625413.54,
2026-05-10 17:00:00,,641340.43,
2026-05-10 18:00:00,,646263.95,
2026-05-10 19:00:00,,647338.51,
2026-05-10 20:00:00,,668302.42,
2026-05-10 21:00:00,,647954.58,
2026-05-10 22:00:00,,649393.25,
2026-05-10 23:00:00,,658811.69,
2026-05-11 00:00:00,,658252.14,
2026-05-11 01:00:00,,659726.14,
2026-05-11 02:00:00,,721610.89,
2026-05-11 03:00:00,,721693.40,
2026-05-11 04:00:00,,788865.96,
2026-05-11 05:00:00,,779796.98,
2026-05-11 06:00:00,,783204.83,
2026-05-11 07:00:00,,785830.63,
2026-05-11 08:00:00,,838271.35,
2026-05-11 09:00:00,,831936.51,
2026-05-11 10:00:00,,809743.76,
2026-05-11 11:00:00,,791873.98,
2026-05-11 12:00:00,,803944.69,
2026-05-11 13:00:00,,786055.72,
2026-05-11 14:00:00,,789836.85,
2026-05-11 15:00:00,,798777.57,
2026-05-11 16:00:00,,774557.62,
2026-05-11 17:00:00,,777211.41,
2026-05-11 18:00:00,,759184.75,
2026-05-11 19:00:00,,750080.41,
2026-05-11 20:00:00,,857392.85,
2026-05-11 21:00:00,,846323.95,
2026-05-11 22:00:00,,848658.55,
2026-05-11 23:00:00,,853391.28,
2026-05-12 00:00:00,,851397.06,
2026-05-12 01:00:00,,866106.49,
2026-05-12 02:00:00,,885573.33,
2026-05-12 03:00:00,,877262.82,
2026-05-12 04:00:00,,890515.08,
2026-05-12 05:00:00,,918946.26,
2026-05-12 06:00:00,,889792.74,
2026-05-12 07:00:00,,883184.97,
2026-05-12 08:00:00,,885239.50,
2026-05-12 09:00:00,,875132.36,
2026-05-12 10:00:00,,882787.96,
2026-05-12 11:00:00,,871201.02,
2026-05-12 12:00:00,,874111.76,
2026-05-12 13:00:00,,886597.62,
2026-05-12 14:00:00,,907889.09,
2026-05-12 15:00:00,,915675.11,
2026-05-12 16:00:00,,898743.88,
2026-05-12 17:00:00,,876137.25,
2026-05-12 18:00:00,,889304.73,
2026-05-12 19:00:00,,878286.60,
2026-05-12 20:00:00,,879729.35,
2026-05-12 21:00:00,,887717.55,
2026-05-12 22:00:00,,887751.22,
2026-05-12 23:00:00,,898648.20,
2026-05-13 00:00:00,,905822.95,
2026-05-13 01:00:00,,914485.37,
2026-05-13 02:00:00,,932104.14,
2026-05-13 03:00:00,,943955.13,
2026-05-13 04:00:00,,930947.21,
2026-05-13 05:00:00,,922797.01,
2026-05-13 06:00:00,,918181.76,
2026-05-13 07:00:00,,930099.55,
2026-05-13 08:00:00,,915916.34,
2026-05-13 09:00:00,,925187.11,
2026-05-13 10:00:00,,950744.54,
2026-05-13 11:00:00,,917541.65,
2026-05-13 12:00:00,,890532.74,
2026-05-13 13:00:00,,894002.95,
2026-05-13 14:00:00,,861890.53,
2026-05-13 15:00:00,,860524.19,
2026-05-13 16:00:00,,862317.19,
2026-05-13 17:00:00,,868411.37,
2026-05-13 18:00:00,,868208.10,
2026-05-13 19:00:00,,863900.13,
2026-05-13 20:00:00,,853014.34,
2026-05-13 21:00:00,,858074.26,
2026-05-13 22:00:00,,711330.00,
2026-05-13 23:00:00,,710224.19,
2026-05-14 00:00:00,,699913.82,
2026-05-14 01:00:00,,718807.93,
2026-05-14 02:00:00,,703751.78,
2026-05-14 03:00:00,,680266.37,
2026-05-14 04:00:00,,665384.83,
2026-05-14 05:00:00,,676433.04,
2026-05-14 06:00:00,,671935.00,
2026-05-14 07:00:00,,670420.06,
2026-05-14 08:00:00,,659482.83,
2026-05-14 09:00:00,,657091.62,
2026-05-14 10:00:00,,666725.89,
2026-05-14 11:00:00,,669092.15,
2026-05-14 12:00:00,,658068.42,
2026-05-14 13:00:00,,670058.04,
2026-05-14 14:00:00,,664959.11,
2026-05-14 15:00:00,,664883.18,
2026-05-14 16:00:00,,669891.40,
2026-05-14 17:00:00,,667901.43,
2026-05-14 18:00:00,,677788.71,
2026-05-14 19:00:00,,680659.04,
2026-05-14 20:00:00,,686188.76,
2026-05-14 21:00:00,,682404.47,
2026-05-14 22:00:00,,682266.23,
2026-05-14 23:00:00,,675768.46,
2026-05-15 00:00:00,,677185.69,
2026-05-15 01:00:00,,684002.55,
2026-05-15 02:00:00,,674377.52,
2026-05-15 03:00:00,,665576.15,
2026-05-15 04:00:00,,658427.68,
2026-05-15 05:00:00,,652928.85,
2026-05-15 06:00:00,,651563.53,
2026-05-15 07:00:00,,665620.47,
2026-05-15 08:00:00,,667434.43,
2026-05-15 09:00:00,,654882.06,
2026-05-15 10:00:00,,647873.29,
2026-05-15 11:00:00,,660232.91,
2026-05-15 12:00:00,,656990.05,
2026-05-15 13:00:00,,649590.64,
2026-05-15 14:00:00,,622860.86,
2026-05-15 15:00:00,,624264.65,
2026-05-15 16:00:00,,620216.09,
2026-05-15 17:00:00,,624064.06,
2026-05-15 18:00:00,,626325.19,
2026-05-15 19:00:00,,630277.94,
2026-05-15 20:00:00,,629022.00,
2026-05-15 21:00:00,,625158.41,
2026-05-15 22:00:00,,619312.09,
2026-05-15 23:00:00,,608609.60,
2026-05-16 00:00:00,,619148.39,
2026-05-16 01:00:00,,617296.47,
2026-05-16 02:00:00,,624907.75,
2026-05-16 03:00:00,,624708.45,
2026-05-16 04:00:00,,626955.15,
2026-05-16 05:00:00,,621586.59,
2026-05-16 06:00:00,,622663.34,
2026-05-16 07:00:00,,607189.50,
2026-05-16 08:00:00,,608572.81,
2026-05-16 09:00:00,,615265.08,
2026-05-16 10:00:00,,616428.06,
2026-05-16 11:00:00,,609119.29,
2026-05-16 12:00:00,,608109.85,
2026-05-16 13:00:00,,611927.63,
2026-05-16 14:00:00,,614904.30,
2026-05-16 15:00:00,,617112.41,
2026-05-16 16:00:00,,623596.26,
2026-05-16 17:00:00,,629799.12,
2026-05-16 18:00:00,,625981.11,
2026-05-16 19:00:00,,629572.58,
2026-05-16 20:00:00,,624410.85,
2026-05-16 21:00:00,,624403.46,
2026-05-16 22:00:00,,628369.68,
2026-05-16 23:00:00,,624220.08,
