time,oi_A,oi_6,oi_3
2026-04-25 12:00:00,2132933.60,,1021638.74
2026-04-25 13:00:00,2129045.80,,1022748.61
2026-04-25 14:00:00,2131373.14,,1024368.09
2026-04-25 15:00:00,2130420.07,,1018086.61
2026-04-25 16:00:00,2121613.19,,1017056.99
2026-04-25 17:00:00,2113096.25,,997505.85
2026-04-25 18:00:00,2100420.79,,973958.28
2026-04-25 19:00:00,2107943.12,,980444.70
2026-04-25 20:00:00,2108620.33,,977872.50
2026-04-25 21:00:00,2111421.02,,975074.10
2026-04-25 22:00:00,2104790.39,,993537.58
2026-04-25 23:00:00,2101443.36,,977614.89
2026-04-26 00:00:00,2093289.11,,972441.29
2026-04-26 01:00:00,2076734.34,,964983.96
2026-04-26 02:00:00,2074404.75,,965760.96
2026-04-26 03:00:00,2076174.12,,968538.98
2026-04-26 04:00:00,2097523.35,,967483.89
2026-04-26 05:00:00,2105436.56,,971495.47
2026-04-26 06:00:00,2114374.37,,972484.40
2026-04-26 07:00:00,2112644.32,,970750.93
2026-04-26 08:00:00,2116353.26,,971180.36
2026-04-26 09:00:00,2117791.28,,968593.66
2026-04-26 10:00:00,2126878.19,,969151.97
2026-04-26 11:00:00,2131202.83,,971703.99
2026-04-26 12:00:00,2139319.43,,977473.17
2026-04-26 13:00:00,2132723.51,,974829.48
2026-04-26 14:00:00,2140001.83,,968742.29
2026-04-26 15:00:00,2133163.64,,970861.83
2026-04-26 16:00:00,2146904.59,,975119.04
2026-04-26 17:00:00,2137984.41,,971907.03
2026-04-26 18:00:00,2140643.57,,974342.88
2026-04-26 19:00:00,2141953.13,,977160.26
2026-04-26 20:00:00,2223385.70,,983044.43
2026-04-26 21:00:00,2226684.88,,978898.22
2026-04-26 22:00:00,2225143.37,,981420.09
2026-04-26 23:00:00,2215185.69,,978361.26
2026-04-27 00:00:00,2215493.79,,981179.56
2026-04-27 01:00:00,2213753.56,,984163.28
2026-04-27 02:00:00,2225838.69,,991036.55
2026-04-27 03:00:00,2209025.10,,981991.97
2026-04-27 04:00:00,2205356.33,,979461.84
2026-04-27 05:00:00,2219561.44,,975460.51
2026-04-27 06:00:00,2176025.12,,958793.00
2026-04-27 07:00:00,2159298.66,,952405.08
2026-04-27 08:00:00,2158464.74,,954611.14
2026-04-27 09:00:00,2169281.92,,953253.22
2026-04-27 10:00:00,2180675.98,,955772.78
2026-04-27 11:00:00,2167592.29,,946540.59
2026-04-27 12:00:00,2169374.57,,947157.77
2026-04-27 13:00:00,2169364.95,,945891.82
2026-04-27 14:00:00,2159050.61,,946150.93
2026-04-27 15:00:00,2184329.44,,944967.82
2026-04-27 16:00:00,2149133.96,,926921.72
2026-04-27 17:00:00,2146818.42,,921085.23
2026-04-27 18:00:00,2151827.96,,917429.33
2026-04-27 19:00:00,2142948.23,,916368.75
2026-04-27 20:00:00,2144204.32,,914795.99
2026-04-27 21:00:00,2135181.67,,913433.66
2026-04-27 22:00:00,2130111.97,,913465.81
2026-04-27 23:00:00,2132189.82,,914137.99
2026-04-28 00:00:00,2146249.83,,919164.41
2026-04-28 01:00:00,2140065.27,,914830.71
2026-04-28 02:00:00,2137073.29,,913114.92
2026-04-28 03:00:00,2138359.55,,909639.52
2026-04-28 04:00:00,2139189.52,,910724.10
2026-04-28 05:00:00,2139619.89,,910093.80
2026-04-28 06:00:00,2181283.70,,907963.09
2026-04-28 07:00:00,2161823.66,,897464.70
2026-04-28 08:00:00,2159438.88,,888565.30
2026-04-28 09:00:00,2169990.30,,881827.69
2026-04-28 10:00:00,2144236.06,,878008.26
2026-04-28 11:00:00,2170462.76,,873664.85
2026-04-28 12:00:00,2160174.34,,866340.42
2026-04-28 13:00:00,2161252.17,,865888.65
2026-04-28 14:00:00,2155567.36,,858973.56
2026-04-28 15:00:00,2127629.63,,857007.42
2026-04-28 16:00:00,2128598.92,,856533.41
2026-04-28 17:00:00,2170723.00,,861184.21
2026-04-28 18:00:00,2169671.76,,860478.61
2026-04-28 19:00:00,2174085.45,,861883.58
2026-04-28 20:00:00,2166387.72,,861563.81
2026-04-28 21:00:00,2161992.09,,861371.23
2026-04-28 22:00:00,2162493.28,,859341.80
2026-04-28 23:00:00,2162564.97,,857024.56
2026-04-29 00:00:00,2161955.38,,855652.31
2026-04-29 01:00:00,2167382.58,,858091.89
2026-04-29 02:00:00,2156016.06,,856128.37
2026-04-29 03:00:00,2151691.34,,853806.46
2026-04-29 04:00:00,2153512.98,,855289.22
2026-04-29 05:00:00,2160401.73,,841553.60
2026-04-29 06:00:00,2161702.30,,841665.05
2026-04-29 07:00:00,2157059.89,,839070.00
2026-04-29 08:00:00,2167988.60,,838320.39
2026-04-29 09:00:00,2167032.16,,840372.22
2026-04-29 10:00:00,2174870.39,,850456.72
2026-04-29 11:00:00,2164055.11,,849594.86
2026-04-29 12:00:00,2160270.83,,843369.92
2026-04-29 13:00:00,2142793.74,,831301.84
2026-04-29 14:00:00,2098267.03,,825400.40
2026-04-29 15:00:00,2088169.79,,822632.45
2026-04-29 16:00:00,2066709.37,,816800.07
2026-04-29 17:00:00,2058165.59,,810381.33
2026-04-29 18:00:00,2076941.25,,815553.31
2026-04-29 19:00:00,1971980.62,,807062.41
2026-04-29 20:00:00,1958796.36,,803120.12
2026-04-29 21:00:00,1958869.12,,805049.26
2026-04-29 22:00:00,1969724.90,,806973.51
2026-04-29 23:00:00,1969936.25,,805850.83
2026-04-30 00:00:00,1976790.58,,806865.57
2026-04-30 01:00:00,1978576.31,,811559.36
2026-04-30 02:00:00,1976722.97,,808146.31
2026-04-30 03:00:00,1977175.82,,804165.03
2026-04-30 04:00:00,1967771.28,,797053.04
2026-04-30 05:00:00,1942696.05,,791355.02
2026-04-30 06:00:00,1944256.08,,790782.25
2026-04-30 07:00:00,1953675.87,,794062.61
2026-04-30 08:00:00,1957150.29,,795861.39
2026-04-30 09:00:00,1947428.11,,789478.40
2026-04-30 10:00:00,1951724.80,,792006.40
2026-04-30 11:00:00,1952639.19,,792067.25
2026-04-30 12:00:00,1949637.50,,789904.18
2026-04-30 13:00:00,1949940.45,,786360.52
2026-04-30 14:00:00,1951560.81,,783230.62
2026-04-30 15:00:00,1954585.28,,781250.21
2026-04-30 16:00:00,1959536.76,,782494.64
2026-04-30 17:00:00,1955998.41,,784754.62
2026-04-30 18:00:00,1962703.36,,794575.98
2026-04-30 19:00:00,1956561.77,,793297.58
2026-04-30 20:00:00,1958616.41,,791707.27
2026-04-30 21:00:00,1960239.74,,787280.47
2026-04-30 22:00:00,1961347.28,,784877.30
2026-04-30 23:00:00,1957854.82,,783610.29
2026-05-01 00:00:00,1959184.98,,786511.39
2026-05-01 01:00:00,1959961.84,,788766.37
2026-05-01 02:00:00,1957512.41,,788313.14
2026-05-01 03:00:00,1976882.70,,793685.75
2026-05-01 04:00:00,1980527.76,,793088.69
2026-05-01 05:00:00,1978827.12,,795030.80
2026-05-01 06:00:00,1974650.10,,794248.74
2026-05-01 07:00:00,1965877.46,,791452.34
2026-05-01 08:00:00,1964032.93,,789385.17
2026-05-01 09:00:00,1970300.05,,795501.00
2026-05-01 10:00:00,1948178.81,,789486.42
2026-05-01 11:00:00,1942238.15,,790521.27
2026-05-01 12:00:00,1941836.78,,791948.20
2026-05-01 13:00:00,1938347.50,,791514.27
2026-05-01 14:00:00,1939715.51,,792844.92
2026-05-01 15:00:00,1938487.20,,798314.22
2026-05-01 16:00:00,1927255.53,,797096.55
2026-05-01 17:00:00,1924118.26,,793540.79
2026-05-01 18:00:00,1921579.67,,792843.61
2026-05-01 19:00:00,1921038.96,,791417.59
2026-05-01 20:00:00,1922209.76,,791780.55
2026-05-01 21:00:00,1908619.17,,787394.92
2026-05-01 22:00:00,1911147.78,,788765.62
2026-05-01 23:00:00,1885493.45,,782642.12
2026-05-02 00:00:00,1888091.82,,782147.23
2026-05-02 01:00:00,1881909.76,,779455.48
2026-05-02 02:00:00,1880046.43,,779127.83
2026-05-02 03:00:00,1872447.50,,774567.17
2026-05-02 04:00:00,1868270.92,,775526.75
2026-05-02 05:00:00,1856920.16,,773772.11
2026-05-02 06:00:00,1851763.95,,771028.36
2026-05-02 07:00:00,1866958.11,,789918.74
2026-05-02 08:00:00,1863642.73,,786827.38
2026-05-02 09:00:00,1861148.73,,787990.84
2026-05-02 10:00:00,1858440.13,,784821.40
2026-05-02 11:00:00,1859628.36,,784267.20
2026-05-02 12:00:00,1859862.48,,782778.56
2026-05-02 13:00:00,1853240.11,,782290.23
2026-05-02 14:00:00,1853664.00,,783027.10
2026-05-02 15:00:00,1852341.84,,782217.51
2026-05-02 16:00:00,1842298.07,,785165.86
2026-05-02 17:00:00,1853805.12,,785604.80
2026-05-02 18:00:00,1852905.20,,784334.61
2026-05-02 19:00:00,1858734.42,,784331.50
2026-05-02 20:00:00,1860408.48,,783529.60
2026-05-02 21:00:00,1857247.14,,785899.55
2026-05-02 22:00:00,1863856.29,,785292.80
2026-05-02 23:00:00,1873214.69,,786905.58
2026-05-03 00:00:00,1873048.11,,783103.28
2026-05-03 01:00:00,1871788.80,,781563.20
2026-05-03 02:00:00,1857065.48,,775290.18
2026-05-03 03:00:00,1852146.33,,773453.02
2026-05-03 04:00:00,1858117.13,,774040.62
2026-05-03 05:00:00,1865418.21,,774341.29
2026-05-03 06:00:00,1855814.26,,773871.06
2026-05-03 07:00:00,1852145.22,,773982.94
2026-05-03 08:00:00,1852148.71,,772485.99
2026-05-03 09:00:00,1849218.98,,772331.86
2026-05-03 10:00:00,1850036.45,,774408.28
2026-05-03 11:00:00,1851163.54,,772805.19
2026-05-03 12:00:00,1850687.95,,773243.50
2026-05-03 13:00:00,1958690.08,,775332.02
2026-05-03 14:00:00,1974901.22,,777392.93
2026-05-03 15:00:00,1975336.32,,774016.39
2026-05-03 16:00:00,1977956.00,,775163.20
2026-05-03 17:00:00,1959292.36,,774204.21
2026-05-03 18:00:00,1985114.89,,779049.97
2026-05-03 19:00:00,1994991.09,,782661.62
2026-05-03 20:00:00,1993231.34,,784051.22
2026-05-03 21:00:00,1990870.41,,785734.73
2026-05-03 22:00:00,1968393.96,,787741.76
2026-05-03 23:00:00,1958334.96,,789240.24
2026-05-04 00:00:00,1950099.86,,786250.66
2026-05-04 01:00:00,1949150.38,,785006.73
2026-05-04 02:00:00,1968685.05,,790364.50
2026-05-04 03:00:00,1975972.79,,790962.17
2026-05-04 04:00:00,1970781.17,,791052.04
2026-05-04 05:00:00,1970224.19,,788655.94
2026-05-04 06:00:00,1960076.02,,786817.28
2026-05-04 07:00:00,1956801.33,,785129.76
2026-05-04 08:00:00,1965770.80,,786953.85
2026-05-04 09:00:00,1958141.30,,783288.39
2026-05-04 10:00:00,1963835.21,,787683.18
2026-05-04 11:00:00,1931246.96,,778778.89
2026-05-04 12:00:00,1934555.01,,789186.58
2026-05-04 13:00:00,1929268.39,,786678.62
2026-05-04 14:00:00,1924146.74,,782025.66
2026-05-04 15:00:00,1937187.20,,788821.74
2026-05-04 16:00:00,1935245.49,,785390.54
2026-05-04 17:00:00,1945291.79,,784707.46
2026-05-04 18:00:00,1953292.68,,786552.97
2026-05-04 19:00:00,1942437.01,,786019.17
2026-05-04 20:00:00,1956059.32,,782813.90
2026-05-04 21:00:00,1950841.83,,780836.44
2026-05-04 22:00:00,1961112.80,,782108.84
2026-05-04 23:00:00,1964411.34,,779687.89
2026-05-05 00:00:00,1977099.00,,778190.10
2026-05-05 01:00:00,2005023.96,,786231.20
2026-05-05 02:00:00,2045658.98,,796438.15
2026-05-05 03:00:00,2109248.34,,804062.10
2026-05-05 04:00:00,2099018.79,,801819.02
2026-05-05 05:00:00,2125271.92,,798783.58
