time,oi_A,oi_6,oi_3
2026-05-03 12:00:00,1144622.77,,
2026-05-03 13:00:00,1154341.83,,
2026-05-03 14:00:00,1167519.94,,
2026-05-03 15:00:00,1186254.39,,
2026-05-03 16:00:00,1174286.95,,
2026-05-03 17:00:00,1172106.85,,
2026-05-03 18:00:00,1171397.71,,
2026-05-03 19:00:00,1174305.25,,
2026-05-03 20:00:00,1165584.32,,
2026-05-03 21:00:00,1172754.54,,
2026-05-03 22:00:00,1176183.70,,
2026-05-03 23:00:00,1158863.34,,
2026-05-04 00:00:00,1148568.28,,
2026-05-04 01:00:00,1149622.49,,
2026-05-04 02:00:00,1150360.18,,
2026-05-04 03:00:00,1168760.95,,
2026-05-04 04:00:00,1174997.81,,
2026-05-04 05:00:00,1169740.58,,
2026-05-04 06:00:00,1174920.40,,
2026-05-04 07:00:00,1169304.97,,
2026-05-04 08:00:00,1163786.72,,
2026-05-04 09:00:00,1163036.54,,
2026-05-04 10:00:00,1174060.49,,
2026-05-04 11:00:00,1162547.95,,
2026-05-04 12:00:00,1167572.94,,
2026-05-04 13:00:00,1184007.34,,
2026-05-04 14:00:00,1169543.65,,
2026-05-04 15:00:00,1174619.50,,
2026-05-04 16:00:00,1173204.97,,
2026-05-04 17:00:00,1172796.67,,
2026-05-04 18:00:00,1178449.52,,
2026-05-04 19:00:00,1176749.46,,
2026-05-04 20:00:00,1169049.58,,
2026-05-04 21:00:00,1154990.88,,
2026-05-04 22:00:00,1161334.74,,
2026-05-04 23:00:00,1161759.96,,
2026-05-05 00:00:00,1159750.87,,
2026-05-05 01:00:00,1160789.89,,
2026-05-05 02:00:00,1169635.86,,
2026-05-05 03:00:00,1179152.76,,
2026-05-05 04:00:00,1169288.48,,
2026-05-05 05:00:00,1160638.39,,
2026-05-05 06:00:00,1162237.04,,
2026-05-05 07:00:00,1165359.41,,
2026-05-05 08:00:00,1166606.56,,
2026-05-05 09:00:00,1161023.04,,
2026-05-05 10:00:00,1156863.46,,
2026-05-05 11:00:00,1166141.35,,
2026-05-05 12:00:00,1162527.28,,
2026-05-05 13:00:00,1160734.95,,
2026-05-05 14:00:00,1155324.23,,
2026-05-05 15:00:00,1152669.34,,
2026-05-05 16:00:00,1161095.84,,
2026-05-05 17:00:00,1157922.77,,
2026-05-05 18:00:00,1156137.47,,
2026-05-05 19:00:00,1153310.66,,
2026-05-05 20:00:00,1148993.93,,
2026-05-05 21:00:00,1158493.57,,
2026-05-05 22:00:00,1153808.88,,
2026-05-05 23:00:00,1142511.85,,
2026-05-06 00:00:00,1138265.28,,
2026-05-06 01:00:00,1135649.50,,
2026-05-06 02:00:00,1143103.42,,
2026-05-06 03:00:00,1138625.52,,
2026-05-06 04:00:00,1148042.44,,
2026-05-06 05:00:00,1141594.15,,
2026-05-06 06:00:00,1141774.71,,
2026-05-06 07:00:00,1158643.47,,
2026-05-06 08:00:00,1160580.32,,
2026-05-06 09:00:00,1157719.93,,
2026-05-06 10:00:00,1161418.14,,
2026-05-06 11:00:00,1160839.80,,
2026-05-06 12:00:00,1151357.40,,
2026-05-06 13:00:00,1154802.85,,
2026-05-06 14:00:00,1138255.79,,
2026-05-06 15:00:00,1133538.20,,
2026-05-06 16:00:00,1140054.08,,
2026-05-06 17:00:00,1145098.05,,
2026-05-06 18:00:00,1150131.30,,
2026-05-06 19:00:00,1149124.10,,
2026-05-06 20:00:00,1150126.12,,
2026-05-06 21:00:00,1151712.78,,
2026-05-06 22:00:00,1165660.92,,
2026-05-06 23:00:00,1159727.42,,
2026-05-07 00:00:00,1164363.10,,
2026-05-07 01:00:00,1149770.81,,
2026-05-07 02:00:00,1148073.40,,
2026-05-07 03:00:00,1150754.05,,
2026-05-07 04:00:00,1148862.12,,
2026-05-07 05:00:00,1165408.18,,
2026-05-07 06:00:00,1196981.71,,
2026-05-07 07:00:00,1210621.25,,
2026-05-07 08:00:00,1243121.09,,
2026-05-07 09:00:00,1240630.07,,
2026-05-07 10:00:00,1257510.62,,
2026-05-07 11:00:00,1266154.59,,
2026-05-07 12:00:00,1250101.60,,
2026-05-07 13:00:00,1254855.02,,
2026-05-07 14:00:00,1240673.28,,
2026-05-07 15:00:00,1228389.52,,
2026-05-07 16:00:00,1226392.38,,
2026-05-07 17:00:00,1244834.20,,
2026-05-07 18:00:00,1242848.71,,
2026-05-07 19:00:00,1265692.96,,
2026-05-07 20:00:00,1264822.39,,
2026-05-07 21:00:00,1257872.84,,
2026-05-07 22:00:00,1245841.14,,
2026-05-07 23:00:00,1252442.76,,
2026-05-08 00:00:00,1254585.36,,
2026-05-08 01:00:00,1245428.74,,
2026-05-08 02:00:00,1231506.14,,
2026-05-08 03:00:00,1226581.44,,
2026-05-08 04:00:00,1238595.25,,
2026-05-08 05:00:00,1257980.07,,
2026-05-08 06:00:00,1269696.38,,
2026-05-08 07:00:00,1262954.32,,
2026-05-08 08:00:00,1224344.53,,
2026-05-08 09:00:00,1229374.55,,
2026-05-08 10:00:00,1237899.06,,
2026-05-08 11:00:00,1222752.54,,
2026-05-08 12:00:00,1230285.62,,
2026-05-08 13:00:00,1219575.86,,
2026-05-08 14:00:00,1225172.11,,
2026-05-08 15:00:00,1232615.66,,
2026-05-08 16:00:00,1229536.49,,
2026-05-08 17:00:00,1232454.34,,
2026-05-08 18:00:00,1240170.80,,
2026-05-08 19:00:00,1248369.46,,
2026-05-08 20:00:00,1264966.87,,
2026-05-08 21:00:00,1256068.36,,
2026-05-08 22:00:00,1266420.20,,
2026-05-08 23:00:00,1272702.90,,
2026-05-09 00:00:00,1272676.33,,
2026-05-09 01:00:00,1279362.84,,
2026-05-09 02:00:00,1287133.94,,
2026-05-09 03:00:00,1273864.64,,
2026-05-09 04:00:00,1250501.67,,
2026-05-09 05:00:00,1250401.62,,
2026-05-09 06:00:00,1247100.53,,
2026-05-09 07:00:00,1256878.92,,
2026-05-09 08:00:00,1271246.01,,
2026-05-09 09:00:00,1275518.93,,
2026-05-09 10:00:00,1239584.29,,
2026-05-09 11:00:00,1260163.37,,
2026-05-09 12:00:00,1257577.35,,
2026-05-09 13:00:00,1246751.15,,
2026-05-09 14:00:00,1235597.15,,
2026-05-09 15:00:00,1235752.01,,
2026-05-09 16:00:00,1221613.94,,
2026-05-09 17:00:00,1231111.50,,
2026-05-09 18:00:00,1236717.40,,
2026-05-09 19:00:00,1233967.13,,
2026-05-09 20:00:00,1227609.96,,
2026-05-09 21:00:00,1225519.05,,
2026-05-09 22:00:00,1217460.00,,
2026-05-09 23:00:00,1216647.81,,
2026-05-10 00:00:00,1211586.60,,
2026-05-10 01:00:00,1194617.36,,
2026-05-10 02:00:00,1189000.20,,
2026-05-10 03:00:00,1194764.06,,
2026-05-10 04:00:00,1191158.34,,
2026-05-10 05:00:00,1196675.18,,
2026-05-10 06:00:00,1195066.00,,
2026-05-10 07:00:00,1197414.95,,
2026-05-10 08:00:00,1194477.49,,
2026-05-10 09:00:00,1201682.08,,
2026-05-10 10:00:00,1199729.25,,
2026-05-10 11:00:00,1202149.54,,
2026-05-10 12:00:00,1196890.17,,
2026-05-10 13:00:00,1196483.70,,
2026-05-10 14:00:00,1194995.51,,
2026-05-10 15:00:00,1195496.63,,
2026-05-10 16:00:00,1213003.46,,
2026-05-10 17:00:00,1227967.04,,
2026-05-10 18:00:00,1246294.09,,
2026-05-10 19:00:00,1248123.37,,
2026-05-10 20:00:00,1245391.53,,
